indicator,sex,age,unit,geo\time,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind1,T,Y_LT18,PC_Y_LT65,AL,: ,: ,12.2 ,12.8 ,11.2 ,11.9 ,: 
ind1,T,Y_LT18,PC_Y_LT65,AT,7.4 ,6.6 ,7.8 ,6.2 ,7.7 ,6.5 ,6.9 
ind1,T,Y_LT18,PC_Y_LT65,BE,13.7 ,13.2 ,13.2 ,12.2 ,10.5 ,10.8 ,9.7 
ind1,T,Y_LT18,PC_Y_LT65,BG,14.1 ,14.9 ,13.8 ,10.6 ,11.3 ,10.7 ,10.6 
ind1,T,Y_LT18,PC_Y_LT65,CH,4.8 ,4.7 ,6.0 ,5.3 ,5.9 ,4.4 ,: 
ind1,T,Y_LT18,PC_Y_LT65,CY,9.1 ,8.8 ,7.5 ,8.6 ,5.4 ,3.9 ,4.8 
ind1,T,Y_LT18,PC_Y_LT65,CZ,8.3 ,8.3 ,6.2 ,4.6 ,3.7 ,4.1 ,6.4 
ind1,T,Y_LT18,PC_Y_LT65,DE,6.9 ,8.2 ,6.8 ,6.0 ,5.1 ,9.4 b,10.6 
ind1,T,Y_LT18,PC_Y_LT65,DK,7.3 ,6.5 ,6.6 ,7.2 ,5.0 ,5.8 ,5.7 
ind1,T,Y_LT18,PC_Y_LT65,EA19,8.6 ,9.0 ,8.0 ,7.2 ,6.8 ,8.3 ,9.3 
ind1,T,Y_LT18,PC_Y_LT65,EE,5.1 ,3.7 ,3.9 ,3.8 ,3.6 ,3.1 ,3.9 
ind1,T,Y_LT18,PC_Y_LT65,EL,10.6 ,10.8 ,9.5 ,9.0 ,7.9 ,7.7 ,7.5 
ind1,T,Y_LT18,PC_Y_LT65,ES,11.9 ,11.5 ,9.7 ,7.3 ,8.1 ,7.1 ,9.1 
ind1,T,Y_LT18,PC_Y_LT65,EU,9.3 ,9.2 ,8.1 ,7.3 ,6.9 e,: ,: 
ind1,T,Y_LT18,PC_Y_LT65,EU27_2007,: ,: ,: ,: ,6.9 e,: ,: 
ind1,T,Y_LT18,PC_Y_LT65,EU27_2020,8.4 ,8.6 ,7.6 ,7.0 ,6.4 e,7.6 ,8.3 
ind1,T,Y_LT18,PC_Y_LT65,EU28,9.3 ,9.2 ,8.1 ,7.3 ,6.9 e,: ,: 
ind1,T,Y_LT18,PC_Y_LT65,FI,7.2 ,8.2 ,8.6 ,8.6 ,6.8 ,7.6 ,6.8 
ind1,T,Y_LT18,PC_Y_LT65,FR,7.5 ,7.6 ,7.5 ,7.5 ,7.1 ,9.7 b,11.4 
ind1,T,Y_LT18,PC_Y_LT65,HR,12.6 ,10.8 ,10.8 ,8.8 ,6.6 ,6.7 ,6.2 
ind1,T,Y_LT18,PC_Y_LT65,HU,11.0 ,9.0 ,7.4 ,4.7 ,4.6 ,5.3 ,5.8 
ind1,T,Y_LT18,PC_Y_LT65,IE,19.2 ,19.2 ,17.4 ,14.7 ,14.8 ,12.4 b,13.6 
ind1,T,Y_LT18,PC_Y_LT65,IS,5.0 ,3.7 ,3.5 ,3.3 ,: ,: ,: 
ind1,T,Y_LT18,PC_Y_LT65,IT,8.5 ,9.0 ,7.8 ,7.1 ,6.2 ,7.4 ,8.2 p
ind1,T,Y_LT18,PC_Y_LT65,LT,8.7 ,9.8 ,9.5 ,10.4 ,7.5 ,6.7 ,7.8 
ind1,T,Y_LT18,PC_Y_LT65,LU,2.7 ,3.5 ,3.9 ,3.9 ,4.7 ,5.4 b,4.1 b
ind1,T,Y_LT18,PC_Y_LT65,LV,7.6 ,6.3 ,6.5 ,6.0 ,5.6 ,7.0 ,6.0 
ind1,T,Y_LT18,PC_Y_LT65,ME,23.5 ,23.7 ,24.7 ,25.2 ,17.7 ,14.0 ,: 
ind1,T,Y_LT18,PC_Y_LT65,MK,18.6 ,18.1 ,19.9 ,17.9 ,13.2 ,15.5 ,: 
ind1,T,Y_LT18,PC_Y_LT65,MT,10.6 ,7.6 ,7.8 ,6.3 ,5.3 ,6.1 ,6.5 
ind1,T,Y_LT18,PC_Y_LT65,NL,6.4 ,7.8 ,6.6 ,5.8 ,6.6 ,7.2 ,7.0 
ind1,T,Y_LT18,PC_Y_LT65,NO,5.5 ,5.2 ,6.3 ,6.4 ,6.8 ,6.7 ,: 
ind1,T,Y_LT18,PC_Y_LT65,PL,5.0 ,5.0 ,4.1 ,4.3 ,3.6 ,3.2 ,2.9 p
ind1,T,Y_LT18,PC_Y_LT65,PT,8.7 ,6.4 ,6.0 ,5.5 ,5.2 ,3.8 ,4.1 
ind1,T,Y_LT18,PC_Y_LT65,RO,7.6 ,8.1 ,5.8 ,7.1 ,5.0 ,5.7 ,3.2 
ind1,T,Y_LT18,PC_Y_LT65,RS,19.8 ,20.7 ,19.1 ,16.3 ,15.6 ,13.6 ,: 
ind1,T,Y_LT18,PC_Y_LT65,SE,8.4 ,8.1 ,8.0 ,9.2 ,9.2 ,8.8 ,8.5 
ind1,T,Y_LT18,PC_Y_LT65,SI,3.8 ,3.4 ,3.3 ,2.3 ,2.6 ,2.2 ,1.7 
ind1,T,Y_LT18,PC_Y_LT65,SK,8.1 ,8.6 ,7.3 ,6.3 ,6.8 ,3.9 ,4.8 
ind1,T,Y_LT18,PC_Y_LT65,TR,8.6 ,7.3 ,7.7 ,7.1 ,7.7 ,8.0 ,: 
ind1,T,Y_LT18,PC_Y_LT65,UK,14.8 ,12.9 ,10.9 ,9.5 ,: ,: ,: 
ind1,T,Y_LT18,THS_PER,AL,: ,: ,79 ,80 ,68 ,71 ,: 
ind1,T,Y_LT18,THS_PER,AT,111 ,103 ,122 ,97 ,120 ,103 ,111 
ind1,T,Y_LT18,THS_PER,BE,319 ,301 ,306 ,282 ,252 ,262 ,238 
ind1,T,Y_LT18,THS_PER,BG,169 ,179 ,168 ,129 ,136 ,130 ,128 
ind1,T,Y_LT18,THS_PER,CH,71 ,70 ,90 ,80 ,89 ,67 ,: 
ind1,T,Y_LT18,THS_PER,CY,16 ,15 ,13 ,15 ,9 ,7 ,8 
ind1,T,Y_LT18,THS_PER,CZ,154 ,159 ,121 ,91 ,75 ,84 ,131 
ind1,T,Y_LT18,THS_PER,DE,932 ,1116 ,942 ,813 ,713 ,1323 b,1495 
ind1,T,Y_LT18,THS_PER,DK,85 ,77 ,78 ,84 ,57 ,66 ,65 
ind1,T,Y_LT18,THS_PER,EA19,5333 ,5544 ,4978 ,4432 ,4167 ,5088 ,5674 
ind1,T,Y_LT18,THS_PER,EE,12 ,9 ,10 ,9 ,9 ,8 ,10 
ind1,T,Y_LT18,THS_PER,EL,199 ,201 ,175 ,164 ,144 ,140 ,135 
ind1,T,Y_LT18,THS_PER,ES,986 ,963 ,808 ,611 ,669 ,588 ,746 
ind1,T,Y_LT18,THS_PER,EU,8741 ,8691 ,7708 ,6923 ,6485 e,: ,: 
ind1,T,Y_LT18,THS_PER,EU27_2007,: ,: ,: ,: ,6438 e,: ,: 
ind1,T,Y_LT18,THS_PER,EU27_2020,6823 ,7005 ,6213 ,5625 ,5186 e,6123 ,6642 
ind1,T,Y_LT18,THS_PER,EU28,8741 ,8691 ,7708 ,6923 ,6485 e,: ,: 
ind1,T,Y_LT18,THS_PER,FI,77 ,88 ,92 ,92 ,72 ,79 ,71 
ind1,T,Y_LT18,THS_PER,FR,1006 ,1034 ,1016 ,1011 ,934 ,1287 b,1485 
