indicator,age,sex,reason,unit,quantile,geo\time,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
ind1,Y_GE16,F,TOOEFW,PC,TOTAL,AL,: ,: ,: ,: ,: ,: ,: ,: ,: ,14.0 ,16.3 ,15.9 ,11.8 ,: ,: 
ind1,Y_GE16,F,TOOEFW,PC,TOTAL,AT,0.7 ,0.5 ,0.7 ,0.4 ,0.4 ,0.5 ,0.1 ,0.1 ,0.2 ,0.3 ,0.1 ,0.3 ,0.1 ,0.3 ,: 
ind1,Y_GE16,F,TOOEFW,PC,TOTAL,BE,0.5 ,0.6 ,0.4 ,1.8 b,1.8 ,2.4 ,2.7 ,2.7 ,2.7 ,2.7 ,2.0 ,2.1 b,1.7 ,1.9 ,1.2 
ind1,Y_GE16,F,TOOEFW,PC,TOTAL,BG,16.9 ,11.8 ,11.3 ,10.4 ,8.7 ,9.3 ,6.1 ,5.0 ,3.1 ,2.5 ,1.9 ,1.2 ,1.5 ,1.0 ,1.3 
ind1,Y_GE16,F,TOOEFW,PC,TOTAL,CH,1.2 ,1.1 ,1.4 ,1.0 ,1.3 ,1.3 ,1.5 ,0.6 ,0.5 ,0.6 ,0.7 ,0.8 ,0.5 ,0.5 ,: 
ind1,Y_GE16,F,TOOEFW,PC,TOTAL,CY,3.5 ,4.0 ,4.9 ,4.9 ,4.3 ,4.8 ,5.1 ,1.7 ,0.6 ,1.8 ,1.4 ,1.3 ,0.5 ,0.2 ,: 
ind1,Y_GE16,F,TOOEFW,PC,TOTAL,CZ,0.7 ,0.7 ,1.1 ,1.2 ,1.1 ,1.2 ,1.4 ,0.9 ,0.7 ,0.5 ,0.4 ,0.6 ,0.3 ,0.3 ,: 
ind1,Y_GE16,F,TOOEFW,PC,TOTAL,DE,2.2 ,2.2 ,2.0 ,1.9 ,1.7 ,1.7 ,1.8 ,0.4 ,0.3 ,0.3 ,0.2 ,0.3 ,0.1 b,0.1 ,: 
ind1,Y_GE16,F,TOOEFW,PC,TOTAL,DK,0.7 ,1.9 ,1.5 ,0.8 ,1.5 ,1.4 ,1.0 ,1.4 ,1.2 ,0.9 ,1.3 ,1.9 ,1.6 ,1.4 ,: 
ind1,Y_GE16,F,TOOEFW,PC,TOTAL,EA19,2.7 ,2.9 ,2.8 ,3.1 ,3.2 ,3.6 ,3.7 ,3.0 ,2.6 ,1.5 ,1.7 ,1.5 ,2.1 e,2.2 ,: 
ind1,Y_GE16,F,TOOEFW,PC,TOTAL,EE,8.7 ,4.8 ,5.1 ,8.5 ,9.4 ,9.9 ,13.5 ,14.5 ,17.7 ,13.9 ,17.8 ,17.9 ,14.6 ,9.7 ,: 
