indicator,age,incgrp,sex,unit,geo\time,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
ind1,TOTAL,A_MD60,T,PC,AL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,18.7 ,19.4 ,17.4 ,12.3 
ind1,TOTAL,A_MD60,T,PC,AT,1.3 ,3.0 ,2.9 ,3.3 ,3.1 ,3.3 b,2.9 ,2.8 ,2.9 ,2.6 ,2.7 ,2.8 ,3.1 ,3.2 ,3.3 ,1.9 ,2.5 ,2.4 
ind1,TOTAL,A_MD60,T,PC,BE,1.6 ,0.9 ,0.7 ,0.5 ,0.6 ,0.4 ,0.6 ,1.2 ,0.4 ,0.3 ,0.2 ,0.3 ,0.3 ,0.9 b,1.2 ,1.0 ,1.3 b,1.7 
ind1,TOTAL,A_MD60,T,PC,BG,: ,: ,: ,17.7 ,11.0 ,18.6 b,14.1 ,9.4 ,8.4 ,7.7 ,7.0 ,6.9 b,6.9 ,6.3 b,5.5 ,5.6 ,4.8 ,4.7 
ind1,TOTAL,A_MD60,T,PC,CH,: ,: ,: ,: ,1.6 ,1.0 ,1.1 ,0.7 ,1.2 ,1.4 ,1.9 ,0.9 b,1.2 ,1.6 ,1.5 ,2.0 ,1.5 ,1.4 
ind1,TOTAL,A_MD60,T,PC,CY,: ,: ,1.1 ,0.8 ,0.6 ,1.3 b,1.1 ,1.1 ,0.9 ,0.8 ,1.0 ,1.3 ,0.4 ,0.9 ,0.4 ,0.8 ,0.9 ,1.3 
ind1,TOTAL,A_MD60,T,PC,CZ,: ,: ,8.4 ,8.6 ,6.3 ,5.3 ,5.1 ,3.7 ,4.0 ,2.9 ,3.1 ,2.5 ,2.5 ,2.3 ,1.9 ,2.0 ,1.3 ,1.7 
ind1,TOTAL,A_MD60,T,PC,DE,: ,: ,1.4 ,2.2 ,1.3 ,1.5 ,1.1 ,1.4 ,1.1 ,1.2 ,1.0 ,1.0 ,1.1 ,1.1 ,1.1 ,1.6 ,1.4 ,0.9 b
ind1,TOTAL,A_MD60,T,PC,DK,1.5 ,1.4 ,0.9 ,0.9 ,1.2 ,0.7 ,0.9 ,0.9 ,2.0 b,1.5 ,1.5 ,1.7 ,1.7 ,1.3 ,1.8 ,1.9 ,1.6 ,1.6 
ind1,TOTAL,A_MD60,T,PC,EA18,: ,: ,3.1 ,3.3 ,3.0 ,2.9 ,2.5 ,2.6 ,2.5 ,2.4 ,2.5 ,2.5 ,2.6 ,2.3 ,2.0 ,2.1 ,2.1 ,2.4 
ind1,TOTAL,A_MD60,T,PC,EA19,: ,: ,3.3 ,3.5 ,3.1 ,3.0 ,2.6 ,2.6 ,2.5 ,2.4 ,2.5 ,2.6 ,2.6 ,2.3 ,2.1 ,2.1 ,2.1 ,2.5 
ind1,TOTAL,A_MD60,T,PC,EE,: ,18.8 ,14.9 ,13.1 ,12.3 ,8.9 ,10.1 ,9.7 ,3.4 ,3.7 ,5.4 ,3.1 b,2.3 ,3.0 ,3.1 ,2.9 ,2.2 ,1.7 
ind1,TOTAL,A_MD60,T,PC,EL,8.0 ,7.4 ,7.7 ,7.7 ,7.0 ,6.6 ,6.3 ,5.9 ,5.3 ,5.1 ,5.5 ,4.4 ,5.2 ,4.8 ,4.5 ,4.5 ,4.7 ,4.1 
ind1,TOTAL,A_MD60,T,PC,ES,: ,4.3 ,2.0 ,1.9 ,1.8 ,1.2 b,1.1 ,1.5 ,1.3 b,0.7 ,1.1 ,0.7 ,1.0 ,0.8 ,0.6 ,0.6 ,0.9 ,1.9 
ind1,TOTAL,A_MD60,T,PC,EU,: ,: ,: ,: ,: ,5.0 e,4.3 e,4.1 e,3.9 e,3.5 e,3.6 e,3.4 e,3.4 e,3.3 e,3.0 e,2.8 e,2.7 e,: 
ind1,TOTAL,A_MD60,T,PC,EU27_2007,: ,: ,6.4 e,6.2 e,5.6 ,5.0 ,4.3 ,4.1 ,3.8 ,3.5 ,3.6 ,3.4 ,3.4 ,3.3 ,3.0 ,2.8 ,2.7 e,: 
ind1,TOTAL,A_MD60,T,PC,EU27_2020,: ,: ,: ,: ,: ,: ,: ,4.4 e,4.1 e,3.8 e,3.8 e,3.6 e,3.7 e,3.5 e,3.4 e,3.0 e,2.9 e,3.2 e
ind1,TOTAL,A_MD60,T,PC,EU28,: ,: ,: ,: ,: ,: ,: ,4.1 ,3.9 ,3.5 ,3.6 ,3.4 ,3.4 ,3.3 ,3.0 ,2.8 ,2.7 e,: 
ind1,TOTAL,A_MD60,T,PC,FI,: ,0.8 ,0.7 ,0.5 ,0.5 ,0.5 ,0.5 ,0.7 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.4 ,0.5 ,0.7 ,0.8 ,0.8 
ind1,TOTAL,A_MD60,T,PC,FR,: ,2.5 ,2.2 ,2.1 ,2.5 ,2.5 ,1.9 ,2.0 ,1.5 ,1.5 ,1.2 ,1.4 ,1.5 ,1.6 ,1.6 ,1.9 ,1.5 ,2.7 b
ind1,TOTAL,A_MD60,T,PC,HR,: ,: ,: ,: ,: ,: ,: ,10.4 ,8.5 ,8.5 b,7.6 ,6.6 ,5.6 ,5.7 ,5.0 ,5.1 ,4.6 ,4.5 
ind1,TOTAL,A_MD60,T,PC,HU,: ,: ,19.8 ,15.7 ,12.2 ,17.8 ,8.9 ,14.3 ,11.7 ,11.9 ,12.8 ,12.9 ,12.0 ,14.2 ,14.5 ,6.4 ,7.3 ,6.9 
ind1,TOTAL,A_MD60,T,PC,IE,1.1 ,1.1 ,1.0 ,2.1 ,1.0 ,0.5 ,0.6 ,0.4 ,0.6 ,0.4 ,1.3 ,1.0 ,1.0 ,0.6 ,0.5 ,0.7 ,1.0 ,0.8 b
ind1,TOTAL,A_MD60,T,PC,IS,: ,1.8 ,1.3 ,1.3 ,1.3 ,1.1 ,1.6 ,1.3 ,1.8 ,2.1 ,2.3 ,2.0 ,2.1 ,1.5 ,1.6 ,1.3 ,: ,: 
ind1,TOTAL,A_MD60,T,PC,IT,: ,6.9 ,6.3 ,6.4 ,5.8 ,5.8 ,5.9 ,5.2 ,6.9 ,6.2 ,6.9 ,7.6 ,7.3 ,5.8 ,4.5 ,3.9 ,4.5 ,5.2 
ind1,TOTAL,A_MD60,T,PC,LT,: ,: ,24.1 ,21.9 ,18.7 ,15.3 ,13.4 ,11.2 ,5.8 b,5.5 ,6.6 ,8.2 ,6.0 ,5.7 ,5.7 ,5.8 ,6.6 ,4.4 
ind1,TOTAL,A_MD60,T,PC,LU,1.7 ,2.0 ,1.2 ,0.8 ,1.1 ,1.5 ,0.8 ,1.2 ,0.9 ,1.2 ,0.6 ,0.9 ,0.7 ,1.2 b,1.7 ,1.6 ,0.9 ,1.0 b
ind1,TOTAL,A_MD60,T,PC,LV,: ,: ,28.3 ,23.7 ,22.4 ,18.9 b,18.3 ,17.3 ,14.1 ,12.8 ,13.1 ,13.7 ,12.1 ,11.9 ,12.9 ,13.0 ,11.6 ,10.2 
ind1,TOTAL,A_MD60,T,PC,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,18.3 ,16.4 ,20.7 ,14.5 ,12.8 ,14.4 ,15.1 ,14.2 
ind1,TOTAL,A_MD60,T,PC,MK,: ,: ,: ,: ,: ,: ,: ,: ,9.8 ,8.6 ,7.1 ,7.9 b,6.8 ,8.0 ,6.7 ,7.0 ,6.4 ,6.1 
ind1,TOTAL,A_MD60,T,PC,MT,: ,: ,0.9 ,0.8 ,0.6 ,0.9 ,0.9 ,1.3 ,1.1 ,0.9 ,1.1 ,1.0 ,0.9 ,1.0 ,0.6 ,0.5 ,0.8 ,0.9 
ind1,TOTAL,A_MD60,T,PC,NL,: ,: ,0.5 ,0.4 ,0.5 ,0.4 ,0.4 ,0.4 ,0.4 ,0.7 ,0.3 ,0.4 ,0.5 ,0.9 b,0.6 ,0.9 ,1.0 ,0.9 
ind1,TOTAL,A_MD60,T,PC,NO,0.9 ,0.9 ,1.0 ,0.7 ,0.6 ,0.8 ,0.6 ,0.5 ,0.6 ,0.7 ,0.7 ,0.3 ,0.3 ,0.4 ,0.4 ,0.6 ,0.6 ,0.3 
ind1,TOTAL,A_MD60,T,PC,PL,: ,: ,25.3 ,23.8 ,21.6 ,14.9 ,12.1 ,10.2 ,8.7 ,7.9 ,7.9 ,6.9 ,7.6 ,7.3 ,8.7 ,7.3 ,7.0 ,: 
