sex,age,unit,geo\time,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
T,TOTAL,PC,AL,: ,: ,58.5 ,53.9 ,50.7 ,46.2 ,: ,: 
T,TOTAL,PC,AT,16.9 ,17.2 ,17.1 ,16.8 ,16.5 ,16.7 ,17.3 ,: 
T,TOTAL,PC,BE,21.6 ,22.2 ,22.0 ,20.5 ,20.0 b,20.3 ,18.8 ,18.7 
T,TOTAL,PC,BG,43.3 ,41.0 b,38.0 ,33.0 ,33.2 ,33.6 ,31.7 ,32.2 
T,TOTAL,PC,CH,18.2 ,17.7 ,18.2 ,17.5 ,18.9 ,18.4 ,17.7 ,: 
T,TOTAL,PC,CY,22.8 ,22.6 ,21.4 ,19.1 ,18.6 ,17.6 ,17.3 ,: 
T,TOTAL,PC,CZ,13.0 ,12.4 ,12.1 ,11.8 ,12.1 ,11.5 ,10.7 ,: 
T,TOTAL,PC,DE,20.0 ,19.8 ,18.8 ,18.5 ,17.3 ,20.4 b,21.0 ,: 
T,TOTAL,PC,DK,18.6 ,17.5 ,17.8 ,17.5 ,17.3 ,16.8 b,17.3 ,: 
T,TOTAL,PC,EA19,23.0 ,22.8 ,21.7 ,21.4 ,20.8 ,21.6 b,21.9 ,: 
T,TOTAL,PC,EE,23.6 ,23.1 ,23.3 ,23.6 ,23.7 ,22.8 ,22.2 ,: 
T,TOTAL,PC,EL,32.4 ,32.6 ,32.2 ,30.3 ,29.0 ,27.4 ,28.3 ,: 
T,TOTAL,PC,ES,28.7 ,28.8 ,27.5 ,27.3 ,26.2 ,27.0 ,27.8 ,: 
T,TOTAL,PC,EU,23.9 ,23.4 ,22.3 ,21.8 ,21.1 ,: ,: ,: 
T,TOTAL,PC,EU27_2007,: ,: ,: ,: ,21.3 e,: ,: ,: 
T,TOTAL,PC,EU27_2020,24.0 ,23.7 ,22.4 ,21.7 ,21.1 ,21.6 b,21.7 ,: 
T,TOTAL,PC,EU28,23.9 ,23.4 ,22.3 ,21.8 ,21.1 ,: ,: ,: 
T,TOTAL,PC,FI,16.9 ,16.5 ,16.0 ,16.6 ,15.4 ,15.9 ,14.2 ,: 
T,TOTAL,PC,FR,18.4 ,18.7 ,17.8 ,17.9 ,18.8 ,19.3 b,19.2 ,: 
T,TOTAL,PC,HR,24.4 ,23.5 ,23.7 ,22.1 ,20.8 ,20.5 ,20.9 ,: 
T,TOTAL,PC,HU,30.6 ,28.6 ,25.9 ,20.6 ,20.0 ,19.4 ,19.4 ,: 
T,TOTAL,PC,IE,25.4 ,23.8 ,22.4 ,20.8 ,20.4 ,20.1 b,20.0 ,: 
T,TOTAL,PC,IS,12.6 ,11.8 ,12.6 ,11.3 ,: ,: ,: ,: 
T,TOTAL,PC,IT,28.4 ,27.8 ,25.9 ,25.7 ,24.6 ,24.9 ,25.2 ,: 
T,TOTAL,PC,LT,29.4 ,30.0 ,29.8 ,28.5 ,25.5 ,24.5 ,23.4 ,: 
T,TOTAL,PC,LU,18.4 ,19.1 b,19.3 ,20.1 ,20.1 ,19.9 b,21.1 b,: 
T,TOTAL,PC,LV,30.0 ,28.2 ,28.5 ,28.4 ,26.7 ,25.1 ,26.1 ,: 
T,TOTAL,PC,ME,43.8 ,43.1 ,42.2 ,41.2 ,36.5 ,37.8 ,: ,: 
T,TOTAL,PC,MK,41.2 ,39.2 ,36.9 ,35.3 ,34.1 ,32.6 ,: ,: 
T,TOTAL,PC,MT,22.2 ,20.2 ,19.4 ,19.2 ,20.7 ,19.9 ,20.3 ,: 
T,TOTAL,PC,NL,16.4 ,16.3 b,16.6 ,16.5 ,16.5 ,16.0 ,16.6 ,16.5 
T,TOTAL,PC,NO,14.7 ,14.4 ,15.4 ,15.8 ,15.6 ,16.3 ,: ,: 
T,TOTAL,PC,PL,22.5 ,20.6 ,18.7 ,18.2 ,17.9 ,17.0 ,16.8 p,: 
T,TOTAL,PC,PT,26.4 ,24.9 ,23.4 ,21.6 ,21.1 ,20.0 ,22.4 ,: 
T,TOTAL,PC,RO,44.5 ,46.0 ,42.5 ,38.7 ,36.1 ,35.6 ,34.5 ,: 
T,TOTAL,PC,RS,41.0 ,30.0 ,39.3 ,33.9 ,31.1 ,29.8 ,28.4 ,: 
T,TOTAL,PC,SE,18.2 ,17.7 ,17.2 ,17.7 ,18.4 ,17.7 ,17.2 ,: 
T,TOTAL,PC,SI,17.7 ,16.9 ,16.6 ,15.4 ,13.7 ,14.3 ,13.2 ,: 
T,TOTAL,PC,SK,17.3 ,17.1 ,15.8 ,15.2 ,14.8 ,13.8 ,15.6 ,: 
T,TOTAL,PC,TR,26.7 ,26.6 ,32.3 ,32.4 ,33.1 ,34.1 ,: ,: 
T,TOTAL,PC,UK,23.1 ,21.9 ,21.8 b,22.8 ,: ,: ,: ,: 
T,TOTAL,THS_PER,AL,: ,: ,1682 ,1548 ,1452 ,1314 ,: ,: 
T,TOTAL,THS_PER,AT,1434 ,1481 ,1478 ,1457 ,1434 ,1460 ,1519 ,: 
T,TOTAL,THS_PER,BE,2397 ,2474 ,2457 ,2310 ,2260 b,2307 ,2142 ,2144 
T,TOTAL,THS_PER,BG,3124 ,2938 b,2705 ,2331 ,2324 ,2340 ,2193 ,2206 
T,TOTAL,THS_PER,CH,1474 ,1453 ,1508 ,1464 ,1593 ,1556 ,1506 ,: 
T,TOTAL,THS_PER,CY,192 ,191 ,182 ,164 ,162 ,156 ,154 ,: 
T,TOTAL,THS_PER,CZ,1342 ,1279 ,1252 ,1225 ,1264 ,1205 ,1123 ,: 
T,TOTAL,THS_PER,DE,16080 ,16137 ,15356 ,15107 ,14121 ,16735 b,17255 ,: 
T,TOTAL,THS_PER,DK,1045 ,992 ,1013 ,1000 ,994 ,970 b,1000 ,: 
T,TOTAL,THS_PER,EA19,76356 ,76035 ,72641 ,71550 ,69370 ,72569 b,73726 ,: 
T,TOTAL,THS_PER,EE,307 ,301 ,303 ,308 ,311 ,300 ,293 ,: 
T,TOTAL,THS_PER,EL,3470 ,3469 ,3429 ,3191 ,3059 ,2880 ,2971 ,: 
T,TOTAL,THS_PER,ES,13188 ,13244 ,12641 ,12585 ,12169 ,12658 ,13040 ,: 
T,TOTAL,THS_PER,EU,119632 ,117794 ,112399 ,109997 ,92201 ,: ,: ,: 
T,TOTAL,THS_PER,EU27_2007,: ,: ,: ,: ,106329 e,: ,: ,: 
T,TOTAL,THS_PER,EU27_2020,104946 ,103556 ,98142 ,95066 ,92201 ,94771 b,95387 ,: 
T,TOTAL,THS_PER,EU28,119632 ,117794 ,112399 ,109997 ,92201 ,: ,: ,: 
T,TOTAL,THS_PER,FI,910 ,892 ,868 ,900 ,838 ,863 ,773 ,: 
T,TOTAL,THS_PER,FR,11497 ,11740 ,11218 ,11372 ,11716 ,12193 b,12228 ,: 
T,TOTAL,THS_PER,HR,1022 ,974 ,976 ,899 ,841 ,806 ,817 ,: 
T,TOTAL,THS_PER,HU,2970 ,2761 ,2499 ,1982 ,1923 ,1854 ,1865 ,: 
T,TOTAL,THS_PER,IE,1194 ,1129 ,1078 ,1009 ,1005 ,1002 b,1005 ,: 
T,TOTAL,THS_PER,IS,40 ,38 ,43 ,39 ,: ,: ,: ,: 
T,TOTAL,THS_PER,IT,17291 ,16832 ,15652 ,15463 ,14803 ,14821 ,14834 ,: 
T,TOTAL,THS_PER,LT,859 ,865 ,849 ,801 ,712 ,685 ,658 ,: 
T,TOTAL,THS_PER,LU,95 ,110 b,113 ,116 ,119 ,119 b,126 b,: 
T,TOTAL,THS_PER,LV,588 ,547 ,548 ,543 ,506 ,473 ,488 ,: 
T,TOTAL,THS_PER,ME,273 ,269 ,262 ,257 ,227 ,234 ,: ,: 
T,TOTAL,THS_PER,MK,853 ,813 ,766 ,732 ,709 ,676 ,: ,: 
T,TOTAL,THS_PER,MT,96 ,89 ,88 ,90 ,100 ,101 ,103 ,: 
T,TOTAL,THS_PER,NL,2752 ,2720 b,2799 ,2789 ,2809 ,2739 ,2862 ,2863 
T,TOTAL,THS_PER,NO,757 ,747 ,809 ,837 ,833 ,877 ,: ,: 
T,TOTAL,THS_PER,PL,8405 ,7714 ,6971 ,6710 ,6575 ,6307 ,6292 p,: 
T,TOTAL,THS_PER,PT,2743 ,2577 ,2415 ,2222 ,2173 ,2056 ,2312 ,: 
T,TOTAL,THS_PER,RO,8842 ,9119 ,8370 ,7579 ,7032 ,6897 ,6586 ,: 
T,TOTAL,THS_PER,RS,2907 ,2107 ,2752 ,2361 ,2152 ,2047 ,1939 ,: 
T,TOTAL,THS_PER,SE,1771 ,1744 ,1716 ,1791 ,1879 ,1832 ,1790 ,: 
T,TOTAL,THS_PER,SI,355 ,340 ,335 ,311 ,279 ,295 ,275 ,: 
T,TOTAL,THS_PER,SK,907 ,898 ,830 ,813 ,795 ,744 ,842 ,: 
T,TOTAL,THS_PER,TR,20399 ,20544 ,25477 ,25828 ,26735 ,27951 ,: ,: 
T,TOTAL,THS_PER,UK,14756 ,14168 ,14183 b,14951 ,: ,: ,: ,: 
T,Y_LT18,PC,AL,: ,: ,62.0 ,57.7 ,53.7 ,51.0 ,: ,: 
T,Y_LT18,PC,AT,22.2 ,20.5 ,22.7 ,21.6 ,20.1 ,21.9 ,22.8 ,: 
T,Y_LT18,PC,BE,24.1 ,23.5 ,24.2 ,23.5 ,23.0 b,22.0 ,20.5 ,19.6 
T,Y_LT18,PC,BG,47.5 ,47.3 b,42.4 ,33.5 ,35.8 ,36.2 ,33.0 ,33.9 
T,Y_LT18,PC,CH,20.6 ,20.7 ,21.7 ,21.9 ,21.9 ,22.8 ,19.5 ,: 
T,Y_LT18,PC,CY,22.9 ,23.2 ,21.7 ,20.5 ,20.3 ,19.0 ,19.2 ,: 
T,Y_LT18,PC,CZ,17.8 ,16.4 ,14.3 ,13.0 ,13.0 ,12.9 ,13.3 ,: 
T,Y_LT18,PC,DE,19.3 ,20.6 ,18.6 ,17.5 ,15.4 ,22.3 b,23.7 ,: 
T,Y_LT18,PC,DK,16.2 ,14.0 ,15.1 ,15.4 ,13.8 ,13.4 b,14.0 ,: 
T,Y_LT18,PC,EA19,25.9 ,25.9 ,24.6 ,23.8 ,22.7 ,24.5 b,24.9 ,: 
T,Y_LT18,PC,EE,22.2 ,19.7 ,18.8 ,17.0 ,19.7 ,17.4 ,17.4 ,: 
T,Y_LT18,PC,EL,37.7 ,37.2 ,36.5 ,34.1 ,31.2 ,30.8 ,32.0 ,: 
T,Y_LT18,PC,ES,34.0 ,33.7 ,31.9 ,30.5 ,31.0 ,31.8 ,33.4 ,: 
T,Y_LT18,PC,EU,27.9 ,27.3 ,25.6 ,24.7 ,22.8 ,: ,: ,: 
T,Y_LT18,PC,EU27_2007,: ,: ,: ,: ,23.7 e,: ,: ,: 
T,Y_LT18,PC,EU27_2020,27.4 ,27.1 ,25.1 ,23.9 ,22.8 ,24.0 b,24.4 ,: 
T,Y_LT18,PC,EU28,27.9 ,27.3 ,25.6 ,24.7 ,22.8 ,: ,: ,: 
T,Y_LT18,PC,FI,14.5 ,14.1 ,15.0 ,15.9 ,13.8 ,14.5 ,13.2 ,: 
T,Y_LT18,PC,FR,22.4 ,23.8 ,23.5 ,24.0 ,24.1 ,23.9 b,22.7 ,: 
T,Y_LT18,PC,HR,25.2 ,24.4 ,24.5 ,22.2 ,19.1 ,18.4 ,18.6 ,: 
T,Y_LT18,PC,HU,40.3 ,38.6 ,33.5 ,26.4 ,24.1 ,21.7 ,23.3 ,: 
T,Y_LT18,PC,IE,29.2 ,26.8 ,26.0 ,24.7 ,23.9 ,23.5 b,22.8 ,: 
T,Y_LT18,PC,IS,14.8 ,13.6 ,14.2 ,13.0 ,: ,: ,: ,: 
T,Y_LT18,PC,IT,34.1 ,32.7 ,30.8 ,29.6 ,27.1 ,28.9 ,29.7 ,: 
T,Y_LT18,PC,LT,34.8 ,33.2 ,31.3 ,28.8 ,25.8 ,23.1 ,21.6 ,: 
T,Y_LT18,PC,LU,23.3 ,22.2 b,21.5 ,23.4 ,25.4 ,24.2 b,29.4 b,: 
T,Y_LT18,PC,LV,30.7 ,25.9 ,25.0 ,23.6 ,18.7 ,19.7 ,20.1 ,: 
T,Y_LT18,PC,ME,51.0 ,48.9 ,49.0 ,48.5 ,43.5 ,45.8 ,: ,: 
T,Y_LT18,PC,MK,47.0 ,45.2 ,44.1 ,42.2 ,38.4 ,39.7 ,: ,: 
T,Y_LT18,PC,MT,27.8 ,23.7 ,23.6 ,23.3 ,23.7 ,22.6 ,23.2 ,: 
T,Y_LT18,PC,NL,17.1 ,17.2 b,16.4 ,15.1 ,15.4 ,15.8 ,14.9 ,13.9 
T,Y_LT18,PC,NO,13.6 ,14.2 ,16.4 ,15.5 ,16.0 ,16.6 ,: ,: 
T,Y_LT18,PC,PL,26.8 ,23.5 ,17.8 ,16.9 ,16.2 ,16.1 ,16.5 p,: 
T,Y_LT18,PC,PT,31.2 ,27.5 ,24.6 ,22.4 ,21.9 ,21.9 ,22.9 ,: 
T,Y_LT18,PC,RO,53.4 ,56.0 ,48.7 ,44.2 ,39.1 ,40.7 ,41.7 ,: 
T,Y_LT18,PC,RS,42.4 ,34.5 ,41.0 ,35.9 ,34.5 ,30.6 ,27.5 ,: 
T,Y_LT18,PC,SE,19.7 ,19.7 ,19.4 ,20.5 ,23.0 ,20.2 ,19.7 ,: 
