unit,age,sex,citizen,geo\time,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
PC,Y_GE18,T,EU27_2020_FOR,AL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: ,: 
PC,Y_GE18,T,EU27_2020_FOR,AT,: ,: ,: ,: ,: ,: ,32.3 ,31.0 ,27.3 ,35.8 ,32.0 ,32.1 ,32.9 ,35.0 ,24.9 ,25.0 ,27.4 ,24.3 ,21.1 ,: 
PC,Y_GE18,T,EU27_2020_FOR,BE,: ,: ,: ,: ,: ,: ,17.9 ,21.8 ,24.2 ,23.2 ,22.9 ,25.1 ,22.3 ,20.3 ,21.3 ,22.8 ,19.5 b,22.0 ,19.3 ,20.6 
PC,Y_GE18,T,EU27_2020_FOR,BG,: ,: ,: ,: ,: ,: ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,42.4 u,: u
PC,Y_GE18,T,EU27_2020_FOR,CH,: ,: ,: ,: ,: ,: ,14.1 ,13.5 ,13.3 ,14.5 ,12.8 ,15.3 ,16.7 ,15.9 ,15.7 ,14.5 ,16.2 ,15.1 ,14.5 ,: 
PC,Y_GE18,T,EU27_2020_FOR,CY,: ,: ,: ,: ,: ,: ,22.0 ,20.7 ,21.8 ,26.6 ,28.3 ,26.1 ,30.7 ,27.6 ,24.7 ,21.4 ,22.3 ,26.2 ,22.6 ,: 
PC,Y_GE18,T,EU27_2020_FOR,CZ,: ,: ,: ,: ,: ,: ,4.1 ,12.5 ,15.5 ,10.6 ,10.8 ,17.1 ,12.8 ,14.5 ,6.5 ,4.4 ,5.7 ,6.0 ,11.9 ,: 
PC,Y_GE18,T,EU27_2020_FOR,DE,: ,: ,: ,: ,: ,: ,18.4 ,22.3 ,14.7 ,13.0 ,18.3 ,18.2 ,18.0 ,19.2 ,15.4 ,15.4 ,11.2 ,20.5 b,19.6 ,: 
PC,Y_GE18,T,EU27_2020_FOR,DK,: ,: ,: ,: ,: ,: ,27.2 ,28.1 ,24.1 ,24.0 ,10.2 ,22.7 ,25.6 ,16.8 ,25.5 ,25.6 ,22.0 ,19.5 b,19.9 ,: 
PC,Y_GE18,T,EU27_2020_FOR,EA19,: ,: ,: ,: ,: ,: ,22.5 e,26.0 e,24.7 e,24.8 e,25.6 e,26.8 e,24.6 e,26.5 e,23.0 e,24.8 e,22.4 e,23.5 ,22.5 ,: 
PC,Y_GE18,T,EU27_2020_FOR,EE,: ,: ,: ,: ,: ,: ,10.2 u,8.7 u,19.2 u,14.3 u,13.3 u,18.4 u,15.8 u,27.8 u,32.1 u,23.7 u,21.5 ,29.6 ,28.4 u,: 
PC,Y_GE18,T,EU27_2020_FOR,EL,: ,: ,: ,: ,: ,: ,31.0 ,35.6 ,13.3 ,30.3 ,28.5 ,26.2 ,30.4 ,31.6 ,32.5 ,28.3 ,22.6 ,20.0 ,22.1 ,: 
PC,Y_GE18,T,EU27_2020_FOR,ES,: ,: ,: ,: ,: ,: ,34.9 ,37.8 ,29.8 ,38.4 ,36.1 ,38.2 ,31.6 ,40.0 ,36.9 ,45.8 ,41.1 ,37.3 ,34.2 ,: 
PC,Y_GE18,T,EU27_2020_FOR,EU,: ,: ,: ,: ,: ,: ,21.6 u,22.4 u,23.0 u,22.2 u,22.6 u,24.5 u,22.9 u,22.1 u,22.7 u,22.6 u,21.0 e,: ,: ,: 
PC,Y_GE18,T,EU27_2020_FOR,EU27_2007,: ,: ,: ,: ,: ,: ,21.6 u,22.4 u,23.0 u,22.2 u,22.6 u,24.5 u,22.9 u,22.1 u,22.7 u,22.6 u,21.0 e,: ,: ,: 
PC,Y_GE18,T,EU27_2020_FOR,EU27_2020,: ,: ,: ,: ,: ,: ,: ,25.9 u,24.6 u,24.7 u,25.4 u,26.6 u,24.5 u,26.1 u,23.0 u,24.5 u,22.4 u,23.2 u,22.2 ,: 
PC,Y_GE18,T,EU27_2020_FOR,EU28,: ,: ,: ,: ,: ,: ,: ,22.4 u,23.0 u,22.2 u,22.6 u,24.5 u,22.9 u,22.1 u,22.7 u,22.6 u,21.0 e,: ,: ,: 
PC,Y_GE18,T,EU27_2020_FOR,FI,: ,: ,: ,: ,: ,: ,18.4 ,19.0 ,22.8 ,17.6 ,22.7 ,17.7 ,19.9 ,16.5 ,7.3 ,10.5 ,11.3 ,14.0 ,11.5 ,: 
PC,Y_GE18,T,EU27_2020_FOR,FR,: ,: ,: ,: ,: ,: ,16.7 ,16.3 ,14.5 ,18.0 ,17.8 ,24.4 ,20.3 ,23.5 ,18.4 ,17.2 ,23.4 ,20.9 b,21.0 ,: 
PC,Y_GE18,T,EU27_2020_FOR,HR,: ,: ,: ,: ,: ,: ,: ,: u,: u,: u,: u,: u,11.9 u,7.0 u,19.1 u,11.6 u,17.6 u,10.5 u,7.1 u,: 
