age,sex,unit,geo\time,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
TOTAL,T,PC,AL,: ,: ,51.4 ,46.7 ,42.5 ,38.9 ,: ,: 
TOTAL,T,PC,AT,2.9 ,3.3 ,3.4 ,2.8 ,2.7 ,3.0 ,1.8 ,: 
TOTAL,T,PC,BE,7.2 ,8.4 ,7.2 ,6.5 ,6.3 ,6.7 ,6.3 ,5.8 
TOTAL,T,PC,BG,36.8 ,33.5 ,30.0 ,22.3 ,22.1 ,22.1 ,19.1 ,18.7 
TOTAL,T,PC,CH,2.0 ,2.0 ,1.9 ,2.1 ,2.9 ,1.6 ,1.8 ,: 
TOTAL,T,PC,CY,7.9 ,6.6 ,6.1 ,3.8 ,3.2 ,3.2 ,2.6 ,: 
TOTAL,T,PC,CZ,4.5 ,3.5 ,3.4 ,2.4 ,2.1 ,1.9 ,1.8 ,: 
TOTAL,T,PC,DE,5.7 ,4.7 ,3.7 ,3.4 ,3.0 ,4.4 b,4.3 ,: 
TOTAL,T,PC,DK,3.2 ,2.6 ,3.6 ,3.5 ,3.8 ,3.5 ,3.1 ,: 
TOTAL,T,PC,EA19,7.9 ,7.4 ,6.3 ,6.1 ,5.8 ,6.1 ,5.7 ,: 
TOTAL,T,PC,EE,3.5 ,2.2 ,4.0 ,3.1 ,2.6 ,2.3 ,1.9 ,: 
TOTAL,T,PC,EL,17.6 ,18.4 ,18.3 ,16.1 ,15.8 ,14.9 ,13.9 ,: 
TOTAL,T,PC,ES,7.4 ,8.5 ,8.3 ,8.7 ,7.7 ,8.5 ,8.3 ,: 
TOTAL,T,PC,EU,9.3 ,8.7 ,7.5 ,6.8 ,6.7 ,: ,: ,: 
TOTAL,T,PC,EU27_2007,: ,: ,: ,: ,6.4 e,: ,: ,: 
TOTAL,T,PC,EU27_2020,9.7 ,9.0 ,7.8 ,7.1 ,6.7 ,6.8 ,6.3 ,: 
TOTAL,T,PC,EU28,9.3 ,8.7 ,7.5 ,6.8 ,6.7 ,: ,: ,: 
TOTAL,T,PC,FI,1.0 ,1.2 ,1.8 ,2.2 ,1.9 ,1.8 ,1.1 ,: 
TOTAL,T,PC,FR,6.8 ,6.7 ,6.3 ,6.7 ,7.3 ,7.0 b,5.9 ,: 
TOTAL,T,PC,HR,8.4 ,7.3 ,7.1 ,6.1 ,4.6 ,4.4 ,3.5 ,: 
TOTAL,T,PC,HU,24.1 ,20.6 ,16.1 ,11.9 ,10.9 ,10.7 ,10.2 ,: 
TOTAL,T,PC,IE,9.4 ,8.0 ,6.9 ,6.1 ,7.1 ,5.7 b,5.1 ,: 
TOTAL,T,PC,IS,1.4 ,1.0 ,0.6 ,0.7 ,: ,: ,: ,: 
TOTAL,T,PC,IT,12.1 ,10.1 ,6.6 ,6.5 ,6.4 ,6.2 ,5.9 ,: 
TOTAL,T,PC,LT,14.6 ,15.4 ,14.4 ,12.0 ,9.7 ,8.1 ,6.4 ,: 
TOTAL,T,PC,LU,2.5 ,2.0 ,1.9 ,1.6 ,1.4 ,1.7 b,2.4 b,: 
TOTAL,T,PC,LV,15.4 ,12.6 ,12.9 ,10.4 ,7.5 ,7.0 ,5.3 ,: 
TOTAL,T,PC,ME,32.3 ,29.7 ,28.7 ,27.7 ,21.0 ,23.0 ,: ,: 
TOTAL,T,PC,MK,29.1 ,27.5 ,24.6 ,22.6 ,22.1 ,17.8 ,: ,: 
TOTAL,T,PC,MT,8.2 ,5.2 ,4.3 ,4.7 ,5.0 ,5.1 ,5.4 ,: 
TOTAL,T,PC,NL,3.2 ,2.6 ,2.6 ,2.6 ,2.8 ,2.2 ,2.1 ,2.5 
TOTAL,T,PC,NO,1.7 ,: ,2.0 ,1.7 ,2.0 ,2.4 ,: ,: 
TOTAL,T,PC,PL,7.8 ,5.4 ,5.3 ,4.5 ,3.5 ,2.6 ,2.9 p,: 
TOTAL,T,PC,PT,10.9 ,9.1 ,8.0 ,6.6 ,5.6 ,5.4 ,6.0 ,: 
TOTAL,T,PC,RO,34.0 ,35.9 ,32.4 ,28.3 ,24.5 ,25.3 ,23.1 ,: 
TOTAL,T,PC,RS,25.1 ,: ,22.8 ,17.4 ,14.3 ,14.1 ,13.3 ,: 
TOTAL,T,PC,SE,1.1 ,0.7 ,1.0 ,1.4 ,1.5 ,2.0 ,1.4 ,: 
