sex,incgrp,age,unit,geo\time,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
T,A_MD60,TOTAL,PC,AL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,2.4 ,1.1 ,1.2 ,1.0 ,: ,: 
T,A_MD60,TOTAL,PC,AT,: ,2.9 u,1.3 ,1.6 ,1.9 ,3.1 bu,2.6 u,2.8 u,3.1 u,1.9 ,1.8 ,1.6 ,1.8 ,2.0 ,1.5 ,1.9 ,1.9 ,1.4 ,1.8 ,: 
T,A_MD60,TOTAL,PC,BE,: ,6.6 ,4.8 ,4.4 ,5.0 ,7.1 ,3.9 ,4.0 ,4.8 ,5.1 ,4.4 ,4.5 ,4.5 ,4.5 ,4.5 ,3.5 ,4.1 b,3.5 ,3.8 ,4.0 
T,A_MD60,TOTAL,PC,BG,: ,: ,: ,7.7 ,11.3 ,8.0 ,2.3 ,2.2 ,3.9 ,6.0 ,7.9 ,5.2 ,6.4 ,10.4 b,9.4 ,8.7 ,6.6 ,5.9 ,4.3 ,4.7 
T,A_MD60,TOTAL,PC,CH,: ,: ,: ,: ,: ,: ,6.1 ,7.3 ,6.2 ,4.8 ,5.0 ,6.0 b,5.8 ,6.4 ,5.7 ,6.7 ,6.3 ,6.6 ,7.3 ,: 
T,A_MD60,TOTAL,PC,CY,: ,: ,2.9 ,1.4 ,0.7 ,1.0 b,1.1 ,1.6 ,1.8 ,1.6 ,1.8 ,2.2 ,2.1 ,1.3 ,1.4 ,1.2 ,0.9 ,1.0 ,1.4 ,: 
T,A_MD60,TOTAL,PC,CZ,: ,: ,6.8 ,7.8 ,7.3 ,9.3 ,5.8 ,5.7 ,5.9 ,6.2 ,7.9 ,6.9 ,6.3 ,5.7 ,5.1 ,4.2 ,3.4 ,3.1 ,3.2 ,: 
T,A_MD60,TOTAL,PC,DE,: ,: ,: ,: ,: ,: ,: ,9.4 ,10.5 ,9.9 ,10.1 ,8.3 ,8.4 ,9.1 ,7.9 ,7.5 ,8.0 ,3.3 b,5.1 ,: 
T,A_MD60,TOTAL,PC,DK,: ,: ,7.6 ,9.4 ,7.5 ,11.2 ,17.2 ,14.4 ,11.3 b,9.5 ,10.2 ,8.5 ,7.9 ,7.1 ,7.4 ,6.8 ,7.2 ,6.5 b,7.5 ,: 
T,A_MD60,TOTAL,PC,EA19,: ,: ,5.3 e,5.3 e,4.4 e,4.2 e,3.8 e,4.8 ,5.4 ,5.4 ,5.7 ,5.5 ,5.5 ,5.1 ,4.7 ,4.4 ,4.7 ,3.2 ,3.6 e,: 
T,A_MD60,TOTAL,PC,EE,: ,: ,2.6 ,1.8 ,1.9 ,1.3 ,1.8 ,2.2 ,2.8 ,2.6 ,2.2 ,2.0 b,1.6 ,0.9 ,1.1 ,0.6 ,1.2 ,1.1 ,0.7 ,: 
T,A_MD60,TOTAL,PC,EL,: ,13.2 ,12.2 ,13.3 ,3.2 ,11.3 ,10.6 ,5.5 ,9.4 ,15.8 ,19.9 ,31.2 ,32.3 ,26.7 ,26.8 ,27.8 ,24.8 ,22.5 ,17.1 ,: 
T,A_MD60,TOTAL,PC,ES,: ,2.2 ,2.7 ,2.9 ,3.8 ,3.8 b,4.0 ,3.0 ,3.3 ,3.0 ,3.2 ,2.7 ,2.5 ,2.6 ,2.5 ,2.3 ,2.5 ,2.2 ,2.6 ,: 
