indicator,unit,geo\time,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
ind2,CLV10_EUR_AWU,AT,17670 ,16405 ,16312 ,17229 ,17096 ,19155 ,21512 ,20993 ,16313 ,19383 ,22125 ,20818 ,18424 ,17249 ,16337 ,18426 ,20568 ,19411 ,18209 ,18446 ,18643 ,: 
ind2,CLV10_EUR_AWU,BE,32403 ,28715 ,31150 ,32795 ,30034 ,37113 ,40125 ,32442 ,31325 ,40938 ,36988 ,44329 ,36236 ,34482 ,37808 ,33683 ,36272 ,32627 ,38998 ,39283 ,35298 ,: 
ind2,CLV10_EUR_AWU,BG,3777 ,3054 ,2862 ,3094 ,3209 ,3114 ,3120 ,5044 ,3541 ,3956 ,4567 ,5289 ,6377 ,6768 ,6172 ,7751 ,8285 ,8386 ,9595 ,9810 ,13037 ,: 
ind2,CLV10_EUR_AWU,CY,14575 ,14888 ,13667 ,13440 ,13962 ,12605 ,12644 ,13900 ,14446 ,16124 ,16497 ,16942 ,18317 ,17575 ,16391 ,19246 ,19683 ,19811 ,22408 ,23346 ,23497 ,: 
ind2,CLV10_EUR_AWU,CZ,7857 ,6236 ,6417 ,10131 ,10462 ,10988 ,12404 ,13472 ,10996 ,12962 ,17478 ,17334 ,17509 ,20139 ,17885 ,20187 ,19585 ,18763 ,19282 ,21187 ,21272 ,: 
ind2,CLV10_EUR_AWU,DE,22733 ,16589 ,15141 ,22481 ,20002 ,21401 ,26366 ,28330 ,19243 ,28819 ,34048 ,30437 ,35400 ,33706 ,23815 ,25134 ,34008 ,24414 ,33336 ,29415 ,27863 ,: 
ind2,CLV10_EUR_AWU,DK,42480 ,30092 ,29492 ,33263 ,33664 ,37979 ,38289 ,21950 ,22436 ,39554 ,44450 ,60716 ,42198 ,43198 ,27496 ,26532 ,41932 ,32087 ,46243 ,31641 ,19941 ,: 
ind2,CLV10_EUR_AWU,EE,4574 ,4436 ,4969 ,7955 ,8289 ,8220 ,11273 ,8766 ,7498 ,12366 ,15365 ,17710 ,16391 ,15289 ,12415 ,7800 ,13097 ,10138 ,13440 ,14663 ,14665 ,: 
ind2,CLV10_EUR_AWU,EL,15983 ,15622 ,14093 ,13761 ,13387 ,12801 ,13750 ,13757 ,15726 ,16263 ,14486 ,14883 ,13707 ,14631 ,15677 ,13944 ,16023 ,15660 ,17186 ,18813 ,17850 ,: 
ind2,CLV10_EUR_AWU,ES,27918 ,27095 ,30699 ,28277 ,25015 ,23932 ,26867 ,22817 ,22920 ,24314 ,24602 ,24980 ,27446 ,28829 ,30450 ,33028 ,32706 ,32110 ,31186 ,34063 ,32009 ,: 
ind2,CLV10_EUR_AWU,EU27_2020,: ,: ,: ,: ,10876 ,11248 ,12434 ,11939 ,10594 ,13084 ,14592 ,14462 ,15060 ,15196 ,14875 ,14757 ,16933 ,16527 ,17332 ,17151 ,17260 ,: 
ind2,CLV10_EUR_AWU,FI,21077 ,20557 ,19803 ,19715 ,21337 ,21058 ,24283 ,21173 ,23983 ,26399 ,22804 ,23306 ,22758 ,21915 ,17930 ,20172 ,21296 ,21531 ,24145 ,21269 ,16477 ,: 
ind2,CLV10_EUR_AWU,FR,26355 ,26231 ,25811 ,25994 ,24266 ,26918 ,30321 ,26175 ,21588 ,30490 ,31886 ,32096 ,27302 ,31047 ,32673 ,28484 ,33189 ,37427 ,34645 ,32928 ,38305 ,: 
ind2,CLV10_EUR_AWU,HR,: ,: ,: ,: ,4189 ,4875 ,5037 ,5795 ,5529 ,5056 ,4826 ,4132 ,4573 ,3956 ,5345 ,5946 ,5952 ,6330 ,6665 ,7278 ,7184 ,: 
ind2,CLV10_EUR_AWU,HU,3502 ,2782 ,2869 ,4348 ,4383 ,4693 ,5018 ,6577 ,4454 ,5239 ,7823 ,7224 ,7943 ,8439 ,7959 ,8513 ,8642 ,8871 ,9463 ,10119 ,10781 ,: 
ind2,CLV10_EUR_AWU,IE,18147 ,15751 ,14907 ,16028 ,19451 ,15912 ,17721 ,15984 ,12297 ,13925 ,17795 ,16000 ,16603 ,17135 ,16667 ,17196 ,21427 ,18274 ,18156 ,20311 ,23646 ,: 
ind2,CLV10_EUR_AWU,IT,20955 ,20524 ,20368 ,20806 ,18069 ,17304 ,17055 ,17597 ,17255 ,15647 ,18326 ,19546 ,23318 ,21311 ,20681 ,20171 ,20631 ,21756 ,22992 ,21438 ,21068 ,: 
ind2,CLV10_EUR_AWU,LT,2027 ,1876 ,2106 ,3317 ,3576 ,3176 ,4760 ,4404 ,3774 ,4501 ,5666 ,7056 ,6231 ,5660 ,6092 ,5074 ,6319 ,4734 ,6184 ,8546 ,8778 ,: 
ind2,CLV10_EUR_AWU,LU,31166 ,45683 ,28576 ,36182 ,28619 ,27966 ,33193 ,27457 ,16992 ,19727 ,19948 ,20923 ,17932 ,23473 ,19170 ,17849 ,22525 ,24298 ,24063 ,22555 ,22860 ,: 
ind2,CLV10_EUR_AWU,LV,1755 ,1705 ,1844 ,3069 ,3168 ,4081 ,4274 ,3634 ,3547 ,4536 ,4340 ,5220 ,4705 ,5231 ,5927 ,5403 ,6676 ,5932 ,7706 ,8884 ,9000 ,: 
ind2,CLV10_EUR_AWU,MT,17799 ,17635 ,16763 ,16267 ,16884 ,16618 ,16269 ,15107 ,16969 ,15745 ,13831 ,13068 ,12631 ,12431 ,14746 ,10821 ,9915 ,13155 ,12988 ,11043 ,10420 ,: 
ind2,CLV10_EUR_AWU,NL,45833 ,40647 ,43026 ,39508 ,40298 ,48504 ,47385 ,42166 ,36166 ,46339 ,39651 ,42774 ,48030 ,46123 ,47102 ,47452 ,52163 ,43323 ,43876 ,41214 ,40135 ,: 
ind2,CLV10_EUR_AWU,PL,2020 ,1626 ,1676 ,3086 ,2842 ,3128 ,3817 ,3377 ,3671 ,4289 ,5643 ,5262 ,5754 ,4738 ,4801 ,5335 ,6678 ,6301 ,6632 ,6896 ,6589 ,: 
ind2,CLV10_EUR_AWU,PT,8706 ,8026 ,7989 ,9210 ,8262 ,8236 ,7847 ,8678 ,7432 ,8669 ,7458 ,8014 ,9184 ,9290 ,10088 ,10897 ,11357 ,11359 ,12318 ,12308 ,13670 ,: 
ind2,CLV10_EUR_AWU,RO,3001 ,2806 ,3192 ,4615 ,2637 ,2617 ,1985 ,2937 ,2497 ,3206 ,4137 ,3082 ,3641 ,3973 ,3726 ,3847 ,4360 ,4436 ,4489 ,4124 ,3803 ,: 
ind2,CLV10_EUR_AWU,SE,17964 ,20539 ,20038 ,18319 ,19825 ,22531 ,27320 ,24142 ,18801 ,24332 ,25032 ,24859 ,22506 ,24693 ,26069 ,23712 ,27732 ,22588 ,25465 ,24968 ,25559 ,: 
ind2,CLV10_EUR_AWU,SI,2894 ,3969 ,3001 ,4693 ,4788 ,4677 ,5191 ,4534 ,4415 ,5131 ,5849 ,4654 ,4675 ,5295 ,5854 ,5358 ,5006 ,6956 ,6210 ,6663 ,5363 ,: 
ind2,CLV10_EUR_AWU,SK,5208 ,4923 ,4602 ,5966 ,5551 ,6779 ,7156 ,7968 ,6136 ,9352 ,11093 ,12496 ,12182 ,13405 ,13360 ,16220 ,19237 ,18851 ,17689 ,19371 ,20121 ,: 
ind2,I10,AT,91.16 ,84.64 ,84.16 ,88.89 ,88.22 ,98.83 ,111.01 ,108.35 ,84.19 ,100.00 ,113.28 ,105.99 ,93.97 ,87.17 ,82.05 ,93.77 ,103.17 ,96.50 ,90.47 ,90.69 ,96.74 ,114.57 e
ind2,I10,BE,79.16 ,70.15 ,76.09 ,80.11 ,73.37 ,90.66 ,98.02 ,79.25 ,76.52 ,100.00 ,90.35 ,108.29 ,88.52 ,84.23 ,92.36 ,82.28 ,90.24 ,82.15 ,99.24 ,91.21 ,89.12 ,92.13 e
ind2,I10,BG,95.49 ,77.22 ,72.34 ,78.23 ,81.12 ,78.73 ,78.88 ,127.52 ,89.51 ,100.00 ,115.46 ,133.70 ,161.21 ,171.11 ,156.04 ,195.95 ,209.91 ,214.25 ,231.05 ,244.68 ,327.16 ,377.46 e
ind2,I10,CH,92.34 ,100.17 ,90.30 ,104.86 ,96.33 ,94.36 ,101.87 ,104.73 ,102.95 ,100.00 ,106.08 ,104.95 ,110.91 ,121.60 ,112.68 ,123.04 ,121.55 ,124.69 ,129.80 ,140.17 ,130.03 ,125.07 e
ind2,I10,CY,90.37 d,92.31 d,84.74 ,83.33 ,86.57 ,78.16 ,78.39 ,86.17 ,89.57 ,100.00 ,102.27 ,105.04 ,113.57 ,108.99 ,101.60 ,119.33 ,122.01 ,122.83 ,112.96 ,128.40 ,116.09 ,114.09 e
ind2,I10,CZ,60.62 ,48.11 ,49.50 ,78.16 ,80.71 ,84.77 ,95.70 ,103.93 ,84.83 ,100.00 ,134.84 ,133.73 ,135.08 ,155.37 ,137.98 ,155.74 ,151.09 ,144.75 ,148.75 ,163.76 ,183.28 ,169.81 e
ind2,I10,DE,78.88 ,57.56 ,52.54 ,78.01 ,69.41 ,74.26 ,91.49 ,98.30 ,66.77 ,100.00 ,118.14 ,105.61 ,122.84 ,116.96 ,82.64 ,87.21 ,118.00 ,84.69 ,115.56 ,99.19 ,89.25 ,148.88 e
ind2,I10,DK,107.40 ,76.08 ,74.56 ,84.10 ,85.11 ,96.02 ,96.80 ,55.49 ,56.72 ,100.00 ,112.38 ,153.50 ,106.69 ,109.21 ,69.52 ,67.08 ,106.01 ,81.12 ,107.83 ,144.54 ,124.24 ,161.31 e
ind2,I10,EA19,98.50 ,92.58 ,93.50 ,96.95 ,89.14 ,91.39 ,100.17 ,94.34 ,84.94 ,100.00 ,105.18 ,106.09 ,110.51 ,111.51 ,108.94 ,107.85 ,119.72 ,116.82 ,119.43 ,119.60 ,124.98 ,144.00 e
ind2,I10,EA20,: ,: ,: ,: ,: ,: ,: ,: ,: ,100.00 ,105.07 ,105.76 ,: ,111.25 ,: ,: ,: ,: ,: ,: ,: ,: 
ind2,I10,EE,36.99 ,35.87 ,40.19 ,64.33 ,67.03 ,66.48 ,91.18 ,70.89 ,60.63 ,100.00 ,124.28 ,143.24 ,132.58 ,123.65 ,100.40 ,63.08 ,105.91 ,81.36 ,107.83 ,117.96 ,117.98 ,156.64 e
ind2,I10,EL,98.28 ,96.06 ,86.65 ,84.61 ,82.32 ,78.71 ,84.54 ,84.59 ,96.70 ,100.00 ,89.07 ,91.51 ,84.28 ,89.96 ,96.40 ,85.74 ,102.59 ,104.42 ,120.66 ,133.59 ,133.60 ,145.90 e
ind2,I10,ES,114.82 ,111.44 ,126.26 ,116.30 ,102.88 ,98.43 ,110.50 ,93.84 ,94.27 ,100.00 ,101.19 ,102.74 ,112.88 ,118.57 ,125.24 ,135.84 ,131.77 ,126.63 ,120.29 ,125.30 ,123.23 ,117.70 e
ind2,I10,EU,165.91 ,156.81 ,158.98 ,162.60 ,103.97 ,106.87 ,93.78 ,91.40 ,81.91 ,100.00 ,112.33 ,111.13 ,114.40 ,115.33 ,111.89 ,110.82 ,127.79 ,124.10 ,128.67 ,132.20 ,137.42 ,155.15 e
ind2,I10,EU27_2007,86.36 ,80.99 ,84.07 ,92.75 ,82.48 ,85.04 ,93.78 ,91.40 ,81.91 ,100.00 ,112.33 ,111.13 ,115.99 ,117.03 ,113.30 ,112.04 ,129.38 ,125.59 ,130.25 ,133.08 e,: ,: 
ind2,I10,EU27_2020,: ,: ,: ,: ,83.21 ,86.06 ,95.09 ,91.34 ,81.05 ,100.00 ,111.53 ,110.53 ,115.19 ,116.24 ,113.71 ,112.79 ,129.43 ,126.31 ,130.84 ,138.77 ,144.25 ,162.85 e
ind2,I10,EU28,: ,: ,: ,: ,82.54 ,85.18 ,93.90 ,91.63 ,82.15 ,100.00 ,112.15 ,110.83 ,115.79 ,116.72 ,113.25 ,112.17 ,129.34 ,125.61 ,130.23 ,: ,: ,: 
ind2,I10,FI,79.84 ,77.87 ,75.01 ,74.68 ,80.83 ,79.77 ,91.99 ,80.20 ,90.85 ,100.00 ,87.64 ,89.23 ,86.21 ,84.99 ,68.42 ,71.60 ,72.75 ,74.83 ,80.67 ,86.82 ,69.79 ,77.77 e
ind2,I10,FR,86.44 ,86.03 ,84.66 ,85.25 ,79.59 ,88.28 ,99.45 ,85.85 ,70.80 ,100.00 ,104.58 ,105.27 ,89.54 ,101.83 ,107.16 ,93.42 ,108.85 ,122.75 ,113.35 ,110.95 ,128.47 ,160.08 e
ind2,I10,HR,: ,: ,: ,: ,82.84 ,96.41 ,99.60 ,114.59 ,109.30 ,100.00 ,95.44 ,81.72 ,90.47 ,78.27 ,105.75 ,117.61 ,117.75 ,125.20 ,131.73 ,142.61 ,177.79 ,169.03 e
ind2,I10,HU,66.84 ,53.10 ,54.75 ,82.98 ,83.65 ,89.57 ,95.78 ,125.52 ,85.01 ,100.00 ,149.32 ,137.88 ,151.60 ,161.07 ,151.91 ,162.48 ,164.95 ,169.29 ,180.58 ,193.89 ,202.73 ,193.64 e
ind2,I10,IE,130.39 ,113.18 ,107.11 ,115.18 ,139.77 ,114.35 ,127.36 ,114.88 ,88.38 ,100.00 ,127.50 ,114.64 ,118.83 ,122.51 ,118.40 ,122.13 ,155.01 ,131.41 ,133.46 ,150.90 ,173.85 ,197.95 e
