indicator,nabs07,unit,geo\time,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind2,NABS08,EUR_HAB,AT,4.20 d,3.70 d,3.90 d,4.50 d,4.80 d,4.50 d,4.70 d,4.90 d,4.60 d,5.30 d,4.00 d,3.80 d,3.70 ,4.50 d,4.40 d,4.10 d,4.40 d,5.70 d
ind2,NABS08,EUR_HAB,BE,3.10 ,2.30 ,2.40 ,2.80 ,2.80 ,3.00 ,3.00 ,3.40 ,3.60 ,3.10 ,3.50 ,3.30 ,3.30 ,3.20 ,5.60 ,5.00 ,5.10 ,6.80 
ind2,NABS08,EUR_HAB,BG,: ,: ,: ,1.70 ,3.30 ,3.10 ,1.90 ,2.00 ,2.30 ,2.80 ,2.40 ,2.40 ,2.20 ,3.00 ,3.00 ,3.50 ,3.70 ,4.20 
ind2,NABS08,EUR_HAB,CH,6.50 ,: ,6.60 ,: ,6.30 ,: ,7.60 ,: ,9.40 ,: ,13.00 ,15.30 ,: ,14.80 b,15.50 ,16.60 ,17.50 ,22.90 
ind2,NABS08,EUR_HAB,CY,14.70 ,14.10 ,13.30 ,14.60 ,12.20 ,12.50 ,11.80 ,11.50 ,10.50 ,8.10 ,7.00 ,7.00 ,6.50 ,6.70 ,6.90 ,7.10 ,8.00 ,8.60 
ind2,NABS08,EUR_HAB,CZ,2.40 ,2.80 ,3.30 ,3.60 ,4.20 ,4.30 ,4.30 ,4.50 ,3.90 ,3.70 ,3.90 ,4.00 ,3.90 ,4.40 ,4.60 ,5.60 ,5.50 ,5.90 
ind2,NABS08,EUR_HAB,DE,4.00 d,3.80 d,4.80 d,5.90 d,6.80 d,8.10 d,9.40 d,9.30 d,8.60 d,8.90 d,9.00 d,10.00 d,10.00 ,10.70 ,11.10 ,11.10 ,12.40 ,13.50 
ind2,NABS08,EUR_HAB,DK,14.70 ,15.30 ,17.30 ,16.80 ,13.70 ,13.50 ,13.10 ,14.50 ,12.30 ,16.40 ,12.30 ,16.50 ,16.90 ,13.40 e,15.10 e,17.50 e,15.50 ,23.80 
ind2,NABS08,EUR_HAB,EA19,5.80 e,6.10 e,6.50 e,7.40 e,7.90 e,7.40 e,7.60 e,7.70 e,6.50 e,6.60 e,6.70 e,6.80 e,6.90 e,7.20 e,7.40 e,7.50 e,8.10 e,8.60 e
ind2,NABS08,EUR_HAB,EA20,5.70 e,6.10 e,6.40 e,7.40 e,7.80 e,7.40 e,7.50 e,7.60 e,6.40 e,6.50 e,6.60 e,6.70 e,6.90 e,7.10 e,7.40 e,7.40 e,8.00 e,8.50 e
ind2,NABS08,EUR_HAB,EE,3.90 e,4.50 e,5.10 e,5.50 e,5.50 e,5.50 e,6.10 e,9.20 e,12.10 e,11.00 e,7.00 e,6.50 ,4.90 ,6.70 ,4.10 ,5.20 ,7.50 ,7.60 
ind2,NABS08,EUR_HAB,EL,2.60 ,3.10 ,3.70 ,3.90 ,3.40 b,2.80 ,2.60 ,2.80 ,2.50 ,2.60 ,2.70 ,2.80 ,3.10 ,1.70 ,3.00 ,5.30 ,4.10 ,4.80 
ind2,NABS08,EUR_HAB,ES,8.30 ,10.50 ,13.30 ,15.90 ,15.70 ,14.40 ,12.60 ,11.80 ,8.30 ,8.00 ,7.90 ,8.70 ,8.60 ,8.60 ,9.30 ,9.60 ,10.00 ,10.50 
ind2,NABS08,EUR_HAB,EU27_2020,4.90 e,5.20 e,5.50 e,6.30 e,6.70 e,6.30 e,6.50 e,6.50 e,5.60 e,5.80 e,5.70 e,5.90 e,6.00 e,6.20 e,6.40 e,6.60 e,7.20 e,7.50 e
ind2,NABS08,EUR_HAB,FI,17.60 ,18.20 ,18.60 ,19.20 ,18.60 ,18.90 ,18.60 ,18.00 ,18.40 ,17.80 ,17.20 ,17.70 ,13.90 ,13.20 ,10.30 ,10.30 ,10.90 ,12.60 
ind2,NABS08,EUR_HAB,FR,5.50 d,5.80 d,3.50 d,3.70 d,4.20 d,4.50 d,4.80 d,5.70 d,4.40 d,4.70 d,5.30 d,5.90 d,6.00 e,6.90 e,5.90 e,5.40 e,5.50 e,5.20 
ind2,NABS08,EUR_HAB,HR,: ,: ,: ,: ,0.70 ,0.50 ,0.60 ,0.80 ,0.50 ,0.20 ,1.50 ,1.10 ,2.00 ,2.60 ,1.90 ,2.80 ,2.70 ,1.40 
ind2,NABS08,EUR_HAB,HU,: ,5.40 ,4.70 ,3.60 e,4.20 ,3.70 ,1.90 ,0.90 ,1.90 ,5.50 d,1.60 ,1.70 ,3.30 ,3.60 ,3.70 ,4.00 ,5.30 ,4.30 
ind2,NABS08,EUR_HAB,IE,17.80 ,22.00 ,19.20 ,23.30 ,23.30 ,20.40 ,18.70 ,20.40 ,19.90 ,19.50 ,19.40 ,19.50 ,20.20 ,20.60 ,22.70 ,19.70 ,18.70 ,19.20 
ind2,NABS08,EUR_HAB,IS,61.40 ,75.30 ,73.30 ,76.00 ,62.10 ,48.10 ,50.80 ,65.00 ,70.00 ,56.80 ,10.40 u,13.30 u,16.80 u,51.80 u,27.10 u,17.50 u,: ,22.70 
ind2,NABS08,EUR_HAB,IT,: ,5.60 ,6.30 ,7.40 ,7.50 ,5.70 ,5.60 ,5.20 ,4.50 ,4.80 ,4.40 ,4.00 ,4.50 ,4.30 ,4.90 ,5.10 ,5.00 ,5.10 
ind2,NABS08,EUR_HAB,LT,3.70 ,3.90 ,2.00 ,2.10 b,2.70 ,2.20 ,1.70 ,2.00 ,2.00 ,2.20 ,2.40 ,2.60 ,2.70 ,2.90 ,3.10 ,3.20 ,3.60 ,3.30 
ind2,NABS08,EUR_HAB,LU,0.10 ,0.00 ,0.10 ,0.10 ,0.10 ,0.10 ,1.20 ,1.20 ,0.90 ,0.50 ,0.50 ,0.30 ,0.20 ,0.40 ,0.20 ,0.30 ,1.10 ,0.90 
ind2,NABS08,EUR_HAB,LV,: ,0.80 ,3.90 ,4.30 ,5.60 ,2.80 ,2.10 ,1.30 ,2.40 ,2.60 ,3.40 ,4.40 ,5.60 ,3.10 ,3.70 ,6.10 ,5.70 ,5.80 
ind2,NABS08,EUR_HAB,MT,0.40 ,1.20 ,0.70 ,0.20 ,1.10 ,1.20 ,0.90 ,1.00 ,1.00 ,1.30 ,1.10 ,1.60 ,0.60 ,0.60 ,2.30 ,3.00 ,1.60 ,1.90 
ind2,NABS08,EUR_HAB,NL,12.80 ,13.20 ,12.80 ,12.30 ,14.50 ,10.00 ,10.60 ,9.80 ,8.90 ,8.90 ,9.90 ,5.90 ,6.20 ,6.10 ,7.20 ,8.20 ,12.60 ,12.60 
ind2,NABS08,EUR_HAB,NO,29.70 ,31.80 ,34.30 ,36.00 ,34.80 ,36.20 ,39.00 ,41.30 ,43.50 ,47.60 ,50.40 ,53.30 ,50.10 ,64.90 ,49.40 ,48.20 ,48.90 ,48.80 
ind2,NABS08,EUR_HAB,PL,0.10 ,0.20 ,0.20 ,0.50 ,0.60 ,: ,: ,: ,1.70 b,1.80 ,1.40 ,1.60 ,1.40 ,1.50 ,1.70 ,2.60 ,3.80 ,0.10 
ind2,NABS08,EUR_HAB,PT,1.60 ,1.80 ,1.70 ,2.30 ,2.60 ,3.20 ,3.00 ,2.50 ,0.90 ,1.60 ,1.70 ,1.80 ,1.80 ,1.70 ,1.80 ,1.70 ,1.70 ,1.90 
