indicator,subst_cat,unit,geo\time,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 
ind2,GRP3,I15-17_AVG,AT,86 ,91 ,93 ,98 ,102 ,99 ,103 ,101 ,95 ,83 
ind2,GRP3,I15-17_AVG,BE,58 ,79 ,89 ,88 ,105 ,107 ,115 ,108 ,118 ,115 
ind2,GRP3,I15-17_AVG,BG,122 ,129 ,168 ,109 ,134 ,57 ,29 ,35 ,55 ,152 
ind2,GRP3,I15-17_AVG,CZ,77 ,80 ,84 ,95 ,97 ,108 ,103 ,99 ,94 ,94 
ind2,GRP3,I15-17_AVG,DK,101 ,99 ,87 ,105 ,99 ,96 ,86 ,156 ,194 ,121 
ind2,GRP3,I15-17_AVG,EU27_2020,74 ,83 ,95 ,94 ,103 ,103 ,100 ,97 ,94 ,98 
ind2,GRP3,I15-17_AVG,FR,76 ,62 ,111 ,92 ,102 ,106 ,112 ,98 ,94 ,99 
ind2,GRP3,I15-17_AVG,HR,77 ,93 ,88 ,95 ,99 ,106 ,111 ,91 ,91 ,91 
ind2,GRP3,I15-17_AVG,HU,90 ,77 ,86 ,103 ,99 ,98 ,94 ,78 ,77 ,67 
ind2,GRP3,I15-17_AVG,IE,72 ,65 ,69 ,71 ,116 ,113 ,93 ,95 ,71 ,100 
ind2,GRP3,I15-17_AVG,LT,68 ,81 ,81 ,100 ,109 ,90 ,61 ,54 ,50 ,32 
ind2,GRP3,I15-17_AVG,LU,58 ,53 ,63 ,77 ,90 ,132 ,116 ,105 ,126 ,134 
ind2,GRP3,I15-17_AVG,LV,134 ,116 ,141 ,106 ,103 ,91 ,89 ,64 ,69 ,55 
ind2,GRP3,I15-17_AVG,NL,81 ,86 ,98 ,96 ,107 ,97 ,125 ,263 ,249 ,257 
ind2,GRP3,I15-17_AVG,RO,86 ,100 ,104 ,109 ,103 ,88 ,90 ,72 ,64 ,66 
ind2,GRP3,I15-17_AVG,SI,86 ,85 ,122 ,98 ,111 ,91 ,78 ,73 ,68 ,82 
ind2,GRP3,I15-17_AVG,SK,91 ,94 ,114 ,104 ,102 ,94 ,95 ,86 ,78 ,73 
