indicator,unit,bmi,geo\time,2008 ,2014 ,2019 ,2017 
ind3,PC,BMI25-29,AT,36.5 ,33.3 ,35.0 ,35.0 
ind3,PC,BMI25-29,BE,33.5 ,35.3 ,33.9 ,34.0 
ind3,PC,BMI25-29,BG,39.3 ,39.2 ,41.2 ,45.3 
ind3,PC,BMI25-29,CY,35.7 ,33.8 ,34.6 ,38.0 
ind3,PC,BMI25-29,CZ,38.3 ,37.6 ,40.1 ,41.9 u
ind3,PC,BMI25-29,DE,36.3 ,35.2 ,34.5 ,: 
ind3,PC,BMI25-29,DK,: ,32.9 ,34.0 ,: 
ind3,PC,BMI25-29,EA18,: ,: ,: ,35.2 e
ind3,PC,BMI25-29,EA19,: ,: ,: ,35.2 e
ind3,PC,BMI25-29,EE,32.5 ,33.5 ,34.9 ,35.1 u
ind3,PC,BMI25-29,EL,38.7 ,39.4 ,41.0 ,: 
ind3,PC,BMI25-29,ES,37.3 ,35.7 ,37.8 ,37.6 
ind3,PC,BMI25-29,EU27_2007,: ,: ,: ,36.8 e
ind3,PC,BMI25-29,EU27_2020,: ,35.7 ,36.2 ,36.9 e
ind3,PC,BMI25-29,EU28,: ,35.7 ,: ,36.8 e
ind3,PC,BMI25-29,FI,: ,36.4 ,38.1 ,40.6 
ind3,PC,BMI25-29,FR,31.4 ,31.9 ,32.1 ,30.7 
ind3,PC,BMI25-29,HR,: ,38.7 ,41.7 ,42.6 
ind3,PC,BMI25-29,HU,34.9 ,34.0 ,35.4 ,36.3 
ind3,PC,BMI25-29,IE,: ,37.0 ,: u,41.9 u
ind3,PC,BMI25-29,IS,: ,38.6 ,39.7 ,: 
ind3,PC,BMI25-29,IT,: ,34.1 ,33.9 ,: 
ind3,PC,BMI25-29,LT,: ,38.3 ,37.9 ,38.8 
ind3,PC,BMI25-29,LU,: ,32.4 ,31.9 ,33.3 
ind3,PC,BMI25-29,LV,38.0 ,35.2 ,35.3 ,35.4 
ind3,PC,BMI25-29,MK,: ,: ,: ,45.2 
ind3,PC,BMI25-29,MT,36.8 u,35.0 ,36.1 ,36.5 
ind3,PC,BMI25-29,NL,: ,36.0 ,35.4 ,34.2 
ind3,PC,BMI25-29,NO,: ,36.2 ,36.5 ,36.3 
ind3,PC,BMI25-29,PL,37.6 ,37.5 ,39.1 ,39.1 
ind3,PC,BMI25-29,PT,: ,36.9 ,38.2 ,37.6 
ind3,PC,BMI25-29,RO,42.4 ,46.4 ,47.7 ,52.5 
ind3,PC,BMI25-29,RS,: ,: ,36.3 ,36.2 
ind3,PC,BMI25-29,SE,: ,35.9 ,36.0 ,: 
ind3,PC,BMI25-29,SI,39.8 ,37.4 ,38.2 ,36.3 
ind3,PC,BMI25-29,SK,35.6 ,38.0 ,38.9 ,40.0 
ind3,PC,BMI25-29,TR,34.4 ,35.3 ,36.5 ,: 
ind3,PC,BMI25-29,UK,: ,35.6 ,: ,35.2 u
