indicator,unit,sex,indic_he,geo\time,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
ind3,YR,F,HLY_0,AT,60.4 ,59.8 ,61.0 ,61.4 ,59.9 b,60.8 ,60.8 ,60.1 ,62.5 ,60.2 ,57.8 ,58.1 ,57.1 ,56.8 ,57.0 ,58.0 ,59.3 
ind3,YR,F,HLY_0,BE,58.4 ,62.3 b,63.2 ,63.9 ,64.1 ,63.8 ,62.6 ,63.6 ,65.0 ,63.7 ,63.7 ,64.0 ,63.7 ,64.0 ,63.7 ,62.8 b,64.0 
ind3,YR,F,HLY_0,BG,: ,: ,71.9 ,73.9 ,65.7 b,65.8 ,67.1 ,65.9 ,65.7 ,66.6 ,66.1 ,65.0 ,67.5 b,66.2 ,67.6 ,68.4 ,67.8 
ind3,YR,F,HLY_0,CH,: ,: ,: ,63.6 ,64.6 ,63.0 ,63.3 ,64.7 ,67.6 ,58.4 b,56.7 ,57.8 ,57.7 ,59.4 ,59.5 ,60.0 ,60.7 
ind3,YR,F,HLY_0,CY,: ,58.2 ,63.3 b,62.8 ,64.5 ,65.3 ,64.2 ,61.0 ,64.0 ,65.0 ,66.1 ,63.4 ,68.8 ,65.8 ,62.4 ,63.0 ,63.1 
ind3,YR,F,HLY_0,CZ,: ,60.0 ,59.9 ,63.3 b,63.4 ,62.7 ,64.5 ,63.6 ,64.1 ,64.2 ,65.0 ,63.7 ,64.0 ,62.4 ,63.4 ,62.6 ,62.5 
ind3,YR,F,HLY_0,DE,: ,54.8 ,58.3 b,58.6 ,57.7 b,58.1 ,58.7 ,58.6 ,57.9 ,57.0 ,56.5 ,67.5 b,67.3 ,66.7 ,66.3 ,67.1 ,66.8 b
ind3,YR,F,HLY_0,DK,69.0 ,68.4 ,67.2 ,67.4 ,60.8 b,60.4 ,61.4 ,59.9 ,61.5 ,60.1 ,61.4 ,57.6 ,60.3 ,59.7 ,59.1 ,58.8 ,57.7 b
ind3,YR,F,HLY_0,EE,53.8 ,52.5 ,53.9 ,54.9 ,57.5 b,59.2 ,58.2 ,57.9 ,57.2 ,57.1 ,57.1 ,56.2 ,59.0 ,57.2 ,55.0 ,57.7 ,59.6 
ind3,YR,F,HLY_0,EL,65.7 ,67.7 ,68.4 ,67.6 ,66.2 b,66.8 ,67.7 ,66.9 ,64.9 ,65.1 ,64.9 ,64.1 ,64.7 ,65.1 ,65.9 ,66.4 ,66.8 
