indicator,unit,quantile,age,sex,levels,geo\time,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
ind3,PC,TOTAL,Y_GE16,F,VG_G,AL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,78.9 ,79.6 ,79.7 ,80.9 ,: ,: 
ind3,PC,TOTAL,Y_GE16,F,VG_G,AT,69.2 ,70.9 ,70.8 ,68.8 ,68.3 ,67.2 ,66.8 ,68.5 ,66.7 ,67.4 ,68.0 ,68.6 ,68.8 ,70.3 ,70.6 ,73.3 ,71.9 ,: 
ind3,PC,TOTAL,Y_GE16,F,VG_G,BE,70.0 ,70.9 ,71.0 ,71.4 ,70.9 ,70.9 ,71.7 ,72.2 ,71.9 ,72.9 ,71.5 ,71.3 ,71.6 ,72.5 ,71.7 b,73.3 ,74.1 ,72.6 
ind3,PC,TOTAL,Y_GE16,F,VG_G,BG,55.3 ,55.3 ,56.9 ,57.7 ,60.2 ,62.4 ,63.2 ,62.8 ,62.7 ,62.7 ,61.9 ,62.0 ,63.0 ,63.0 ,63.2 ,62.9 ,63.8 ,64.7 
ind3,PC,TOTAL,Y_GE16,F,VG_G,CH,: ,: ,81.8 ,79.4 ,78.5 ,79.0 ,78.7 ,80.0 ,78.4 ,76.1 ,77.3 ,75.7 ,78.6 ,78.6 ,79.4 ,81.9 ,80.5 ,: 
ind3,PC,TOTAL,Y_GE16,F,VG_G,CY,71.7 ,73.3 ,74.2 ,74.1 ,73.6 ,72.3 ,73.7 ,75.6 ,74.8 ,76.4 ,79.2 ,78.2 ,77.3 ,76.3 ,76.5 ,76.6 ,76.5 ,: 
ind3,PC,TOTAL,Y_GE16,F,VG_G,CZ,56.4 ,56.3 ,58.7 ,58.4 ,59.4 ,60.3 ,57.3 ,58.5 ,57.9 ,59.0 ,59.7 ,59.1 ,60.6 ,60.8 ,60.7 ,62.5 ,65.5 ,: 
ind3,PC,TOTAL,Y_GE16,F,VG_G,DE,57.8 ,57.7 ,57.2 ,62.5 ,63.6 ,64.2 ,63.3 ,63.9 ,62.9 ,63.6 ,63.2 ,63.6 ,63.8 ,64.4 ,64.7 ,62.4 b,61.1 ,: 
ind3,PC,TOTAL,Y_GE16,F,VG_G,DK,73.6 ,72.6 ,72.5 ,72.9 ,71.4 ,69.7 ,69.7 ,70.3 ,70.2 ,70.6 ,70.3 ,70.3 ,69.6 ,68.0 ,67.4 ,69.9 ,64.8 ,: 
ind3,PC,TOTAL,Y_GE16,F,VG_G,EA19,60.6 ,60.9 ,62.3 ,64.2 ,64.1 ,65.0 ,64.9 ,65.9 ,64.3 ,65.5 ,65.1 ,66.0 ,67.8 ,67.3 ,67.5 ,68.1 e,67.3 ,: 
