indicator,icd10,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
ind3,A15-A19_B90,AL,: ,: ,: ,: ,1.60 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
ind3,A15-A19_B90,AT,1.10 ,0.80 ,1.00 ,0.70 ,0.60 ,0.80 ,0.80 ,0.60 ,0.70 ,0.60 ,0.50 ,0.70 ,0.50 ,0.82 ,0.83 ,0.75 ,0.43 ,0.39 ,0.53 p,0.43 p,0.44 
ind3,A15-A19_B90,BE,: ,: ,: ,1.00 ,0.80 ,0.90 ,0.60 ,0.90 ,0.80 ,0.60 ,0.50 ,0.48 ,0.51 ,0.48 ,0.35 ,0.52 ,0.26 ,0.35 ,0.33 p,0.47 p,0.33 
ind3,A15-A19_B90,BG,4.50 ,4.10 ,3.90 ,3.70 ,3.60 ,3.60 ,3.60 ,3.70 ,3.10 ,2.60 ,2.60 ,2.21 ,2.25 ,2.07 ,1.70 ,1.52 ,1.50 ,1.35 ,1.29 p,1.31 p,1.04 
ind3,A15-A19_B90,CH,0.80 ,0.60 ,0.50 ,0.40 ,0.50 ,0.50 ,0.50 ,0.40 ,0.50 ,0.40 ,0.40 ,0.33 ,0.30 ,0.24 ,0.15 ,0.20 ,0.30 ,0.19 ,0.29 p,0.09 p,0.15 
ind3,A15-A19_B90,CY,: ,: ,: ,: ,0.50 ,0.90 ,0.40 ,0.20 ,0.30 ,: ,0.20 ,0.51 ,0.75 ,0.17 ,0.64 ,0.29 ,0.31 ,0.39 ,0.32 p,0.25 p,0.25 
ind3,A15-A19_B90,CZ,1.60 ,1.20 ,1.20 ,1.10 ,0.90 ,0.80 ,0.70 ,0.90 ,0.60 ,0.60 ,0.40 ,0.63 ,0.33 ,0.74 ,0.43 ,0.56 ,0.42 ,0.38 ,0.36 p,0.22 p,0.22 
ind3,A15-A19_B90,DE,0.90 ,0.70 ,0.70 ,0.70 ,0.60 ,0.60 ,0.50 ,0.60 ,0.40 ,0.40 ,0.40 ,0.40 ,0.42 ,0.42 ,0.35 ,0.34 ,0.31 ,0.31 ,0.32 p,0.30 p,0.29 
ind3,A15-A19_B90,DK,0.90 ,0.90 ,0.80 ,0.60 ,0.80 ,0.60 ,0.50 ,0.50 ,0.40 ,0.60 ,: ,0.30 ,0.42 ,0.27 ,0.24 ,0.30 ,0.42 ,0.23 ,0.16 p,0.24 p,0.18 
ind3,A15-A19_B90,EE,8.20 ,8.10 ,6.70 ,7.30 ,8.10 ,4.10 ,5.10 ,5.00 ,4.40 ,4.00 ,3.30 ,3.69 ,2.73 ,1.88 ,2.14 ,1.70 ,2.06 ,1.71 ,0.96 p,1.20 p,0.61 
ind3,A15-A19_B90,EL,0.90 ,1.20 ,1.00 ,1.20 ,0.80 ,0.90 ,0.80 ,1.00 ,0.80 ,0.80 ,0.70 ,0.59 ,0.85 ,0.60 ,0.42 ,0.34 ,0.37 ,0.44 ,0.39 p,0.32 p,0.28 
ind3,A15-A19_B90,ES,1.50 ,1.40 ,1.40 ,1.30 ,1.20 ,1.20 ,1.00 ,1.00 ,0.80 ,0.90 ,0.90 ,0.63 ,0.70 ,0.63 ,0.57 ,0.51 ,0.50 ,0.48 ,0.49 p,0.42 p,0.37 
ind3,A15-A19_B90,EU27_2020,: ,: ,2.20 e,2.10 e,1.90 e,1.80 e,1.60 e,1.60 e,1.50 e,1.40 e,1.20 e,1.15 ,1.09 ,1.00 ,0.93 ,0.90 ,0.82 ,0.78 ,0.77 p,0.72 p,0.63 
ind3,A15-A19_B90,EU28,: ,: ,2.10 e,2.00 e,1.80 e,1.70 e,1.50 e,1.50 e,1.40 e,1.30 e,1.20 e,1.08 d,1.02 d,0.95 d,0.89 ,0.85 ,0.78 ,0.74 ,0.72 p,: ,: 
ind3,A15-A19_B90,FI,3.30 ,2.50 ,2.40 ,2.00 ,1.60 ,1.80 ,1.40 ,1.20 ,1.30 ,1.20 ,1.00 ,1.21 ,0.89 ,0.58 ,0.78 ,0.61 ,0.45 ,0.60 ,0.53 p,0.49 p,0.35 
ind3,A15-A19_B90,FR,: ,2.10 ,1.90 ,1.90 ,1.60 ,1.60 ,1.30 ,1.20 ,1.10 ,1.00 ,1.00 ,0.92 ,0.76 ,0.75 ,0.65 ,0.61 ,0.56 ,0.54 ,0.51 p,0.51 p,0.38 
ind3,A15-A19_B90,HR,: ,: ,5.20 ,4.40 ,4.40 ,3.30 ,3.80 ,2.70 ,2.80 ,3.10 ,2.10 ,1.64 ,1.46 d,1.25 d,0.91 ,1.10 ,1.35 ,1.36 ,0.94 p,0.84 p,0.57 
ind3,A15-A19_B90,HU,4.60 ,4.60 ,3.80 ,3.40 ,3.40 ,3.00 ,2.00 ,2.50 ,2.20 ,1.90 ,1.70 ,1.35 d,1.34 d,1.07 d,0.90 ,1.10 ,0.70 ,0.64 ,0.86 p,0.62 p,0.55 
ind3,A15-A19_B90,IE,2.50 ,1.40 ,1.80 ,1.60 ,1.70 ,1.10 ,1.60 ,2.10 ,1.30 ,1.40 ,1.40 ,1.05 ,0.95 ,0.78 ,0.81 ,0.57 ,0.52 ,0.46 ,0.76 p,0.23 p,0.46 
