indicator,mortalit,sex,icd10,unit,geo\time,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
ind3,PRVT,T,TOTAL,RT,AT,168.77 ,170.95 ,166.38 ,163.24 ,166.79 ,161.06 ,157.04 ,156.95 p,151.94 p,165 
ind3,PRVT,T,TOTAL,RT,BE,172.38 ,170.9 ,167.71 ,161.47 ,160.75 ,154.88 ,149.74 ,146.15 p,142.37 p,177.16 
ind3,PRVT,T,TOTAL,RT,BG,222.86 ,236.49 ,238.8 ,243.99 ,244.81 ,232.15 ,230.22 ,226.25 p,230.8 p,316.48 
ind3,PRVT,T,TOTAL,RT,CH,123.41 ,122.49 ,121.52 ,115.81 ,116.59 ,111.18 ,109.44 ,108.58 p,103.75 p,116.31 
ind3,PRVT,T,TOTAL,RT,CY,108.76 ,112.69 ,108.23 ,108.54 ,110.14 ,99.94 ,111.48 ,103.81 p,99.81 p,112.2 
ind3,PRVT,T,TOTAL,RT,CZ,225.72 ,219.43 ,219.72 ,204.71 ,206.6 ,195.07 ,196.95 ,195.09 p,188.3 p,217.55 
ind3,PRVT,T,TOTAL,RT,DE,163.45 ,160.8 ,162.24 ,155.92 ,159.85 ,157.64 ,155.55 ,155.59 p,149.6 p,157.23 
ind3,PRVT,T,TOTAL,RT,DK,183.37 ,182.63 ,172.52 ,173.19 ,164.21 ,160.76 ,156.77 ,151.96 p,151.21 p,145.85 
ind3,PRVT,T,TOTAL,RT,EE,301.67 ,303.58 ,281.71 ,280.01 ,270.72 ,262.38 ,247.27 ,253 p,234.11 p,251.77 
ind3,PRVT,T,TOTAL,RT,EL,148.68 ,151 ,149.78 ,142.35 ,145.15 ,141.38 ,141.4 ,138.56 p,138.06 p,152.9 
ind3,PRVT,T,TOTAL,RT,ES,128.2 ,125.74 ,123.32 ,120.14 ,119.41 ,117.8 ,115.86 ,113.32 p,109.95 p,143.35 
ind3,PRVT,T,TOTAL,RT,EU27_2020,177.96 ,175.02 ,171.01 ,165.82 ,166.28 ,162.48 ,160 ,158.5 p,153.95 p,179.96 
ind3,PRVT,T,TOTAL,RT,EU28,175.67 ,172.76 ,169.04 ,164.2 ,164.76 ,161.52 ,159.1 ,157.58 p,: ,: 
ind3,PRVT,T,TOTAL,RT,FI,188.04 ,182.95 ,179.28 ,168.87 ,163.26 ,166.01 ,160.87 ,159.11 p,153.73 p,157.36 
ind3,PRVT,T,TOTAL,RT,FR,147.19 ,142.78 ,140.08 ,135.44 ,136.48 ,133.51 ,129.9 ,127.33 p,125.2 p,142.68 
ind3,PRVT,T,TOTAL,RT,HR,260.04 ,254.28 ,242.72 ,238.32 ,244.34 ,231.72 ,231.88 ,238.62 p,232.61 p,264.38 
ind3,PRVT,T,TOTAL,RT,HU,358.54 ,349.32 ,331.7 ,330.09 ,334.32 ,325.27 ,327.76 ,325.59 p,315.33 p,350.44 
ind3,PRVT,T,TOTAL,RT,IE,157.72 ,152.91 ,150.14 ,147.23 ,136.92 ,138.12 ,129.41 ,132.06 p,126.91 p,141.77 
