indicator,unit,sex,nace_r2,severity,geo\time,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
ind3,RT_INC,F,TOTAL,FAT,AT,0.42 ,0.29 ,0.62 ,0.41 ,0.62 ,0.51 ,0.33 ,0.22 ,0.3 ,0.11 ,0.26 b
ind3,RT_INC,F,TOTAL,FAT,BE,0.36 ,0.08 ,0 ,0.25 ,0.06 ,0.09 ,0.35 ,0.24 ,0.35 ,0.05 ,0.1 b
ind3,RT_INC,F,TOTAL,FAT,BG,0.7 ,0.31 ,0.62 ,0.61 ,0.46 ,0.53 ,0.15 ,0.44 ,0.15 ,0.08 ,0.34 b
ind3,RT_INC,F,TOTAL,FAT,CH,0.26 ,0.29 ,0.23 ,0.34 ,0.22 ,0.05 ,0.2 ,0.05 ,0.16 ,0.21 ,0.31 b
ind3,RT_INC,F,TOTAL,FAT,CY,0 ,0 ,0.6 ,0.57 ,0 ,0.64 ,0 ,0 ,0.53 ,0 ,0 b
ind3,RT_INC,F,TOTAL,FAT,CZ,0.53 ,0.44 ,0.1 ,0.33 ,0.09 ,0.52 ,0.13 ,0.17 ,0.26 ,0.21 ,0.13 b
ind3,RT_INC,F,TOTAL,FAT,DE,0.15 ,0.09 ,0.2 ,0.09 ,0.17 ,0.14 ,0.09 ,0.14 ,0.1 ,0.13 ,0.07 b
ind3,RT_INC,F,TOTAL,FAT,DK,0.23 ,0.16 ,0.16 ,0.23 ,0.16 ,0.23 ,0.38 ,0.07 ,0.15 ,0.38 ,0.07 b
ind3,RT_INC,F,TOTAL,FAT,EE,0.36 ,0 ,0.32 ,0.33 ,0.33 ,0.68 ,0 ,0.31 ,0.31 ,0.33 ,0 b
ind3,RT_INC,F,TOTAL,FAT,EL,0.06 ,0 ,0 ,0 ,0.14 ,0 ,0.17 ,0.08 ,0.06 ,0.06 ,0.13 b
ind3,RT_INC,F,TOTAL,FAT,ES,0.14 ,0.16 b,0.18 ,0.15 ,0.23 ,0.28 ,0.16 ,0.13 ,0.18 ,0.2 b,0.17 b
ind3,RT_INC,F,TOTAL,FAT,EU27_2007,0.26 ,0.23 ,0.23 ,0.23 ,0.25 ,0.25 ,0.22 ,0.22 ,0.19 ,: ,: 
ind3,RT_INC,F,TOTAL,FAT,EU27_2020,0.3 ,0.26 ,0.25 ,0.24 ,0.27 ,0.27 ,0.23 ,0.23 ,0.2 ,0.23 ,0.29 b
ind3,RT_INC,F,TOTAL,FAT,EU28,0.26 ,0.23 ,0.22 ,0.23 ,0.25 ,0.25 ,0.22 ,0.22 ,0.19 ,: ,: 
ind3,RT_INC,F,TOTAL,FAT,FI,0.25 ,0 ,0.33 ,0.08 ,0.34 ,0.34 ,0.17 ,0.08 ,0 ,0.24 ,0.33 b
ind3,RT_INC,F,TOTAL,FAT,FR,0.43 ,0.48 ,0.35 ,0.45 ,0.57 ,0.47 ,0.63 ,0.46 ,0.46 ,0.71 ,0.75 b
ind3,RT_INC,F,TOTAL,FAT,HR,0 ,0.46 ,0 ,0.31 ,0.16 ,0.15 ,0.29 ,0 ,0.43 ,0.43 ,0.14 b
ind3,RT_INC,F,TOTAL,FAT,HU,0.35 ,0.24 ,0.11 ,0.06 ,0.23 ,0.45 ,0.22 ,0.16 ,0.11 ,0.16 ,0.28 b
ind3,RT_INC,F,TOTAL,FAT,IE,0 ,0.12 ,0 ,0 ,0.23 ,0.23 ,0.11 ,0.1 ,0.1 ,0 ,0 b
ind3,RT_INC,F,TOTAL,FAT,IS,: ,0 ,0 ,0 ,1.2 ,0 ,0 ,0 ,0 ,0 ,0 b
ind3,RT_INC,F,TOTAL,FAT,IT,0.39 ,0.39 ,0.31 ,0.39 ,0.33 ,0.31 ,0.23 ,0.32 ,0.24 ,0.27 ,0.96 b
ind3,RT_INC,F,TOTAL,FAT,LT,0.47 ,0.77 ,0.33 ,0.15 ,0.5 ,0.49 ,0.32 ,0.16 ,0 ,0 ,0.16 b
ind3,RT_INC,F,TOTAL,FAT,LU,0 ,0 ,0 ,0.66 ,0.9 ,0 ,0 ,1.45 ,0 ,0 ,0 b
