age,sex,unit,geo\time,2006 ,2009 ,2012 ,2014 ,2017 ,2020 
Y_GE15,F,PC_POP,AT,24 ,27 ,26 ,23 ,23 ,21 
Y_GE15,F,PC_POP,BE,22 ,27 ,24 ,23 ,17 ,20 
Y_GE15,F,PC_POP,BG,30 ,30 ,31 ,25 ,28 ,28 
Y_GE15,F,PC_POP,CY,16 ,16 ,19 ,19 ,17 ,16 
Y_GE15,F,PC_POP,CZ,23 ,19 ,23 ,19 ,21 ,26 
Y_GE15,F,PC_POP,DE,25 ,19 ,22 ,21 ,23 ,19 
Y_GE15,F,PC_POP,DK,29 ,26 ,24 ,23 ,18 ,16 
Y_GE15,F,PC_POP,EE,24 ,20 ,19 ,16 ,15 ,16 
Y_GE15,F,PC_POP,EL,37 ,39 ,34 ,33 ,32 ,38 
Y_GE15,F,PC_POP,ES,28 ,28 ,26 ,25 ,25 ,27 
Y_GE15,F,PC_POP,EU,27 ,25 ,24 ,22 ,22 ,22 
Y_GE15,F,PC_POP,EU27_2020,26 e,25 e,23 e,22 e,23 e,22 
Y_GE15,F,PC_POP,EU28,: ,: ,: ,22 ,22 ,: 
Y_GE15,F,PC_POP,FI,22 ,16 ,22 ,17 ,16 ,16 
Y_GE15,F,PC_POP,FR,27 ,28 ,25 ,29 ,32 ,27 
Y_GE15,F,PC_POP,HR,25 ,26 ,: ,30 ,31 ,32 
Y_GE15,F,PC_POP,HU,29 ,32 ,28 ,23 ,23 ,23 
Y_GE15,F,PC_POP,IE,29 ,32 ,30 ,22 ,18 ,17 
Y_GE15,F,PC_POP,IT,24 ,25 ,21 ,17 ,17 ,18 
Y_GE15,F,PC_POP,LT,20 ,18 ,19 ,16 ,19 ,14 
Y_GE15,F,PC_POP,LU,23 ,18 ,24 ,19 ,17 ,17 
Y_GE15,F,PC_POP,LV,21 ,23 ,22 ,18 ,21 ,22 
Y_GE15,F,PC_POP,MT,22 ,17 ,21 ,17 ,19 ,18 
Y_GE15,F,PC_POP,NL,27 ,22 ,19 ,19 ,17 ,11 
Y_GE15,F,PC_POP,PL,30 ,28 ,26 ,24 ,26 ,20 
Y_GE15,F,PC_POP,PT,14 ,17 ,14 ,18 ,19 ,16 
Y_GE15,F,PC_POP,RO,20 ,20 ,22 ,22 ,19 ,23 
Y_GE15,F,PC_POP,SE,22 ,20 ,13 ,12 ,9 ,8 
Y_GE15,F,PC_POP,SI,21 ,21 ,25 ,23 ,24 ,25 
Y_GE15,F,PC_POP,SK,19 ,17 ,17 ,13 ,19 ,16 
Y_GE15,F,PC_POP,UK,32 ,25 ,26 ,20 ,18 ,13 
Y_GE15,M,PC_POP,AT,38 ,41 ,40 ,28 ,34 ,31 
Y_GE15,M,PC_POP,BE,30 ,34 ,30 ,28 ,21 ,21 
Y_GE15,M,PC_POP,BG,42 ,49 ,42 ,45 ,45 ,49 
Y_GE15,M,PC_POP,CY,48 ,49 ,42 ,44 ,39 ,39 
Y_GE15,M,PC_POP,CZ,35 ,34 ,35 ,30 ,38 ,35 
Y_GE15,M,PC_POP,DE,36 ,31 ,31 ,34 ,28 ,28 
Y_GE15,M,PC_POP,DK,35 ,32 ,27 ,23 ,19 ,15 
Y_GE15,M,PC_POP,EE,45 ,47 ,36 ,29 ,33 ,22 
Y_GE15,M,PC_POP,EL,48 ,46 ,46 ,43 ,41 ,46 
Y_GE15,M,PC_POP,ES,40 ,41 ,40 ,34 ,31 ,22 
Y_GE15,M,PC_POP,EU,37 ,34 ,32 ,31 ,30 ,28 
Y_GE15,M,PC_POP,EU27_2020,38 e,35 e,33 e,32 e,32 e,28 
Y_GE15,M,PC_POP,EU28,: ,: ,: ,31 ,30 ,: 
Y_GE15,M,PC_POP,FI,29 ,26 ,28 ,20 ,24 ,14 
Y_GE15,M,PC_POP,FR,39 ,38 ,31 ,34 ,40 ,29 
Y_GE15,M,PC_POP,HR,42 ,39 ,: ,37 ,40 ,41 
Y_GE15,M,PC_POP,HU,44 ,46 ,38 ,38 ,31 ,34 
Y_GE15,M,PC_POP,IE,28 ,30 ,28 ,21 ,20 ,19 
Y_GE15,M,PC_POP,IT,39 ,28 ,28 ,26 ,33 ,29 
Y_GE15,M,PC_POP,LT,50 ,43 ,43 ,38 ,41 ,45 
Y_GE15,M,PC_POP,LU,29 ,32 ,30 ,24 ,25 ,29 
Y_GE15,M,PC_POP,LV,53 ,50 ,52 ,45 ,47 ,43 
Y_GE15,M,PC_POP,MT,29 ,35 ,34 ,23 ,30 ,22 
Y_GE15,M,PC_POP,NL,31 ,25 ,28 ,26 ,22 ,13 
Y_GE15,M,PC_POP,PL,40 ,38 ,38 ,33 ,33 ,32 
Y_GE15,M,PC_POP,PT,35 ,30 ,32 ,34 ,33 ,27 
Y_GE15,M,PC_POP,RO,42 ,40 ,39 ,33 ,38 ,38 
Y_GE15,M,PC_POP,SE,15 ,12 ,12 ,11 ,5 ,6 
Y_GE15,M,PC_POP,SI,25 ,32 ,30 ,39 ,32 ,28 
Y_GE15,M,PC_POP,SK,32 ,35 ,30 ,29 ,34 ,34 
Y_GE15,M,PC_POP,UK,33 ,32 ,28 ,23 ,17 ,12 
Y_GE15,T,PC_POP,AT,31 ,34 ,33 ,26 ,28 ,25 
Y_GE15,T,PC_POP,BE,26 ,30 ,27 ,25 ,19 ,21 
Y_GE15,T,PC_POP,BG,36 ,39 ,36 ,35 ,36 ,38 
