indicator,sex,age,unit,isced11,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind4,F,Y25-34,PC,ED5-8,AT,: u,: u,: u,: u,20.0 b,20.6 ,19.3 b,18.9 ,20.0 ,22.5 ,22.6 ,22.4 ,24.3 ,26.6 ,41.1 b,41.5 ,43.2 ,44.4 ,44.9 ,45.9 ,45.7 ,46.8 b
ind4,F,Y25-34,PC,ED5-8,BE,38.9 ,41.1 ,42.6 ,42.8 ,45.3 ,45.5 ,47.3 ,47.0 ,48.5 b,48.7 ,49.4 ,48.4 ,50.1 ,49.4 ,51.4 b,49.2 ,50.8 ,51.4 b,54.2 ,54.6 ,56.2 ,57.8 b
ind4,F,Y25-34,PC,ED5-8,BG,24.3 ,29.7 b,30.2 ,31.4 ,31.6 ,31.3 ,32.5 b,32.0 ,33.0 ,35.2 ,35.9 b,34.8 b,34.0 ,37.7 ,39.3 b,39.6 ,39.8 ,40.4 ,41.1 ,39.4 ,39.1 ,39.5 b
ind4,F,Y25-34,PC,ED5-8,CH,17.3 ,17.1 ,19.7 ,21.8 ,23.2 ,25.0 ,26.6 ,31.0 ,35.1 ,37.4 ,35.8 b,37.6 ,38.6 ,41.6 ,44.2 b,48.3 ,48.9 ,51.0 ,53.7 ,54.7 ,55.3 ,54.4 b
ind4,F,Y25-34,PC,ED5-8,CY,34.6 ,37.7 ,42.9 ,44.3 ,43.9 ,44.7 ,47.0 ,52.3 ,54.7 ,53.4 b,53.7 ,57.8 ,59.8 ,58.0 ,62.9 b,63.9 ,65.3 ,65.5 ,66.5 ,69.6 ,67.8 ,66.2 b
ind4,F,Y25-34,PC,ED5-8,CZ,11.5 ,11.5 ,11.6 ,11.3 b,13.1 ,14.6 ,15.8 ,17.0 ,19.7 ,22.5 ,25.4 ,28.5 b,32.8 ,34.2 ,35.1 b,38.1 ,39.0 ,40.5 ,40.7 ,39.5 ,40.4 ,43.3 b
ind4,F,Y25-34,PC,ED5-8,DE,20.8 ,20.4 ,19.8 ,20.9 ,22.5 ,22.1 b,22.3 ,23.4 ,24.8 ,26.9 ,27.2 b,29.5 ,31.0 ,31.9 ,28.9 b,30.6 ,31.5 ,32.5 ,33.6 ,34.4 ,36.6 b,37.7 b
ind4,F,Y25-34,PC,ED5-8,DK,31.4 ,35.5 ,36.2 ,38.6 b,41.0 ,44.4 ,45.5 ,40.4 b,39.9 b,44.5 ,44.9 ,46.5 ,49.7 ,50.0 ,49.2 b,52.0 ,51.5 b,53.8 b,54.3 ,55.7 ,55.5 ,58.3 b
ind4,F,Y25-34,PC,ED5-8,EA20,: ,: ,27.2 ,28.8 ,30.7 ,31.8 ,33.0 ,33.9 ,34.8 ,35.9 ,36.9 ,37.5 ,38.6 ,39.7 ,40.2 b,41.0 ,41.6 ,42.6 ,43.8 ,44.9 ,46.3 ,47.4 b
ind4,F,Y25-34,PC,ED5-8,EE,36.8 b,34.4 ,34.5 ,33.4 ,34.5 ,39.0 ,41.1 ,43.2 ,42.0 ,46.4 ,48.3 ,48.6 ,51.2 ,52.0 ,50.0 b,49.2 ,49.5 ,51.3 ,51.7 ,53.8 ,51.5 ,54.3 b
ind4,F,Y25-34,PC,ED5-8,EL,25.7 ,25.7 b,25.8 ,25.7 ,27.4 b,27.9 ,29.0 ,30.0 ,31.4 ,33.6 b,35.8 ,37.5 ,39.7 ,42.6 ,44.5 b,46.3 ,48.2 ,50.1 ,51.0 ,50.0 ,51.0 ,51.1 b
ind4,F,Y25-34,PC,ED5-8,ES,37.0 ,38.9 ,41.6 ,42.0 ,43.7 ,46.0 b,45.8 ,45.4 ,45.4 ,45.1 ,46.4 ,45.7 ,46.0 ,46.5 ,47.5 b,47.0 ,47.0 ,48.8 ,50.1 ,52.4 ,53.5 ,54.4 b
