indicator,ind_type,indic_is,unit,geo\time,2015 ,2016 ,2017 ,2019 ,2021 
ind4,F_Y16_74,I_DSK2_BAB,PC_IND,AL,: ,: ,: ,20.15 ,23.45 
ind4,F_Y16_74,I_DSK2_BAB,PC_IND,AT,56.69 ,60.66 ,62.43 ,61.21 ,61.03 
ind4,F_Y16_74,I_DSK2_BAB,PC_IND,BA,: ,: ,: ,19.95 ,33.19 
ind4,F_Y16_74,I_DSK2_BAB,PC_IND,BE,58.31 ,57.70 ,59.19 ,58.29 ,51.62 
ind4,F_Y16_74,I_DSK2_BAB,PC_IND,BG,31.38 ,27.38 ,30.14 ,30.34 ,31.24 
ind4,F_Y16_74,I_DSK2_BAB,PC_IND,CH,: ,: ,73.97 b,76.17 b,76.84 
ind4,F_Y16_74,I_DSK2_BAB,PC_IND,CY,39.95 ,45.12 ,51.12 ,47.21 ,51.99 
ind4,F_Y16_74,I_DSK2_BAB,PC_IND,CZ,55.31 ,52.53 ,56.99 ,61.74 b,59.69 
ind4,F_Y16_74,I_DSK2_BAB,PC_IND,DE,62.97 ,64.12 ,64.93 ,67.40 ,45.73 
ind4,F_Y16_74,I_DSK2_BAB,PC_IND,DK,72.89 ,75.78 ,67.46 ,67.64 ,65.77 
ind4,F_Y16_74,I_DSK2_BAB,PC_IND,EA,53.73 ,54.64 ,55.35 ,56.64 ,: 
ind4,F_Y16_74,I_DSK2_BAB,PC_IND,EE,63.85 ,60.01 ,59.71 ,60.75 ,55.27 
ind4,F_Y16_74,I_DSK2_BAB,PC_IND,EL,39.80 ,45.06 ,43.93 ,49.32 ,51.39 
ind4,F_Y16_74,I_DSK2_BAB,PC_IND,ES,51.32 ,50.09 ,52.21 ,55.69 ,62.66 
ind4,F_Y16_74,I_DSK2_BAB,PC_IND,EU15,56.15 ,57.09 ,57.91 ,: ,: 
ind4,F_Y16_74,I_DSK2_BAB,PC_IND,EU27_2007,52.66 ,53.78 ,54.87 ,: ,: 
ind4,F_Y16_74,I_DSK2_BAB,PC_IND,EU27_2020,51.00 ,52.13 ,52.97 ,54.02 ,52.26 
ind4,F_Y16_74,I_DSK2_BAB,PC_IND,EU28,52.61 ,53.75 ,54.68 ,56.20 ,: 
ind4,F_Y16_74,I_DSK2_BAB,PC_IND,FI,73.93 ,74.12 ,77.13 ,77.89 ,80.16 
ind4,F_Y16_74,I_DSK2_BAB,PC_IND,FR,55.84 ,55.76 ,56.97 ,56.45 ,62.66 
ind4,F_Y16_74,I_DSK2_BAB,PC_IND,HR,46.13 ,50.05 ,34.03 ,49.60 ,60.07 
ind4,F_Y16_74,I_DSK2_BAB,PC_IND,HU,47.18 ,49.05 ,47.16 ,45.96 ,46.34 
ind4,F_Y16_74,I_DSK2_BAB,PC_IND,IE,43.96 ,42.52 ,47.88 ,52.76 ,71.87 
ind4,F_Y16_74,I_DSK2_BAB,PC_IND,IS,: ,: ,85.89 ,85.09 ,80.41 
ind4,F_Y16_74,I_DSK2_BAB,PC_IND,IT,38.92 ,40.31 ,: u,38.20 b,43.09 
ind4,F_Y16_74,I_DSK2_BAB,PC_IND,LT,51.79 ,51.37 ,55.82 ,56.16 ,49.29 
ind4,F_Y16_74,I_DSK2_BAB,PC_IND,LU,82.52 ,81.28 ,82.14 ,61.28 b,58.26 
ind4,F_Y16_74,I_DSK2_BAB,PC_IND,LV,50.03 ,52.05 b,49.71 ,45.81 b,52.64 
ind4,F_Y16_74,I_DSK2_BAB,PC_IND,ME,: ,: ,42.13 ,: u,45.73 
ind4,F_Y16_74,I_DSK2_BAB,PC_IND,MK,36.11 ,34.53 ,30.51 ,32.35 ,31.07 
ind4,F_Y16_74,I_DSK2_BAB,PC_IND,MT,49.50 ,49.30 ,55.84 ,54.75 ,60.86 
ind4,F_Y16_74,I_DSK2_BAB,PC_IND,NL,69.39 ,73.73 ,77.01 ,76.21 ,76.94 
ind4,F_Y16_74,I_DSK2_BAB,PC_IND,NO,77.40 ,73.92 ,74.47 ,81.98 ,76.98 
ind4,F_Y16_74,I_DSK2_BAB,PC_IND,PL,38.25 ,42.85 ,44.61 ,42.84 ,40.93 
ind4,F_Y16_74,I_DSK2_BAB,PC_IND,PT,43.93 ,45.16 ,47.96 ,49.39 ,55.38 
ind4,F_Y16_74,I_DSK2_BAB,PC_IND,RO,24.66 ,26.23 ,27.75 ,28.80 ,25.71 
ind4,F_Y16_74,I_DSK2_BAB,PC_IND,RS,28.83 ,: ,36.18 ,42.82 ,38.80 
ind4,F_Y16_74,I_DSK2_BAB,PC_IND,SE,71.08 ,66.89 b,76.31 ,70.97 u,64.74 
ind4,F_Y16_74,I_DSK2_BAB,PC_IND,SI,51.47 ,53.31 ,56.91 ,55.77 ,48.62 
ind4,F_Y16_74,I_DSK2_BAB,PC_IND,SK,52.03 ,53.80 ,55.73 ,54.07 ,52.35 
