sex,wstatus,unit,age,citizen,geo\time,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
T,POP,PC,Y18-24,EU27_2020_FOR,AT,: ,: ,14.1 bu,16.2 u,9.6 u,: u,10.2 u,: u,: u,13.0 u,9.9 bu,9.7 u,5.8 u,10.0 u,12.2 ,12.3 ,15.3 ,18.2 b
T,POP,PC,Y18-24,EU27_2020_FOR,BE,: ,: ,22.0 b,18.5 ,20.5 b,18.2 ,17.2 ,19.1 ,18.0 ,20.5 ,14.9 b,16.1 ,15.0 ,16.4 b,18.2 ,14.3 ,8.0 u,11.9 b
T,POP,PC,Y18-24,EU27_2020_FOR,BG,: ,: ,: b,: ,: ,: ,: b,: ,: ,: u,: bu,: u,: u,: u,: u,: u,: u,: bu
T,POP,PC,Y18-24,EU27_2020_FOR,CH,: ,: ,16.2 ,15.7 ,14.3 ,14.9 ,11.6 b,9.9 ,8.1 ,10.4 ,8.7 b,9.3 ,8.6 ,8.3 ,10.5 ,7.8 ,6.4 ,7.8 b
T,POP,PC,Y18-24,EU27_2020_FOR,CY,: ,: ,32.5 bu,26.1 u,30.3 ,27.7 b,31.5 ,22.6 ,24.8 ,18.5 u,14.2 bu,14.9 u,10.3 u,17.2 u,13.0 u,24.3 u,21.0 u,17.9 bu
T,POP,PC,Y18-24,EU27_2020_FOR,CZ,: ,: ,29.8 bu,8.0 u,: u,13.2 u,12.3 u,: bu,: u,: bu,: bu,16.6 u,12.9 u,: u,: u,8.3 u,18.9 u,23.2 bu
T,POP,PC,Y18-24,EU27_2020_FOR,DE,: ,: ,20.7 b,19.4 ,20.7 b,18.8 ,22.2 b,22.2 ,20.6 ,19.3 ,20.3 b,21.4 ,24.3 ,24.3 ,24.6 ,25.3 ,25.1 b,31.5 b
T,POP,PC,Y18-24,EU27_2020_FOR,DK,: ,: ,: u,: bu,: b,: u,: u,: u,: u,: u,: bu,: u,: bu,: bu,: u,: u,: u,: bu
T,POP,PC,Y18-24,EU27_2020_FOR,EA20,: ,: ,26.1 b,24.8 ,27.2 ,27.8 ,26.9 ,26.4 ,25.7 ,25.3 ,21.9 b,22.0 ,22.3 ,24.0 ,23.9 ,23.0 ,21.0 ,23.6 b
T,POP,PC,Y18-24,EU27_2020_FOR,EE,: ,: ,: ,: ,: ,: ,: u,: u,: u,: u,: bu,: u,: u,: u,: u,: u,: u,: bu
T,POP,PC,Y18-24,EU27_2020_FOR,EL,: ,: ,17.2 bu,17.6 u,23.4 b,30.7 b,28.5 ,30.2 ,27.2 u,31.3 ,25.5 bu,22.1 u,: u,24.3 u,28.5 u,22.8 u,: u,: bu
T,POP,PC,Y18-24,EU27_2020_FOR,ES,: ,: ,40.3 b,39.6 ,41.9 ,43.2 ,39.6 ,38.6 ,38.2 ,39.1 ,36.7 b,35.8 ,35.8 ,38.4 ,33.5 ,28.7 ,28.3 ,26.3 b
T,POP,PC,Y18-24,EU27_2020_FOR,EU27_2020,: ,: ,25.7 b,24.2 ,26.6 ,27.3 ,26.5 ,25.9 ,25.1 ,24.7 ,21.4 b,21.6 ,21.9 ,23.4 ,23.3 ,22.5 ,20.7 ,23.3 b
T,POP,PC,Y18-24,EU27_2020_FOR,FI,: ,: ,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u,: u,: u,: u,: u,: bu
T,POP,PC,Y18-24,EU27_2020_FOR,FR,: ,: ,28.7 u,26.2 u,34.6 ,33.9 ,28.8 ,30.5 ,26.6 ,30.9 b,12.9 bu,17.6 u,17.5 u,20.1 ,17.7 ,14.5 u,18.6 ,19.3 b
T,POP,PC,Y18-24,EU27_2020_FOR,HR,: ,: ,: b,: ,: ,: ,: ,: ,: u,: ,: ,: ,: ,: ,: u,: ,: ,: 
T,POP,PC,Y18-24,EU27_2020_FOR,HU,: ,: ,: bu,: u,: u,: u,: u,: u,: u,: u,: bu,: bu,: u,: u,: u,: u,: u,: bu
T,POP,PC,Y18-24,EU27_2020_FOR,IE,: ,: ,10.9 bu,9.7 bu,10.8 u,17.7 u,22.6 u,20.1 u,19.0 u,15.9 u,: bu,: u,7.9 u,: bu,: u,: u,: u,: bu
T,POP,PC,Y18-24,EU27_2020_FOR,IS,: ,: ,: u,: u,: u,: bu,: u,: u,: u,: u,: bu,: u,: u,: u,: u,: u,: bu,: bu
T,POP,PC,Y18-24,EU27_2020_FOR,IT,: ,: ,37.3 b,30.2 ,34.3 ,36.4 ,31.4 ,32.1 ,35.9 ,31.3 ,28.6 b,28.4 ,27.7 ,29.9 ,32.6 ,30.9 ,20.5 ,21.8 b
T,POP,PC,Y18-24,EU27_2020_FOR,LT,: ,: ,: b,: ,: ,: ,: u,: u,: u,: ,: bu,: u,: u,: u,: ,: u,: u,: bu
T,POP,PC,Y18-24,EU27_2020_FOR,LU,: ,: ,17.9 b,16.6 b,19.7 ,13.4 b,10.8 ,6.7 u,10.0 ,7.6 u,8.5 bu,12.5 b,7.0 u,11.1 u,6.7 u,13.0 ,11.8 ,10.9 b
T,POP,PC,Y18-24,EU27_2020_FOR,LV,: ,: ,: ,: u,: b,: u,: ,: u,: u,: u,: bu,: u,: u,: u,: u,: u,: ,: bu
T,POP,PC,Y18-24,EU27_2020_FOR,ME,: ,: ,: ,: ,: ,: ,: ,: u,: u,: u,: bu,: u,: u,: u,: u,: u,: u,: 
T,POP,PC,Y18-24,EU27_2020_FOR,MK,: ,: ,: ,: b,: ,: ,: ,: ,: u,: ,: ,: ,: ,: ,: ,: u,: ,: 
T,POP,PC,Y18-24,EU27_2020_FOR,MT,: ,: ,: bu,: u,: ,: ,: u,: ,: u,: u,: bu,: u,: u,: bu,24.1 u,25.7 u,: u,: bu
T,POP,PC,Y18-24,EU27_2020_FOR,NL,: ,: ,: bu,: u,12.9 u,18.2 ,13.2 u,16.5 u,16.8 ,15.6 bu,16.1 b,8.9 u,9.9 u,7.3 u,17.0 ,16.8 b,9.2 u,11.7 b
T,POP,PC,Y18-24,EU27_2020_FOR,NO,: ,: ,: u,: u,: u,: u,16.7 u,21.5 ,14.1 ,15.7 ,16.3 bu,16.3 ,11.7 u,: u,: u,: u,: u,: bu
T,POP,PC,Y18-24,EU27_2020_FOR,PL,: ,: ,: ,: ,: b,: ,: bu,: u,: u,: bu,: bu,: u,: u,: u,: bu,: u,: u,: 
T,POP,PC,Y18-24,EU27_2020_FOR,PT,: ,: ,: bu,: u,: u,: u,: u,: bu,: u,: u,: bu,: u,: u,: u,: u,: u,: u,: bu
T,POP,PC,Y18-24,EU27_2020_FOR,RO,: ,: ,: b,: ,: u,: ,: ,: ,: u,: u,: bu,: u,: u,: u,: u,: u,: u,: bu
T,POP,PC,Y18-24,EU27_2020_FOR,RS,: ,: ,: ,: ,: ,: ,: ,: u,: u,: u,: bu,: u,: u,: u,: u,: ,: u,: bu
T,POP,PC,Y18-24,EU27_2020_FOR,SE,: ,: ,: bu,: bu,: bu,: u,: u,18.7 u,11.5 u,12.4 u,12.6 bu,: u,16.4 ,12.9 u,: bu,: u,: u,: bu
T,POP,PC,Y18-24,EU27_2020_FOR,SI,: ,: ,: b,: u,: u,: ,: u,: u,: u,: ,: bu,: u,: u,: u,: u,: u,: u,: bu
T,POP,PC,Y18-24,EU27_2020_FOR,SK,: ,: ,: ,: ,: ,: ,: ,: bu,: ,: u,: bu,: u,: u,: u,: u,: ,: u,: bu
T,POP,PC,Y18-24,EU27_2020_FOR,UK,: ,: ,15.7 b,15.7 b,15.5 b,15.0 ,14.4 b,16.8 b,16.5 ,13.5 ,14.4 b,11.9 ,14.7 ,13.3 ,13.9 ,12.5 ,: ,: 
T,POP,PC,Y18-24,NAT,AT,7.8 ,7.3 ,7.5 b,8.4 ,8.1 ,7.0 ,6.6 ,7.1 ,6.1 ,5.8 ,5.4 b,5.5 ,5.8 ,5.2 ,5.3 ,5.5 ,5.1 ,5.6 b
T,POP,PC,Y18-24,NAT,BE,12.1 ,11.7 ,11.4 b,10.9 ,10.7 b,10.1 ,11.0 ,11.3 ,10.8 ,9.7 ,9.0 b,9.1 ,7.8 ,8.0 b,7.4 ,7.3 ,7.4 ,5.9 b
