sex,unit,geo\time,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
F,PC,AT,87.1 ,87.3 ,90.0 ,89.2 ,89.8 ,90.2 ,90.3 ,90.3 
F,PC,BE,98.4 ,98.4 ,98.3 d,98.3 d,: bd,: d,98.3 ,98.5 
F,PC,BG,83.7 ,85.4 ,84.6 ,82.6 ,80.7 ,79.7 ,79.7 ,79.6 
F,PC,CH,47.2 ,: ,49.4 ,50.4 ,50.1 ,49.9 ,49.9 ,50.2 
F,PC,CY,69.7 ,69.2 ,81.3 ,82.3 ,86.3 ,87.6 ,89.5 ,90.7 
F,PC,CZ,76.8 ,80.8 ,84.7 ,86.7 ,87.8 ,86.9 ,86.4 ,86.1 
F,PC,DE,96.0 ,96.0 ,96.3 ,95.3 ,94.9 ,94.5 ,94.2 ,93.9 
F,PC,DK,97.7 ,98.6 ,98.5 ,97.6 ,97.5 ,99.5 ,97.7 ,97.5 
F,PC,EE,89.7 ,90.3 ,90.8 ,91.5 ,91.7 ,91.8 ,91.5 ,92.0 
F,PC,EL,56.0 e,71.4 e,: d,: d,: d,51.1 d,69.0 d,71.5 de
F,PC,ES,96.9 d,96.8 d,96.9 ,97.0 ,97.2 ,97.6 ,97.3 ,97.2 
F,PC,EU27_2020,90.7 ,91.3 ,92.7 ,93.2 ,93.0 ,92.2 ,93.0 ,93.1 
F,PC,EU28,91.1 ,91.2 ,93.5 ,94.0 ,93.9 ,93.1 ,93.7 ,: 
F,PC,FI,80.0 ,79.7 ,79.8 ,83.9 ,84.3 ,86.2 ,88.5 ,90.8 
F,PC,FR,100.0 ,99.4 b,100.0 ,100.0 ,100.0 ,100.0 p,100.0 p,100.0 p
F,PC,HR,67.1 ,67.0 ,68.5 ,69.7 ,77.8 ,76.7 ,79.7 ,78.9 
F,PC,HU,88.5 ,89.8 ,90.8 ,92.2 ,92.1 ,92.4 ,93.3 ,93.2 
F,PC,IE,83.3 ,83.4 ,79.4 ,84.2 ,: d,100.0 ,100.0 e,100.0 
F,PC,IS,96.0 ,96.6 ,97.4 ,97.3 ,97.5 ,97.0 ,96.6 ,96.5 
F,PC,IT,96.6 ,94.3 ,93.9 ,93.9 ,93.1 ,92.8 ,92.8 ,94.0 
F,PC,LI,: ,: ,: ,: ,54.6 ,47.6 ,51.6 ,48.5 
F,PC,LT,83.7 ,86.4 ,87.6 ,88.2 ,88.8 ,88.9 ,89.5 ,91.0 
