field,sex,unit,geo\time,2000 ,2003 ,2006 ,2009 ,2012 ,2015 ,2018 
EF461,T,PC,AL,: ,: ,: ,67.7 ,60.7 ,53.3 ,42.4 
EF461,T,PC,AT,: ,18.8 ,20.1 ,: ,18.7 ,21.8 ,21.1 
EF461,T,PC,BE,: ,16.5 ,17.5 ,19.1 ,19.0 ,20.1 ,19.7 
EF461,T,PC,BG,: ,: ,53.4 ,47.1 ,43.8 ,42.1 ,44.4 
EF461,T,PC,CH,: ,14.5 ,13.6 ,13.5 ,12.4 ,15.8 ,16.8 
EF461,T,PC,CY,: ,: ,: ,: ,42.0 ,42.6 ,36.9 
EF461,T,PC,CZ,: ,16.6 ,19.3 ,22.4 ,21.0 ,21.7 ,20.4 
EF461,T,PC,DE,: ,21.6 ,20.0 ,18.7 ,17.7 ,17.2 ,21.1 
EF461,T,PC,DK,: ,15.4 ,13.7 ,17.1 ,16.8 ,13.6 ,14.6 
EF461,T,PC,EE,: ,: ,12.1 ,12.7 ,10.5 ,11.2 ,10.2 
EF461,T,PC,EL,: ,38.9 ,32.5 ,30.4 ,35.7 ,35.8 ,35.8 
EF461,T,PC,ES,: ,23.0 ,24.8 ,23.8 ,23.6 ,22.2 ,24.7 
EF461,T,PC,EU27_2020,: ,: ,24.7 ,22.7 ,22.1 ,22.2 ,22.9 
EF461,T,PC,EU28,: ,: ,: ,: ,: ,22.2 ,22.4 
EF461,T,PC,FI,: ,6.8 ,6.0 ,7.9 ,12.3 ,13.6 ,15.0 
EF461,T,PC,FR,: ,16.6 ,22.4 ,22.5 ,22.4 ,23.5 ,21.3 
EF461,T,PC,HR,: ,: ,28.7 ,33.2 ,29.9 ,32.0 ,31.2 
EF461,T,PC,HU,: ,23.0 ,21.2 ,22.3 ,28.1 ,28.0 ,25.6 
EF461,T,PC,IE,: ,16.8 ,16.5 ,20.9 ,16.9 ,15.0 ,15.7 
EF461,T,PC,IS,: ,15.0 ,16.9 ,17.0 ,21.5 ,23.6 ,20.7 
EF461,T,PC,IT,: ,31.9 ,33.0 ,25.0 ,24.7 ,23.3 ,23.8 
EF461,T,PC,JP,: ,13.3 ,13.1 ,12.5 ,11.1 ,10.7 ,11.5 
EF461,T,PC,KR,: ,9.5 ,8.9 ,8.1 ,9.1 ,15.5 ,15.0 
EF461,T,PC,LT,: ,: ,23.1 ,26.4 ,26.0 ,25.4 ,25.6 
EF461,T,PC,LU,: ,21.7 ,22.9 ,23.9 ,24.3 ,25.8 ,27.2 
EF461,T,PC,LV,: ,23.7 ,20.8 ,22.6 ,19.9 ,21.4 ,17.3 
EF461,T,PC,ME,: ,: ,60.2 ,58.5 ,56.6 ,51.9 ,46.2 
EF461,T,PC,MK,: ,: ,: ,: ,: ,70.2 ,61.0 
EF461,T,PC,MT,: ,: ,: ,33.7 ,: ,29.1 ,30.2 
EF461,T,PC,NL,: ,10.9 ,11.6 ,13.4 ,14.8 ,16.7 ,15.8 
EF461,T,PC,NO,: ,20.8 ,22.4 ,18.2 ,22.3 ,17.1 ,18.9 
EF461,T,PC,PL,: ,22.0 ,20.0 ,20.5 ,14.4 ,17.2 ,14.7 
EF461,T,PC,PT,: ,30.1 ,30.9 ,23.8 ,24.9 ,23.8 ,23.3 
EF461,T,PC,RO,: ,: ,52.9 ,47.0 ,40.8 ,39.9 ,46.6 
EF461,T,PC,RS,: ,: ,42.6 ,40.6 ,38.9 ,: ,39.7 
EF461,T,PC,RU,: ,30.2 ,26.8 ,28.6 ,24.0 ,18.9 ,21.6 
EF461,T,PC,SE,: ,17.3 ,18.4 ,21.1 ,27.1 ,20.8 ,18.8 
EF461,T,PC,SI,: ,: ,17.8 ,20.4 ,20.1 ,16.1 ,16.4 
EF461,T,PC,SK,: ,19.9 ,21.0 ,21.0 ,27.5 ,27.7 ,25.1 
EF461,T,PC,TR,: ,52.2 ,52.2 ,42.2 ,42.0 ,51.4 ,36.7 
EF461,T,PC,UK,: ,: ,19.9 ,20.2 ,21.8 ,21.9 ,19.2 
EF461,T,PC,US,: ,25.7 ,28.2 ,23.4 ,25.8 ,29.4 ,27.1 
READ,T,PC,AL,70.4 ,: ,: ,56.7 b,52.3 ,50.3 ,52.2 b
READ,T,PC,AT,19.3 ,20.7 ,21.5 ,: b,19.5 ,22.5 ,23.6 b
READ,T,PC,BE,19.0 ,17.9 ,19.4 ,17.7 b,16.1 ,19.5 ,21.3 b
READ,T,PC,BG,40.3 ,: ,51.1 ,41.0 b,39.4 ,41.5 ,47.1 b
READ,T,PC,CH,20.4 ,16.7 ,16.4 ,16.8 b,13.7 ,20.0 ,23.6 b
READ,T,PC,CY,: ,: ,: ,: b,32.8 ,35.6 ,43.7 b
READ,T,PC,CZ,17.5 ,19.3 ,24.8 ,23.1 b,16.9 ,22.0 ,20.7 b
READ,T,PC,DE,22.6 ,22.3 ,20.0 ,18.5 b,14.5 ,16.2 ,20.7 b
READ,T,PC,DK,17.9 ,16.5 ,16.0 ,15.2 b,14.6 ,15.0 ,16.0 b
READ,T,PC,EE,: ,: ,13.6 ,13.3 b,9.1 ,10.6 ,11.1 b
READ,T,PC,EL,24.4 ,25.3 ,27.7 ,21.3 b,22.6 ,27.3 ,30.5 b
READ,T,PC,ES,16.3 ,21.1 ,25.7 ,19.6 b,18.3 ,16.2 ,: b
READ,T,PC,EU27_2020,: ,: ,23.7 ,19.7 b,18.0 ,20.0 ,22.5 b
READ,T,PC,EU28,: ,: ,: ,: b,: ,19.7 ,21.7 b
READ,T,PC,FI,7.0 ,5.7 ,4.8 ,8.1 b,11.3 ,11.1 ,13.5 b
READ,T,PC,FR,15.2 ,17.5 ,21.7 ,19.8 b,18.9 ,21.5 ,20.9 b
READ,T,PC,HR,: ,: ,21.5 ,22.4 b,18.7 ,19.9 ,21.6 b
READ,T,PC,HU,22.7 ,20.5 ,20.6 ,17.6 b,19.7 ,27.5 ,25.3 b
READ,T,PC,IE,11.0 ,11.0 ,12.1 ,17.2 b,9.6 ,10.2 ,11.8 b
READ,T,PC,IS,14.5 ,18.5 ,20.5 ,16.8 b,21.0 ,22.1 ,26.4 b
READ,T,PC,IT,18.9 ,23.9 ,26.4 ,21.0 b,19.5 ,21.0 ,23.3 b
READ,T,PC,JP,10.1 ,19.0 ,18.4 ,13.6 b,9.8 ,12.9 ,16.8 b
READ,T,PC,KR,5.8 ,6.8 ,5.8 ,5.8 b,7.6 ,13.7 ,15.1 b
READ,T,PC,LI,: ,: ,: ,: b,: ,: ,: b
READ,T,PC,LT,: ,: ,25.7 ,24.4 b,21.2 ,25.1 ,24.4 b
READ,T,PC,LU,35.1 ,22.7 ,22.9 ,26.0 b,22.2 ,25.6 ,29.3 b
READ,T,PC,LV,30.1 ,18.0 ,21.2 ,17.6 b,17.0 ,17.7 ,22.4 b
READ,T,PC,ME,: ,: ,56.3 ,49.5 b,43.3 ,41.9 ,44.4 b
READ,T,PC,MK,62.7 ,: ,: ,: b,: ,70.7 ,55.1 b
READ,T,PC,MT,: ,: ,: ,36.3 b,: ,35.6 ,35.9 b
READ,T,PC,NL,: ,11.5 ,15.1 ,14.3 b,14.0 ,18.1 ,24.1 b
READ,T,PC,NO,17.5 ,18.1 ,22.4 ,15.0 b,16.2 ,14.9 ,19.3 b
READ,T,PC,PL,23.2 ,16.8 ,16.2 ,15.0 b,10.6 ,14.4 ,14.7 b
READ,T,PC,PT,26.3 ,21.9 ,24.9 ,17.6 b,18.8 ,17.2 ,20.2 b
READ,T,PC,RO,41.3 ,: ,53.5 ,40.4 b,37.3 ,38.7 ,40.8 b
READ,T,PC,RS,: ,: ,51.7 ,32.8 b,33.1 ,: ,37.7 b
READ,T,PC,RU,27.4 ,34.0 ,35.3 ,27.4 b,22.3 ,16.2 ,22.1 b
READ,T,PC,SE,12.6 ,13.3 ,15.3 ,17.4 b,22.7 ,18.4 ,18.4 b
READ,T,PC,SI,: ,: ,16.5 ,21.2 b,21.1 ,15.1 ,17.9 b
READ,T,PC,SK,: ,24.9 ,27.8 ,22.2 b,28.2 ,32.1 ,31.4 b
READ,T,PC,TR,: ,36.8 ,32.2 ,24.5 b,21.6 ,40.0 ,26.1 b
READ,T,PC,UK,: ,: ,19.0 ,18.4 b,16.6 ,17.9 ,17.3 b
READ,T,PC,US,17.9 ,19.4 ,: ,17.6 b,16.6 ,19.0 ,19.3 b
SCI,T,PC,AL,: ,: ,: ,57.3 ,53.1 ,41.7 ,47.0 
SCI,T,PC,AT,: ,: ,16.3 ,: ,15.8 ,20.8 ,21.9 
SCI,T,PC,BE,: ,: ,17.0 ,18.0 ,17.7 ,19.8 ,20.0 
SCI,T,PC,BG,: ,: ,42.6 ,38.8 ,36.9 ,37.9 ,46.5 
SCI,T,PC,CH,: ,: ,16.1 ,14.0 ,12.8 ,18.5 ,20.2 
SCI,T,PC,CY,: ,: ,: ,: ,38.0 ,42.1 ,39.0 
SCI,T,PC,CZ,: ,: ,15.5 ,17.3 ,13.8 ,20.7 ,18.8 
SCI,T,PC,DE,: ,: ,15.4 ,14.8 ,12.2 ,17.0 ,19.6 
SCI,T,PC,DK,: ,: ,18.4 ,16.6 ,16.7 ,15.9 ,18.7 
SCI,T,PC,EE,: ,: ,7.7 ,8.3 ,5.0 ,8.8 ,8.8 
SCI,T,PC,EL,: ,: ,24.0 ,25.3 ,25.5 ,32.7 ,31.7 
SCI,T,PC,ES,: ,: ,19.6 ,18.2 ,15.7 ,18.3 ,21.3 
SCI,T,PC,EU27_2020,: ,: ,20.8 ,18.2 ,16.8 ,21.1 ,22.3 
SCI,T,PC,EU28,: ,: ,: ,: ,: ,20.6 ,21.6 
SCI,T,PC,FI,: ,: ,4.1 ,6.0 ,7.7 ,11.5 ,12.9 
SCI,T,PC,FR,: ,: ,21.2 ,19.3 ,18.7 ,22.1 ,20.5 
SCI,T,PC,HR,: ,: ,17.0 ,18.5 ,17.3 ,24.6 ,25.4 
SCI,T,PC,HU,: ,: ,15.0 ,14.1 ,18.0 ,26.0 ,24.1 
SCI,T,PC,IE,: ,: ,15.5 ,15.2 ,11.1 ,15.3 ,17.0 
SCI,T,PC,IS,: ,: ,20.6 ,17.9 ,24.0 ,25.3 ,25.0 
SCI,T,PC,IT,: ,: ,25.3 ,20.6 ,18.7 ,23.2 ,25.9 
SCI,T,PC,JP,: ,: ,12.0 ,10.7 ,8.5 ,9.6 ,10.8 
SCI,T,PC,KR,: ,: ,11.2 ,6.3 ,6.6 ,14.4 ,14.2 
SCI,T,PC,LT,: ,: ,20.3 ,17.0 ,16.1 ,24.7 ,22.2 
SCI,T,PC,LU,: ,: ,22.1 ,23.7 ,22.2 ,25.9 ,26.8 
SCI,T,PC,LV,: ,: ,17.4 ,14.7 ,12.4 ,17.2 ,18.5 
SCI,T,PC,ME,: ,: ,50.2 ,53.6 ,50.7 ,51.0 ,48.2 
SCI,T,PC,MK,: ,: ,: ,: ,: ,62.9 ,49.5 
SCI,T,PC,MT,: ,: ,: ,32.5 ,: ,32.5 ,33.5 
SCI,T,PC,NL,: ,: ,13.0 ,13.2 ,13.1 ,18.5 ,20.0 
SCI,T,PC,NO,: ,: ,21.1 ,15.8 ,19.6 ,18.7 ,20.8 
SCI,T,PC,PL,: ,: ,17.0 ,13.1 ,9.0 ,16.3 ,13.8 
SCI,T,PC,PT,: ,: ,24.5 ,16.5 ,19.0 ,17.4 ,19.6 
SCI,T,PC,RO,: ,: ,46.9 ,41.4 ,37.3 ,38.5 ,43.9 
SCI,T,PC,RS,: ,: ,38.5 ,34.4 ,35.0 ,: ,38.3 
SCI,T,PC,RU,: ,: ,22.2 ,22.0 ,18.8 ,18.2 ,21.2 
SCI,T,PC,SE,: ,: ,16.4 ,19.1 ,22.2 ,21.6 ,19.0 
SCI,T,PC,SI,: ,: ,13.9 ,14.8 ,12.9 ,15.0 ,14.6 
SCI,T,PC,SK,: ,: ,20.2 ,19.3 ,26.9 ,30.7 ,29.3 
SCI,T,PC,TR,: ,: ,46.6 ,30.0 ,26.4 ,44.5 ,25.2 
SCI,T,PC,UK,: ,: ,16.7 ,15.0 ,15.0 ,17.4 ,17.4 
SCI,T,PC,US,: ,: ,24.4 ,18.1 ,18.1 ,20.3 ,18.6 
