unit,age,sex,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
PC,Y25-64,F,AT,7.4 ,7.7 ,7.3 ,8.6 ,12.3 b,13.6 ,14.1 b,14.1 ,14.2 ,14.9 ,14.9 ,14.6 ,15.3 ,15.4 ,15.4 ,15.4 ,16.3 ,17.3 ,16.5 ,16.3 ,12.7 ,15.8 b
PC,Y25-64,F,BE,5.7 ,5.9 ,6.0 ,6.9 ,8.5 b,8.5 ,7.9 b,7.6 ,7.5 ,7.5 ,7.6 ,7.8 ,7.3 ,7.1 ,7.9 ,7.3 ,7.5 ,8.8 b,9.0 ,8.6 ,7.7 ,10.4 b
PC,Y25-64,F,BG,: ,1.4 b,1.2 ,1.4 b,1.3 ,1.2 ,1.5 b,1.6 ,1.6 ,1.7 ,1.7 b,1.6 b,1.8 ,2.1 ,2.3 ,2.1 ,2.3 ,2.4 ,2.6 ,2.1 ,1.7 ,1.9 b
PC,Y25-64,F,CH,29.4 ,32.1 ,30.7 ,24.0 b,27.4 ,26.5 ,23.4 ,27.5 ,28.2 ,25.0 ,28.8 b,27.9 ,28.0 ,28.7 ,30.3 ,30.2 ,31.1 ,30.5 ,30.9 ,31.3 ,26.7 ,22.9 b
PC,Y25-64,F,CY,3.2 ,3.4 ,3.8 ,8.5 b,9.6 ,6.3 ,8.0 b,8.9 ,9.0 ,8.2 b,8.2 ,7.9 ,8.0 ,7.4 ,7.5 ,7.9 ,7.1 ,7.1 ,6.6 ,6.2 ,4.5 ,9.5 b
PC,Y25-64,F,CZ,: ,: ,5.4 ,5.4 b,6.0 ,5.9 ,6.0 b,6.1 ,8.1 ,7.3 ,8.0 ,11.9 b,11.4 ,9.9 b,9.8 ,8.6 ,9.0 ,10.0 ,8.7 ,8.1 ,5.5 ,5.9 b
PC,Y25-64,F,DE,4.8 ,4.8 ,5.5 ,5.6 b,7.0 ,7.4 b,7.2 ,7.6 ,8.0 b,7.9 ,7.7 b,7.8 ,7.8 ,7.9 ,7.9 ,8.0 ,8.3 ,8.1 ,8.0 ,8.1 ,7.5 b,7.6 b
PC,Y25-64,F,DK,21.8 ,20.7 ,20.5 ,27.4 b,29.1 ,31.2 ,33.8 ,34.4 b,35.2 b,37.4 ,39.4 ,38.9 ,38.0 ,37.2 ,37.6 ,37.5 ,33.0 b,31.4 b,27.9 ,30.0 ,23.6 ,26.6 b
PC,Y25-64,F,EA20,: ,: ,5.5 ,6.5 ,7.3 ,8.1 ,8.3 ,8.5 ,8.6 ,8.5 ,8.4 ,8.6 ,8.8 ,11.3 b,11.6 ,11.6 ,11.8 ,12.0 ,12.2 ,12.5 ,10.6 ,12.1 b
PC,Y25-64,F,EE,8.3 b,7.1 ,7.0 ,8.3 b,7.6 ,7.3 ,8.5 ,9.3 ,12.5 ,13.3 b,13.1 ,14.5 ,14.8 ,15.3 ,13.9 ,13.9 ,18.2 ,20.4 ,22.9 ,22.9 ,20.6 ,22.5 b
PC,Y25-64,F,EL,1.0 ,1.1 b,1.1 ,2.7 b,1.8 b,1.8 ,2.0 b,2.4 ,3.3 b,3.5 b,3.2 ,2.6 ,3.0 ,3.1 ,3.1 ,3.3 ,4.0 ,4.4 ,4.5 ,4.2 ,4.0 ,3.4 b
PC,Y25-64,F,ES,4.9 ,4.9 ,5.0 ,5.3 b,5.3 ,11.7 b,12.0 b,11.9 ,11.8 ,11.8 ,12.1 ,12.1 ,12.1 ,12.2 ,10.8 b,10.7 ,10.2 ,10.6 ,11.5 ,11.7 ,12.0 ,16.0 b
PC,Y25-64,F,EU27_2020,: ,: ,5.5 ,6.7 b,7.4 ,8.1 ,8.3 b,8.5 ,8.6 ,8.5 ,8.4 ,8.6 ,8.8 ,10.7 b,10.9 ,10.9 ,11.1 ,11.3 ,11.6 ,11.9 ,10.0 ,11.6 b
PC,Y25-64,F,FI,19.6 b,19.7 ,20.0 ,26.2 b,26.4 ,26.1 ,27.0 ,27.5 ,26.9 ,25.9 ,27.1 ,27.7 ,28.4 ,28.8 ,28.8 ,29.1 ,30.3 ,31.5 ,32.4 ,33.3 ,31.7 ,35.8 b
PC,Y25-64,F,FR,3.1 ,3.0 ,3.0 ,7.0 b,6.1 ,6.2 ,6.8 ,6.6 ,6.4 ,6.1 ,5.4 ,5.9 ,6.0 ,20.0 b,20.8 b,21.2 ,21.2 ,21.1 ,21.0 ,22.2 ,14.6 ,12.1 b
PC,Y25-64,F,HR,: ,: ,1.9 ,1.9 ,2.0 ,2.1 b,2.9 b,3.3 ,2.9 ,2.9 ,3.0 ,3.3 ,3.7 ,3.3 ,3.0 ,3.6 ,2.9 ,2.6 ,3.4 ,3.7 ,3.8 ,6.4 b
PC,Y25-64,F,HU,3.3 ,3.1 b,3.3 ,4.9 b,4.6 ,4.6 ,4.6 b,4.5 ,3.8 ,3.4 ,3.1 ,3.1 ,3.1 ,3.2 ,3.6 ,7.5 b,7.0 ,6.4 ,6.4 ,6.0 ,5.7 ,5.9 b
PC,Y25-64,F,IE,: ,: ,6.4 ,6.8 ,7.1 b,8.6 ,8.9 b,9.2 b,8.2 ,7.3 ,7.5 ,7.6 ,7.8 ,7.9 ,7.6 ,7.1 ,6.8 ,10.0 b,14.6 ,14.5 ,12.6 ,15.2 b
PC,Y25-64,F,IS,26.7 ,28.1 ,27.7 ,34.1 bu,28.9 ,29.8 ,33.7 ,32.0 ,30.5 ,30.1 b,29.6 ,29.5 ,32.0 ,29.8 ,30.6 ,32.7 ,28.3 ,26.8 ,25.0 ,25.7 ,24.1 b,28.8 b
PC,Y25-64,F,IT,4.8 ,4.6 ,4.6 ,4.8 ,6.7 b,6.2 ,6.5 b,6.5 ,6.6 ,6.4 ,6.5 ,6.1 ,7.0 ,6.5 ,8.3 ,7.7 ,8.7 ,8.4 ,8.6 ,8.6 ,7.4 ,10.0 b
PC,Y25-64,F,LT,3.6 ,4.6 ,4.0 b,4.7 ,7.5 b,7.8 ,6.8 b,7.2 ,6.0 ,5.5 ,5.2 ,7.3 ,6.2 ,6.5 ,5.6 ,6.5 ,6.8 ,7.3 ,8.3 ,8.5 ,8.7 ,10.2 b
PC,Y25-64,F,LU,3.9 ,4.7 ,6.4 ,6.1 b,10.1 ,8.5 ,8.9 b,7.6 b,9.6 ,13.7 b,14.2 ,13.3 ,14.1 ,15.2 ,15.1 ,17.8 b,16.9 ,17.6 ,18.4 ,18.5 ,17.3 ,18.3 b
PC,Y25-64,F,LV,: ,: ,9.2 b,9.8 b,10.8 ,10.6 ,9.7 b,9.4 ,9.2 ,7.3 ,7.0 ,6.5 ,8.1 ,8.2 ,6.3 ,7.2 ,8.5 ,8.8 ,8.4 ,9.3 ,8.4 ,11.5 b
PC,Y25-64,F,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,2.3 ,2.2 ,2.8 ,2.7 ,2.5 ,2.9 ,2.5 ,3.0 ,3.0 ,2.8 ,: 
PC,Y25-64,F,MK,: ,: ,: ,: ,: ,: ,2.3 ,3.1 b,2.8 ,3.5 ,3.6 ,3.5 ,4.0 ,3.6 ,3.3 ,2.5 ,3.0 ,2.2 ,2.3 ,2.7 ,2.7 ,: 
PC,Y25-64,F,MT,3.5 ,3.4 ,3.8 ,3.6 ,3.8 b,4.7 b,5.5 b,5.6 ,6.2 ,6.4 ,6.4 ,7.1 ,7.6 ,8.0 ,8.1 ,7.9 ,8.7 ,11.9 b,12.5 ,13.4 ,12.6 ,14.9 b
PC,Y25-64,F,NL,14.7 ,15.2 ,15.5 ,16.8 b,16.8 ,15.8 b,16.1 b,17.4 ,17.4 ,17.6 ,17.7 ,17.3 b,17.4 ,18.4 b,18.6 ,19.4 ,19.6 ,20.1 ,20.0 ,20.4 ,19.8 ,27.5 b
PC,Y25-64,F,NO,: ,: ,: ,20.3 ,20.9 ,21.8 ,20.7 b,19.4 ,21.0 ,20.0 ,19.8 ,19.7 ,21.8 ,22.4 ,21.9 ,22.0 ,21.4 ,21.6 ,22.1 ,21.0 ,17.9 ,21.2 b
PC,Y25-64,F,PL,: ,4.9 ,4.7 ,4.9 b,5.7 b,5.4 ,5.1 ,5.5 ,5.2 b,5.1 ,5.7 b,4.9 ,5.1 ,4.9 b,4.3 ,3.8 ,4.0 ,4.4 ,6.3 b,5.4 ,4.3 ,5.9 b
PC,Y25-64,F,PT,3.5 ,3.6 ,3.1 ,3.4 ,4.4 b,4.2 ,4.3 b,4.5 ,5.6 ,6.8 ,5.7 ,12.1 b,10.9 ,10.1 ,9.9 ,9.8 ,9.7 ,10.0 ,10.8 ,10.7 ,10.4 ,13.7 b
