indic_cr,unit,sex,time,geo\age,Y_GE60 ,Y50-59 ,Y40-49 ,Y30-39 ,Y18-29 ,Y15-74 
12M_INTVW,PC_WMN,F,2012,AT,4 ,4 ,3 ,8 ,6 ,5 
12M_INTVW,PC_WMN,F,2012,BE,4 ,8 ,11 ,13 ,18 ,11 
12M_INTVW,PC_WMN,F,2012,BG,5 ,8 ,5 ,11 ,12 ,8 
12M_INTVW,PC_WMN,F,2012,CY,6 ,4 ,3 ,4 ,6 ,5 
12M_INTVW,PC_WMN,F,2012,CZ,2 ,6 ,8 ,13 ,10 ,8 
12M_INTVW,PC_WMN,F,2012,DE,4 ,5 ,7 ,10 ,17 ,8 
12M_INTVW,PC_WMN,F,2012,DK,4 ,8 ,11 ,10 ,22 ,11 
12M_INTVW,PC_WMN,F,2012,EE,1 ,2 ,9 ,3 ,8 ,5 
12M_INTVW,PC_WMN,F,2012,EL,2 ,5 ,11 ,9 ,9 ,7 
12M_INTVW,PC_WMN,F,2012,ES,3 ,3 ,3 ,6 ,4 ,4 
12M_INTVW,PC_WMN,F,2012,EU27_2020,4 ,5 ,8 ,9 ,12 ,8 
12M_INTVW,PC_WMN,F,2012,EU28,5 ,5 ,8 ,9 ,13 ,8 
12M_INTVW,PC_WMN,F,2012,FI,3 ,7 ,8 ,14 ,22 ,10 
12M_INTVW,PC_WMN,F,2012,FR,5 ,6 ,9 ,13 ,22 ,11 
12M_INTVW,PC_WMN,F,2012,HR,6 ,5 ,6 ,3 ,6 ,5 
12M_INTVW,PC_WMN,F,2012,HU,5 ,8 ,8 ,13 ,12 ,9 
12M_INTVW,PC_WMN,F,2012,IE,3 ,8 ,6 ,6 ,14 ,8 
12M_INTVW,PC_WMN,F,2012,IT,8 ,4 ,9 ,8 ,6 ,7 
12M_INTVW,PC_WMN,F,2012,LT,2 ,5 ,8 ,8 ,4 ,6 
12M_INTVW,PC_WMN,F,2012,LU,5 ,5 ,7 ,6 ,10 ,7 
12M_INTVW,PC_WMN,F,2012,LV,2 ,6 ,7 ,9 ,9 ,6 
12M_INTVW,PC_WMN,F,2012,MT,2 ,5 ,4 ,7 ,8 ,5 
12M_INTVW,PC_WMN,F,2012,NL,5 ,9 ,11 ,11 ,22 ,11 
12M_INTVW,PC_WMN,F,2012,PL,2 ,4 ,5 ,6 ,5 ,4 
12M_INTVW,PC_WMN,F,2012,PT,4 ,7 ,9 ,6 ,4 ,6 
12M_INTVW,PC_WMN,F,2012,RO,4 ,6 ,10 ,6 ,9 ,7 
12M_INTVW,PC_WMN,F,2012,SE,5 ,8 ,10 ,11 ,22 ,11 
12M_INTVW,PC_WMN,F,2012,SI,1 ,3 ,3 ,2 ,6 ,3 
12M_INTVW,PC_WMN,F,2012,SK,6 ,9 ,12 ,10 ,12 ,10 
12M_INTVW,PC_WMN,F,2012,UK,6 ,3 ,8 ,6 ,17 ,8 
