org_inst,sex,unit,geo\time,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
GOV_NAT,F,PC_WMN,AL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,46.5 ,48.8 ,47.7 ,59.5 ,: 
GOV_NAT,F,PC_WMN,AT,26.7 d,27.8 ,37.5 ,33.3 ,35.0 ,35.0 ,33.3 ,38.9 ,33.3 ,33.3 ,33.3 ,31.3 ,31.3 ,25.0 ,26.7 ,37.5 ,50.0 ,52.9 ,47.1 ,44.4 
GOV_NAT,F,PC_WMN,BA,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,10.0 ,11.1 ,15.0 ,15.0 ,: 
GOV_NAT,F,PC_WMN,BE,40.0 d,26.3 ,26.3 ,25.0 ,26.3 ,31.8 ,18.2 ,22.7 ,23.8 ,31.6 ,31.6 ,22.2 ,27.8 ,22.2 ,22.2 ,22.2 ,30.8 ,50.0 ,50.0 ,55.0 
GOV_NAT,F,PC_WMN,BG,26.5 d,27.7 ,30.7 ,29.5 ,30.1 ,29.5 ,31.6 ,33.3 ,35.2 ,38.0 ,33.9 ,30.9 ,27.0 ,36.1 ,37.0 ,39.2 ,39.4 ,40.0 ,36.2 ,40.3 
GOV_NAT,F,PC_WMN,CY,9.1 d,0.0 ,0.0 ,0.0 ,16.0 ,12.0 ,8.3 ,16.7 ,25.0 ,33.3 ,8.3 ,8.3 ,8.3 ,8.3 ,8.3 ,16.7 ,16.7 ,25.0 ,25.0 ,16.7 
GOV_NAT,F,PC_WMN,CZ,: ,11.8 ,9.5 ,11.8 ,16.7 ,11.1 ,17.6 ,0.0 ,6.3 ,12.5 ,6.7 ,17.6 ,17.6 ,17.6 ,11.8 ,26.7 ,26.7 ,28.6 ,28.6 ,11.8 
GOV_NAT,F,PC_WMN,DE,45.7 d,46.7 ,26.7 ,38.9 ,30.4 ,32.6 ,32.6 ,28.3 ,28.3 ,28.3 ,27.3 ,42.9 ,40.8 ,40.8 ,42.2 ,39.2 ,40.8 ,41.2 ,40.8 ,50.0 
GOV_NAT,F,PC_WMN,DK,27.8 d,29.4 ,27.8 ,27.8 ,36.8 ,36.8 ,42.1 ,47.4 ,39.1 ,43.5 ,45.5 ,30.0 ,29.4 ,29.4 ,40.9 ,40.9 ,31.6 ,35.0 ,30.0 ,30.0 
GOV_NAT,F,PC_WMN,EE,9.1 d,8.3 ,16.7 ,15.4 ,21.4 ,21.4 ,7.7 ,7.7 ,7.7 ,7.7 ,7.7 ,42.9 ,13.3 ,13.3 ,26.7 ,26.7 ,13.3 ,13.3 ,46.7 ,46.7 
GOV_NAT,F,PC_WMN,EL,6.4 d,4.5 ,4.5 ,7.7 ,4.9 ,7.3 ,25.0 ,20.4 ,9.8 ,4.0 ,8.0 ,8.0 ,15.2 ,17.4 ,16.3 ,25.5 ,9.8 ,11.3 ,15.5 ,15.3 
GOV_NAT,F,PC_WMN,ES,25.0 d,43.8 ,50.0 ,50.0 ,35.1 ,43.9 ,38.6 ,35.7 ,32.6 ,26.3 ,26.3 ,34.2 ,26.3 ,25.7 ,31.6 ,51.2 ,50.0 ,46.9 ,46.9 ,48.0 
GOV_NAT,F,PC_WMN,EU27_2020,22.6 d,19.7 ,18.9 ,22.2 ,23.1 ,23.6 ,25.3 ,25.0 ,23.6 ,25.2 ,25.9 ,27.7 ,27.7 ,27.6 ,28.5 ,30.1 ,31.4 ,32.7 ,33.4 ,33.9 
GOV_NAT,F,PC_WMN,EU28,23.3 d,20.4 ,20.0 ,22.5 ,24.2 ,24.8 ,25.8 ,23.8 ,22.7 ,24.3 ,25.2 ,27.3 ,27.4 ,27.2 ,28.2 ,30.2 ,31.4 ,: ,: ,: 
GOV_NAT,F,PC_WMN,FI,44.4 d,47.1 ,47.1 ,37.0 ,60.0 ,60.0 ,51.6 ,51.6 ,43.8 ,46.9 ,53.1 ,53.6 ,33.3 ,35.3 ,33.3 ,38.1 ,57.6 ,54.5 ,55.9 ,52.9 
GOV_NAT,F,PC_WMN,FR,27.3 d,20.5 ,16.0 ,20.7 ,33.3 ,34.2 ,33.3 ,34.2 ,26.5 ,48.7 ,47.4 ,47.1 ,48.5 ,47.4 ,50.0 ,48.6 ,48.6 ,51.2 ,51.2 ,50.0 
GOV_NAT,F,PC_WMN,HR,: ,: ,: ,: ,26.7 ,22.2 ,20.0 ,15.8 ,10.5 ,13.6 ,19.0 ,19.0 ,14.3 ,19.0 ,28.6 ,23.8 ,19.0 ,27.8 ,27.8 ,27.8 
GOV_NAT,F,PC_WMN,HU,8.1 d,8.8 ,10.7 ,17.4 ,11.4 ,13.5 ,0.0 ,0.0 ,0.0 ,9.1 ,10.0 ,0.0 ,0.0 ,0.0 ,0.0 ,7.1 ,14.3 ,20.0 ,20.0 ,6.7 
GOV_NAT,F,PC_WMN,IE,12.9 d,11.1 ,16.1 ,16.1 ,14.3 ,14.3 ,13.3 ,16.7 ,20.0 ,16.7 ,13.3 ,20.0 ,20.0 ,24.2 ,20.6 ,20.6 ,20.6 ,25.7 ,25.7 ,25.7 
GOV_NAT,F,PC_WMN,IS,18.2 d,27.3 ,27.3 ,36.4 ,33.3 ,33.3 ,50.0 ,40.0 ,40.0 ,50.0 ,33.3 ,33.3 ,40.0 ,50.0 ,36.4 ,45.5 ,45.5 ,45.5 ,45.5 ,41.7 
GOV_NAT,F,PC_WMN,IT,10.8 d,10.5 ,5.3 ,21.6 ,20.4 ,14.8 ,14.8 ,19.4 ,21.9 ,13.0 ,24.2 ,27.1 ,26.3 ,25.4 ,28.1 ,16.7 ,33.8 ,33.8 ,43.1 ,31.1 
GOV_NAT,F,PC_WMN,LI,20.0 d,33.3 ,25.0 ,25.0 ,40.0 ,40.0 ,30.0 ,30.0 ,30.0 ,30.0 ,50.0 ,50.0 ,50.0 ,55.6 ,40.0 ,40.0 ,40.0 ,40.0 ,50.0 ,50.0 
GOV_NAT,F,PC_WMN,LT,: ,15.4 ,15.4 ,23.1 ,25.9 ,18.5 ,17.8 ,19.6 ,17.3 ,13.7 ,18.3 ,20.4 ,21.3 ,24.1 ,26.4 ,25.5 ,32.8 ,33.3 ,43.8 ,41.5 
GOV_NAT,F,PC_WMN,LU,33.3 d,21.4 ,14.3 ,21.4 ,20.0 ,20.0 ,26.7 ,26.7 ,26.7 ,26.7 ,26.7 ,27.8 ,27.8 ,22.2 ,22.2 ,22.2 ,29.4 ,29.4 ,29.4 ,35.3 
GOV_NAT,F,PC_WMN,LV,25.0 d,25.0 ,23.5 ,23.5 ,27.8 ,27.0 ,24.1 ,26.3 ,28.6 ,30.8 ,28.0 ,24.0 ,25.9 ,21.4 ,22.2 ,25.9 ,28.6 ,25.9 ,28.6 ,28.6 
GOV_NAT,F,PC_WMN,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,25.0 ,18.2 ,20.0 ,21.1 ,21.1 ,21.1 ,30.8 ,: 
GOV_NAT,F,PC_WMN,MK,: ,: ,: ,: ,: ,8.3 ,13.5 ,13.5 ,13.9 ,15.8 ,10.3 ,12.8 ,10.0 ,12.2 ,14.6 ,12.2 ,15.0 ,16.7 ,16.7 ,: 
GOV_NAT,F,PC_WMN,MT,: ,15.8 ,16.7 ,15.8 ,15.8 ,13.3 ,13.3 ,15.4 ,14.3 ,15.4 ,8.7 ,8.7 ,8.7 ,13.0 ,12.0 ,12.0 ,8.7 ,7.7 ,11.5 ,20.0 
GOV_NAT,F,PC_WMN,NL,38.5 d,36.0 ,34.8 ,31.8 ,40.7 ,40.7 ,40.7 ,35.7 ,20.0 ,35.0 ,40.0 ,40.0 ,35.0 ,35.0 ,41.7 ,41.7 ,43.5 ,48.0 ,30.4 ,48.3 
GOV_NAT,F,PC_WMN,NO,47.1 d,36.4 ,36.2 ,45.0 ,46.6 ,42.9 ,44.8 ,45.3 ,46.9 ,44.6 ,33.3 ,33.3 ,39.1 ,38.8 ,40.0 ,42.4 ,38.4 ,44.1 ,47.7 ,43.3 
GOV_NAT,F,PC_WMN,PL,: ,6.3 ,14.3 ,20.0 ,18.3 ,20.7 ,21.5 ,18.1 ,20.2 ,26.3 ,27.7 ,29.6 ,29.1 ,17.6 ,18.9 ,17.0 ,15.1 ,20.4 ,19.4 ,20.2 
GOV_NAT,F,PC_WMN,PT,18.9 d,13.5 ,13.0 ,10.2 ,9.8 ,11.1 ,16.4 ,18.2 ,16.7 ,14.3 ,14.3 ,14.3 ,33.9 ,32.2 ,32.8 ,36.1 ,37.1 ,38.6 ,37.1 ,35.1 
GOV_NAT,F,PC_WMN,RO,15.0 d,17.6 ,15.2 ,13.5 ,0.0 ,0.0 ,18.2 ,11.8 ,16.7 ,19.0 ,21.4 ,20.0 ,35.0 ,36.4 ,21.4 ,33.3 ,17.6 ,16.7 ,7.1 ,9.1 
