prof_pos,sex,unit,geo\time,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
BRD,F,PC,AT,5.6 ,6.0 ,7.1 ,5.9 ,5.0 ,6.4 ,7.0 ,8.7 ,11.1 ,11.9 ,12.6 ,17.1 ,20.0 ,18.1 ,19.2 ,26.1 ,31.3 ,31.5 ,34.6 ,33.2 
BRD,F,PC,BA,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,14.8 ,17.0 ,17.0 ,11.3 ,15.1 
BRD,F,PC,BE,6.0 ,6.8 ,6.2 ,5.8 ,6.4 ,7.2 ,7.6 ,10.5 ,10.9 ,12.9 ,16.7 ,22.4 ,26.0 ,28.6 ,30.7 ,32.0 ,35.9 ,38.4 ,37.9 ,39.3 
BRD,F,PC,BG,11.4 ,18.3 ,18.7 ,17.1 ,14.5 ,11.6 ,17.2 ,11.2 ,15.2 ,11.6 ,16.7 ,17.6 ,19.0 ,15.3 ,17.1 ,14.5 ,18.5 ,12.9 ,21.7 ,14.8 
BRD,F,PC,CY,6.2 ,6.6 ,6.9 ,5.9 ,2.1 ,2.8 ,3.3 ,4.0 ,4.6 ,7.7 ,7.3 ,9.3 ,9.0 ,10.8 ,10.4 ,11.9 ,9.4 ,11.5 ,8.5 ,10.2 
BRD,F,PC,CZ,: ,10.6 ,11.3 ,7.6 ,10.6 ,13.1 ,13.3 ,12.2 ,15.9 ,16.4 ,11.3 ,3.5 ,10.4 ,10.1 ,14.5 ,13.8 ,18.2 ,17.2 ,23.0 ,20.8 
BRD,F,PC,DE,9.8 ,11.7 ,12.2 ,11.2 ,11.3 ,13.3 ,12.9 ,12.6 ,15.2 ,17.9 ,21.5 ,24.4 ,26.1 ,29.5 ,31.9 ,33.8 ,35.6 ,36.3 ,36.0 ,37.2 
BRD,F,PC,DK,12.5 ,11.3 ,11.0 ,12.1 ,15.3 ,16.9 ,17.6 ,17.7 ,16.3 ,20.8 ,22.9 ,24.0 ,25.8 ,27.1 ,30.3 ,27.7 ,30.0 ,33.6 ,34.9 ,40.8 
BRD,F,PC,EE,14.7 ,15.5 ,12.7 ,13.1 ,10.1 ,8.4 ,6.4 ,7.0 ,6.7 ,7.8 ,7.3 ,7.1 ,8.1 ,8.8 ,7.4 ,8.0 ,9.4 ,8.8 ,9.1 ,10.3 
BRD,F,PC,EL,7.8 ,7.3 ,7.1 ,7.9 ,11.2 ,5.7 ,5.1 ,6.2 ,6.5 ,7.9 ,8.4 ,8.9 ,9.8 ,9.1 ,11.3 ,9.1 ,10.3 ,13.0 ,19.6 ,24.0 
BRD,F,PC,ES,3.3 ,4.2 ,4.3 ,4.5 ,6.2 ,8.0 ,9.6 ,9.5 ,11.1 ,12.3 ,14.8 ,16.9 ,18.7 ,20.3 ,22.0 ,23.7 ,26.4 ,29.3 ,32.6 ,35.7 
BRD,F,PC,EU27_2020,8.2 ,8.8 ,9.6 ,9.6 ,10.3 ,10.6 ,10.9 ,11.8 ,13.4 ,15.4 ,17.5 ,19.8 ,22.2 ,23.6 ,25.1 ,26.4 ,28.4 ,29.5 ,30.6 ,32.2 
BRD,F,PC,EU28,8.5 ,9.0 ,9.8 ,9.7 ,10.4 ,10.8 ,11.0 ,11.9 ,13.7 ,15.8 ,17.8 ,20.2 ,22.7 ,23.9 ,25.3 ,26.7 ,28.8 ,: ,: ,: 
BRD,F,PC,FI,11.7 ,16.3 ,19.9 ,20.4 ,18.5 ,20.4 ,23.6 ,25.9 ,26.5 ,28.6 ,29.8 ,29.2 ,29.2 ,30.1 ,32.8 ,34.5 ,34.2 ,35.1 ,35.2 ,36.1 
BRD,F,PC,FR,5.3 ,5.9 ,7.3 ,7.6 ,8.8 ,9.3 ,10.2 ,12.3 ,21.6 ,25.1 ,29.7 ,32.4 ,35.6 ,41.2 ,43.4 ,44.0 ,45.2 ,45.1 ,45.3 ,45.2 
BRD,F,PC,HR,: ,: ,: ,: ,13.7 ,11.5 ,15.0 ,15.6 ,19.0 ,15.1 ,15.1 ,19.0 ,22.2 ,19.9 ,21.6 ,17.2 ,27.0 ,26.2 ,23.4 ,27.6 
BRD,F,PC,HU,11.1 ,8.9 ,9.6 ,11.5 ,10.8 ,16.3 ,13.3 ,13.6 ,5.3 ,7.4 ,11.3 ,11.8 ,17.8 ,12.3 ,14.5 ,14.9 ,12.9 ,9.9 ,9.4 ,10.4 
BRD,F,PC,IE,6.8 ,5.6 ,6.0 ,5.1 ,6.7 ,7.1 ,8.3 ,8.4 ,8.8 ,8.7 ,11.1 ,10.9 ,15.3 ,16.5 ,17.6 ,18.7 ,26.0 ,28.8 ,30.2 ,33.7 
