indicator,unit,hhtyp,incgrp,sex,age,geo\time,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
ind6,PC,TOTAL,A_MD60,T,TOTAL,AL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,2.1 ,3.4 ,2.3 ,2.3 
ind6,PC,TOTAL,A_MD60,T,TOTAL,AT,0.6 ,0.4 ,0.2 ,0.2 ,0.4 ,0.4 b,0.3 ,0.2 ,0.3 ,0.3 ,0.1 ,0.1 ,0.2 ,0.1 ,0.1 ,0.3 ,0.1 ,0.4 
ind6,PC,TOTAL,A_MD60,T,TOTAL,BE,0.5 ,0.5 ,0.4 ,0.3 ,0.2 ,0.2 ,0.2 ,0.1 ,0.1 ,0.2 ,0.2 ,0.2 ,0.1 ,0.0 ,0.0 ,0.1 ,0.1 b,0.1 
ind6,PC,TOTAL,A_MD60,T,TOTAL,BG,: ,: ,: ,13.8 ,10.4 ,10.3 b,7.8 ,7.0 ,6.7 ,6.9 ,6.0 ,6.0 b,5.3 ,5.0 b,3.8 ,3.6 ,3.1 ,2.7 
ind6,PC,TOTAL,A_MD60,T,TOTAL,CH,: ,: ,: ,: ,1.4 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.0 ,0.2 b,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
ind6,PC,TOTAL,A_MD60,T,TOTAL,CY,: ,: ,0.9 ,0.8 ,0.6 ,0.5 b,0.2 ,0.4 ,0.6 ,0.6 ,0.8 ,0.6 ,0.4 ,0.4 ,0.2 ,0.3 ,0.3 ,0.3 
ind6,PC,TOTAL,A_MD60,T,TOTAL,CZ,: ,: ,0.6 ,0.3 ,0.3 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.1 ,0.1 ,0.2 ,0.2 ,0.2 ,0.1 
ind6,PC,TOTAL,A_MD60,T,TOTAL,DE,: ,: ,0.1 ,0.1 ,0.2 ,0.2 ,0.1 ,0.4 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
ind6,PC,TOTAL,A_MD60,T,TOTAL,DK,0.6 ,0.6 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.3 ,0.1 ,0.2 ,0.3 ,0.2 ,0.4 ,0.3 ,0.3 ,0.2 ,0.2 
ind6,PC,TOTAL,A_MD60,T,TOTAL,EA18,: ,: ,0.4 e,0.4 e,0.4 ,0.3 ,0.3 ,0.3 ,0.3 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.3 
ind6,PC,TOTAL,A_MD60,T,TOTAL,EA19,: ,: ,0.6 e,0.6 e,0.5 ,0.4 ,0.3 ,0.4 ,0.4 ,0.3 ,0.3 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.2 ,0.3 
ind6,PC,TOTAL,A_MD60,T,TOTAL,EE,: ,12.8 ,11.7 ,10.2 ,9.7 ,7.4 ,6.9 ,6.8 ,5.9 ,5.0 ,4.9 ,4.0 b,3.3 ,3.6 ,3.0 ,2.4 ,2.1 ,1.7 
ind6,PC,TOTAL,A_MD60,T,TOTAL,EL,0.6 ,0.7 ,0.7 ,0.7 ,0.4 ,0.6 ,0.6 ,0.4 ,0.5 ,0.3 ,0.5 ,0.5 ,0.3 ,0.2 ,0.2 ,0.1 ,0.1 ,0.1 
ind6,PC,TOTAL,A_MD60,T,TOTAL,ES,: ,0.1 ,0.2 ,0.2 ,0.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.2 ,0.1 ,0.2 ,0.2 ,0.2 
