indicator,ww_tp,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
ind6,WWT_GE2,PC,AL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,9.90 e,8.00 e,7.00 e,7.34 e,33.60 ,31.80 ,30.90 
ind6,WWT_GE2,PC,AT,: ,86.00 e,: ,: ,88.90 ,: ,91.80 e,: ,92.70 e,: ,93.90 e,: ,94.50 ,: ,95.00 ,: ,99.75 e,: ,99.78 e,99.78 e,99.10 e
ind6,WWT_GE2,PC,BA,9.40 s,9.89 e,9.89 e,10.03 e,10.03 e,10.03 e,10.03 e,10.03 e,10.65 e,10.65 e,10.91 e,11.05 e,11.44 e,11.73 e,11.75 e,11.75 e,29.56 e,29.60 e,29.00 e,29.60 e,: 
ind6,WWT_GE2,PC,BE,41.10 e,45.70 e,47.70 e,51.40 e,53.20 e,54.40 e,57.40 e,68.70 e,71.00 e,72.80 e,75.00 e,77.20 e,76.76 e,79.13 e,80.51 e,81.93 e,82.84 e,83.33 e,84.34 e,84.25 e,83.58 d
ind6,WWT_GE2,PC,BG,36.10 ,37.40 ,37.80 ,37.90 ,38.00 ,38.27 ,38.75 ,39.66 ,41.35 ,42.69 ,45.10 ,53.63 ,53.90 ,54.54 ,54.77 ,60.63 e,61.84 e,63.19 e,63.72 e,64.51 e,65.05 e
ind6,WWT_GE2,PC,CH,96.00 e,96.00 e,96.00 e,: ,: ,97.00 e,: ,: ,: ,: ,98.00 e,: ,: ,98.00 e,: ,: ,: ,: ,: ,: ,: 
ind6,WWT_GE2,PC,CY,14.30 ,15.90 ,18.30 ,22.90 ,28.40 ,29.80 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,82.65 ,: ,: 
ind6,WWT_GE2,PC,CZ,: ,: ,69.70 ,70.60 ,70.80 ,72.80 ,71.90 ,73.00 ,75.40 ,75.70 ,76.90 ,78.00 ,78.00 ,79.80 ,79.80 ,80.70 ,81.20 ,82.30 ,82.30 ,82.60 ,83.40 
ind6,WWT_GE2,PC,DE,: ,92.60 ,: ,: ,93.80 ,97.30 ,: ,91.90 ,: ,: ,95.60 ,95.50 e,95.41 e,95.35 ,95.56 e,95.77 e,95.97 ,: ,: ,: ,: 
ind6,WWT_GE2,PC,DK,92.90 s,87.00 e,88.00 e,: ,: ,: ,: ,: ,: ,93.20 ,93.40 ,93.80 ,94.20 ,95.70 ,96.30 e,96.50 ,96.80 ,97.30 ,97.10 ,97.50 ,97.70 
ind6,WWT_GE2,PC,EE,69.00 e,69.00 e,71.00 ,71.00 ,72.00 ,78.00 ,78.00 ,84.00 ,84.00 ,84.00 ,79.00 ,81.00 ,81.00 ,82.00 ,83.00 e,83.00 ,83.00 ,83.00 ,83.00 ,83.00 ,83.00 
ind6,WWT_GE2,PC,EL,: ,: ,: ,: ,: ,: ,: ,85.00 ,: ,87.40 ,87.40 ,88.20 ,92.03 ,92.80 ,92.80 ,93.40 ,93.40 ,94.80 ,94.80 ,94.20 ,: 
ind6,WWT_GE2,PC,ES,80.00 ,: ,88.00 ,: ,: ,: ,88.00 ,: ,88.00 ,: ,93.00 ,: ,88.70 ,: ,84.68 ,: ,86.62 ,: ,86.62 ,: ,: 
ind6,WWT_GE2,PC,EU27_2020,65.58 s,66.81 s,68.33 s,69.45 s,70.41 s,71.79 s,71.96 s,72.70 s,73.55 s,74.61 s,75.76 s,76.69 s,77.22 s,77.60 s,77.97 s,78.85 s,79.70 s,80.25 s,80.56 s,80.85 s,81.12 s
ind6,WWT_GE2,PC,FI,80.00 ,81.00 ,81.00 e,81.00 s,81.00 s,82.00 s,82.00 s,82.00 s,82.00 s,83.00 s,83.00 ,83.00 e,83.00 e,83.00 e,85.00 ,84.00 s,84.00 s,85.00 s,85.00 ,85.00 ,85.00 
ind6,WWT_GE2,PC,FR,: ,77.30 ,: ,: ,79.50 ,: ,: ,: ,: ,: ,77.70 ,79.80 ,80.17 ,80.44 ,80.38 ,80.34 ,80.46 ,80.43 ,80.19 ,80.02 ,79.85 
ind6,WWT_GE2,PC,HR,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,36.90 ,36.90 ,36.90 ,36.90 ,36.90 ,36.90 ,36.90 ,36.90 ,36.90 ,36.90 
