indicator,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
ind6,AL,2.77 ,2.56 ,3.37 ,15 ,5.82 ,2.70 ,7.76 ,10.84 ,15.04 ,10.73 ,9.74 ,7.41 ,9.54 ,9.39 ,9.25 ,9.10 ,8.95 ,6.07 ,9.30 ,6.06 ,7.73 
ind6,AT,1.51 ,1.24 ,1.54 ,1.62 ,1.53 ,1.51 ,1.41 ,1.18 ,1.22 ,1.30 ,1.50 ,1.53 ,1.55 ,1.44 ,1.33 ,1.35 ,1.37 ,1.67 ,1.66 ,1.61 ,1.47 
ind6,BE,2.75 ,2.36 ,2.33 ,2.60 ,2.40 ,2.29 ,2.61 ,2.97 ,2.86 ,3.27 ,2.95 ,2.82 ,2.70 ,2.32 ,2.48 ,2.91 ,2.57 ,2.56 ,2.65 ,2.27 ,2.28 
ind6,BG,4.93 ,4.90 ,4.45 ,3.99 ,3.64 ,3.83 ,4.02 ,4.21 ,3.36 ,3.73 ,2.97 ,2.89 ,3.55 ,2.86 ,2.78 ,2.72 ,2.36 ,2.95 ,2.33 ,2.53 ,3.01 
ind6,CY,2.13 ,2.33 ,2.54 ,2.75 ,2.06 ,1.78 ,2.37 ,3.29 ,4.42 ,2.77 ,2.70 ,3.94 ,2.97 ,1.90 ,4.52 ,2.00 ,2.38 ,3.50 ,2.29 ,1.23 ,1.20 
ind6,CZ,3.62 ,3.46 ,3.65 ,3.95 ,3.92 ,3.47 ,3.04 ,3.25 ,2.97 ,2.62 ,2.52 ,2.69 ,2.70 ,2.69 ,2.68 ,2.75 ,2.64 ,2.73 ,2.69 ,2.46 ,2.54 
ind6,EE,1.58 ,1.64 ,1.61 ,1.61 ,1.57 ,1.58 ,1.81 ,1.63 ,1.68 ,1.70 ,1.56 ,1.74 ,1.47 ,1.63 ,1.73 ,1.73 ,1.81 ,1.75 ,1.53 ,1.53 ,1.53 
ind6,ES,2.71 ,2.15 ,3.38 ,2.17 ,2.33 ,2.22 ,2.65 ,3.15 ,2.91 ,2.59 ,1.80 ,2.31 ,2.56 ,3.23 ,3.25 ,4.53 ,4.36 ,3.81 ,3.45 ,3.49 ,3.58 
ind6,EU_V,3.36 ,3.18 ,3.42 ,3.12 ,3.00 ,2.97 ,2.98 ,3.08 ,2.91 ,2.84 ,2.54 ,2.60 ,2.75 ,2.76 ,2.73 ,3.04 ,2.95 ,2.83 ,2.64 ,2.60 ,2.65 
ind6,HR,2.92 ,2.92 ,2.92 ,2.92 ,2.46 ,2.05 ,1.94 ,1.70 ,1.82 ,1.66 ,1.99 ,1.95 ,2.04 ,2.15 ,2.04 ,1.92 ,1.68 ,1.81 ,1.78 ,1.59 ,1.59 
ind6,IE,1.61 ,1.44 ,1.24 ,1.33 ,1.41 ,1.31 ,1.33 ,1.34 ,1.08 ,1.24 ,1.53 ,1.60 ,1.48 ,1.39 ,1.14 ,1.16 ,1.03 ,1.07 ,1.09 ,1.14 ,1.22 
ind6,IT,2.71 ,2.59 ,2.56 ,2.67 ,2.34 ,2.18 ,2.08 ,2.07 ,2.01 ,2.02 ,2.13 ,1.99 ,2.27 ,2.29 ,2.31 ,2.34 ,2.30 ,1.72 ,1.65 ,1.68 ,1.58 
ind6,LT,2.76 ,2.91 ,2.67 ,2.82 ,2.55 ,2.82 ,2.91 ,2.43 ,2.51 ,2.57 ,2.61 ,2.23 ,2.16 ,2.21 ,2.23 ,2.05 ,2.12 ,2.17 ,2.40 ,2.26 ,2.13 
ind6,LV,2.31 ,2.25 ,2.42 ,2.04 ,1.78 ,1.52 ,1.34 ,1.49 ,1.70 ,1.44 ,1.53 ,1.47 ,1.35 ,1.22 ,1.16 ,1.16 ,1.27 ,1.38 ,1.29 ,1.37 ,1.45 
ind6,MK,3.65 ,7.42 ,6.36 ,5.43 ,5.35 ,5.53 ,5.71 ,5.89 ,7.46 ,5.14 ,2.82 ,3.49 ,3.77 ,3.54 ,3.40 ,2.89 ,2.85 ,3.29 ,3.41 ,3.27 ,3.26 
ind6,PL,4.47 ,4.37 ,4.62 ,4.49 ,4.12 ,4.30 ,4.01 ,3.25 ,3.21 ,3.05 ,3.01 ,2.97 ,2.92 ,2.91 ,2.71 ,2.75 ,2.77 ,2.82 ,2.83 ,2.75 ,2.69 
ind6,RO,5.29 ,5.29 ,4.76 ,5.03 ,4.97 ,5.06 ,4.78 ,5.21 ,5.13 ,5.07 ,4.78 ,4.41 ,4.61 ,4.19 ,4.08 ,3.97 ,3.99 ,3.60 ,3.50 ,3.42 ,3.43 
ind6,RS,2.83 ,2.64 ,2.79 ,2.98 ,2.57 ,2.56 ,2.82 ,2.64 ,2.61 ,2.31 ,2.40 ,2.34 ,2.20 ,2.04 ,2.06 ,2.11 ,2.38 ,2.38 ,2.23 ,2.23 ,2.16 
ind6,SI,3.03 ,3.87 ,3.56 ,4.03 ,4.10 ,3.30 ,1.10 ,1.81 ,1.31 ,1.04 ,0.96 ,0.97 ,0.96 ,0.86 ,0.82 ,0.84 ,0.79 ,0.81 ,0.88 ,0.80 ,0.73 
ind6,SK,3.05 ,3.42 ,3.91 ,3.49 ,2.97 ,2.65 ,2.29 ,2.45 ,2.43 ,2.30 ,2.61 ,2.58 ,2.73 ,2.55 ,2.66 ,2.75 ,3.28 ,3.44 ,2.77 ,2.10 ,2.07 
