aquaenv,geo\time,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
CST_EXC_NR,AL,0 ,0 ,37 ,26 ,25 ,34 ,56 ,67 ,67 ,88 ,80 
CST_EXC_NR,AT,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z
CST_EXC_NR,BE,17 ,22 ,20 ,29 ,32 ,38 ,40 ,41 ,41 ,39 ,38 
CST_EXC_NR,BG,45 ,55 ,59 ,65 ,63 ,57 ,41 ,49 ,61 ,58 ,82 
CST_EXC_NR,CH,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z
CST_EXC_NR,CY,111 ,112 ,112 ,112 ,112 ,112 ,110 ,112 ,112 ,112 ,112 
CST_EXC_NR,CZ,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z
CST_EXC_NR,DE,280 ,291 ,290 ,286 ,280 ,295 ,303 ,313 ,318 ,303 ,307 
CST_EXC_NR,DK,657 ,692 ,694 ,709 ,776 ,785 ,786 ,790 ,793 ,819 ,830 
CST_EXC_NR,EE,13 ,11 ,11 ,10 ,11 ,14 ,14 ,15 ,14 ,14 ,16 
CST_EXC_NR,EL,2035 ,2008 ,2014 ,1493 ,1497 ,1495 ,1531 ,1549 ,1562 ,1583 ,1609 
CST_EXC_NR,ES,1633 ,1672 ,1684 ,1663 ,1696 ,1732 ,1773 ,1812 ,1835 ,1840 ,1882 
CST_EXC_NR,EU27_2020,12056 ,12302 ,12659 ,12128 ,12311 ,12494 ,12492 ,12675 ,12728 ,12690 ,12785 
CST_EXC_NR,EU28,12560 ,12665 ,13155 ,12607 ,12678 ,12894 ,12890 ,13072 ,13143 ,: ,: 
CST_EXC_NR,FI,60 ,58 ,54 ,51 ,48 ,45 ,53 ,50 ,49 ,56 ,52 
CST_EXC_NR,FR,1321 ,1384 ,1535 ,1567 ,1602 ,1634 ,1631 ,1632 ,1675 ,1632 ,1604 
CST_EXC_NR,HR,886 ,876 ,877 ,885 ,877 ,889 ,909 ,938 ,938 ,883 ,887 
CST_EXC_NR,HU,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z
CST_EXC_NR,IE,106 ,84 ,107 ,95 ,93 ,94 ,94 ,95 ,99 ,103 ,107 
CST_EXC_NR,IT,4069 ,4213 ,4377 ,4377 ,4399 ,4414 ,4371 ,4382 ,4290 ,4299 ,4272 
CST_EXC_NR,LT,13 ,13 ,13 ,14 ,14 ,14 ,14 ,14 ,16 ,15 ,14 
CST_EXC_NR,LU,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z
CST_EXC_NR,LV,14 ,12 ,17 ,21 ,23 ,28 ,31 ,32 ,28 ,23 ,24 
CST_EXC_NR,MT,85 ,84 ,86 ,87 ,85 ,86 ,86 ,86 ,85 ,84 ,84 
CST_EXC_NR,NL,59 ,71 ,66 ,62 ,69 ,75 ,75 ,67 ,69 ,69 ,74 
CST_EXC_NR,PL,72 ,65 ,63 ,51 ,46 ,50 ,47 ,45 ,48 ,51 ,77 
CST_EXC_NR,PT,380 ,401 ,410 ,395 ,412 ,413 ,435 ,453 ,460 ,460 ,464 
CST_EXC_NR,RO,43 ,4 ,17 ,11 ,15 ,34 ,25 ,28 ,38 ,35 ,42 
CST_EXC_NR,SE,137 ,153 ,132 ,124 ,140 ,169 ,102 ,151 ,177 ,192 ,188 
CST_EXC_NR,SI,20 ,21 ,21 ,21 ,21 ,21 ,21 ,21 ,20 ,20 ,20 
CST_EXC_NR,SK,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z
CST_EXC_NR,UK,504 ,363 ,496 ,479 ,367 ,400 ,389 ,407 ,426 ,: ,: 
CST_EXC_PC,AL,: ,: ,50.7 ,35.6 ,32.1 ,37.0 ,54.9 ,65.7 ,59.3 ,77.9 ,70.8 
CST_EXC_PC,AT,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z
CST_EXC_PC,BE,40.5 ,52.4 ,47.6 ,69.1 ,76.2 ,90.5 ,95.2 ,97.6 ,97.6 ,95.1 ,92.7 
CST_EXC_PC,BG,50.6 ,61.8 ,65.6 ,72.2 ,70.0 ,63.3 ,45.1 ,53.9 ,67.0 ,63.0 ,89.1 
CST_EXC_PC,CH,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z
CST_EXC_PC,CY,99.1 ,100.0 ,100.0 ,100.0 ,99.1 ,99.1 ,97.4 ,99.1 ,99.1 ,100.0 ,93.3 
