siec,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
C0000X0350-0370,PC,AL,58.904 ,75.294 ,75.807 ,9.375 ,9.375 ,16.667 ,16.667 ,16.667 ,12.857 ,97.661 ,97.880 ,99.154 ,98.478 ,98.947 ,100.000 ,64.100 ,95.901 ,38.627 ,32.637 ,57.943 ,53.934 ,42.263 
C0000X0350-0370,PC,AT,83.931 ,89.462 ,91.801 ,86.573 ,98.443 ,99.377 ,94.058 ,102.092 ,99.809 ,95.880 ,99.577 ,89.586 ,102.771 ,94.087 ,101.727 ,86.926 ,95.008 ,99.885 ,97.607 ,96.661 ,97.807 ,100.185 
C0000X0350-0370,PC,BA,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,17.258 ,17.839 ,14.941 ,17.657 ,14.883 ,19.768 ,15.417 ,19.305 
C0000X0350-0370,PC,BE,91.241 ,106.811 ,86.283 ,97.556 ,101.497 ,101.346 ,95.975 ,96.399 ,106.420 ,82.701 ,97.539 ,100.837 ,94.278 ,93.942 ,99.292 ,95.730 ,93.824 ,94.644 ,103.763 ,101.770 ,102.120 ,92.427 
C0000X0350-0370,PC,BG,35.200 ,35.837 ,38.013 ,35.698 ,40.703 ,36.878 ,35.207 ,38.844 ,42.952 ,27.193 ,24.504 ,24.457 ,21.497 ,16.327 ,14.644 ,11.220 ,9.773 ,9.362 ,10.148 ,7.227 ,9.229 ,10.322 
C0000X0350-0370,PC,CY,102.041 ,111.321 ,124.528 ,96.226 ,68.521 ,121.080 ,116.613 ,67.468 ,102.489 ,123.607 ,65.640 ,1.659 ,100.000 ,100.000 ,125.002 ,100.000 ,0.000 ,326.409 ,97.544 ,117.226 ,105.385 ,97.596 
C0000X0350-0370,PC,CZ,-21.976 ,-21.031 ,-17.330 ,-15.995 ,-13.844 ,-16.210 ,-16.349 ,-14.880 ,-15.609 ,-19.578 ,-15.256 ,-11.301 ,-12.265 ,-9.915 ,-4.517 ,-1.823 ,-1.322 ,2.999 ,5.826 ,8.627 ,12.791 ,14.006 
C0000X0350-0370,PC,DE,25.567 ,29.897 ,29.110 ,29.438 ,32.570 ,31.741 ,37.988 ,37.027 ,38.281 ,35.425 ,40.012 ,41.563 ,40.188 ,44.468 ,44.761 ,45.422 ,49.609 ,45.297 ,42.117 ,47.245 ,44.062 ,48.428 
C0000X0350-0370,PC,DK,94.921 ,96.575 ,88.376 ,98.258 ,101.382 ,94.385 ,93.605 ,100.345 ,108.459 ,97.989 ,69.377 ,110.953 ,93.645 ,90.766 ,104.917 ,84.984 ,83.739 ,117.695 ,102.292 ,153.955 ,74.709 ,12.693 
C0000X0350-0370,PC,EA20,52.459 ,54.238 ,54.377 ,54.940 ,58.482 ,58.132 ,61.204 ,59.223 ,63.222 ,58.195 ,60.782 ,61.331 ,60.708 ,61.440 ,63.458 ,63.594 ,65.155 ,65.638 ,62.815 ,65.478 ,59.016 ,63.145 
C0000X0350-0370,PC,EE,125.209 ,67.146 ,93.346 ,202.537 ,34.173 ,88.351 ,170.688 ,152.261 ,100.318 ,3.989 ,132.651 ,90.945 ,150.787 ,88.072 ,105.698 ,-6.784 ,70.045 ,87.172 ,85.235 ,107.159 ,391.794 ,95.188 
C0000X0350-0370,PC,EL,8.497 ,9.202 ,6.969 ,4.732 ,5.096 ,4.148 ,2.670 ,4.128 ,4.972 ,1.999 ,5.096 ,2.939 ,2.278 ,3.222 ,2.895 ,2.838 ,4.356 ,4.750 ,5.136 ,6.361 ,10.176 ,9.598 
C0000X0350-0370,PC,ES,61.317 ,58.502 ,66.561 ,63.313 ,67.329 ,70.275 ,75.613 ,66.676 ,81.957 ,93.023 ,92.800 ,67.723 ,74.799 ,66.306 ,75.294 ,75.387 ,71.483 ,84.556 ,79.858 ,89.467 ,54.808 ,105.660 
C0000X0350-0370,PC,EU27_2020,29.849 ,31.318 ,32.022 ,33.288 ,36.106 ,35.711 ,37.585 ,38.332 ,41.579 ,36.554 ,38.235 ,40.421 ,39.847 ,39.039 ,41.489 ,40.997 ,41.100 ,43.245 ,43.762 ,43.251 ,35.786 ,37.486 
C0000X0350-0370,PC,FI,97.630 ,100.975 ,88.853 ,112.892 ,102.354 ,101.974 ,88.455 ,95.100 ,112.617 ,108.196 ,86.302 ,115.327 ,86.827 ,88.331 ,117.482 ,91.309 ,91.778 ,91.463 ,100.668 ,98.863 ,92.208 ,72.446 
C0000X0350-0370,PC,FR,86.282 ,88.166 ,92.822 ,81.754 ,94.264 ,94.378 ,104.870 ,92.221 ,109.970 ,91.658 ,100.960 ,100.722 ,96.707 ,93.953 ,98.998 ,98.388 ,93.660 ,101.944 ,101.006 ,99.554 ,96.299 ,73.389 
C0000X0350-0370,PC,HR,110.883 ,92.767 ,102.049 ,99.723 ,109.337 ,91.300 ,108.969 ,101.836 ,112.211 ,89.783 ,102.558 ,98.385 ,87.835 ,110.145 ,92.356 ,103.040 ,101.997 ,100.725 ,91.331 ,107.309 ,105.977 ,100.714 
C0000X0350-0370,PC,HU,28.088 ,27.549 ,24.847 ,26.725 ,31.588 ,42.455 ,40.783 ,43.996 ,46.606 ,37.009 ,41.883 ,36.190 ,34.112 ,26.542 ,27.909 ,33.679 ,32.467 ,44.121 ,48.409 ,45.682 ,43.677 ,38.517 
C0000X0350-0370,PC,IE,93.250 ,100.420 ,102.912 ,95.772 ,102.762 ,100.823 ,100.216 ,90.052 ,113.208 ,112.678 ,77.692 ,114.526 ,89.555 ,112.412 ,97.777 ,102.978 ,84.289 ,109.799 ,112.847 ,67.896 ,55.848 ,105.916 
C0000X0350-0370,PC,IS,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,108.360 ,90.852 ,105.877 ,96.466 ,98.112 ,104.778 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 
C0000X0350-0370,PC,IT,104.619 ,101.128 ,95.532 ,97.661 ,101.121 ,99.423 ,99.653 ,99.241 ,101.813 ,97.321 ,100.829 ,96.050 ,96.642 ,96.205 ,98.702 ,100.150 ,97.519 ,100.193 ,100.981 ,98.556 ,93.027 ,97.049 
C0000X0350-0370,PC,LT,101.737 ,90.834 ,105.813 ,108.156 ,100.804 ,101.011 ,99.737 ,93.904 ,113.943 ,83.033 ,95.676 ,110.947 ,95.936 ,107.663 ,98.115 ,90.642 ,91.752 ,107.802 ,99.009 ,108.103 ,87.876 ,91.868 
C0000X0350-0370,PC,LU,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,102.227 ,98.703 ,98.005 ,94.572 ,106.827 ,99.841 ,106.764 ,96.213 ,100.888 ,93.136 ,112.266 ,97.535 
C0000X0350-0370,PC,LV,84.141 ,70.844 ,100.000 ,122.423 ,96.175 ,97.658 ,122.038 ,92.160 ,99.974 ,94.079 ,106.468 ,102.285 ,99.312 ,91.219 ,77.451 ,85.185 ,85.946 ,88.524 ,91.330 ,110.791 ,89.617 ,93.113 
C0000X0350-0370,PC,ME,: ,: ,: ,: ,: ,-2.107 ,-5.034 ,-2.784 ,-0.042 ,-1.947 ,-2.830 ,-2.748 ,-3.118 ,-1.196 ,-1.534 ,-3.081 ,-2.719 ,-6.653 ,-5.621 ,-7.055 ,-4.694 ,-10.576 
C0000X0350-0370,PC,MK,6.624 ,5.570 ,5.141 ,10.595 ,5.943 ,7.912 ,9.558 ,10.506 ,10.199 ,3.168 ,9.290 ,9.022 ,9.517 ,8.607 ,11.052 ,8.878 ,12.743 ,9.115 ,13.858 ,11.742 ,10.649 ,17.916 
C0000X0350-0370,PC,MT,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
C0000X0350-0370,PC,NL,99.394 ,100.349 ,99.686 ,98.886 ,101.018 ,101.267 ,98.685 ,100.646 ,99.178 ,97.889 ,101.380 ,100.911 ,98.932 ,97.604 ,102.585 ,96.559 ,99.554 ,100.824 ,99.813 ,102.149 ,91.934 ,99.576 
C0000X0350-0370,PC,NO,57.071 ,-13.307 ,-84.253 ,-139.527 ,-109.405 ,-53.076 ,-126.196 ,-192.851 ,-175.224 ,-202.112 ,-50.207 ,-26.293 ,-6.527 ,-86.761 ,-30.440 ,0.170 ,15.951 ,88.900 ,86.021 ,90.445 ,92.151 ,90.093 
C0000X0350-0370,PC,PL,-28.977 ,-29.268 ,-28.418 ,-26.188 ,-27.598 ,-23.767 ,-21.464 ,-15.272 ,-6.523 ,-5.166 ,-4.964 ,-0.999 ,-6.437 ,-10.173 ,-8.565 ,-11.436 ,-11.704 ,-2.963 ,8.227 ,6.018 ,0.334 ,-3.613 
C0000X0350-0370,PC,PT,102.868 ,92.953 ,99.944 ,99.726 ,95.207 ,96.301 ,105.555 ,100.504 ,91.148 ,106.755 ,98.289 ,97.244 ,103.324 ,95.416 ,96.886 ,98.477 ,102.301 ,105.604 ,98.914 ,122.131 ,-6.515 ,4.538 
C0000X0350-0370,PC,RO,25.506 ,29.796 ,31.338 ,28.396 ,32.971 ,33.173 ,28.334 ,34.231 ,26.471 ,13.245 ,16.860 ,13.312 ,16.163 ,18.246 ,16.643 ,16.658 ,19.478 ,18.364 ,17.562 ,22.038 ,22.000 ,23.206 
C0000X0350-0370,PC,RS,3.396 ,1.930 ,1.894 ,3.436 ,5.336 ,8.153 ,10.402 ,8.382 ,9.535 ,7.287 ,9.364 ,9.067 ,5.310 ,3.472 ,7.497 ,8.035 ,7.890 ,8.506 ,10.113 ,10.466 ,6.511 ,9.529 
C0000X0350-0370,PC,SE,105.363 ,95.767 ,91.300 ,106.855 ,97.717 ,105.920 ,93.079 ,98.299 ,104.410 ,76.985 ,113.726 ,103.684 ,82.551 ,89.742 ,101.198 ,97.375 ,115.743 ,101.303 ,100.259 ,103.209 ,100.341 ,94.197 
C0000X0350-0370,PC,SI,18.774 ,18.534 ,19.596 ,20.401 ,21.864 ,20.998 ,20.042 ,20.639 ,28.745 ,17.882 ,19.259 ,17.532 ,21.547 ,19.500 ,21.564 ,19.108 ,17.260 ,17.357 ,18.875 ,20.082 ,17.745 ,10.975 
C0000X0350-0370,PC,SK,80.195 ,77.948 ,77.075 ,79.641 ,83.129 ,88.348 ,80.839 ,95.439 ,85.910 ,83.068 ,75.736 ,81.717 ,89.659 ,80.604 ,83.330 ,84.537 ,83.260 ,87.818 ,91.865 ,92.216 ,86.166 ,88.106 
C0000X0350-0370,PC,TR,39.100 ,29.835 ,41.659 ,49.516 ,50.100 ,51.942 ,51.687 ,49.432 ,43.987 ,44.221 ,47.113 ,47.294 ,56.068 ,58.551 ,57.064 ,63.181 ,61.733 ,61.706 ,59.601 ,57.745 ,63.656 ,: 
C0000X0350-0370,PC,UK,39.599 ,55.903 ,48.222 ,50.656 ,60.373 ,72.263 ,76.086 ,68.577 ,75.724 ,79.795 ,50.341 ,63.637 ,68.693 ,84.823 ,89.521 ,59.151 ,50.153 ,57.769 ,81.818 ,74.003 ,: ,: 
C0000X0350-0370,PC,XK,0.874 ,0.778 ,0.784 ,0.834 ,0.966 ,1.521 ,1.820 ,1.007 ,1.125 ,0.438 ,1.554 ,1.883 ,3.319 ,0.595 ,0.240 ,-0.100 ,-0.113 ,0.020 ,0.045 ,-0.184 ,0.316 ,-2.109 
G3000,PC,AL,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
G3000,PC,AT,80.582 ,72.177 ,72.239 ,80.219 ,79.901 ,88.453 ,88.199 ,82.665 ,88.464 ,86.896 ,75.284 ,104.320 ,87.297 ,74.713 ,98.277 ,72.601 ,85.895 ,90.221 ,88.160 ,122.849 ,73.380 ,51.016 
G3000,PC,BA,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,100.000 ,100.000 ,100.000 ,100.000 ,100.011 ,100.000 ,100.000 ,100.021 
G3000,PC,BE,99.321 ,99.653 ,102.055 ,98.897 ,99.925 ,100.517 ,99.803 ,99.473 ,100.399 ,99.311 ,100.269 ,100.501 ,98.614 ,100.516 ,101.176 ,99.324 ,100.559 ,98.410 ,100.551 ,101.798 ,99.132 ,99.894 
G3000,PC,BG,93.542 ,99.739 ,103.995 ,94.247 ,95.835 ,87.653 ,89.935 ,91.462 ,96.232 ,98.620 ,92.636 ,86.088 ,83.338 ,92.825 ,94.067 ,97.007 ,96.452 ,97.609 ,98.729 ,100.398 ,96.420 ,96.239 
G3000,PC,CY,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
G3000,PC,CZ,99.758 ,96.317 ,102.001 ,98.163 ,91.092 ,97.807 ,104.445 ,93.439 ,98.668 ,104.009 ,84.838 ,110.225 ,88.993 ,100.216 ,96.272 ,95.089 ,95.707 ,101.857 ,96.838 ,109.753 ,86.038 ,92.129 
G3000,PC,DE,79.141 ,76.989 ,79.490 ,78.669 ,83.749 ,79.632 ,81.956 ,77.710 ,82.233 ,85.762 ,81.213 ,86.754 ,85.687 ,86.921 ,89.426 ,90.057 ,88.560 ,91.373 ,95.893 ,100.068 ,89.104 ,89.616 
G3000,PC,DK,-64.787 ,-65.956 ,-64.496 ,-55.666 ,-79.662 ,-113.888 ,-103.337 ,-99.698 ,-120.970 ,-91.842 ,-68.334 ,-55.119 ,-53.133 ,-23.231 ,-46.864 ,-48.153 ,-44.595 ,-56.066 ,-38.494 ,-7.164 ,37.417 ,27.759 
G3000,PC,EA20,68.591 ,64.743 ,69.155 ,69.515 ,69.292 ,71.898 ,74.098 ,71.348 ,72.571 ,73.439 ,70.259 ,74.064 ,71.593 ,69.859 ,74.202 ,77.870 ,78.044 ,82.749 ,86.931 ,91.686 ,86.612 ,85.951 
G3000,PC,EE,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 
G3000,PC,EL,99.062 ,99.215 ,97.416 ,98.809 ,97.534 ,99.094 ,99.063 ,99.130 ,100.010 ,99.728 ,99.882 ,100.031 ,100.321 ,99.950 ,99.288 ,99.877 ,99.218 ,100.509 ,100.665 ,98.987 ,100.694 ,99.409 
G3000,PC,ES,101.628 ,96.505 ,100.951 ,99.136 ,97.790 ,101.355 ,101.325 ,99.121 ,100.937 ,98.896 ,99.424 ,101.613 ,98.246 ,98.621 ,103.536 ,96.890 ,98.742 ,101.292 ,101.419 ,101.495 ,97.474 ,100.074 
G3000,PC,EU27_2020,65.721 ,62.501 ,66.701 ,67.344 ,66.769 ,68.987 ,71.235 ,68.666 ,70.137 ,70.679 ,67.763 ,71.625 ,69.243 ,68.279 ,71.914 ,74.492 ,75.692 ,80.158 ,83.258 ,89.663 ,83.598 ,83.411 
G3000,PC,FI,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,98.890 ,100.253 ,100.563 ,100.293 ,99.625 
G3000,PC,FR,100.034 ,93.085 ,98.017 ,95.465 ,96.316 ,99.256 ,99.614 ,96.475 ,97.792 ,100.861 ,92.810 ,103.328 ,96.807 ,97.909 ,103.820 ,98.506 ,98.980 ,98.030 ,104.715 ,104.466 ,94.720 ,96.130 
G3000,PC,HR,40.964 ,29.559 ,24.888 ,27.624 ,23.461 ,23.907 ,8.023 ,9.175 ,16.564 ,8.087 ,18.063 ,19.510 ,37.047 ,31.827 ,28.593 ,27.101 ,33.519 ,53.804 ,53.272 ,66.406 ,68.774 ,74.483 
G3000,PC,HU,75.415 ,72.668 ,80.522 ,83.625 ,79.217 ,81.094 ,82.195 ,79.939 ,88.125 ,85.629 ,78.715 ,65.568 ,72.274 ,72.126 ,97.666 ,69.674 ,78.883 ,96.250 ,77.943 ,115.206 ,75.622 ,67.208 
G3000,PC,IE,72.109 ,81.622 ,81.582 ,85.788 ,81.200 ,86.101 ,90.978 ,92.137 ,92.210 ,93.990 ,95.279 ,95.563 ,95.211 ,96.296 ,96.236 ,96.326 ,40.030 ,32.681 ,38.781 ,52.993 ,63.742 ,71.143 
G3000,PC,IS,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
G3000,PC,IT,81.132 ,77.127 ,84.077 ,80.345 ,83.754 ,84.697 ,91.178 ,87.025 ,90.309 ,88.595 ,90.512 ,90.154 ,90.217 ,88.110 ,89.676 ,90.406 ,91.761 ,92.317 ,92.866 ,95.057 ,92.848 ,93.735 
G3000,PC,LT,100.040 ,99.925 ,99.926 ,100.035 ,99.794 ,100.651 ,101.033 ,102.904 ,96.302 ,100.370 ,99.708 ,100.267 ,100.061 ,100.038 ,104.135 ,99.706 ,100.605 ,99.320 ,98.920 ,99.965 ,98.929 ,100.824 
G3000,PC,LU,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 
G3000,PC,LV,101.913 ,85.605 ,88.565 ,104.353 ,130.487 ,105.606 ,108.769 ,96.765 ,82.162 ,114.062 ,61.779 ,109.413 ,113.794 ,115.588 ,72.123 ,98.565 ,82.892 ,101.989 ,98.834 ,100.032 ,100.099 ,99.968 
G3000,PC,ME,: ,: ,: ,: ,: ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
G3000,PC,MK,99.285 ,99.851 ,100.375 ,100.032 ,100.147 ,99.520 ,100.448 ,100.100 ,99.978 ,99.867 ,100.090 ,100.000 ,100.000 ,100.066 ,99.865 ,100.019 ,100.000 ,100.076 ,100.062 ,99.965 ,99.992 ,99.973 
G3000,PC,MT,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,105.197 ,109.481 ,103.623 ,96.165 ,103.480 
G3000,PC,NL,-49.096 ,-56.229 ,-51.535 ,-45.025 ,-67.635 ,-59.277 ,-61.701 ,-63.574 ,-72.908 ,-60.458 ,-60.423 ,-68.143 ,-75.970 ,-86.935 ,-74.846 ,-36.656 ,-32.799 ,-4.344 ,14.951 ,26.259 ,45.028 ,33.617 
G3000,PC,NO,-1016.692 ,-708.709 ,-1298.906 ,-1181.816 ,-1627.512 ,-1743.107 ,-1801.847 ,-1504.252 ,-1478.322 ,-1587.380 ,-1385.840 ,-1687.439 ,-1750.069 ,-1614.268 ,-1571.275 ,-1552.299 ,-1722.399 ,-2069.521 ,-1820.885 ,-1905.009 ,-2031.075 ,-1884.944 
G3000,PC,PL,66.337 ,69.176 ,66.059 ,66.592 ,68.342 ,69.732 ,70.732 ,66.022 ,72.614 ,67.345 ,69.305 ,75.097 ,73.396 ,74.202 ,71.971 ,72.206 ,78.378 ,77.772 ,77.602 ,82.370 ,78.252 ,83.566 
G3000,PC,PT,100.265 ,99.869 ,99.904 ,100.267 ,100.037 ,103.794 ,100.606 ,98.748 ,100.141 ,101.166 ,100.366 ,101.559 ,99.734 ,101.519 ,100.036 ,100.357 ,98.571 ,100.418 ,101.057 ,99.930 ,99.282 ,100.045 
G3000,PC,RO,19.823 ,17.515 ,22.965 ,28.765 ,29.500 ,30.096 ,33.743 ,30.286 ,29.039 ,15.104 ,16.831 ,22.186 ,21.317 ,11.843 ,4.976 ,1.802 ,13.025 ,9.697 ,12.026 ,23.175 ,16.630 ,22.797 
G3000,PC,RS,59.332 ,73.728 ,79.073 ,83.794 ,88.887 ,88.262 ,88.160 ,89.928 ,89.288 ,90.409 ,84.541 ,73.136 ,84.937 ,80.519 ,69.021 ,79.165 ,75.579 ,82.087 ,82.108 ,90.387 ,79.643 ,78.646 
G3000,PC,SE,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 ,100.000 
G3000,PC,SI,99.268 ,99.393 ,99.371 ,99.528 ,99.519 ,99.630 ,99.618 ,99.718 ,99.706 ,99.690 ,99.305 ,99.767 ,99.758 ,99.627 ,99.588 ,99.612 ,99.393 ,99.028 ,98.119 ,99.201 ,99.371 ,99.435 
G3000,PC,SK,98.796 ,91.851 ,100.063 ,97.049 ,103.261 ,97.481 ,96.560 ,97.864 ,96.311 ,108.579 ,99.925 ,104.800 ,89.813 ,95.337 ,104.812 ,95.052 ,92.848 ,105.587 ,89.556 ,136.632 ,88.052 ,69.040 
