indicator,unit,indic,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind8,PC,INV_BSN,AT,16.36 ,16.13 ,15.00 ,16.03 ,15.66 ,14.71 ,14.44 ,14.67 ,14.71 ,13.80 ,13.05 ,14.15 ,14.44 ,14.73 ,14.62 ,14.69 ,15.13 ,15.28 ,15.76 ,16.38 ,16.01 ,16.95 
ind8,PC,INV_BSN,BE,14.38 ,14.91 ,13.52 ,13.24 ,14.07 ,14.09 ,14.11 ,14.77 ,15.41 ,14.41 ,13.88 ,14.89 ,14.78 ,14.37 ,14.59 ,15.01 ,15.41 ,15.43 ,15.52 ,15.95 ,15.80 p,15.60 p
ind8,PC,INV_BSN,BG,12.48 ,14.89 ,15.13 ,16.17 ,17.14 ,20.87 ,20.92 ,21.69 ,25.82 ,19.29 ,16.36 ,15.83 ,16.25 ,15.58 ,14.37 ,13.61 ,12.76 ,13.97 ,: ,: ,: ,: 
ind8,PC,INV_BSN,CH,18.67 ,18.29 ,18.54 ,17.61 ,18.09 ,18.22 ,18.51 ,18.90 ,18.57 ,16.99 ,16.90 ,17.32 ,18.08 ,17.92 ,18.12 ,18.04 ,18.36 ,18.94 ,18.67 ,18.66 p,18.61 p,: 
ind8,PC,INV_BSN,CY,8.85 ,7.95 ,9.15 ,7.03 ,6.39 ,6.51 ,8.52 ,8.62 ,10.25 ,8.07 ,8.73 ,7.59 ,6.57 ,6.84 ,6.45 ,6.20 ,10.25 ,12.13 ,6.30 ,7.76 ,9.27 ,7.97 p
ind8,PC,INV_BSN,CZ,20.28 ,21.15 ,19.54 ,15.61 ,17.90 ,17.58 ,17.27 ,18.87 ,18.21 ,15.55 ,15.82 ,16.83 ,17.11 ,16.78 ,16.41 ,16.69 ,16.80 ,17.35 ,17.28 ,17.61 ,16.46 ,16.13 
ind8,PC,INV_BSN,DE,13.48 ,12.82 ,11.69 ,11.34 ,11.31 ,11.44 ,11.80 ,12.13 ,12.34 ,11.14 ,11.38 ,11.81 ,11.76 ,11.46 ,11.71 ,11.90 ,11.96 ,12.16 ,12.50 ,12.78 p,12.38 p,12.42 p
ind8,PC,INV_BSN,DK,12.74 ,12.70 ,12.45 ,12.12 ,11.97 ,11.78 ,12.64 ,12.91 ,13.09 ,12.18 ,10.40 ,10.42 ,10.92 ,11.55 ,11.56 ,12.29 ,13.31 ,13.58 ,13.90 ,13.52 ,14.12 ,14.55 
ind8,PC,INV_BSN,EA19,: ,: ,12.22 ,11.83 ,11.88 ,12.03 ,12.40 ,12.81 ,12.73 ,11.31 ,11.33 ,11.82 ,11.76 ,11.56 ,11.76 ,12.32 ,12.66 ,12.92 ,13.11 ,14.19 ,13.63 ,13.21 
ind8,PC,INV_BSN,EE,19.17 ,19.21 ,20.56 ,22.77 ,22.00 ,21.65 ,22.45 ,22.32 ,19.59 ,12.61 ,12.90 ,17.82 ,18.70 ,18.14 ,16.40 ,14.72 ,14.90 ,15.12 ,16.83 ,15.19 ,19.71 ,17.88 
ind8,PC,INV_BSN,EL,7.57 ,8.27 ,8.09 ,7.88 ,6.63 ,5.79 ,6.02 ,7.84 ,7.66 ,6.15 ,6.42 b,5.20 ,4.75 ,4.52 ,5.02 ,5.09 ,5.60 ,5.48 ,6.31 ,6.44 p,6.69 p,7.26 p
ind8,PC,INV_BSN,ES,14.68 ,14.28 ,13.82 ,14.09 ,14.48 ,14.92 ,15.78 ,15.49 ,14.50 ,11.03 ,10.84 ,11.16 ,11.26 ,11.86 ,12.65 ,12.53 ,13.08 ,13.48 ,13.95 ,14.39 ,14.07 ,12.66 
ind8,PC,INV_BSN,EU27_2020,: ,: ,12.49 ,12.08 ,12.17 ,12.36 ,12.80 ,13.28 ,13.27 ,11.69 ,11.56 ,12.04 ,12.04 ,11.88 ,12.12 ,12.65 ,12.95 ,13.17 ,13.38 ,14.32 ,13.84 ,13.45 
ind8,PC,INV_BSN,EU28,: ,: ,12.54 ,12.06 ,11.95 ,12.22 ,12.60 ,12.89 ,12.89 ,11.43 ,11.30 ,11.71 ,11.77 ,11.62 ,11.83 ,12.35 ,12.71 ,12.91 ,13.05 ,13.66 ,: ,: 
