indicator,sex,age,unit,geo\time,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind8,F,Y15-29,PC_POP,AT,: ,: ,: ,: ,: ,: ,11.9 ,11.2 ,10.4 ,10.1 ,10.3 ,10.9 ,9.7 ,10.0 ,9.6 ,10.4 ,10.3 ,10.2 ,10.3 
ind8,F,Y15-29,PC_POP,BE,: ,: ,: ,: ,: ,: ,14.4 ,14.1 ,15.3 ,15.4 ,15.7 ,14.2 ,15.0 ,14.0 ,13.2 b,13.1 ,12.5 ,12.4 ,9.7 b
ind8,F,Y15-29,PC_POP,BG,: ,: ,: ,: ,: ,: ,24.1 ,25.9 b,26.7 b,26.5 ,27.9 ,26.9 ,24.8 ,25.9 ,23.3 ,21.9 ,20.4 ,21.7 ,20.9 
ind8,F,Y15-29,PC_POP,CH,: ,: ,: ,: ,: ,: ,: ,9.6 b,8.7 ,8.7 ,8.6 ,8.0 ,7.7 ,7.8 ,7.1 ,6.5 ,6.0 ,5.9 ,: 
ind8,F,Y15-29,PC_POP,CY,: ,: ,: ,: ,: ,: ,14.2 ,14.8 ,15.4 ,17.4 ,20.1 ,18.5 ,19.2 ,19.5 ,19.3 ,15.5 ,15.9 ,16.3 ,16.3 
ind8,F,Y15-29,PC_POP,CZ,: ,: ,: ,: ,: ,: ,17.6 ,17.7 ,16.9 b,17.7 ,17.7 ,17.4 ,17.2 ,16.8 ,15.5 ,15.3 ,15.9 ,17.6 ,17.3 
ind8,F,Y15-29,PC_POP,DE,: ,: ,: ,: ,: ,: ,15.3 ,14.9 b,13.5 b,13.3 ,12.4 ,12.4 ,12.1 ,12.5 ,12.0 ,11.3 ,11.0 ,10.7 b,10.6 
ind8,F,Y15-29,PC_POP,DK,: ,: ,: ,: ,: ,: ,7.3 ,7.7 ,8.9 ,9.0 ,8.7 ,8.7 ,8.9 ,8.7 b,10.5 b,9.7 ,9.6 ,10.5 ,8.8 
ind8,F,Y15-29,PC_POP,EA19,: ,: ,: ,: ,: ,: ,16.4 ,16.7 ,16.7 ,17.0 ,17.4 ,17.1 ,16.7 ,16.2 ,15.5 ,14.8 ,14.2 ,14.9 ,13.8 
ind8,F,Y15-29,PC_POP,EA20,: ,: ,: ,: ,: ,: ,16.5 ,16.7 ,16.7 ,17.1 ,17.4 ,17.2 ,16.7 ,16.2 ,15.6 ,14.9 ,14.2 ,15.0 ,13.8 
ind8,F,Y15-29,PC_POP,EE,: ,: ,: ,: ,: ,: ,18.9 ,17.9 ,15.4 ,16.6 ,16.1 ,15.2 ,16.2 ,17.9 ,12.6 ,13.2 ,12.2 ,12.9 ,11.7 
ind8,F,Y15-29,PC_POP,EL,: ,: ,: ,: ,: ,: ,19.9 ,21.8 ,25.0 ,27.7 ,28.5 ,26.9 ,24.6 ,23.3 ,23.1 ,20.6 ,18.0 ,18.5 ,17.9 
ind8,F,Y15-29,PC_POP,ES,: ,: ,: ,: ,: ,: ,19.5 ,19.7 ,20.4 ,21.6 ,22.1 ,20.9 ,19.7 ,18.7 ,17.1 ,16.0 ,15.4 ,17.3 ,13.8 d
ind8,F,Y15-29,PC_POP,EU27_2020,: ,: ,: ,: ,: ,: ,16.7 ,17.2 ,17.2 ,17.6 ,17.9 ,17.6 ,17.1 ,16.7 ,16.0 ,15.3 ,14.7 ,15.5 ,14.5 
ind8,F,Y15-29,PC_POP,FI,: ,: ,: ,: ,: ,: ,11.6 ,10.9 ,10.4 ,10.7 ,10.8 ,11.1 ,12.4 ,11.6 ,11.0 ,10.6 ,9.9 ,9.9 ,8.7 
ind8,F,Y15-29,PC_POP,FR,12.2 ,12.5 ,12.4 ,12.5 ,12.1 ,11.8 ,12.7 ,13.0 ,13.2 ,13.2 ,13.8 ,13.9 ,14.5 ,14.3 ,13.6 ,13.2 ,12.6 ,13.7 ,13.0 d
ind8,F,Y15-29,PC_POP,HR,: ,: ,: ,: ,: ,: ,17.3 ,17.3 ,18.9 ,19.3 ,22.1 ,21.2 ,19.3 ,19.4 ,19.1 ,17.7 ,16.3 ,16.0 ,16.2 
ind8,F,Y15-29,PC_POP,HU,: ,: ,: ,: ,: ,: ,16.9 ,16.8 ,17.4 ,18.5 ,19.0 ,17.2 ,15.3 ,14.5 ,14.7 ,13.9 ,13.4 ,14.8 ,14.8 
ind8,F,Y15-29,PC_POP,IE,: ,: ,: ,: ,: ,: ,18.4 ,20.3 ,20.9 ,20.3 ,18.5 ,18.2 ,16.6 ,14.6 ,13.8 ,12.5 ,12.4 ,14.5 ,9.6 
ind8,F,Y15-29,PC_POP,IS,: ,: ,: ,: ,: ,: ,8.5 ,11.0 ,7.7 ,6.4 ,5.9 ,6.5 ,4.9 ,5.0 ,4.8 ,5.9 ,4.8 ,7.4 b,7.6 
ind8,F,Y15-29,PC_POP,IT,: ,: ,: ,: ,: ,: ,24.1 ,25.4 ,25.8 ,26.6 ,28.3 ,28.4 ,27.9 ,27.0 ,26.6 ,26.1 ,24.9 ,26.1 ,25.0 
ind8,F,Y15-29,PC_POP,LT,: ,: ,: ,: ,: ,: ,13.6 ,14.5 ,13.3 ,13.0 ,14.3 ,14.3 ,13.0 ,10.7 ,10.8 ,9.9 ,11.0 ,12.4 ,13.5 
ind8,F,Y15-29,PC_POP,LU,: ,: ,: ,: ,: ,: ,8.8 ,7.0 ,8.2 ,9.0 ,7.7 ,5.6 ,8.6 b,8.3 ,6.9 ,9.6 ,5.9 ,6.6 ,8.5 
ind8,F,Y15-29,PC_POP,LV,: ,: ,: ,: ,: ,: ,20.7 ,21.0 ,20.3 ,18.4 ,17.3 ,17.9 ,15.4 ,13.6 ,13.5 ,12.4 ,10.6 ,12.6 ,12.6 
ind8,F,Y15-29,PC_POP,ME,: ,: ,: ,: ,: ,: ,: ,: ,25.6 ,25.7 ,23.3 ,22.5 ,24.1 ,23.1 ,22.6 ,20.8 ,21.5 ,26.9 ,: 
ind8,F,Y15-29,PC_POP,MK,: ,: ,: ,: ,: ,: ,37.2 ,35.1 ,34.8 ,34.1 ,34.6 ,36.2 ,35.3 ,34.0 ,35.7 ,33.9 ,28.3 ,29.0 ,: 
ind8,F,Y15-29,PC_POP,MT,: ,: ,: ,: ,: ,: ,16.4 ,16.1 ,14.9 ,14.7 ,12.7 ,14.5 ,15.0 ,12.1 ,9.8 ,8.9 ,9.6 ,10.5 ,10.9 
ind8,F,Y15-29,PC_POP,NL,: ,: ,: ,: ,: ,: ,8.2 ,8.2 ,8.0 ,8.9 ,9.4 ,9.9 ,8.8 ,8.2 ,7.9 ,7.4 ,6.9 ,7.2 ,6.0 
ind8,F,Y15-29,PC_POP,NO,: ,: ,: ,: ,: ,: ,8.5 ,8.5 ,9.2 ,8.9 ,9.5 ,9.8 ,9.4 ,9.0 ,9.1 ,8.7 ,8.8 ,8.5 ,7.3 
ind8,F,Y15-29,PC_POP,PL,: ,: ,: ,: ,: ,: ,17.0 ,16.7 b,17.7 ,18.2 ,18.8 ,17.9 ,16.5 ,16.8 ,16.7 ,16.2 ,16.2 ,17.1 ,16.9 
ind8,F,Y15-29,PC_POP,PT,: ,: ,: ,: ,: ,: ,13.6 ,14.4 ,14.8 ,15.7 ,16.9 ,15.3 ,14.4 ,13.2 ,10.7 ,10.0 ,10.1 ,11.1 ,9.7 
ind8,F,Y15-29,PC_POP,RO,: ,: ,: ,: ,: ,: ,21.4 ,28.4 ,27.3 ,27.4 ,27.9 ,28.1 ,30.6 ,29.1 ,26.5 ,26.3 ,25.8 ,25.9 ,26.3 
ind8,F,Y15-29,PC_POP,RS,: ,: ,: ,: ,: ,: ,: ,30.9 ,32.3 ,33.1 ,33.2 ,27.6 ,26.6 ,24.8 ,23.9 ,22.7 ,21.2 ,21.9 ,20.4 
ind8,F,Y15-29,PC_POP,SE,: ,: ,: ,: ,: ,: ,9.1 ,7.9 ,7.6 ,8.0 ,7.4 ,7.3 ,6.8 ,6.6 ,6.6 ,6.6 b,5.9 ,6.8 ,6.3 
ind8,F,Y15-29,PC_POP,SI,: ,: ,: ,: ,: ,: ,8.2 ,8.1 ,7.7 ,10.5 ,11.5 ,12.1 ,10.6 ,9.3 ,8.7 ,8.4 ,9.2 ,8.9 ,8.2 
ind8,F,Y15-29,PC_POP,SK,: ,: ,: ,: ,: ,: ,19.1 ,19.4 ,19.0 b,19.6 ,19.4 ,19.2 ,18.9 ,18.5 ,19.1 ,17.6 ,17.2 ,17.8 ,17.5 
ind8,F,Y15-29,PC_POP,TR,: ,: ,: ,: ,: ,: ,54.3 ,51.3 ,48.7 ,46.7 ,43.8 ,42.3 b,41.6 ,40.9 ,40.7 ,40.2 ,40.8 ,42.8 ,: 
ind8,M,Y15-29,PC_POP,AT,: ,: ,: ,: ,: ,: ,8.1 ,7.8 ,7.4 ,7.1 ,7.7 ,8.6 ,8.4 ,8.6 ,7.9 ,7.2 ,7.0 ,9.6 ,8.5 
ind8,M,Y15-29,PC_POP,BE,: ,: ,: ,: ,: ,: ,9.9 ,10.4 ,10.9 ,11.8 ,12.5 ,12.3 ,12.2 ,10.6 ,10.5 b,9.7 ,9.8 ,10.3 ,10.4 b
ind8,M,Y15-29,PC_POP,BG,: ,: ,: ,: ,: ,: ,17.8 ,21.2 b,23.0 b,23.0 ,23.7 ,21.2 ,19.8 ,19.0 ,14.8 ,14.6 ,13.2 ,14.8 ,14.5 
ind8,M,Y15-29,PC_POP,CH,: ,: ,: ,: ,: ,: ,: ,6.7 b,7.3 ,6.8 ,7.4 ,7.4 ,7.0 ,7.3 ,7.3 ,6.6 ,6.5 ,6.6 ,: 
ind8,M,Y15-29,PC_POP,CY,: ,: ,: ,: ,: ,: ,8.6 ,10.8 ,14.2 ,17.2 ,20.7 ,20.5 ,17.7 ,16.4 ,15.7 ,14.2 ,12.2 ,14.2 ,14.5 
ind8,M,Y15-29,PC_POP,CZ,: ,: ,: ,: ,: ,: ,8.0 ,8.3 ,7.6 b,8.4 ,8.2 ,7.0 ,6.6 ,5.6 ,4.6 ,4.0 ,4.0 ,4.7 ,4.8 
ind8,M,Y15-29,PC_POP,DE,: ,: ,: ,: ,: ,: ,10.5 ,9.6 b,8.5 b,7.9 ,7.5 ,7.4 ,7.3 ,7.8 ,7.4 ,6.8 ,6.5 ,8.6 b,7.9 
ind8,M,Y15-29,PC_POP,DK,: ,: ,: ,: ,: ,: ,7.5 ,8.6 ,7.9 ,8.9 ,7.8 ,7.4 ,8.2 ,8.2 b,9.1 b,9.5 ,9.5 ,9.9 ,7.9 
ind8,M,Y15-29,PC_POP,EA19,: ,: ,: ,: ,: ,: ,13.3 ,13.6 ,13.5 ,14.3 ,14.8 ,14.4 ,13.9 ,13.1 ,12.5 ,11.9 ,11.5 ,13.1 ,12.3 
ind8,M,Y15-29,PC_POP,EA20,: ,: ,: ,: ,: ,: ,13.2 ,13.6 ,13.6 ,14.3 ,14.9 ,14.5 ,14.0 ,13.2 ,12.6 ,11.9 ,11.5 ,13.1 ,12.3 
ind8,M,Y15-29,PC_POP,EE,: ,: ,: ,: ,: ,: ,16.5 ,16.3 ,12.8 ,11.6 ,11.1 ,11.2 ,8.7 ,8.9 ,8.5 ,9.7 ,7.3 ,9.3 ,10.7 
ind8,M,Y15-29,PC_POP,EL,: ,: ,: ,: ,: ,: ,11.2 ,14.6 ,20.3 ,25.1 ,27.7 ,25.7 ,23.0 ,20.5 ,18.8 ,17.8 ,16.9 ,18.5 ,16.5 
ind8,M,Y15-29,PC_POP,ES,: ,: ,: ,: ,: ,: ,20.4 ,20.3 ,20.8 ,22.8 ,22.8 ,20.5 ,19.2 ,17.4 ,15.7 ,14.7 ,14.4 ,17.3 ,14.4 d
ind8,M,Y15-29,PC_POP,EU27_2020,: ,: ,: ,: ,: ,: ,13.0 ,13.7 ,13.8 ,14.4 ,14.8 ,14.4 ,13.9 ,13.0 ,12.1 ,11.4 ,11.0 ,12.5 ,11.8 
ind8,M,Y15-29,PC_POP,FI,: ,: ,: ,: ,: ,: ,10.0 ,9.2 ,8.8 ,9.0 ,10.0 ,11.4 ,11.2 ,10.7 ,9.9 ,8.6 ,8.3 ,9.6 ,9.7 
ind8,M,Y15-29,PC_POP,FR,9.0 ,9.1 ,9.4 ,9.4 ,9.1 ,9.1 ,11.3 ,11.3 ,10.9 ,11.7 ,12.3 ,12.9 ,13.4 ,12.9 ,12.7 ,12.6 ,12.1 ,13.1 ,12.5 d
ind8,M,Y15-29,PC_POP,HR,: ,: ,: ,: ,: ,: ,12.6 ,18.0 ,19.3 ,20.0 ,22.5 ,22.4 ,20.5 ,19.5 ,16.7 ,13.6 ,12.2 ,13.3 ,13.8 
ind8,M,Y15-29,PC_POP,HU,: ,: ,: ,: ,: ,: ,14.1 ,14.3 ,13.7 ,15.3 ,14.5 ,12.2 ,11.1 ,9.6 ,7.9 ,7.5 ,8.7 ,10.0 ,8.7 
ind8,M,Y15-29,PC_POP,IE,: ,: ,: ,: ,: ,: ,22.0 ,23.2 ,23.8 ,23.0 ,19.0 ,17.3 ,16.3 ,14.3 ,11.8 ,10.7 ,10.5 ,13.8 ,9.9 
