indicator,indic_em,sex,age,unit,geo\time,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind8,EMP_LFS,F,Y20-64,PC_POP,AT,68.2 ,68.8 ,69.2 ,69.6 ,70.0 ,70.1 ,70.2 ,70.9 ,71.4 ,71.7 ,72.4 ,70.6 ,71.3 
ind8,EMP_LFS,F,Y20-64,PC_POP,BE,61.0 ,61.6 ,61.5 ,61.7 ,62.1 ,62.9 ,63.0 ,63.0 ,63.6 b,65.5 ,66.5 ,65.6 ,66.8 
ind8,EMP_LFS,F,Y20-64,PC_POP,BG,63.6 ,60.3 b,59.4 b,59.8 ,60.2 ,61.5 ,63.3 ,63.6 ,66.8 ,67.8 ,70.2 ,68.5 ,68.9 
ind8,EMP_LFS,F,Y20-64,PC_POP,CH,: ,73.2 b,74.6 ,75.3 ,75.3 ,76.2 ,76.8 ,77.5 ,77.4 ,77.9 ,78.6 ,78.3 ,77.8 
ind8,EMP_LFS,F,Y20-64,PC_POP,CY,68.3 ,68.8 ,67.7 ,64.8 ,62.2 ,63.9 ,64.0 ,64.1 ,66.2 ,68.9 ,70.1 ,69.1 ,70.0 
ind8,EMP_LFS,F,Y20-64,PC_POP,CZ,61.4 ,60.9 ,61.7 b,62.5 ,63.8 ,64.7 ,66.4 ,68.6 ,70.5 ,72.2 ,72.7 ,71.9 ,72.1 
ind8,EMP_LFS,F,Y20-64,PC_POP,DE,67.8 ,68.8 b,70.3 b,70.7 ,71.5 ,72.1 ,72.6 ,73.5 ,74.2 ,74.8 ,75.5 ,74.4 b,75.9 
ind8,EMP_LFS,F,Y20-64,PC_POP,DK,73.1 ,72.0 ,71.4 ,71.1 ,71.2 ,71.0 ,71.5 ,72.5 b,73.2 b,73.9 ,74.7 ,74.3 ,75.6 
ind8,EMP_LFS,F,Y20-64,PC_POP,EA19,61.7 ,61.6 ,62.0 ,61.9 ,62.0 ,62.7 ,63.4 ,64.4 ,65.4 ,66.4 ,67.2 ,66.1 ,67.5 
ind8,EMP_LFS,F,Y20-64,PC_POP,EA20,61.7 ,61.6 ,61.9 ,61.8 ,61.9 ,62.5 ,63.3 ,64.3 ,65.3 ,66.3 ,67.2 ,66.0 ,67.5 
ind8,EMP_LFS,F,Y20-64,PC_POP,EE,69.9 ,67.4 ,68.6 ,71.1 ,71.6 ,71.9 ,73.7 ,73.7 ,76.8 ,76.8 ,77.5 ,76.9 ,77.5 
ind8,EMP_LFS,F,Y20-64,PC_POP,EL,52.4 ,51.2 ,48.1 ,44.6 ,42.9 ,43.8 ,45.6 ,46.2 ,47.4 ,48.3 ,50.5 ,48.7 ,52.7 
ind8,EMP_LFS,F,Y20-64,PC_POP,ES,56.8 ,56.3 ,56.1 ,54.6 ,53.8 ,54.8 ,56.4 ,58.1 ,59.6 ,61.0 ,62.1 ,60.0 ,62.4 d
ind8,EMP_LFS,F,Y20-64,PC_POP,EU27_2020,60.6 ,60.7 ,60.9 ,61.0 ,61.1 ,62.0 ,63.0 ,64.1 ,65.2 ,66.3 ,67.1 ,66.1 ,67.7 
ind8,EMP_LFS,F,Y20-64,PC_POP,FI,71.5 ,70.3 ,70.7 ,71.3 ,71.0 ,71.2 ,70.7 ,70.8 ,71.3 ,73.4 ,74.5 ,73.8 ,75.8 
ind8,EMP_LFS,F,Y20-64,PC_POP,FR,65.9 ,65.8 ,65.6 ,66.0 ,66.4 ,67.0 ,67.4 ,67.7 ,68.1 ,68.9 ,69.4 ,69.3 ,70.2 d
ind8,EMP_LFS,F,Y20-64,PC_POP,HR,58.0 ,56.4 ,53.6 ,52.6 ,52.8 ,54.2 ,55.9 ,56.6 ,58.3 ,60.1 ,61.5 ,61.3 ,62.9 
ind8,EMP_LFS,F,Y20-64,PC_POP,HU,58.6 ,59.0 ,59.2 ,60.4 ,61.2 ,64.1 ,66.2 ,68.9 ,69.9 ,71.4 ,72.1 ,71.9 ,73.5 
ind8,EMP_LFS,F,Y20-64,PC_POP,IE,62.8 ,61.0 ,60.1 ,60.2 ,61.2 ,62.3 ,63.7 ,65.3 ,66.9 ,67.9 ,68.8 ,65.8 ,70.0 
ind8,EMP_LFS,F,Y20-64,PC_POP,IS,77.8 ,77.6 ,77.9 ,79.1 ,79.5 ,81.7 ,83.3 ,84.4 ,84.5 ,83.2 ,83.0 ,79.2 b,77.5 
ind8,EMP_LFS,F,Y20-64,PC_POP,IT,49.5 ,49.2 ,49.6 ,50.1 ,49.6 ,50.1 ,50.5 ,51.6 ,52.5 ,53.2 ,53.9 ,52.1 ,53.2 
ind8,EMP_LFS,F,Y20-64,PC_POP,LT,67.2 ,65.0 ,66.6 ,67.9 ,68.6 ,70.6 ,72.2 ,74.3 ,75.5 ,76.7 ,77.4 ,75.8 ,76.7 
ind8,EMP_LFS,F,Y20-64,PC_POP,LU,61.5 ,62.0 ,61.9 ,64.1 ,63.9 ,65.5 ,65.0 b,65.1 ,67.5 ,68.0 ,68.1 ,68.5 ,70.3 
ind8,EMP_LFS,F,Y20-64,PC_POP,LV,66.2 ,64.2 ,65.1 ,66.2 ,67.5 ,68.4 ,70.5 ,71.7 ,72.6 ,74.7 ,75.5 ,75.1 ,72.9 
ind8,EMP_LFS,F,Y20-64,PC_POP,ME,: ,: ,44.4 ,46.2 ,47.5 ,49.7 ,51.6 ,51.3 ,51.4 ,52.9 ,54.2 ,48.8 ,: 
ind8,EMP_LFS,F,Y20-64,PC_POP,MK,37.1 ,37.5 ,38.8 ,38.7 ,40.7 ,40.8 ,42.1 ,42.5 ,43.7 ,45.2 ,48.4 ,49.0 ,: 
ind8,EMP_LFS,F,Y20-64,PC_POP,MT,40.0 ,41.6 ,43.8 ,48.0 ,51.7 ,54.3 ,55.3 ,58.0 ,60.6 ,64.1 ,65.8 ,67.8 ,70.3 
ind8,EMP_LFS,F,Y20-64,PC_POP,NL,70.9 ,70.9 ,71.5 ,72.0 ,71.7 ,70.8 ,71.9 ,72.7 ,73.9 ,75.2 ,76.5 ,76.6 ,77.5 
ind8,EMP_LFS,F,Y20-64,PC_POP,NO,78.9 ,78.2 ,78.6 ,78.6 ,78.4 ,78.1 ,77.9 ,78.1 ,77.6 ,78.0 ,78.3 ,77.9 ,77.5 
ind8,EMP_LFS,F,Y20-64,PC_POP,PL,55.6 ,55.6 b,55.8 ,56.2 ,56.3 ,58.2 ,59.9 ,61.5 ,63.0 ,64.5 ,64.9 ,65.2 ,68.4 
ind8,EMP_LFS,F,Y20-64,PC_POP,PT,62.3 ,62.1 ,62.4 ,60.8 ,60.5 ,62.9 ,64.8 ,66.4 ,69.0 ,71.5 ,72.2 ,71.4 ,73.1 
ind8,EMP_LFS,F,Y20-64,PC_POP,RO,45.2 ,47.6 ,47.7 ,48.2 ,48.2 ,49.2 ,50.3 ,51.4 ,54.0 ,54.5 ,55.4 ,55.4 ,56.9 
ind8,EMP_LFS,F,Y20-64,PC_POP,RS,: ,44.5 ,42.6 ,42.3 ,44.3 ,45.7 ,46.8 ,50.1 ,52.6 ,53.9 ,56.3 ,57.0 ,59.3 
ind8,EMP_LFS,F,Y20-64,PC_POP,SE,74.9 ,74.2 ,75.7 ,76.1 ,76.4 ,76.9 ,77.6 ,78.4 ,79.0 ,79.4 b,78.9 ,77.4 ,78.0 
ind8,EMP_LFS,F,Y20-64,PC_POP,SI,67.6 ,66.0 ,64.4 ,64.2 ,62.6 ,63.2 ,64.2 ,66.2 ,69.3 ,71.2 ,72.5 ,71.7 ,72.6 
ind8,EMP_LFS,F,Y20-64,PC_POP,SK,62.4 ,61.6 ,61.6 b,61.5 ,62.0 ,62.9 ,64.6 ,67.2 ,69.4 ,70.3 ,71.7 ,70.9 ,70.4 
ind8,EMP_LFS,F,Y20-64,PC_POP,TR,25.8 ,28.0 ,29.7 ,30.9 ,31.8 ,31.6 b,32.5 ,33.2 ,34.5 ,35.2 ,34.4 ,32.0 ,: 
ind8,EMP_LFS,M,Y20-64,PC_POP,AT,78.7 ,79.0 ,79.2 ,79.3 ,79.1 ,78.3 ,78.4 ,78.7 ,79.4 ,80.7 ,81.2 ,79.0 ,79.9 
ind8,EMP_LFS,M,Y20-64,PC_POP,BE,73.2 ,73.5 ,73.0 ,72.7 ,72.3 ,71.6 ,71.3 ,72.3 ,73.4 b,73.9 ,74.5 ,73.7 ,74.5 
ind8,EMP_LFS,M,Y20-64,PC_POP,BG,72.9 ,67.8 b,65.2 b,65.0 ,65.6 ,67.3 ,69.6 ,70.4 ,74.4 ,75.5 ,78.3 ,76.8 ,77.3 
ind8,EMP_LFS,M,Y20-64,PC_POP,CH,: ,86.1 b,86.8 ,86.7 ,86.2 ,86.0 ,86.5 ,86.5 ,86.8 ,87.0 ,87.3 ,86.6 ,85.7 
ind8,EMP_LFS,M,Y20-64,PC_POP,CY,82.8 ,81.7 ,79.6 ,76.1 ,72.6 ,71.6 ,72.3 ,73.8 ,75.7 ,79.3 ,81.7 ,81.1 ,82.2 
ind8,EMP_LFS,M,Y20-64,PC_POP,CZ,80.2 ,79.6 ,79.9 b,80.2 ,81.0 ,82.2 ,83.0 ,84.6 ,86.3 ,87.4 ,87.7 ,87.2 ,87.5 
ind8,EMP_LFS,M,Y20-64,PC_POP,DE,78.5 ,79.3 b,80.6 b,81.0 ,81.0 ,81.2 ,81.2 ,81.6 ,82.0 ,82.8 ,83.5 ,81.9 b,83.2 
ind8,EMP_LFS,M,Y20-64,PC_POP,DK,79.1 ,77.7 ,78.3 ,77.5 ,77.5 ,78.4 ,79.3 ,79.4 b,79.9 b,80.9 ,81.9 ,81.3 ,82.5 
ind8,EMP_LFS,M,Y20-64,PC_POP,EA19,75.1 ,74.4 ,74.4 ,73.5 ,72.9 ,73.3 ,74.2 ,75.2 ,76.2 ,77.2 ,77.8 ,76.4 ,77.6 
ind8,EMP_LFS,M,Y20-64,PC_POP,EA20,75.0 ,74.4 ,74.3 ,73.4 ,72.7 ,73.2 ,74.1 ,75.1 ,76.1 ,77.1 ,77.7 ,76.3 ,77.6 
ind8,EMP_LFS,M,Y20-64,PC_POP,EE,71.0 ,67.9 ,73.5 ,75.2 ,76.8 ,78.4 ,80.0 ,80.5 ,81.7 ,82.8 ,83.5 ,81.3 ,81.2 
ind8,EMP_LFS,M,Y20-64,PC_POP,EL,78.6 ,76.0 ,70.8 ,64.7 ,62.4 ,62.6 ,64.2 ,65.7 ,67.6 ,69.9 ,71.2 ,68.1 ,72.5 
ind8,EMP_LFS,M,Y20-64,PC_POP,ES,71.0 ,69.2 ,67.7 ,64.6 ,63.4 ,65.0 ,67.6 ,69.6 ,71.5 ,73.1 ,74.0 ,71.4 ,73.0 d
ind8,EMP_LFS,M,Y20-64,PC_POP,EU27_2020,74.0 ,73.4 ,73.4 ,72.8 ,72.4 ,73.1 ,74.1 ,75.2 ,76.5 ,77.6 ,78.3 ,77.2 ,78.5 
ind8,EMP_LFS,M,Y20-64,PC_POP,FI,73.7 ,73.4 ,74.6 ,74.6 ,73.9 ,73.2 ,72.8 ,74.0 ,75.1 ,77.2 ,77.8 ,77.1 ,77.8 
ind8,EMP_LFS,M,Y20-64,PC_POP,FR,73.9 ,73.7 ,73.7 ,73.6 ,73.3 ,73.1 ,73.3 ,73.8 ,74.7 ,75.3 ,75.3 ,75.0 ,76.4 d
ind8,EMP_LFS,M,Y20-64,PC_POP,HR,70.5 ,67.9 ,66.1 ,63.7 ,61.6 ,64.2 ,65.4 ,66.2 ,68.9 ,70.3 ,72.0 ,72.5 ,73.4 
ind8,EMP_LFS,M,Y20-64,PC_POP,HU,66.5 ,65.6 ,66.5 ,67.3 ,69.3 ,73.5 ,75.8 ,78.6 ,81.0 ,82.1 ,83.1 ,83.1 ,84.1 
ind8,EMP_LFS,M,Y20-64,PC_POP,IE,73.2 ,70.0 ,69.0 ,68.8 ,71.8 ,74.1 ,76.1 ,77.5 ,79.1 ,80.2 ,81.3 ,78.5 ,80.0 
ind8,EMP_LFS,M,Y20-64,PC_POP,IS,83.2 ,83.1 ,83.3 ,84.4 ,86.0 ,88.0 ,89.6 ,91.1 ,90.5 ,89.5 ,88.6 ,85.1 b,84.9 
