reason,sex,age,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
FAM_CARE_PER_OTH,F,Y20-64,PC_INAC_WWRK,AT,52.0 ,48.8 ,52.9 ,54.0 ,38.2 b,41.3 b,39.1 ,39.8 b,35.9 ,35.9 ,32.1 ,31.2 ,29.7 ,30.0 ,28.5 ,27.6 ,28.4 ,24.5 ,26.6 ,28.4 ,25.1 ,32.2 b
FAM_CARE_PER_OTH,F,Y20-64,PC_INAC_WWRK,BE,: ,20.6 b,25.5 ,29.8 ,22.0 ,23.7 b,22.2 ,20.6 ,16.1 ,19.2 ,23.3 ,: ,9.6 ,23.9 ,19.4 ,19.9 ,20.0 ,18.9 b,21.5 ,23.9 ,19.3 ,32.4 b
FAM_CARE_PER_OTH,F,Y20-64,PC_INAC_WWRK,BG,7.2 ,13.4 b,9.6 ,11.8 b,11.6 ,14.6 b,15.3 ,18.3 ,18.0 b,11.2 ,12.4 b,8.3 bu,10.1 u,12.5 ,12.8 ,9.6 u,10.6 u,11.5 u,15.2 u,21.8 ,18.8 u,34.5 b
FAM_CARE_PER_OTH,F,Y20-64,PC_INAC_WWRK,CH,66.8 ,60.5 ,58.4 ,55.8 ,57.2 ,55.5 b,58.4 ,58.9 ,51.6 ,47.5 ,50.3 b,47.7 ,45.5 ,46.1 ,42.7 ,39.8 ,42.1 ,39.6 ,38.8 ,39.4 ,38.4 ,35.6 b
FAM_CARE_PER_OTH,F,Y20-64,PC_INAC_WWRK,CY,65.8 ,75.7 ,70.5 ,66.8 ,80.3 ,76.3 b,72.2 ,63.0 ,65.3 ,66.6 b,54.7 ,50.9 ,47.3 ,42.1 ,45.4 ,49.1 ,52.5 ,54.8 ,57.6 ,57.6 ,61.9 ,42.6 b
FAM_CARE_PER_OTH,F,Y20-64,PC_INAC_WWRK,CZ,: ,: ,37.3 ,34.8 ,37.6 ,35.6 b,36.0 ,39.7 ,39.9 ,36.6 ,31.4 ,33.4 b,29.5 ,37.0 ,40.9 ,38.8 ,42.6 ,36.7 ,40.7 ,44.2 ,47.0 ,39.1 b
FAM_CARE_PER_OTH,F,Y20-64,PC_INAC_WWRK,DE,54.7 ,53.4 ,52.4 ,52.6 ,50.4 ,50.0 b,45.5 b,48.3 ,43.7 ,39.5 ,41.3 b,41.4 b,44.7 b,43.3 ,40.9 ,39.2 ,39.1 ,37.5 ,38.6 ,38.7 ,: ,31.3 b
FAM_CARE_PER_OTH,F,Y20-64,PC_INAC_WWRK,DK,28.6 ,29.0 ,27.0 ,21.4 ,19.7 ,22.2 b,20.1 ,15.4 ,15.7 b,12.6 ,13.5 ,15.8 ,13.0 ,13.6 ,13.8 ,13.0 ,11.8 b,12.6 b,13.8 ,13.5 ,11.7 ,16.9 b
FAM_CARE_PER_OTH,F,Y20-64,PC_INAC_WWRK,EA20,: ,: ,42.8 ,41.6 ,35.9 ,36.2 b,37.7 ,36.7 ,34.7 ,32.4 ,31.6 ,30.0 ,30.8 ,29.7 ,27.6 ,28.2 ,28.8 ,29.7 ,31.1 ,32.0 ,28.0 ,28.7 b
FAM_CARE_PER_OTH,F,Y20-64,PC_INAC_WWRK,EE,34.5 b,27.1 u,28.6 u,24.1 u,23.7 u,33.0 b,43.0 ,48.1 ,46.5 ,40.1 ,35.1 ,29.2 ,41.4 ,37.3 ,36.4 ,36.1 ,41.1 ,42.6 ,46.7 ,41.8 ,43.0 ,36.1 b
