indic_em,age,unit,sex,geo\time,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
LTU,Y15-74,PC_ACT,F,AT,1.3 ,1.2 ,1.3 ,1.4 ,1.5 ,1.7 ,1.6 ,2.0 ,2.0 ,1.6 ,1.2 ,1.5 ,1.8 
LTU,Y15-74,PC_ACT,F,BE,3.5 ,4.0 ,3.5 ,3.1 ,3.6 ,3.7 ,3.9 ,3.7 ,3.2 b,2.5 ,2.0 ,2.0 ,2.5 
LTU,Y15-74,PC_ACT,F,BG,3.5 ,4.8 b,5.9 b,6.1 ,7.0 ,6.4 ,5.4 ,4.6 ,3.6 ,3.1 ,2.6 ,2.3 ,2.4 
LTU,Y15-74,PC_ACT,F,CH,: ,1.9 b,1.7 ,1.6 ,1.7 ,1.9 ,1.9 ,1.9 ,1.9 ,1.9 ,1.7 ,1.6 ,2.0 
LTU,Y15-74,PC_ACT,F,CY,0.6 u,1.3 ,1.5 ,3.1 ,5.6 ,7.0 ,6.2 ,5.1 ,4.0 ,2.8 ,2.3 ,2.0 ,2.6 
LTU,Y15-74,PC_ACT,F,CZ,2.5 ,3.5 ,3.2 b,3.6 ,3.7 ,3.2 ,2.9 ,2.0 ,1.3 ,0.8 ,0.7 ,0.6 ,0.9 
LTU,Y15-74,PC_ACT,F,DE,3.4 ,3.0 b,2.5 b,2.2 ,2.1 ,1.9 ,1.7 ,1.4 ,1.3 ,1.1 ,1.0 ,0.9 b,0.9 
LTU,Y15-74,PC_ACT,F,DK,0.5 ,1.1 ,1.6 ,2.0 ,2.0 ,1.7 ,1.6 ,1.2 b,1.2 b,1.1 ,0.9 ,1.2 ,1.1 
LTU,Y15-74,PC_ACT,F,EA19,3.4 ,4.1 ,4.4 ,5.1 ,5.7 ,5.9 ,5.4 ,4.9 ,4.3 ,3.7 ,3.3 ,3.0 ,3.4 
LTU,Y15-74,PC_ACT,F,EA20,3.5 ,4.2 ,4.5 ,5.2 ,5.8 ,5.9 ,5.4 ,4.9 ,4.3 ,3.7 ,3.3 ,3.0 ,3.3 
LTU,Y15-74,PC_ACT,F,EE,2.9 ,5.7 ,6.2 ,4.8 ,3.4 ,2.6 ,2.2 ,1.8 ,1.6 ,1.2 ,0.8 ,1.0 ,1.1 
LTU,Y15-74,PC_ACT,F,EL,5.6 ,7.7 ,10.8 ,16.3 ,20.0 ,20.8 ,19.7 ,19.2 ,18.2 ,16.5 ,14.8 ,13.5 ,12.3 
LTU,Y15-74,PC_ACT,F,ES,4.9 ,7.6 ,9.3 ,11.4 ,13.5 ,13.7 ,12.4 ,10.8 ,8.8 ,7.4 ,6.5 ,6.1 ,7.4 d
LTU,Y15-74,PC_ACT,F,EU27_2020,3.3 ,4.0 ,4.3 ,4.9 ,5.4 ,5.4 ,4.9 ,4.3 ,3.7 ,3.2 ,2.8 ,2.6 ,2.9 
LTU,Y15-74,PC_ACT,F,FI,1.4 ,1.8 ,1.5 ,1.5 ,1.6 ,1.9 ,2.2 ,2.4 ,2.2 ,1.7 ,1.2 ,1.3 ,1.5 
LTU,Y15-74,PC_ACT,F,FR,2.0 ,2.3 ,2.5 ,2.5 ,2.7 ,2.8 ,2.8 ,2.8 ,2.7 ,2.3 ,2.1 ,1.8 ,2.2 d
LTU,Y15-74,PC_ACT,F,HR,6.5 ,7.3 ,8.5 ,10.2 ,10.6 ,10.7 ,10.4 ,6.5 ,4.5 ,3.8 ,2.4 ,2.2 ,2.6 
LTU,Y15-74,PC_ACT,F,HU,3.8 ,4.8 ,4.9 ,4.5 ,4.6 ,3.5 ,2.9 ,2.3 ,1.7 ,1.4 ,1.0 ,1.0 ,1.3 
LTU,Y15-74,PC_ACT,F,IE,2.1 ,4.3 ,5.8 ,6.2 ,6.0 ,5.1 ,4.0 ,3.2 ,2.5 ,1.8 ,1.3 ,1.3 ,1.5 
LTU,Y15-74,PC_ACT,F,IS,: u,1.1 ,1.6 ,1.5 ,0.9 ,0.6 ,0.7 ,: u,: u,: u,: u,: bu,1.0 
LTU,Y15-74,PC_ACT,F,IT,4.3 ,4.8 ,5.0 ,6.4 ,7.4 ,8.6 ,7.3 ,7.3 ,7.0 ,6.8 ,6.1 ,5.3 ,5.9 
LTU,Y15-74,PC_ACT,F,LT,2.8 ,5.9 ,6.7 ,5.8 ,4.6 ,4.2 ,3.4 ,2.6 ,2.1 ,1.7 ,1.8 ,2.4 ,2.6 
LTU,Y15-74,PC_ACT,F,LU,1.6 ,1.3 ,1.6 ,1.9 ,1.9 ,1.6 ,1.9 b,2.1 ,1.9 ,1.5 ,1.3 ,1.9 ,2.1 
LTU,Y15-74,PC_ACT,F,LV,3.8 ,7.1 ,7.0 ,7.4 ,5.2 ,4.2 ,3.7 ,3.3 ,2.8 ,2.5 ,2.0 ,1.8 ,1.7 
LTU,Y15-74,PC_ACT,F,ME,: ,: ,16.6 ,15.9 ,15.0 ,14.1 ,13.3 ,12.9 ,12.8 ,11.6 ,12.7 ,14.0 ,: 
LTU,Y15-74,PC_ACT,F,MK,26.5 ,26.6 ,24.9 ,24.5 ,23.8 ,23.8 ,20.1 ,17.8 ,17.1 ,15.1 ,12.4 ,11.9 ,: 
LTU,Y15-74,PC_ACT,F,MT,2.5 ,4.1 ,3.6 ,4.1 ,3.3 ,2.2 ,1.9 ,2.3 ,2.2 ,1.3 ,0.5 u,0.8 u,0.7 u
LTU,Y15-74,PC_ACT,F,NL,1.2 ,1.4 ,1.5 ,1.9 ,2.3 ,2.8 ,2.7 ,2.5 ,2.0 ,1.4 ,0.9 ,0.8 ,0.9 
LTU,Y15-74,PC_ACT,F,NO,0.8 ,0.8 ,1.1 ,0.8 ,1.1 ,1.1 ,1.4 ,1.5 ,1.4 ,1.3 ,1.1 ,1.2 ,1.0 
LTU,Y15-74,PC_ACT,F,PL,3.0 ,3.3 b,4.1 ,4.7 ,5.0 ,4.2 ,3.0 ,2.1 ,1.5 ,1.0 ,0.7 ,0.7 ,0.9 
LTU,Y15-74,PC_ACT,F,PT,5.1 ,6.7 ,6.7 ,8.0 ,9.5 ,8.7 ,7.4 ,6.1 ,4.7 ,3.2 ,3.1 ,2.4 ,3.1 
