indicator,sex,prof_pos,sectperf,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind9,T,TOTAL,BES,PC_ACT_FTE,AT,: ,: ,0.6969 ,: ,0.754 ,0.8332 e,0.8544 ,0.9102 ,0.9828 e,0.9234 ,0.9838 e,1.0045 ,1.0731 e,1.0846 ,1.1529 e,1.1649 ,1.1706 e,1.1787 ,1.2365 e,1.302 ,1.2753 e,1.3353 e
ind9,T,TOTAL,BES,PC_ACT_FTE,BE,0.7654 ,0.8215 ,0.7237 ,0.7116 ,0.6842 ,0.6889 ,0.7095 ,0.7235 ,0.6932 ,0.6909 ,0.6727 ,0.7264 ,0.7854 ,0.7845 ,0.8604 ,0.903 ,0.9437 ,1.0135 ,1.0692 ,1.1423 ,1.2279 e,1.6234 bp
ind9,T,TOTAL,BES,PC_ACT_FTE,BG,0.0641 ,0.056 ,0.0504 ,0.0647 ,0.0659 ,0.0628 ,0.073 ,0.0702 ,0.0813 ,0.0972 ,0.0822 ,0.074 ,0.0912 ,0.1162 ,0.1644 ,0.2898 ,0.3522 ,0.3281 ,0.4053 ,0.4227 ,0.4288 ,0.4138 p
ind9,T,TOTAL,BES,PC_ACT_FTE,CH,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1.0808 ,: ,: ,1.1056 ,: ,0.9923 ,: ,1.0886 ,: ,: 
ind9,T,TOTAL,BES,PC_ACT_FTE,CY,0.0475 ,0.0457 ,0.0585 ,0.0652 ,0.0651 ,0.0731 ,0.085 ,0.0772 ,0.0846 ,0.0832 ,0.0732 ,0.0643 ,0.0563 ,0.0592 ,0.0629 ,0.062 ,0.0885 ,0.0998 ,0.1525 ,0.1714 ,0.182 ,0.1869 p
ind9,T,TOTAL,BES,PC_ACT_FTE,CZ,0.2271 ,0.2387 ,0.2508 ,0.2718 ,0.2929 ,0.4126 b,0.4497 ,0.4794 ,0.4947 ,0.4873 ,0.5112 ,0.5638 ,0.6127 ,0.6366 ,0.6772 ,0.6992 ,0.713 ,0.7616 ,0.8041 ,0.8517 ,0.885 ,0.9398 p
ind9,T,TOTAL,BES,PC_ACT_FTE,DE,0.7994 e,0.7845 ,0.7712 e,0.756 ,0.7527 ,0.7535 ,0.7637 ,0.7852 ,0.8113 ,0.8249 ,0.8541 ,0.8981 ,0.9216 ,0.8976 ,0.9217 ,1.0004 ,1.0006 ,1.0533 ,1.088 ,1.1383 ,1.1355 ,1.1454 p
ind9,T,TOTAL,BES,PC_ACT_FTE,DK,0.8401 ,0.9131 ,1.0118 ,0.9656 ,0.9832 ,0.9965 ,1.017 ,1.0864 b,1.4113 ,1.3134 ,1.2872 ,1.3122 ,1.2876 ,1.2644 ,1.2759 ,1.3164 ,1.3645 ,1.2556 ,1.2256 ,1.283 p,1.2762 p,1.2532 p
ind9,T,TOTAL,BES,PC_ACT_FTE,EA19,0.5378 e,0.542 e,0.5445 e,0.5404 e,0.549 e,0.5503 e,0.5761 e,0.5964 e,0.6164 e,0.6128 e,0.6337 e,0.6651 e,0.6831 e,0.6981 e,0.7114 e,0.7429 e,0.77 e,0.8228 e,0.8691 e,0.9017 e,0.9161 e,0.9573 p
ind9,T,TOTAL,BES,PC_ACT_FTE,EE,0.0626 ,0.095 ,0.109 ,0.1172 ,0.1674 ,0.2161 ,0.2445 ,0.2544 ,0.2754 ,0.2872 ,0.2927 ,0.317 ,0.2985 ,0.313 ,0.2749 ,0.259 ,0.2819 ,0.3142 ,0.3238 ,0.3981 ,0.4129 ,0.4725 p
