indicator,coop_ptn,unit,geo\time,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 
ind9,APPL,NR,AL,3 p,0 ,2 ,0 ,0 ,2 ,0 ,3 ,0 ,0 ,0 ,0 ,1 ,: ,: ,: ,: ,: 
ind9,APPL,NR,AT,2317 p,2306 ,2346 ,2281 ,2209 ,2024 ,1989 ,1964 ,1993 ,1874 ,1734 ,1744 ,1496 ,1503 ,1382 ,1146 ,1053 ,1000 
ind9,APPL,NR,BA,1 p,4 ,2 ,1 ,0 ,2 ,0 ,0 ,1 ,3 ,0 ,2 ,1 ,: ,: ,: ,: ,: 
ind9,APPL,NR,BE,2485 p,2406 ,2422 ,2348 ,2152 ,2211 ,2041 ,1927 ,1882 ,1886 ,2014 ,2045 ,1629 ,1899 ,1898 ,1842 ,1658 ,1493 
ind9,APPL,NR,BG,40 p,54 ,35 ,31 ,32 ,20 ,33 ,34 ,23 ,13 ,16 ,11 ,19 ,15 ,16 ,12 ,11 ,16 
ind9,APPL,NR,CH,8442 p,8125 ,8266 ,7961 ,7354 ,7302 ,7116 ,6910 ,6742 ,6746 ,6553 ,6864 ,5887 ,5942 ,5871 ,5503 ,5027 ,4663 
ind9,APPL,NR,CY,44 p,65 ,48 ,49 ,49 ,36 ,39 ,44 ,41 ,56 ,55 ,49 ,42 ,56 ,42 ,47 ,35 ,20 
ind9,APPL,NR,CZ,203 p,206 ,203 ,248 ,206 ,189 ,213 ,167 ,151 ,140 ,162 ,167 ,135 ,110 ,96 ,82 ,73 ,84 
ind9,APPL,NR,DE,25969 p,25882 ,26762 ,26663 ,25539 ,24932 ,24807 ,25633 ,26510 ,27249 ,26202 ,27328 ,25118 ,26667 ,25190 ,24806 ,23789 ,23044 
ind9,APPL,NR,DK,2642 p,2420 ,2415 ,2385 ,2089 ,1855 ,1920 ,1983 ,1942 ,1605 ,1782 ,1817 ,1477 ,1584 ,1400 ,1246 ,1174 ,984 
ind9,APPL,NR,EE,69 p,57 ,48 ,47 ,54 ,43 ,32 ,38 ,41 ,41 ,28 ,27 ,32 ,7 ,13 ,7 ,3 ,4 
ind9,APPL,NR,EL,198 p,135 ,141 ,120 ,102 ,75 ,91 ,95 ,68 ,79 ,78 ,83 ,102 ,89 ,83 ,70 ,67 ,69 
ind9,APPL,NR,ES,1954 p,1794 ,1885 ,1781 ,1671 ,1574 ,1518 ,1471 ,1504 ,1544 ,1404 ,1430 ,1255 ,1327 ,1283 ,1101 ,972 ,846 
ind9,APPL,NR,EU27_2020,67713 p,65925 ,66510 ,66181 ,63897 ,62055 ,62618 ,62618 ,61033 ,60451 ,59626 ,61235 ,57101 ,60401 ,57255 ,55197 ,53744 ,51508 
ind9,APPL,NR,EU28,: ,: ,72639 ,71942 ,69218 ,67230 ,67669 ,67382 ,65620 ,65167 ,64372 ,66616 ,61902 ,65430 ,62250 ,59919 ,58393 ,56299 
ind9,APPL,NR,FI,2111 p,1899 ,1705 ,1728 ,1797 ,1796 ,1993 ,2182 ,1894 ,1851 ,1548 ,1617 ,1413 ,1802 ,2036 ,1674 ,1514 ,1608 
ind9,APPL,NR,FR,10537 p,10614 ,10233 ,10468 ,10619 ,10484 ,10760 ,10614 ,9835 ,9897 ,9617 ,9575 ,8974 ,9093 ,8359 ,8051 ,8034 ,8079 
ind9,APPL,NR,HR,27 p,23 ,19 ,14 ,10 ,16 ,9 ,12 ,10 ,19 ,18 ,17 ,20 ,24 ,38 ,30 ,26 ,24 
ind9,APPL,NR,HU,118 p,109 ,97 ,118 ,95 ,107 ,97 ,114 ,103 ,105 ,96 ,107 ,116 ,108 ,100 ,93 ,81 ,94 
ind9,APPL,NR,IE,956 p,980 ,882 ,826 ,660 ,727 ,614 ,622 ,566 ,609 ,653 ,637 ,622 ,484 ,423 ,349 ,311 ,326 
ind9,APPL,NR,IS,62 p,41 ,50 ,33 ,56 ,39 ,45 ,42 ,38 ,50 ,45 ,53 ,46 ,36 ,36 ,47 ,28 ,31 
ind9,APPL,NR,IT,4919 p,4619 ,4469 ,4404 ,4360 ,4154 ,3986 ,3649 ,3706 ,3744 ,3970 ,4078 ,3879 ,4357 ,4408 ,4173 ,4199 ,3998 
ind9,APPL,NR,LI,494 p,439 ,437 ,432 ,380 ,374 ,371 ,278 ,250 ,199 ,222 ,279 ,228 ,225 ,238 ,167 ,152 ,146 
ind9,APPL,NR,LT,73 p,50 ,29 ,37 ,24 ,26 ,39 ,24 ,22 ,19 ,14 ,9 ,13 ,11 ,9 ,1 ,1 ,2 
ind9,APPL,NR,LU,430 p,402 ,415 ,431 ,533 ,556 ,425 ,454 ,429 ,449 ,393 ,420 ,364 ,274 ,259 ,203 ,181 ,183 
ind9,APPL,NR,LV,22 p,30 ,22 ,13 ,14 ,11 ,30 ,8 ,80 ,25 ,28 ,32 ,49 ,42 ,20 ,10 ,7 ,4 
ind9,APPL,NR,ME,1 p,2 ,0 ,2 ,1 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,: ,: ,: ,: ,: 
ind9,APPL,NR,MK,5 p,1 ,1 ,0 ,0 ,1 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,: ,: ,: ,: ,: 
ind9,APPL,NR,MT,51 p,63 ,58 ,51 ,69 ,74 ,94 ,62 ,43 ,24 ,30 ,31 ,61 ,27 ,27 ,15 ,7 ,8 
ind9,APPL,NR,NL,6581 p,6386 ,6942 ,7142 ,7043 ,6860 ,7147 ,6874 ,5852 ,5067 ,5627 ,5965 ,6694 ,7360 ,7118 ,7360 ,7799 ,6974 
ind9,APPL,NR,NO,640 p,652 ,646 ,610 ,531 ,523 ,510 ,529 ,509 ,555 ,467 ,509 ,475 ,: ,: ,: ,: ,: 
ind9,APPL,NR,PL,539 p,478 ,463 ,519 ,446 ,393 ,566 ,482 ,372 ,383 ,246 ,205 ,174 ,169 ,104 ,127 ,111 ,93 
ind9,APPL,NR,PT,286 p,251 ,272 ,221 ,150 ,157 ,141 ,113 ,95 ,76 ,81 ,81 ,113 ,85 ,71 ,79 ,41 ,52 
ind9,APPL,NR,RO,30 p,55 ,40 ,50 ,52 ,31 ,30 ,28 ,33 ,35 ,20 ,14 ,16 ,18 ,16 ,16 ,8 ,11 
ind9,APPL,NR,RS,22 p,8 ,9 ,9 ,10 ,1 ,4 ,11 ,11 ,5 ,6 ,8 ,4 ,: ,: ,: ,: ,: 
