indicator,airpol,nace_r2,na_item,unit,geo\time,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind9,PM10,C,B1G,G_EUR_CLV10,AT,0.07 ,0.07 ,0.07 ,0.07 ,0.06 ,0.06 ,0.05 ,0.05 ,0.04 ,0.04 ,0.04 ,0.04 ,0.04 ,: 
ind9,PM10,C,B1G,G_EUR_CLV10,BE,0.23 ,0.15 ,0.16 ,0.14 ,0.14 ,0.12 ,0.12 ,0.12 ,0.12 ,0.11 ,0.11 ,0.1 ,0.1 ,: 
ind9,PM10,C,B1G,G_EUR_CLV10,BG,1.19 ,0.52 ,0.46 ,0.53 ,0.34 ,0.34 ,0.5 ,0.64 ,0.43 ,0.42 ,0.45 ,0.65 ,0.85 ,: 
ind9,PM10,C,B1G,G_EUR_CLV10,CH,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,: ,: 
ind9,PM10,C,B1G,G_EUR_CLV10,CY,0.75 ,0.67 ,0.62 ,0.56 ,0.19 ,0.26 ,0.33 ,0.29 ,0.26 ,0.26 ,0.24 ,0.23 ,0.26 ,: 
ind9,PM10,C,B1G,G_EUR_CLV10,CZ,0.18 ,0.17 ,0.15 ,0.11 ,0.1 ,0.11 ,0.1 ,0.08 ,0.07 ,0.06 ,0.05 ,0.05 ,0.05 ,: 
ind9,PM10,C,B1G,G_EUR_CLV10,DE,0.05 ,0.06 ,0.05 ,0.04 ,0.04 ,0.04 ,0.04 ,0.04 ,0.04 ,0.04 ,0.04 ,0.04 ,0.04 ,: 
ind9,PM10,C,B1G,G_EUR_CLV10,DK,0.04 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,: 
ind9,PM10,C,B1G,G_EUR_CLV10,EE,1.28 ,1.33 ,1.18 ,0.74 ,0.83 ,1.11 ,1.29 ,0.87 ,0.75 ,0.74 ,0.64 ,0.57 ,0.66 ,: 
ind9,PM10,C,B1G,G_EUR_CLV10,EL,0.27 ,0.24 ,0.26 ,0.26 ,0.27 ,0.26 ,0.28 ,0.29 ,0.27 ,0.25 ,0.24 ,0.22 ,0.19 ,: 
ind9,PM10,C,B1G,G_EUR_CLV10,ES,0.16 ,0.15 ,0.15 ,0.15 ,0.16 ,0.12 ,0.12 ,0.13 ,0.13 ,0.13 ,0.14 ,0.14 ,0.14 ,: 
ind9,PM10,C,B1G,G_EUR_CLV10,EU27_2020,0.15 s,0.15 ,0.14 ,0.13 ,0.13 ,0.12 ,0.12 ,0.11 ,0.11 ,0.11 ,0.1 ,0.1 ,0.1 ,: 
ind9,PM10,C,B1G,G_EUR_CLV10,FI,0.17 ,0.16 ,0.18 ,0.16 ,0.15 ,0.14 ,0.15 ,0.15 ,0.15 ,0.13 ,0.13 ,0.1 ,0.1 ,: 
ind9,PM10,C,B1G,G_EUR_CLV10,FR,0.12 ,0.11 ,0.12 ,0.1 ,0.09 ,0.09 ,0.09 ,0.09 ,0.09 ,0.09 ,0.08 ,0.07 ,0.07 ,: 
ind9,PM10,C,B1G,G_EUR_CLV10,HR,0.35 ,0.37 ,0.39 ,0.35 ,0.35 ,0.35 ,0.32 ,0.3 ,0.26 ,0.28 ,0.26 ,0.26 ,0.25 ,: 
ind9,PM10,C,B1G,G_EUR_CLV10,HU,0.13 ,0.12 ,0.12 ,0.12 ,0.11 ,0.09 ,0.11 ,0.1 ,0.1 ,0.1 ,0.12 ,0.12 ,0.12 ,: 
ind9,PM10,C,B1G,G_EUR_CLV10,IE,0.05 s,0.05 ,0.05 ,0.04 ,0.04 ,0.04 ,0.05 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,: 
ind9,PM10,C,B1G,G_EUR_CLV10,IS,0.63 ,0.51 ,0.44 ,0.35 ,0.48 ,0.43 ,0.39 ,0.41 ,0.32 ,0.28 ,0.3 ,0.41 ,0.43 ,0.39 
ind9,PM10,C,B1G,G_EUR_CLV10,IT,0.15 ,0.13 ,0.13 ,0.13 ,0.12 ,0.1 ,0.09 ,0.09 ,0.08 ,0.08 ,0.08 ,0.08 ,0.08 ,: 
ind9,PM10,C,B1G,G_EUR_CLV10,LT,0.16 ,0.15 ,0.14 ,0.14 ,0.16 ,0.15 ,0.17 ,0.16 ,0.12 ,0.11 ,0.19 ,0.08 ,0.08 ,: 
ind9,PM10,C,B1G,G_EUR_CLV10,LU,0.17 ,0.17 ,0.18 ,0.17 ,0.17 ,0.14 ,0.13 ,0.1 ,0.09 ,0.12 ,0.11 ,0.1 ,0.09 ,: 
ind9,PM10,C,B1G,G_EUR_CLV10,LV,0.57 ,0.66 ,0.56 ,0.4 ,0.43 ,0.49 ,0.6 ,0.58 ,0.52 ,0.5 ,0.49 ,0.45 ,0.44 ,: 
ind9,PM10,C,B1G,G_EUR_CLV10,MT,0.03 ,0.03 ,0.03 ,0.02 ,0.03 ,0.03 ,0.03 ,0.04 ,0.03 ,0.03 ,0.02 ,0.02 ,0.02 ,: 
ind9,PM10,C,B1G,G_EUR_CLV10,NL,0.12 ,0.12 ,0.12 ,0.11 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.09 ,0.09 ,0.09 ,0.08 
ind9,PM10,C,B1G,G_EUR_CLV10,NO,0.23 ,0.18 ,0.2 ,0.23 ,0.2 ,0.21 ,0.18 ,0.19 ,0.18 ,0.17 ,0.17 ,0.16 ,0.17 ,: 
ind9,PM10,C,B1G,G_EUR_CLV10,PL,0.5 ,0.43 ,0.4 ,0.44 ,0.41 ,0.44 ,0.4 ,0.38 ,0.35 ,0.37 ,0.35 ,0.33 ,0.33 ,: 
ind9,PM10,C,B1G,G_EUR_CLV10,PT,1.2 ,1.2 ,1.24 ,1.26 ,1.24 ,1.17 ,1.16 ,1.12 ,1.08 ,1.04 ,1 ,1.01 ,1.08 ,: 
ind9,PM10,C,B1G,G_EUR_CLV10,RO,0.64 ,0.49 ,0.51 ,0.46 ,0.5 ,0.49 ,0.46 ,0.43 ,0.43 ,0.4 ,0.38 ,0.38 ,0.38 ,: 
ind9,PM10,C,B1G,G_EUR_CLV10,RS,0.83 ,0.82 ,0.83 ,0.96 ,0.89 ,0.92 ,0.83 ,0.88 ,0.99 ,1.01 ,1.11 ,1.08 ,1.05 ,: 
ind9,PM10,C,B1G,G_EUR_CLV10,SE,0.13 ,0.16 ,0.14 ,0.12 ,0.12 ,0.12 ,0.11 ,0.09 ,0.09 ,0.09 ,0.08 ,0.08 ,0.08 ,0.07 
ind9,PM10,C,B1G,G_EUR_CLV10,SI,0.16 ,0.17 ,0.17 ,0.15 ,0.14 ,0.15 ,0.16 ,0.15 ,0.14 ,0.13 ,0.12 ,0.12 ,0.11 ,: 
ind9,PM10,C,B1G,G_EUR_CLV10,SK,0.35 ,0.38 ,0.28 ,0.26 ,0.26 ,0.25 ,0.2 ,0.17 ,0.17 ,0.16 ,0.14 ,0.12 ,0.13 ,: 
ind9,PM10,C,B1G,G_EUR_CLV10,UK,0.15 ,0.16 ,0.15 ,0.15 ,0.15 ,0.17 ,0.18 ,0.17 ,0.15 ,0.15 ,0.15 ,: ,: ,: 
ind9,PM2_5,C,B1G,G_EUR_CLV10,AT,0.05 ,0.05 ,0.05 ,0.04 ,0.04 ,0.04 ,0.03 ,0.03 ,0.03 ,0.03 ,0.02 ,0.02 ,0.02 ,: 
ind9,PM2_5,C,B1G,G_EUR_CLV10,BE,0.15 ,0.09 ,0.1 ,0.09 ,0.09 ,0.08 ,0.08 ,0.08 ,0.08 ,0.07 ,0.07 ,0.06 ,0.06 ,: 
ind9,PM2_5,C,B1G,G_EUR_CLV10,BG,0.91 ,0.37 ,0.32 ,0.38 ,0.23 ,0.24 ,0.36 ,0.4 ,0.28 ,0.28 ,0.28 ,0.37 ,0.37 ,: 
ind9,PM2_5,C,B1G,G_EUR_CLV10,CH,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,: ,: 
ind9,PM2_5,C,B1G,G_EUR_CLV10,CY,0.56 ,0.49 ,0.46 ,0.4 ,0.14 ,0.2 ,0.25 ,0.22 ,0.2 ,0.21 ,0.19 ,0.19 ,0.21 ,: 
ind9,PM2_5,C,B1G,G_EUR_CLV10,CZ,0.12 ,0.11 ,0.1 ,0.08 ,0.07 ,0.07 ,0.07 ,0.05 ,0.05 ,0.04 ,0.04 ,0.03 ,0.03 ,: 
ind9,PM2_5,C,B1G,G_EUR_CLV10,DE,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.03 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,: 
ind9,PM2_5,C,B1G,G_EUR_CLV10,DK,0.03 ,0.03 ,0.03 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.02 ,0.01 ,0.01 ,0.01 ,0.01 ,: 
ind9,PM2_5,C,B1G,G_EUR_CLV10,EE,0.93 ,0.87 ,0.85 ,0.58 ,0.57 ,0.69 ,0.84 ,0.63 ,0.57 ,0.58 ,0.5 ,0.44 ,0.54 ,: 
ind9,PM2_5,C,B1G,G_EUR_CLV10,EL,0.23 ,0.21 ,0.22 ,0.23 ,0.23 ,0.22 ,0.24 ,0.25 ,0.23 ,0.21 ,0.2 ,0.19 ,0.17 ,: 
