indicator,terrtypo,unit,geo\time,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind9,LSA,PC_HH,AT,2.2 ,2.2 ,2.1 ,5.3 ,5.4 ,5.9 ,10.0 ,12.0 ,15.7 
ind9,LSA,PC_HH,BE,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,9.3 ,10.6 ,55.1 
ind9,LSA,PC_HH,BG,0.2 ,0.2 ,0.7 ,5.7 ,13.7 ,23.7 ,35.7 ,48.7 ,61.0 
ind9,LSA,PC_HH,CH,0.4 ,6.2 ,6.6 ,7.3 ,7.6 ,8.2 ,67.5 ,73.5 ,77.0 
ind9,LSA,PC_HH,CY,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,16.6 ,19.5 ,22.4 
ind9,LSA,PC_HH,CZ,1.5 ,4.0 ,4.9 ,5.1 ,5.3 ,5.6 ,5.9 ,6.4 ,7.0 
ind9,LSA,PC_HH,DE,0.5 ,0.8 ,1.4 ,1.7 ,2.4 ,3.6 ,10.3 ,16.4 ,22.5 
ind9,LSA,PC_HH,DK,4.2 ,42.0 ,45.6 ,49.0 ,54.8 ,60.8 ,69.2 ,72.6 ,79.1 
ind9,LSA,PC_HH,EE,11.0 ,13.7 ,15.2 ,15.4 ,16.8 ,18.0 ,19.8 ,20.5 ,21.1 
ind9,LSA,PC_HH,EL,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
ind9,LSA,PC_HH,ES,2.5 ,5.0 ,5.6 ,9.7 ,20.9 ,32.6 ,51.9 ,64.2 ,71.5 
ind9,LSA,PC_HH,EU27_2020,3.6 ,5.1 ,5.8 ,7.7 ,10.6 ,14.8 ,22.2 ,28.7 ,37.1 
ind9,LSA,PC_HH,FI,7.4 ,8.1 ,8.2 ,8.2 ,8.3 ,9.3 ,9.1 ,9.4 ,12.4 
ind9,LSA,PC_HH,FR,1.3 ,1.7 ,2.0 ,2.3 ,4.3 ,9.3 ,12.4 ,18.4 ,28.8 
ind9,LSA,PC_HH,HR,0.0 ,0.0 ,0.0 ,0.2 ,0.2 ,3.7 ,9.5 ,10.6 ,14.0 
ind9,LSA,PC_HH,HU,3.9 ,4.0 ,4.2 ,6.4 ,6.8 ,15.6 ,28.9 ,35.6 ,38.3 
ind9,LSA,PC_HH,IE,0.0 ,0.0 ,0.0 ,1.2 ,1.2 ,2.7 ,13.5 ,24.0 ,45.8 
ind9,LSA,PC_HH,IS,2.1 ,2.3 ,2.3 ,24.0 ,29.1 ,39.4 ,54.7 ,66.3 ,78.4 
ind9,LSA,PC_HH,IT,0.0 ,0.0 ,0.0 ,0.8 ,0.8 ,0.8 ,2.1 ,8.4 ,17.3 
ind9,LSA,PC_HH,LT,7.4 ,12.4 ,15.6 ,18.0 ,19.5 ,21.8 ,22.5 ,23.3 ,37.1 
ind9,LSA,PC_HH,LU,27.0 ,28.0 ,29.0 ,35.0 ,35.1 ,37.0 ,78.9 ,80.8 ,79.1 
ind9,LSA,PC_HH,LV,60.5 ,63.6 ,67.3 ,69.3 ,70.1 ,73.6 ,73.2 ,73.8 ,75.2 
ind9,LSA,PC_HH,MT,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,100.0 
ind9,LSA,PC_HH,NL,15.5 ,16.7 ,18.4 ,19.9 ,20.3 ,22.7 ,71.2 ,71.9 ,79.1 
ind9,LSA,PC_HH,NO,10.0 ,12.3 ,18.4 ,19.5 ,22.9 ,32.6 ,44.8 ,56.3 ,64.0 
ind9,LSA,PC_HH,PL,0.2 ,2.6 ,3.5 ,7.1 ,9.5 ,13.7 ,18.7 ,24.9 ,33.4 
ind9,LSA,PC_HH,PT,11.5 ,13.4 ,15.3 ,18.5 ,42.2 ,48.2 ,69.4 ,70.3 ,75.9 
ind9,LSA,PC_HH,RO,21.5 ,22.7 ,25.0 ,26.7 ,29.1 ,30.1 ,39.1 ,55.6 ,75.7 
ind9,LSA,PC_HH,SE,8.8 ,13.7 ,13.7 ,20.8 ,22.2 ,31.0 ,40.6 ,48.1 ,54.3 
ind9,LSA,PC_HH,SI,18.8 ,19.6 ,21.7 ,23.5 ,25.8 ,34.3 ,38.0 ,39.0 ,46.4 
ind9,LSA,PC_HH,SK,3.6 ,4.3 ,4.4 ,6.9 ,9.2 ,11.9 ,15.3 ,18.0 ,21.6 
ind9,LSA,PC_HH,UK,0.5 ,0.8 ,0.9 ,2.5 ,4.3 ,5.9 ,5.9 ,11.9 ,16.6 
ind9,TOTAL,PC_HH,AT,7.1 ,7.1 ,7.1 ,8.0 ,12.4 ,13.0 ,13.8 ,39.3 ,45.4 
ind9,TOTAL,PC_HH,BE,0.4 ,0.4 ,0.4 ,0.6 ,0.8 ,1.4 ,66.5 ,67.5 ,68.9 
ind9,TOTAL,PC_HH,BG,22.9 ,28.3 ,32.2 ,38.2 ,45.2 ,54.2 ,65.2 ,75.2 ,84.7 
ind9,TOTAL,PC_HH,CH,21.1 ,25.9 ,27.0 ,28.6 ,29.5 ,30.3 ,79.4 ,85.9 ,86.6 
ind9,TOTAL,PC_HH,CY,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.5 ,10.1 ,26.2 ,41.4 
ind9,TOTAL,PC_HH,CZ,13.4 ,13.9 ,17.3 ,21.0 ,25.9 ,28.3 ,29.3 ,33.3 ,52.5 
ind9,TOTAL,PC_HH,DE,4.4 ,4.3 ,6.6 ,7.1 ,7.3 ,8.5 ,32.7 ,55.9 ,74.9 
ind9,TOTAL,PC_HH,DK,46.8 ,52.4 ,57.0 ,58.1 ,62.7 ,64.4 ,93.0 ,93.8 ,94.9 
ind9,TOTAL,PC_HH,EE,43.0 ,44.6 ,47.5 ,48.5 ,50.7 ,54.2 ,57.4 ,70.9 ,73.4 
ind9,TOTAL,PC_HH,EL,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,0.4 ,7.1 ,10.2 ,19.8 
ind9,TOTAL,PC_HH,ES,22.7 ,44.8 ,52.8 ,62.8 ,71.4 ,77.4 ,89.0 ,91.7 ,93.8 
ind9,TOTAL,PC_HH,EU27_2020,15.6 ,19.5 ,21.9 ,25.2 ,29.2 ,33.3 ,50.1 ,59.8 ,70.2 
ind9,TOTAL,PC_HH,FI,29.4 ,30.7 ,31.4 ,31.6 ,31.7 ,31.4 ,61.8 ,66.7 ,68.0 
ind9,TOTAL,PC_HH,FR,10.5 ,13.6 ,15.5 ,20.8 ,28.3 ,37.8 ,43.8 ,52.6 ,63.4 
ind9,TOTAL,PC_HH,HR,6.9 ,8.8 ,10.1 ,15.6 ,17.8 ,23.4 ,43.2 ,46.5 ,51.7 
ind9,TOTAL,PC_HH,HU,19.8 ,20.8 ,21.5 ,24.0 ,29.8 ,35.9 ,42.6 ,48.6 ,78.6 
ind9,TOTAL,PC_HH,IE,1.7 ,1.7 ,4.5 ,5.5 ,8.3 ,12.9 ,35.4 ,83.3 ,88.7 
ind9,TOTAL,PC_HH,IS,60.8 ,59.9 ,60.4 ,71.1 ,72.3 ,76.2 ,82.0 ,83.6 ,88.7 
ind9,TOTAL,PC_HH,IT,12.2 ,14.8 ,16.4 ,18.8 ,21.7 ,23.9 ,30.0 ,33.7 ,44.2 
ind9,TOTAL,PC_HH,LT,48.7 ,49.2 ,49.6 ,50.1 ,54.4 ,60.6 ,61.0 ,67.1 ,78.2 
ind9,TOTAL,PC_HH,LU,36.0 ,42.8 ,47.1 ,51.5 ,57.2 ,63.4 ,92.0 ,95.1 ,95.9 
ind9,TOTAL,PC_HH,LV,82.9 ,83.9 ,85.0 ,85.2 ,85.7 ,87.8 ,88.1 ,88.1 ,90.7 
ind9,TOTAL,PC_HH,MT,0.8 ,8.4 ,10.4 ,16.0 ,23.0 ,31.6 ,100.0 ,100.0 ,100.0 
ind9,TOTAL,PC_HH,NL,23.3 ,28.2 ,29.7 ,31.2 ,31.9 ,32.2 ,88.6 ,89.8 ,90.6 
ind9,TOTAL,PC_HH,NO,33.8 ,40.0 ,41.1 ,45.9 ,51.9 ,58.7 ,71.4 ,73.7 ,75.8 
ind9,TOTAL,PC_HH,PL,3.5 ,7.3 ,9.0 ,14.8 ,21.3 ,29.1 ,60.3 ,64.6 ,70.0 
ind9,TOTAL,PC_HH,PT,42.1 ,45.3 ,47.2 ,49.6 ,63.6 ,70.2 ,83.0 ,86.6 ,90.5 
ind9,TOTAL,PC_HH,RO,54.7 ,58.0 ,58.2 ,59.7 ,61.0 ,62.7 ,68.1 ,75.9 ,87.1 
ind9,TOTAL,PC_HH,SE,51.8 ,56.4 ,56.4 ,60.8 ,66.4 ,72.2 ,77.1 ,80.5 ,82.5 
ind9,TOTAL,PC_HH,SI,36.6 ,42.2 ,45.0 ,50.4 ,52.2 ,61.1 ,63.8 ,65.6 ,72.4 
ind9,TOTAL,PC_HH,SK,29.5 ,32.0 ,36.1 ,39.5 ,41.2 ,42.9 ,45.5 ,50.2 ,66.7 
ind9,TOTAL,PC_HH,UK,0.9 ,1.4 ,1.4 ,1.8 ,3.0 ,3.8 ,8.5 ,21.0 ,39.9 
