sectperf,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
BES,PC_GDP,AT,: ,: ,1.38 ,: ,1.47 ,1.66 e,1.66 ,1.71 ,1.78 e,1.77 ,1.87 e,1.84 ,2.05 e,2.09 ,2.2 e,2.18 ,2.19 e,2.14 ,2.16 e,2.2 ,2.23 e,2.22 e
BES,PC_GDP,BA,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.16 ,0.19 ,0.05 ,: ,: ,: ,: ,0.07 ,0.08 ,: 
BES,PC_GDP,BE,1.4 ,1.48 ,1.34 ,1.28 ,1.26 ,1.22 ,1.26 ,1.29 ,1.32 ,1.32 ,1.38 ,1.49 ,1.59 ,1.62 ,1.66 ,1.7 ,1.73 ,1.87 ,2.05 ,2.33 ,2.48 e,2.42 p
BES,PC_GDP,BG,0.11 ,0.09 ,0.09 ,0.09 ,0.11 ,0.1 ,0.11 ,0.13 ,0.14 ,0.15 ,0.28 ,0.28 ,0.36 ,0.39 ,0.52 ,0.7 ,0.56 ,0.52 ,0.54 ,0.56 ,0.57 ,0.51 p
BES,PC_GDP,CH,1.67 ,: ,: ,: ,1.92 ,: ,: ,: ,1.94 ,: ,: ,: ,1.98 ,: ,: ,2.07 ,: ,2.04 ,: ,2.13 ,: ,: 
BES,PC_GDP,CY,0.05 ,0.05 ,0.06 ,0.07 ,0.07 ,0.08 ,0.09 ,0.09 ,0.09 ,0.09 ,0.08 ,0.07 ,0.07 ,0.09 ,0.11 ,0.11 ,0.19 ,0.2 ,0.25 ,0.3 ,0.37 ,0.41 p
BES,PC_GDP,CZ,0.67 ,0.66 ,0.67 ,0.7 ,0.71 ,0.68 ,0.72 ,0.75 ,0.71 ,0.71 ,0.75 ,0.84 ,0.93 ,1 ,1.08 ,1.04 ,1.02 ,1.11 ,1.18 ,1.19 ,1.21 ,1.25 p
BES,PC_GDP,DE,1.69 ,1.67 ,1.68 ,1.72 ,1.7 ,1.69 ,1.73 ,1.72 ,1.81 ,1.85 ,1.83 ,1.9 ,1.96 ,1.91 ,1.95 ,2.01 ,2 ,2.11 ,2.14 ,2.18 ,2.09 e,2.09 p
BES,PC_GDP,DK,1.46 ,1.59 ,1.69 ,1.74 ,1.65 ,1.63 ,1.61 ,1.76 b,1.94 ,2.13 ,1.96 ,1.96 ,1.95 ,1.88 ,1.86 ,1.94 ,2.01 ,1.86 ,1.87 ,1.84 p,1.82 ,1.75 p
BES,PC_GDP,EA19,1.14 e,1.14 e,1.14 e,1.14 e,1.13 e,1.12 e,1.14 e,1.15 e,1.2 e,1.23 e,1.24 e,1.29 e,1.34 e,1.36 e,1.38 e,1.39 e,1.4 e,1.44 e,1.47 e,1.51 e,1.54 e,1.51 p
