nace_r2,ceparema,na_item,ty,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
TOTAL,TOTAL,B1G,TOT_EGSS,MEUR_CLV10,AT,: ,: ,: ,: ,: ,: ,: ,: ,13772.03 ,12805.61 ,13223.67 ,13062.01 ,13600.14 ,13667.59 ,13307.14 ,12753.08 ,13606.82 ,14114.08 ,14155.67 ,14398.74 ,13806.18 ,: 
TOTAL,TOTAL,B1G,TOT_EGSS,MEUR_CLV10,BE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,5838.23 ,5983.63 ,6131.47 ,6351.24 ,6435.3 ,6544.58 ,6562.17 ,: 
TOTAL,TOTAL,B1G,TOT_EGSS,MEUR_CLV10,BG,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,928.7 ,611 ,734.5 ,797.23 ,825.85 ,836.97 ,1022.27 b,1098.82 ,: 
TOTAL,TOTAL,B1G,TOT_EGSS,MEUR_CLV10,CH,8693.49 ,8892.55 ,9526.68 ,9381.75 ,9663.14 ,10389.25 ,10933.97 ,11864.92 ,13062.4 ,13596.3 ,15767.64 ,16868.54 ,17621.31 ,18360.6 ,18104.24 ,18684.93 ,18516.48 ,18483.51 ,17697.09 ,16965.31 ,17237.17 p,: 
TOTAL,TOTAL,B1G,TOT_EGSS,MEUR_CLV10,CY,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,339.26 ,414.53 ,402.41 ,: 
TOTAL,TOTAL,B1G,TOT_EGSS,MEUR_CLV10,CZ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,4213.05 ,4226.06 ,4218.32 ,4310.24 ,4246.84 ,4418.43 ,4983.68 ,: 
TOTAL,TOTAL,B1G,TOT_EGSS,MEUR_CLV10,DE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,50115.75 ,50264.27 ,52471.29 ,56090.71 ,57590.98 ,58196.92 ,67729.32 ,: 
TOTAL,TOTAL,B1G,TOT_EGSS,MEUR_CLV10,DK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,6942.69 ,7844.14 ,7031.76 b,7703.37 b,8438.46 ,8890.75 ,9094.09 ,9696.31 ,8931.41 ,10214.79 
TOTAL,TOTAL,B1G,TOT_EGSS,MEUR_CLV10,EE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,670.46 ,770.47 ,876.81 ,899.78 ,909.17 ,927.74 ,1007.98 ,: 
TOTAL,TOTAL,B1G,TOT_EGSS,MEUR_CLV10,EL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,3140.63 ,3235.69 ,3200.53 ,3173.91 ,3442.43 ,3963.3 ,4080.12 p,: 
TOTAL,TOTAL,B1G,TOT_EGSS,MEUR_CLV10,ES,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,22199.18 ,24025.73 ,24141.91 ,24726.75 ,26619.07 ,26747.73 ,28419.59 ,34551.74 p
TOTAL,TOTAL,B1G,TOT_EGSS,MEUR_CLV10,EU27_2020,154019 s,158063 s,165988 s,167160 s,174317 s,177972 s,193301 s,206527 s,215273 s,214111 s,230014 s,244779 s,249187 s,249162 s,244424 s,253854 s,264541 s,271717 s,281050 s,294514 s,300135 s,: 
TOTAL,TOTAL,B1G,TOT_EGSS,MEUR_CLV10,FI,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,11932.74 ,12517.7 ,13085.96 ,13875.51 ,12306.99 ,12655.4 ,12466.21 ,13140.28 
TOTAL,TOTAL,B1G,TOT_EGSS,MEUR_CLV10,FR,: ,: ,: ,: ,: ,: ,: ,: ,31051.92 ,31628.83 ,35381.35 ,36856.05 ,36701.47 ,37380.2 ,37589.13 ,37808.83 ,37532.65 ,40495.28 ,43053.48 ,43244.99 ,41967.75 p,: 
TOTAL,TOTAL,B1G,TOT_EGSS,MEUR_CLV10,HR,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,712.91 ,722.39 ,724.9 ,729.2 ,724.31 ,732.21 ,718.85 ,800.93 
TOTAL,TOTAL,B1G,TOT_EGSS,MEUR_CLV10,IE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1505.9 e,1571.89 e,1813.6 e,2131.19 e,2798.8 e,2857.27 e,2864.59 e,: 
TOTAL,TOTAL,B1G,TOT_EGSS,MEUR_CLV10,IT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,28998.01 ,29090.53 ,29298.28 ,29284.96 ,38956.24 ,38523.3 ,36715.58 ,: 
TOTAL,TOTAL,B1G,TOT_EGSS,MEUR_CLV10,LT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,487.96 ,513.86 ,607.94 ,645.44 ,684.44 ,743.92 ,797.35 ,872.11 ,889.92 ,1045.48 ,1149.8 ,: 
TOTAL,TOTAL,B1G,TOT_EGSS,MEUR_CLV10,LU,: ,: ,: ,: ,: ,: ,: ,: ,697.87 ,622.96 ,702.97 ,708.83 ,685.77 ,760.22 ,804.91 ,756.69 ,860.89 ,900.13 ,1040.08 ,1421.1 ,1515.82 ,: 
TOTAL,TOTAL,B1G,TOT_EGSS,MEUR_CLV10,LV,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,545.18 ,586.84 ,591.62 ,628.21 ,558.49 ,612.59 ,636.44 ,: 
TOTAL,TOTAL,B1G,TOT_EGSS,MEUR_CLV10,MT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,77.38 ,82.16 ,94.78 ,101.78 ,101.7 ,101.94 ,109.16 ,125.5 ,137.13 ,: 
TOTAL,TOTAL,B1G,TOT_EGSS,MEUR_CLV10,NL,: ,9339.03 ,9555.03 ,9777.13 ,9825.9 ,9828.36 ,10516.22 ,10977.99 ,11742.06 ,11491.87 ,12109.58 ,12863.38 ,12450.7 ,12919.55 ,13802.22 ,14108.78 ,14880.55 ,15915.47 ,16037.05 ,17016.97 ,17267.12 ,: 
TOTAL,TOTAL,B1G,TOT_EGSS,MEUR_CLV10,PL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,9983.61 ,10339.38 ,10129.19 ,10762.14 ,10565.95 ,11893.58 ,12308.08 ,: 
