indicator,deg_urb,unit,geo\time,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
ind10,DEG1,PC,AL,: ,61.4 ,52.3 ,44.7 ,41.5 ,37.1 ,: ,: 
ind10,DEG1,PC,AT,22.9 ,24.0 ,24.7 ,24.8 ,25.4 ,24.8 ,24.6 ,: 
ind10,DEG1,PC,BE,30.2 ,31.8 ,31.6 ,29.8 ,29.3 b,28.3 ,28.0 ,29.2 
ind10,DEG1,PC,BG,32.7 ,30.8 b,27.8 ,23.8 ,24.0 ,24.0 ,24.4 ,23.7 
ind10,DEG1,PC,CH,19.2 ,21.1 ,21.4 ,18.8 ,19.6 ,17.9 ,19.6 ,: 
ind10,DEG1,PC,CY,19.8 ,20.4 ,18.4 ,16.5 ,15.2 ,15.4 ,14.6 ,: 
ind10,DEG1,PC,CZ,13.0 ,13.2 ,12.7 ,11.7 ,11.6 ,10.4 ,10.8 ,: 
ind10,DEG1,PC,DE,23.7 ,23.7 ,22.1 ,21.9 ,20.4 ,24.3 b,25.0 ,: 
ind10,DEG1,PC,DK,24.7 ,23.9 ,23.4 ,21.4 ,21.0 ,21.1 b,20.4 ,: 
ind10,DEG1,PC,EA19,23.8 ,23.9 ,22.8 ,22.6 ,22.8 ,23.7 ,23.7 ,: 
ind10,DEG1,PC,EE,21.7 ,21.2 ,20.9 ,21.3 ,22.4 ,21.0 ,21.0 ,: 
ind10,DEG1,PC,EL,30.2 ,30.8 ,30.1 ,29.4 ,27.0 ,25.1 ,24.9 ,: 
ind10,DEG1,PC,ES,25.6 ,26.8 ,24.9 ,24.2 ,24.3 ,25.5 ,26.6 ,: 
ind10,DEG1,PC,EU,: ,: ,: ,: ,22.0 e,: ,: ,: 
ind10,DEG1,PC,EU27_2007,: ,: ,: ,: ,22.1 e,: ,: ,: 
ind10,DEG1,PC,EU27_2020,23.3 e,23.2 e,21.9 e,21.4 e,21.4 ,22.0 ,21.9 ,: 
ind10,DEG1,PC,EU28,: ,: ,: ,: ,22.0 e,: ,: ,: 
ind10,DEG1,PC,FI,16.8 ,16.9 ,16.8 ,16.8 ,16.0 ,15.6 ,14.3 ,: 
ind10,DEG1,PC,FR,19.2 ,19.8 ,18.9 ,19.8 ,23.1 ,23.7 b,22.3 ,: 
ind10,DEG1,PC,HR,16.0 ,17.2 ,16.1 ,15.7 ,15.5 ,16.7 ,15.6 ,: 
ind10,DEG1,PC,HU,23.8 ,20.8 ,20.6 ,16.0 ,16.1 ,15.0 ,14.3 ,: 
ind10,DEG1,PC,IE,23.2 ,19.6 ,19.3 ,17.1 ,18.1 ,18.4 b,15.7 ,: 
ind10,DEG1,PC,IS,13.0 ,11.4 ,13.0 ,10.5 ,: ,: ,: ,: 
ind10,DEG1,PC,IT,28.1 b,28.1 ,27.3 ,27.2 ,26.9 ,26.8 ,25.5 ,: 
ind10,DEG1,PC,LT,21.0 ,19.6 ,19.7 ,19.4 ,18.7 ,17.7 ,18.0 ,: 
ind10,DEG1,PC,LU,17.7 ,20.5 b,17.6 ,23.1 ,18.6 ,16.5 b,20.6 b,: 
ind10,DEG1,PC,LV,23.9 ,22.2 ,22.6 ,23.7 ,22.4 ,21.5 ,22.4 ,: 
ind10,DEG1,PC,MK,: ,37.3 ,33.9 ,34.7 ,33.2 ,30.7 ,: ,: 
ind10,DEG1,PC,MT,22.7 ,20.5 ,19.3 ,19.7 ,20.9 ,20.2 ,23.5 ,: 
ind10,DEG1,PC,NL,20.0 ,19.1 b,19.1 ,19.5 ,19.5 ,19.0 ,18.8 ,19.2 
ind10,DEG1,PC,NO,16.7 ,18.7 ,18.8 ,20.7 ,18.8 ,18.0 ,: ,: 
ind10,DEG1,PC,PL,15.4 ,14.6 ,13.8 ,12.6 ,12.4 ,10.8 ,12.1 p,: 
ind10,DEG1,PC,PT,26.4 ,24.1 ,23.5 ,20.0 ,19.8 ,16.6 ,19.6 ,: 
ind10,DEG1,PC,RO,31.5 ,30.8 ,26.7 ,24.5 ,20.9 ,19.9 ,16.1 ,: 
ind10,DEG1,PC,RS,31.2 ,23.0 ,32.4 ,25.5 ,22.9 ,21.6 ,20.4 ,: 
ind10,DEG1,PC,SE,20.0 ,19.1 ,17.0 ,16.7 ,17.6 ,15.9 ,17.4 ,: 
ind10,DEG1,PC,SI,18.7 ,18.1 ,17.4 ,15.9 ,16.0 ,17.0 ,14.1 ,: 
ind10,DEG1,PC,SK,14.0 ,11.1 ,10.8 ,9.8 ,9.9 ,7.5 ,: ,: 
ind10,DEG1,PC,UK,26.3 ,23.8 ,24.4 b,24.6 ,: ,: ,: ,: 
ind10,DEG2,PC,AL,: ,68.4 ,53.3 ,50.7 ,49.3 ,43.8 ,: ,: 
ind10,DEG2,PC,AT,16.4 ,14.9 ,16.1 ,13.1 ,14.6 ,15.8 ,16.6 ,: 
ind10,DEG2,PC,BE,17.7 ,17.6 ,17.3 ,16.1 ,15.3 b,16.3 ,13.5 ,13.2 
ind10,DEG2,PC,BG,42.9 ,39.6 b,35.8 ,29.8 ,29.2 ,31.6 ,31.0 ,33.4 
