indicator,sex,age,wstatus,citizen,training,unit,geo\time,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind10,T,Y15-29,NEMP,EU27_2020_FOR,NO_FE_NO_NFE,PC,AT,: ,: ,17.1 b,15.7 b,14.8 ,15.3 ,14.6 ,12.3 ,10.4 ,12.7 ,10.7 ,11.1 ,10.7 ,10.7 ,11.4 ,12.0 ,14.0 ,12.4 b
ind10,T,Y15-29,NEMP,EU27_2020_FOR,NO_FE_NO_NFE,PC,BE,: ,: ,21.0 b,16.5 ,18.9 ,17.7 ,19.5 ,20.0 b,18.3 ,22.9 ,18.3 ,17.8 ,18.1 ,15.8 b,17.9 ,13.8 ,16.4 ,14.6 b
ind10,T,Y15-29,NEMP,EU27_2020_FOR,NO_FE_NO_NFE,PC,BG,: ,: ,: b,: u,: b,: ,: b,: bu,: ,: u,: u,: u,: u,: u,: u,: u,: u,: bu
ind10,T,Y15-29,NEMP,EU27_2020_FOR,NO_FE_NO_NFE,PC,CH,: ,: ,8.8 ,6.5 ,6.4 ,6.6 ,8.0 b,7.2 ,7.0 ,7.8 ,8.0 ,6.3 ,7.9 ,8.1 ,6.2 ,5.5 ,6.2 ,11.7 b
ind10,T,Y15-29,NEMP,EU27_2020_FOR,NO_FE_NO_NFE,PC,CY,: ,: ,21.4 b,19.2 ,13.4 ,16.4 b,18.5 ,20.2 ,20.1 ,25.5 ,19.7 ,23.8 ,18.4 ,15.4 ,12.7 ,15.2 ,18.8 ,12.5 b
ind10,T,Y15-29,NEMP,EU27_2020_FOR,NO_FE_NO_NFE,PC,CZ,: ,: ,16.0 bu,8.5 u,10.2 u,12.9 u,11.9 u,16.7 bu,18.9 u,7.4 bu,14.4 u,16.3 u,12.6 u,6.6 u,6.5 u,8.7 u,7.3 u,7.1 bu
ind10,T,Y15-29,NEMP,EU27_2020_FOR,NO_FE_NO_NFE,PC,DE,: ,: ,17.7 b,17.7 ,14.3 b,14.8 ,14.9 b,14.1 b,13.2 ,12.8 ,14.0 ,13.7 ,13.6 ,14.4 ,11.9 ,12.8 ,17.8 b,14.6 b
ind10,T,Y15-29,NEMP,EU27_2020_FOR,NO_FE_NO_NFE,PC,DK,: ,: ,: u,: bu,: bu,: u,: u,: u,: u,9.5 u,9.8 u,12.0 u,10.8 bu,11.3 bu,12.1 u,9.9 u,14.3 ,8.2 bu
ind10,T,Y15-29,NEMP,EU27_2020_FOR,NO_FE_NO_NFE,PC,EA20,: ,: ,18.0 b,18.3 ,19.2 ,21.2 ,21.6 ,22.0 ,21.6 ,21.7 ,20.8 ,20.1 ,18.6 ,18.2 ,16.5 ,15.6 ,18.9 ,16.4 b
ind10,T,Y15-29,NEMP,EU27_2020_FOR,NO_FE_NO_NFE,PC,EE,: ,: ,: u,: u,: u,: bu,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu
ind10,T,Y15-29,NEMP,EU27_2020_FOR,NO_FE_NO_NFE,PC,EL,: ,: ,16.1 b,17.9 ,22.1 b,24.7 b,24.7 ,23.6 ,33.3 ,39.4 ,37.1 ,32.2 ,20.4 u,21.6 u,31.0 ,28.9 u,20.4 u,16.5 bu
ind10,T,Y15-29,NEMP,EU27_2020_FOR,NO_FE_NO_NFE,PC,ES,: ,: ,18.6 b,20.9 ,26.5 ,31.1 ,31.5 ,33.9 ,33.4 ,32.7 ,33.4 b,28.7 ,27.1 ,26.1 ,22.7 ,19.1 ,22.5 ,18.4 bd
ind10,T,Y15-29,NEMP,EU27_2020_FOR,NO_FE_NO_NFE,PC,EU27_2020,: ,: ,17.9 b,18.1 ,19.0 ,20.9 ,21.2 ,21.6 ,21.3 ,21.2 ,20.4 ,19.7 ,18.3 ,17.7 ,16.2 ,15.3 ,18.4 ,15.9 b
ind10,T,Y15-29,NEMP,EU27_2020_FOR,NO_FE_NO_NFE,PC,FI,: ,: ,: u,: u,: u,: u,: u,: u,: u,: u,18.3 u,16.8 u,: u,: u,: u,: u,: u,: bu
ind10,T,Y15-29,NEMP,EU27_2020_FOR,NO_FE_NO_NFE,PC,FR,: ,: ,16.9 ,19.9 ,16.9 ,20.4 ,19.4 ,19.4 ,21.8 ,15.9 b,14.9 b,21.4 ,19.6 ,16.3 ,15.4 ,17.9 ,15.3 ,17.4 bd
ind10,T,Y15-29,NEMP,EU27_2020_FOR,NO_FE_NO_NFE,PC,HR,: ,: ,: bu,: u,: ,: ,: ,: ,: u,: ,: ,: u,: u,: u,: u,: u,: ,: 
ind10,T,Y15-29,NEMP,EU27_2020_FOR,NO_FE_NO_NFE,PC,HU,: ,: ,: bu,: u,20.2 u,: u,: u,: u,: u,: u,: u,: bu,: u,: u,: u,: u,: u,: bu
