indicator,unit,sex,age,citizen,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind10,PC,T,Y20-64,EU27_2020_FOR,AT,: ,: ,: ,: ,: ,: ,70.5 ,71.3 b,72.6 ,70.6 ,72.1 ,71.7 ,73.6 ,74.6 ,75.2 ,75.2 ,75.8 ,77.2 ,76.2 ,77.0 ,75.8 ,75.7 b
ind10,PC,T,Y20-64,EU27_2020_FOR,BE,: ,: ,: ,: ,: ,: ,61.2 ,63.3 ,65.1 ,62.1 ,64.9 ,64.9 b,64.8 ,63.5 ,65.7 ,66.2 ,67.7 ,68.1 b,69.2 ,70.2 ,70.2 ,72.5 b
ind10,PC,T,Y20-64,EU27_2020_FOR,BG,: ,: ,: ,: ,: ,: ,: u,: u,: bu,: u,: bu,: bu,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu
ind10,PC,T,Y20-64,EU27_2020_FOR,CH,: ,: ,: ,: ,: ,: ,80.6 ,82.4 ,83.8 ,84.4 ,80.0 b,82.4 ,82.9 ,82.7 ,83.0 ,83.5 ,83.5 ,83.8 ,84.5 ,85.7 ,84.7 ,82.9 b
ind10,PC,T,Y20-64,EU27_2020_FOR,CY,: ,: ,: ,: ,: ,: ,80.3 ,79.8 ,83.5 ,81.5 b,80.3 ,77.6 ,74.2 ,69.1 ,73.1 ,72.9 ,74.2 ,76.5 ,76.8 ,81.3 ,78.5 ,77.8 b
ind10,PC,T,Y20-64,EU27_2020_FOR,CZ,: ,: ,: ,: ,: ,: ,78.4 ,83.5 ,77.3 ,77.1 ,79.0 ,75.8 b,75.0 ,77.7 ,74.0 ,78.8 ,84.5 ,86.5 ,85.9 ,86.0 ,85.5 ,85.6 b
ind10,PC,T,Y20-64,EU27_2020_FOR,DE,: ,: ,: ,: ,: ,: ,67.5 b,69.3 ,70.5 b,70.0 ,70.6 b,73.5 b,74.4 b,74.7 ,75.9 ,76.6 ,78.1 ,78.8 ,79.9 ,80.9 ,78.0 b,79.0 b
ind10,PC,T,Y20-64,EU27_2020_FOR,DK,: ,: ,: ,: ,: ,: ,77.2 ,76.9 ,80.2 b,77.7 ,73.7 ,72.1 ,71.3 ,72.1 ,74.5 ,74.3 ,75.4 b,76.6 b,74.7 ,78.7 ,79.9 ,81.6 b
ind10,PC,T,Y20-64,EU27_2020_FOR,EA20,: ,: ,: ,: ,: ,: ,70.2 ,71.3 ,71.3 ,68.8 ,68.9 ,69.3 ,69.1 ,69.0 ,69.7 ,70.9 ,72.5 ,73.4 ,74.5 ,75.3 ,72.4 ,74.0 b
ind10,PC,T,Y20-64,EU27_2020_FOR,EE,: ,: ,: ,: ,: ,: ,70.1 u,71.0 u,79.0 u,69.6 u,71.2 u,69.8 u,63.9 u,67.9 u,84.1 ,63.0 ,74.9 ,83.3 ,72.2 ,78.8 ,76.7 ,78.9 b
ind10,PC,T,Y20-64,EU27_2020_FOR,EL,: ,: ,: ,: ,: ,: ,67.0 ,65.4 ,65.5 ,67.1 b,68.2 ,65.7 ,56.3 ,52.4 ,55.0 ,58.2 ,54.5 ,56.7 ,53.7 ,50.1 ,50.6 ,52.4 b
ind10,PC,T,Y20-64,EU27_2020_FOR,ES,: ,: ,: ,: ,: ,: ,76.2 b,74.6 ,70.6 ,64.8 ,62.6 ,60.2 ,58.5 ,58.8 ,59.5 ,63.7 ,65.1 ,66.7 ,68.5 ,71.6 ,64.8 ,65.6 bd
ind10,PC,T,Y20-64,EU27_2020_FOR,EU27_2020,: ,: ,: ,: ,: ,: ,70.2 ,71.4 ,71.4 ,69.1 ,69.1 ,69.5 ,69.2 ,69.2 ,70.0 ,71.1 ,72.7 ,73.7 ,74.7 ,75.5 ,72.8 ,74.4 b
ind10,PC,T,Y20-64,EU27_2020_FOR,FI,: ,: ,: ,: ,: ,: ,71.2 ,75.3 b,79.1 b,73.7 ,72.8 ,73.9 ,76.2 ,71.5 ,73.1 ,72.5 ,74.8 ,76.3 ,75.1 ,78.4 ,77.5 ,78.2 b
ind10,PC,T,Y20-64,EU27_2020_FOR,FR,: ,: ,: ,: ,: ,: ,70.2 b,70.3 ,70.6 ,68.2 ,70.2 ,71.4 ,68.7 ,71.1 ,69.6 b,67.9 ,70.5 ,70.6 ,73.2 ,72.5 ,72.9 ,74.4 bd
ind10,PC,T,Y20-64,EU27_2020_FOR,HR,: ,: ,: ,: ,: ,: ,: bu,: u,: u,: u,: u,76.1 u,82.2 u,63.4 u,: u,: u,43.1 u,58.5 u,77.8 u,77.5 u,63.7 u,: bu
ind10,PC,T,Y20-64,EU27_2020_FOR,HU,: ,: ,: ,: ,: ,: ,63.8 ,65.6 ,66.1 ,67.0 ,70.0 ,63.7 ,64.3 ,66.2 ,75.1 ,70.9 ,70.6 ,59.8 ,67.0 ,72.4 ,67.4 ,80.8 b
ind10,PC,T,Y20-64,EU27_2020_FOR,IE,: ,: ,: ,: ,: ,: ,83.5 ,84.6 b,80.1 ,70.7 ,68.4 ,69.3 ,70.5 ,72.0 ,73.2 ,73.3 ,76.9 ,79.3 b,81.3 ,81.2 ,77.1 ,78.3 b
ind10,PC,T,Y20-64,EU27_2020_FOR,IS,: ,: ,: ,: ,: ,: ,88.9 ,86.3 ,85.7 ,77.9 ,77.3 ,81.6 ,81.8 ,84.7 ,87.6 ,85.4 ,89.7 ,93.6 ,89.4 ,88.3 ,78.0 b,79.1 b
ind10,PC,T,Y20-64,EU27_2020_FOR,IT,: ,: ,: ,: ,: ,: ,71.6 ,72.9 ,73.0 ,71.8 ,71.0 ,69.3 ,68.7 ,66.2 ,65.6 ,66.2 ,66.4 ,66.7 ,66.5 ,65.9 ,62.2 ,64.1 b
ind10,PC,T,Y20-64,EU27_2020_FOR,LT,: ,: ,: ,: ,: ,: ,: u,: u,: u,: u,: u,: u,: u,87.0 u,: u,: u,: u,100.0 u,94.8 u,82.6 u,79.0 u,94.2 bu
ind10,PC,T,Y20-64,EU27_2020_FOR,LU,: ,: ,: ,: ,: ,: ,74.3 ,75.2 b,74.0 ,74.4 b,74.4 ,74.6 ,76.2 ,74.9 ,76.2 ,74.7 b,74.2 ,76.0 ,77.7 ,77.1 ,75.9 ,77.9 b
ind10,PC,T,Y20-64,EU27_2020_FOR,LV,: ,: ,: ,: ,: ,: ,: u,82.2 ,: bu,64.4 u,: u,: u,76.3 u,77.1 u,80.7 u,77.7 ,79.0 u,62.4 u,66.3 u,: u,84.6 ,79.4 b
ind10,PC,T,Y20-64,EU27_2020_FOR,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: 
ind10,PC,T,Y20-64,EU27_2020_FOR,MK,: ,: ,: ,: ,: ,: ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: 
ind10,PC,T,Y20-64,EU27_2020_FOR,MT,: ,: ,: ,: ,: ,: ,77.5 u,60.0 u,62.7 u,56.6 u,64.4 ,61.0 u,78.1 ,85.7 ,85.7 ,84.0 ,88.1 ,86.3 ,85.9 ,86.8 ,91.5 ,92.0 b
ind10,PC,T,Y20-64,EU27_2020_FOR,NL,: ,: ,: ,: ,: ,: ,72.2 b,73.7 ,77.0 ,74.2 ,73.8 ,74.5 ,76.4 ,74.5 b,75.2 ,73.3 ,76.5 ,77.9 ,77.0 ,78.8 ,78.4 ,79.9 b
ind10,PC,T,Y20-64,EU27_2020_FOR,NO,: ,: ,: ,: ,: ,: ,85.4 b,87.6 ,88.1 ,84.9 ,83.0 ,86.1 ,86.5 ,84.0 ,83.7 ,83.2 ,84.3 ,82.3 ,83.1 ,84.5 ,81.2 ,82.0 b
ind10,PC,T,Y20-64,EU27_2020_FOR,PL,: ,: ,: ,: ,: ,: ,53.1 u,67.4 u,85.9 u,71.2 u,63.3 bu,78.8 u,80.2 u,79.4 u,82.6 u,80.5 u,62.3 u,80.5 ,85.2 u,71.9 u,77.6 u,84.5 bu
ind10,PC,T,Y20-64,EU27_2020_FOR,PT,: ,: ,: ,: ,: ,: ,74.0 ,76.7 ,84.7 ,74.7 ,69.7 ,74.4 b,69.2 ,60.8 ,65.2 ,74.6 ,72.6 ,72.8 ,76.8 ,79.4 ,80.9 ,84.1 b
ind10,PC,T,Y20-64,EU27_2020_FOR,RO,: ,: ,: ,: ,: ,: ,: u,: u,: u,: u,: bu,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu
ind10,PC,T,Y20-64,EU27_2020_FOR,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,48.8 u,45.7 u,33.8 u,: u,38.5 bu,38.2 u,46.6 u,52.6 u,65.2 u,54.2 u,: u,44.4 bu
ind10,PC,T,Y20-64,EU27_2020_FOR,SE,: ,: ,: ,: ,: ,: ,72.6 ,72.0 ,75.6 ,76.1 ,74.3 ,74.3 ,74.0 ,74.7 ,75.8 ,78.2 ,77.6 ,80.5 ,83.4 b,80.7 ,80.3 ,82.7 b
ind10,PC,T,Y20-64,EU27_2020_FOR,SI,: ,: ,: ,: ,: ,: ,67.1 u,82.7 u,76.8 u,73.5 u,61.0 u,60.6 u,74.8 u,57.0 u,61.8 ,62.1 ,67.3 ,74.5 ,81.9 ,81.6 ,77.1 ,82.0 b
