indicator,age,sex,unit,geo\time,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
ind10,TOTAL,T,RAT,AL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,7.47 ,6.98 ,6.38 ,5.86 ,: ,: 
ind10,TOTAL,T,RAT,AT,4.07 b,3.77 ,3.81 ,3.66 ,3.77 ,4.19 b,4.15 ,4.34 ,4.12 ,4.20 ,4.11 ,4.13 ,4.05 ,4.09 ,4.29 ,4.04 ,4.17 ,4.11 ,4.08 ,: 
ind10,TOTAL,T,RAT,BE,4.35 b,3.91 ,4.04 ,4.17 ,3.87 ,4.06 ,3.91 ,3.92 ,3.86 ,3.95 ,3.81 ,3.81 ,3.83 ,3.85 ,3.84 ,3.79 ,3.61 b,3.65 ,3.42 ,3.57 
ind10,TOTAL,T,RAT,BG,: ,: ,: ,5.12 b,6.98 ,6.48 ,5.91 ,5.86 ,6.46 ,6.12 ,6.59 ,6.81 ,7.11 ,7.69 b,8.23 ,7.66 ,8.10 ,8.01 ,7.45 ,7.30 
ind10,TOTAL,T,RAT,CH,: ,: ,: ,: ,4.71 ,4.86 ,4.76 ,4.48 ,4.52 ,4.40 ,4.22 ,4.42 b,4.48 ,4.42 ,4.63 ,4.50 ,4.75 ,4.89 ,4.89 ,: 
ind10,TOTAL,T,RAT,CY,: ,: ,4.34 ,4.27 ,4.44 ,4.30 b,4.37 ,4.54 ,4.34 ,4.67 ,4.91 ,5.37 ,5.20 ,4.88 ,4.56 ,4.29 ,4.58 ,4.31 ,4.23 ,: 
ind10,TOTAL,T,RAT,CZ,: ,: ,3.67 b,3.53 ,3.52 ,3.43 ,3.47 ,3.47 ,3.54 ,3.49 ,3.40 ,3.50 ,3.51 ,3.50 ,3.40 ,3.32 ,3.34 ,3.34 ,3.43 ,: 
ind10,TOTAL,T,RAT,DE,: ,: ,3.79 b,4.06 ,4.93 ,4.76 ,4.48 ,4.49 ,4.46 ,4.30 ,4.60 ,5.12 ,4.80 ,4.62 ,4.49 ,5.07 ,4.89 ,4.87 b,4.98 ,: 
ind10,TOTAL,T,RAT,DK,3.58 b,3.42 ,3.50 ,3.44 ,3.73 ,3.63 ,4.61 ,4.41 b,3.98 b,3.94 ,4.01 ,4.12 ,4.08 ,4.06 ,4.08 ,4.11 ,4.09 ,4.00 b,3.93 ,: 
ind10,TOTAL,T,RAT,EA19,: ,5.00 ,4.65 ,4.68 ,4.84 ,4.87 ,4.85 ,4.90 ,5.00 ,4.98 ,5.05 ,5.23 ,5.16 ,5.15 ,5.05 ,5.07 ,4.98 ,4.93 b,5.02 ,: 
ind10,TOTAL,T,RAT,EE,: ,7.20 b,5.93 ,5.51 ,5.54 ,4.99 ,5.01 ,5.01 ,5.35 ,5.41 ,5.54 ,6.48 b,6.21 ,5.56 ,5.42 ,5.07 ,5.08 ,5.03 ,5.03 ,: 
ind10,TOTAL,T,RAT,EL,6.38 b,5.92 ,5.79 ,6.05 ,6.01 ,5.89 ,5.76 ,5.61 ,5.96 ,6.63 ,6.60 ,6.46 ,6.51 ,6.55 ,6.11 ,5.51 ,5.11 ,5.23 ,5.79 ,: 
ind10,TOTAL,T,RAT,ES,: ,5.23 b,5.55 ,5.52 ,5.48 ,5.59 b,5.87 ,6.16 ,6.28 ,6.47 ,6.29 ,6.81 ,6.87 ,6.60 ,6.59 ,6.03 ,5.94 ,5.77 ,6.19 ,: 
ind10,TOTAL,T,RAT,EU,: ,: ,: ,: ,: ,5.01 ,4.92 ,4.94 ,5.03 ,4.98 ,5.00 ,5.20 e,5.22 e,5.16 e,5.08 e,5.12 e,5.07 e,: ,: ,: 
ind10,TOTAL,T,RAT,EU27_2007,: ,: ,5.03 ,4.95 s,5.02 ,5.01 ,4.92 ,4.94 ,5.03 ,4.98 ,5.00 ,5.20 ,5.22 ,5.16 ,5.08 ,5.12 ,5.08 e,: ,: ,: 
ind10,TOTAL,T,RAT,EU27_2020,: ,: ,: ,: ,: ,: ,: ,4.89 ,4.99 ,4.98 ,5.05 ,5.22 e,5.22 e,5.16 e,5.03 e,5.05 e,4.99 e,4.89 b,4.97 ,: 
ind10,TOTAL,T,RAT,EU28,: ,: ,: ,: ,: ,: ,: ,4.94 ,5.03 ,4.98 ,5.00 ,5.20 ,5.22 ,5.16 ,5.08 ,5.12 ,5.07 e,: ,: ,: 
ind10,TOTAL,T,RAT,FI,: ,3.54 b,3.64 ,3.64 ,3.71 ,3.76 ,3.71 ,3.61 ,3.69 ,3.69 ,3.59 ,3.62 ,3.56 ,3.58 ,3.54 ,3.65 ,3.69 ,3.72 ,3.58 ,: 
