geo\time,2000 ,2001 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
AL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,17.1 ,17.8 ,18.4 ,19.3 ,: ,: 
AT,25.0 ,25.0 ,23.2 b,24.0 ,23.8 ,24.2 ,23.9 ,22.8 b,23.0 ,22.6 ,22.8 ,22.8 ,23.1 ,23.0 ,23.1 ,23.0 ,22.7 ,23.2 ,22.9 ,23.2 ,23.1 ,: 
BE,23.0 ,23.0 ,22.1 b,23.3 ,22.8 ,22.7 ,23.2 ,22.8 ,23.2 ,23.2 ,23.2 ,23.0 ,23.3 ,23.2 ,23.2 ,23.0 ,23.2 ,23.3 ,23.9 b,23.8 ,24.6 ,24.1 
BG,: ,: ,: ,: ,: ,20.6 ,18.2 ,18.2 ,19.2 ,19.5 ,18.4 ,19.2 ,18.5 ,18.4 ,17.8 ,17.2 b,16.5 ,17.0 ,16.4 ,16.6 ,17.0 ,17.0 
CH,: ,: ,: ,: ,: ,: ,21.6 ,21.2 ,21.4 ,21.9 ,21.9 ,22.2 ,22.6 ,22.2 b,22.1 ,22.1 ,21.9 ,22.0 ,21.5 ,21.3 ,21.1 ,: 
CY,: ,: ,: ,: ,22.1 ,22.3 ,22.1 ,22.2 b,22.1 ,21.9 ,22.2 ,21.4 ,20.8 ,19.9 ,20.1 ,20.7 ,21.4 ,22.1 ,21.5 ,22.2 ,22.3 ,: 
CZ,: ,: ,: ,: ,24.2 ,24.6 ,24.6 ,25.0 ,25.0 ,24.9 ,24.7 ,24.8 ,25.1 ,24.8 ,24.8 ,24.7 ,25.0 ,25.1 ,25.0 ,24.9 ,24.9 ,: 
DE,25.0 ,25.0 ,: ,: ,24.1 b,23.6 ,21.5 ,21.7 ,22.1 ,22.0 ,22.1 ,22.3 ,21.8 ,21.0 ,21.4 ,21.7 ,22.0 ,21.2 ,21.7 ,21.3 b,21.0 ,: 
DK,: ,: ,24.6 ,25.1 ,24.7 ,24.9 ,24.2 ,24.4 ,22.9 ,23.0 ,23.5 b,23.6 ,23.5 ,23.2 ,23.2 ,23.2 ,23.3 ,23.2 ,23.2 ,23.4 b,23.5 ,: 
EA19,: ,: ,: ,21.1 ,22.0 ,22.0 ,21.5 ,21.4 ,21.4 ,21.3 ,21.2 ,21.2 ,21.2 ,20.9 ,21.0 ,21.0 ,21.2 ,21.2 ,21.3 ,21.3 b,21.1 ,: 
EE,: ,: ,: ,17.6 ,19.2 ,19.8 ,19.7 ,20.6 ,20.4 ,20.6 ,20.2 ,19.8 ,19.7 ,18.0 b,18.5 ,19.2 ,19.6 ,20.1 ,20.2 ,20.4 ,20.4 ,: 
EL,19.0 ,19.0 ,18.7 b,19.3 ,19.6 ,19.0 ,19.1 ,19.5 ,19.8 ,19.8 ,19.2 ,18.5 ,18.5 ,18.7 ,18.7 ,18.7 ,19.4 ,20.2 ,20.7 ,20.5 ,19.9 ,: 
ES,20.0 ,20.0 ,: ,20.3 b,19.8 ,19.8 ,19.9 ,19.8 b,19.5 ,19.2 ,18.9 ,18.7 ,18.9 ,18.2 ,18.2 ,18.4 ,18.5 ,19.1 ,19.3 ,19.5 ,19.1 ,: 
EU,: ,: ,: ,: ,: ,: ,: ,21.2 ,21.3 ,21.2 ,21.1 ,21.2 ,21.1 ,20.9 e,20.9 e,20.9 e,21.1 e,21.0 e,21.2 e,: ,: ,: 
EU27_2007,: ,: ,: ,: ,21.5 s,21.6 ,21.2 ,21.2 ,21.3 ,21.3 ,21.1 ,21.2 ,21.1 ,20.9 ,20.9 ,20.9 ,21.1 ,21.0 e,21.2 e,: ,: ,: 
EU27_2020,: ,: ,: ,: ,: ,: ,: ,: ,: ,21.4 ,21.2 ,21.2 ,21.2 ,20.9 e,20.9 e,21.0 e,21.2 e,21.2 e,21.4 e,21.4 b,21.3 ,: 
EU28,: ,: ,: ,: ,: ,: ,: ,: ,: ,21.2 ,21.1 ,21.2 ,21.1 ,20.9 ,20.9 ,20.9 ,21.1 ,21.0 e,21.2 e,: ,: ,: 
FI,25.0 ,25.0 ,: ,24.3 b,24.1 ,24.1 ,23.9 ,23.6 ,23.9 ,24.2 ,23.9 ,23.9 ,24.2 ,24.0 ,24.2 ,24.2 ,24.4 ,24.0 ,23.8 ,23.7 ,24.2 ,: 
FR,23.0 ,23.0 ,: ,22.8 b,23.0 ,23.2 ,23.5 ,22.4 b,22.3 ,22.2 ,21.9 ,22.0 ,22.2 ,22.6 ,22.6 ,22.6 ,22.7 ,22.9 ,22.7 ,22.3 b,22.4 ,: 
HR,: ,: ,: ,: ,: ,: ,: ,: ,: ,20.0 ,20.2 ,20.3 ,20.4 ,20.6 ,20.3 ,20.9 ,20.8 ,20.9 ,21.3 ,21.8 ,21.3 ,: 
HU,: ,: ,: ,: ,23.2 ,20.5 ,24.2 ,24.4 ,24.6 ,24.8 ,23.2 ,23.2 ,22.6 ,22.5 ,22.4 ,22.5 ,22.5 ,22.4 ,22.7 ,22.6 ,22.7 ,: 
IE,21.0 ,21.0 ,20.8 b,20.5 ,20.4 ,20.6 ,20.8 ,21.6 ,22.0 ,21.2 ,21.5 ,21.2 ,21.1 ,20.9 ,21.6 ,21.6 ,21.3 ,22.3 ,22.8 ,22.7 b,23.3 ,: 
IS,: ,: ,: ,25.1 ,24.8 ,24.3 ,23.5 ,23.9 ,22.9 ,24.5 ,25.4 ,25.2 ,25.2 ,25.8 ,25.2 ,25.3 ,24.6 ,25.8 ,: ,: ,: ,: 
IT,22.0 ,21.0 ,: ,19.9 b,20.0 ,20.1 ,20.1 ,20.5 ,20.3 ,20.2 ,19.9 ,19.9 ,19.7 ,19.8 ,19.7 ,19.1 ,19.5 ,19.3 ,19.5 ,19.7 ,19.6 ,: 
LT,: ,: ,: ,: ,18.0 ,18.7 ,19.4 ,18.8 ,18.5 ,17.7 ,19.4 ,20.0 ,18.9 ,18.9 ,17.3 ,17.5 ,17.2 ,17.5 ,18.2 ,18.7 ,18.8 ,: 
LU,24.0 ,24.0 ,23.3 b,23.5 ,23.5 ,22.9 ,23.0 ,23.1 ,22.2 ,22.5 ,22.8 ,22.4 ,21.4 ,22.1 ,22.4 ,21.7 b,21.7 ,20.6 ,20.4 ,20.6 b,21.2 b,: 
LV,: ,: ,: ,: ,18.3 ,16.7 ,18.3 ,16.9 ,16.7 ,17.9 ,18.5 ,18.4 ,18.4 ,18.3 ,18.1 ,18.6 ,18.3 ,17.9 ,18.3 ,18.8 ,18.1 ,: 
ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,15.9 ,17.1 ,16.8 ,17.1 ,17.4 ,17.8 ,18.1 ,19.1 ,: ,: 
MK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,15.4 ,16.6 ,17.8 ,18.5 ,18.5 ,18.8 ,19.1 ,19.7 ,19.3 ,: ,: 
MT,: ,: ,: ,: ,22.8 ,22.9 ,23.2 ,22.2 ,22.7 ,22.2 ,22.8 ,22.9 ,22.4 ,22.5 ,22.3 ,22.2 ,22.3 ,22.1 ,22.3 ,21.6 ,20.9 ,: 
NL,25.0 ,23.0 ,: ,: ,23.5 b,23.9 ,23.4 ,23.5 ,23.5 ,24.2 ,24.0 ,24.4 ,24.4 ,23.8 ,23.7 ,23.3 b,23.2 ,23.1 ,23.4 ,22.9 ,23.4 ,23.2 
NO,: ,: ,24.4 ,24.8 ,23.7 ,22.9 ,25.0 ,24.6 ,24.9 ,25.2 ,25.6 ,25.8 ,25.6 ,25.3 ,25.0 ,24.5 ,24.0 ,24.3 ,24.2 ,24.2 ,: ,: 
PL,: ,: ,: ,: ,18.5 ,19.6 ,20.4 ,20.6 ,20.9 ,20.9 ,20.9 ,20.9 ,21.1 ,21.0 ,21.1 ,21.3 ,22.1 ,22.6 ,22.3 ,22.9 ,23.1 p,: 
PT,19.0 ,18.0 ,: ,17.8 b,17.9 ,18.3 ,18.4 ,18.8 ,19.2 ,19.7 ,19.6 ,19.6 ,19.4 ,19.0 ,19.4 ,19.4 ,19.9 ,20.5 ,20.7 ,21.0 ,20.0 ,: 
RO,: ,: ,: ,: ,: ,: ,16.5 ,17.8 ,18.5 ,19.0 ,18.8 ,18.4 ,18.1 ,17.6 ,16.8 ,17.5 ,18.6 ,17.6 ,17.8 ,18.3 ,17.8 ,: 
RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,16.5 ,16.1 ,15.1 ,14.8 ,16.3 ,17.3 ,18.8 ,19.4 ,19.6 ,: 
SE,: ,: ,: ,25.2 ,25.4 ,24.6 ,25.2 ,24.0 b,23.4 ,23.6 ,23.3 ,23.2 ,23.3 ,22.9 ,22.9 ,22.6 ,22.5 ,22.8 ,22.4 ,22.8 ,22.9 ,: 
SI,: ,: ,: ,: ,25.0 ,25.0 ,25.3 ,25.2 ,25.5 ,24.9 ,24.7 ,24.8 ,24.4 ,24.1 ,24.4 ,24.4 ,24.8 ,25.0 ,24.9 ,25.0 ,25.4 ,: 
SK,: ,: ,: ,: ,23.8 ,23.5 ,24.9 ,25.1 ,24.6 ,23.9 ,24.0 ,23.9 ,24.5 ,23.8 ,24.8 ,24.5 ,25.0 ,26.2 ,25.1 ,26.1 ,: ,: 
TR,: ,: ,: ,: ,: ,13.9 ,15.2 ,15.1 ,14.6 ,14.8 ,15.2 ,15.3 ,15.8 ,16.0 ,15.8 ,15.8 ,15.8 ,15.8 ,16.2 ,15.4 ,: ,: 
UK,21.0 ,21.0 ,: ,: ,19.3 b,20.0 ,20.2 ,19.7 ,20.4 ,20.1 ,20.2 ,20.9 b,21.3 ,20.6 ,20.3 ,20.7 ,20.1 b,19.7 ,: ,: ,: ,: 
XK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,12.9 ,: ,: ,: ,: 
