asyl_app,geo\time,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ASY_APP_ACC,AT,415 ,386 ,412 ,487 ,528 ,580 ,840 ,1741 ,3476 ,2864 ,1699 ,836 ,767 ,1352 
ASY_APP_ACC,BE,327 ,269 ,322 ,460 b,500 b,563 ,718 ,929 ,1328 ,1106 ,847 ,568 ,495 ,791 p
ASY_APP_ACC,BG,39 ,36 ,19 ,26 ,23 ,339 ,969 ,779 ,189 ,240 ,105 ,57 ,118 ,293 
ASY_APP_ACC,CH,631 ,778 ,999 ,815 b,535 ,790 ,1882 ,1690 ,1575 ,1729 ,1788 ,1258 ,1179 ,1036 p
ASY_APP_ACC,CY,: ,1398 ,512 ,82 ,122 ,191 ,1167 ,1870 ,1527 ,1448 ,1396 ,1474 ,1878 ,2543 p
ASY_APP_ACC,CZ,21 ,10 ,17 ,30 ,17 ,33 ,36 ,44 ,41 ,14 ,15 ,13 ,10 ,25 b
ASY_APP_ACC,DE,96 ,119 ,128 ,121 b,213 ,250 ,501 ,1725 ,5269 ,3165 ,916 ,846 ,751 ,719 
ASY_APP_ACC,DK,133 ,143 ,242 ,235 ,303 ,500 ,971 ,1759 ,1244 ,410 ,227 ,271 ,72 ,132 
ASY_APP_ACC,EE,4 ,4 ,11 ,8 ,8 ,8 ,15 ,61 b,99 ,72 ,15 ,34 ,19 ,38 
ASY_APP_ACC,EL,5 ,15 ,9 ,16 ,9 ,46 ,181 ,372 ,252 ,972 ,1417 ,1618 ,3208 ,1558 e
ASY_APP_ACC,ES,6 ,8 ,13 ,21 ,11 ,11 ,34 ,22 ,147 ,88 ,62 ,815 ,1078 ,430 p
ASY_APP_ACC,EU27_2020,: ,: ,: ,: ,189 b,224 ,355 b,661 b,1489 ,962 b,464 e,461 bep,473 ep,452 bep
ASY_APP_ACC,FI,123 ,180 ,297 ,198 ,287 ,303 ,233 ,307 ,1287 ,623 ,436 ,302 ,208 ,192 
ASY_APP_ACC,FR,80 ,78 ,79 ,71 ,132 ,163 ,223 b,310 ,431 ,487 ,487 ,418 p,283 p,500 p
ASY_APP_ACC,HR,: ,: ,: ,: ,5 ,6 ,6 ,10 ,24 ,36 ,33 ,14 ,10 ,18 bp
ASY_APP_ACC,HU,39 ,39 ,26 ,16 ,35 b,36 ,52 ,43 ,44 ,132 ,37 ,6 ,13 ,4 
ASY_APP_ACC,IE,67 ,28 ,5 ,16 ,22 ,32 ,86 ,70 ,102 ,158 ,206 e,198 e,190 ,290 
ASY_APP_ACC,IS,32 ,16 ,31 ,31 ,31 ,31 ,92 ,151 ,283 ,204 ,298 ,846 ,1051 ,685 
ASY_APP_ACC,IT,165 ,153 ,73 ,120 ,370 ,239 ,339 ,488 ,584 ,525 ,508 ,308 b,195 ,369 p
ASY_APP_ACC,LI,0 ,0 ,0 ,413 ,0 ,135 ,0 ,133 ,1193 ,659 ,261 ,389 ,257 ,128 p
ASY_APP_ACC,LT,20 ,13 ,5 ,8 ,18 ,19 ,24 ,29 ,68 ,101 ,48 ,32 ,29 ,150 
ASY_APP_ACC,LU,102 ,221 ,138 ,68 ,75 b,239 ,216 ,325 ,1314 ,1887 b,1661 ,1081 ,1190 ,1344 
ASY_APP_ACC,LV,2 ,5 ,12 ,10 ,12 ,12 ,13 ,10 ,69 ,136 ,16 ,18 ,13 ,48 
ASY_APP_ACC,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,16 ,32 ,24 ,73 
ASY_APP_ACC,MT,3444 ,4097 ,531 ,2126 ,3416 ,3768 ,2899 ,2809 ,2613 ,1624 ,1331 ,803 ,524 ,347 
ASY_APP_ACC,NL,345 ,499 ,482 ,409 ,329 ,355 ,744 ,971 ,1222 ,456 ,210 ,279 ,494 ,688 
ASY_APP_ACC,NO,640 ,934 ,1084 ,811 ,1032 ,1136 ,955 ,1205 ,2441 ,904 ,275 ,335 ,213 ,204 
ASY_APP_ACC,PL,73 ,66 ,13 b,12 ,14 ,18 ,19 ,17 ,8 ,13 ,10 e,7 e,10 ep,57 ep
ASY_APP_ACC,PT,7 ,5 ,5 ,6 ,10 ,13 ,11 ,19 ,31 ,49 ,61 ,17 ,9 ,30 bp
ASY_APP_ACC,RO,5 ,6 ,3 ,4 ,11 ,46 ,37 ,24 ,41 ,64 ,31 ,30 e,33 e,60 e
ASY_APP_ACC,SE,850 ,763 ,907 ,932 ,1303 ,2502 ,3161 ,3302 ,6710 ,2662 ,1047 ,590 ,427 ,284 
ASY_APP_ACC,SI,2 b,10 ,12 ,10 ,17 ,17 ,22 ,22 ,82 ,73 ,48 ,41 ,40 ,7 
ASY_APP_ACC,SK,17 ,33 ,17 ,21 ,35 ,13 ,31 ,15 ,39 ,11 ,8 ,6 ,7 ,8 
ASY_APP_ACC,UK,115 ,135 ,103 ,114 ,123 ,133 ,157 ,214 ,151 ,130 ,152 ,224 ,: ,: 
NASY_APP,AT,: ,: ,: ,: ,: ,: ,3004 ,9893 ,4564 ,2552 ,1310 ,1237 ,1503 ,4221 
NASY_APP,BE,1036 ,1537 ,1979 ,2297 b,1651 b,1072 ,1253 ,3458 ,1258 ,1234 ,1587 ,2011 ,1118 ,1686 p
NASY_APP,BG,: ,: ,: ,96 ,168 ,961 ,1496 ,2809 ,2664 ,490 ,351 ,297 ,499 ,1583 
NASY_APP,CH,1975 ,1861 ,1715 ,2430 b,3224 ,2388 ,2679 ,4595 ,3084 ,1966 ,1581 ,1463 ,1126 ,1521 p
NASY_APP,CY,4983 ,3960 ,3418 ,2051 ,1840 ,1334 ,1736 ,2483 ,3335 ,5206 ,8746 ,14394 ,7920 ,14728 p
NASY_APP,CZ,101 ,59 ,36 ,46 ,48 ,47 ,86 ,117 ,114 ,108 ,127 ,147 ,74 ,100 b
NASY_APP,DE,260 ,337 ,504 ,569 b,801 ,1356 ,2136 ,5409 ,8771 ,2399 ,1953 ,1714 ,1233 ,1781 
NASY_APP,DK,428 ,674 ,913 ,708 ,1081 ,1277 ,2576 ,3664 ,1057 ,542 ,598 ,448 ,244 ,341 
NASY_APP,EE,11 ,26 ,23 ,49 ,57 ,72 ,110 ,171 b,114 ,137 ,68 ,75 ,34 ,56 
NASY_APP,EL,: ,: ,: ,838 ,867 ,717 ,696 ,1051 ,4628 ,5294 ,6054 ,6987 ,3539 ,2129 e
NASY_APP,ES,: ,: ,55 ,64 ,50 ,92 ,117 ,314 ,335 ,709 ,1127 ,2444 ,1824 ,1309 p
NASY_APP,EU27_2020,: ,: ,: ,: ,: ,: ,1197 b,2739 b,2621 ,1391 b,1263 e,1412 bep,932 ep,1202 bep
NASY_APP,FI,: ,: ,: ,: ,537 ,549 ,639 ,5867 ,960 ,786 ,535 ,443 ,261 ,245 
