indicator,unit,vehicle,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
ind11,PC,BUS_TOT,AT,11.0 ,10.9 ,10.9 ,10.9 ,11.0 ,10.5 ,10.4 ,10.8 ,10 be,9.1 ,9.3 ,9.4 ,10 b,9.9 b,9.9 ,9.9 ,9.9 ,10.0 ,10.1 ,10.1 ,10.2 
ind11,PC,BUS_TOT,BE,10.8 ,11.0 ,11.7 ,13.0 ,13.2 ,13.0 ,13.2 ,14.3 ,14.4 ,13.3 ,12.3 ,12.8 ,12.4 ,15.1 ,11.5 b,10.9 ,10.5 ,10.2 e,10.3 e,10.3 e,8.1 e
ind11,PC,BUS_TOT,BG,31.4 be,32 e,33.4 e,28.1 e,25 e,24.3 e,22.7 e,21.8 e,20.8 e,16.8 e,16.4 b,15.9 e,14.8 e,14 e,15.1 e,14.6 e,14.1 e,13.1 e,12 e,13 e,8.4 e
ind11,PC,BUS_TOT,CH,5.2 ,5.2 ,5.1 ,5.2 ,5.2 ,5.3 ,5.6 ,5.5 ,5.2 ,5.1 ,5.1 ,5.7 ,5.7 d,5.7 d,5.8 d,5.9 ,5.9 ,5.8 ,5.9 ,6.1 ,6.3 
ind11,PC,BUS_TOT,CY,22.3 e,22.5 e,22.6 e,23.6 e,21.2 e,20.8 e,20.4 e,19.7 e,18.8 e,17.6 e,18.1 e,18.3 e,18.7 e,18.5 e,18.2 e,18.7 e,18.6 e,19 e,18.9 e,18.5 e,12.4 e
ind11,PC,BUS_TOT,CZ,18.6 ,19.9 ,18.7 ,17.2 ,16.0 ,17.2 ,17.3 ,17.0 ,16.9 ,16 d,18.9 de,17 d,16.8 d,17.0 ,18.8 b,16.3 b,15.6 ,15.8 ,15.5 ,14.9 ,10.5 
ind11,PC,BUS_TOT,DE,7.1 ,6.9 ,6.7 ,6.8 ,6.7 ,6.7 ,6.6 ,6.5 ,6.3 ,6.1 ,6.0 ,7.3 b,7.1 ,7.2 ,7.2 ,7.4 ,7.3 ,7.3 e,7.2 e,7.4 e,4.8 
ind11,PC,BUS_TOT,DK,14.0 ,14.0 ,14.0 ,11.6 ,11.4 ,11.4 ,11.9 ,11.3 ,11.2 ,10.4 ,10.5 ,10.1 ,9.8 ,9.8 ,9.7 ,9.8 ,9.8 ,10.0 ,9.6 ,9.2 ,6.8 
ind11,PC,BUS_TOT,EE,27.5 e,28 e,26.5 e,24.7 e,25.3 ,22.4 ,19.9 ,18.4 e,16.5 e,15 e,14.4 e,14 e,14.6 e,14.4 e,14 e,15.8 e,18.3 e,17.6 e,17.1 e,17.9 e,9.7 e
ind11,PC,BUS_TOT,EL,25.1 e,23.8 e,23 e,22.1 e,20.9 e,20 e,19.2 e,18.5 e,17.9 e,16.9 e,17.3 e,17.6 e,17.7 e,17.8 e,17.7 e,17.5 e,17.1 e,16.6 e,16.4 e,16 e,12.3 e
ind11,PC,BUS_TOT,ES,13.5 ,13.7 ,12.3 ,11.8 ,13.2 ,12.9 ,12.0 ,14.0 ,14.3 ,13.3 ,12.3 d,13.5 d,13.7 d,13.2 d,10.6 b,11.9 d,11.8 ,7.8 b,8.0 ,8.2 ,6.3 e
ind11,PC,BUS_TOT,EU27_2020,10.5 e,10.4 e,10.1 e,10 e,10.4 e,10.4 e,9.8 e,10.1 e,9.9 e,9.5 e,9.8 e,10.2 e,10.3 e,10.4 e,10 e,10 e,10 e,9.6 e,9.5 e,9.5 e,7.4 e
ind11,PC,BUS_TOT,EU28,9.9 e,9.8 e,9.6 e,9.5 e,9.9 e,9.8 e,9.2 e,9.4 e,9.3 e,9 e,9.3 e,9.6 e,9.7 e,9.8 e,9.4 e,9.4 e,9.2 e,8.9 e,8.8 e,8.8 e,: 
ind11,PC,BUS_TOT,FI,11.5 ,11.3 ,11.1 ,10.9 ,10.6 ,10.3 ,10.3 ,10.0 ,10.1 ,10.0 ,9.9 ,9.8 ,9.8 ,9.8 ,9.8 ,9.7 ,11.9 ,10.4 ,10.1 ,9.9 ,9.2 
ind11,PC,BUS_TOT,FR,5.3 ,4.9 ,5.0 ,5.0 ,5.1 ,5.2 ,5.3 ,5.5 ,5.7 ,5.2 ,5.3 e,5.4 ,5.4 ,6.2 ,6.3 ,6.3 ,6.4 ,6.4 ,6.5 ,6.4 ,5.2 
ind11,PC,BUS_TOT,HR,13.6 e,13.5 e,13.3 e,13.6 e,12.1 e,11.9 e,11.8 e,12.1 e,12.5 e,10.7 e,10.7 de,10.5 d,10.7 d,11.5 d,11.9 ,11.0 ,12.3 ,13.4 ,12.7 ,13.4 ,9.1 
ind11,PC,BUS_TOT,HU,25.0 ,24.9 ,24.7 ,24.6 ,22.7 ,23.4 b,22.1 ,21.1 ,24.2 ,20.7 ,21.5 ,21.5 ,22.3 ,21.4 ,21.3 ,20.9 ,21.5 ,21.1 ,19.3 e,18.6 ,15.3 
ind11,PC,BUS_TOT,IE,16.2 be,16.1 e,15.6 e,15.3 e,15.1 e,14.6 e,14.4 e,14.2 e,14.4 e,15 e,14.5 e,14.6 e,14.4 e,14.1 e,14.7 e,13.7 e,13.6 e,14.3 e,15 e,14.9 e,12.3 e
ind11,PC,BUS_TOT,IS,10.3 ,10.0 ,10.0 ,10.0 ,10.0 ,9.9 ,11.4 ,11.4 ,11.4 ,11.4 ,11.4 ,11.4 ,11.4 ,11.4 ,11.4 ,11.4 ,11.4 ,11.4 e,11.3 e,11.4 e,8.5 e
