unit,geo\time,2009 ,2012 ,2015 ,2018 
M2_HAB,AT,654.3 ,695.3 ,703.6 ,740.1 
M2_HAB,BE,572.5 ,537.8 ,581.6 ,583.5 
M2_HAB,BG,: ,468.5 ,613.5 ,623.4 
M2_HAB,CY,: ,787.8 ,977.2 ,939.0 
M2_HAB,CZ,623.6 ,588.4 ,616.1 ,634.4 
M2_HAB,DE,526.6 ,553.4 ,564.8 ,586.7 
M2_HAB,DK,969.6 ,1021 ,1052.3 ,1053.8 
M2_HAB,EE,1164.4 ,1316.1 ,1540.5 ,1484.4 
M2_HAB,EL,562 ,576.7 ,627.7 ,710.2 
M2_HAB,ES,561.6 ,556 ,572.9 ,577.5 
M2_HAB,EU27_2007,: ,625 ,653.7 ,667.2 
M2_HAB,EU27_2020,: ,: ,680.6 ,703.4 
M2_HAB,EU28,: ,: ,648.2 ,667.6 
M2_HAB,EU_V,616.1 ,644.4 ,672.5 ,673.4 
M2_HAB,FI,2136.6 ,2338.2 ,2458.7 ,2447.6 
M2_HAB,FR,834.4 ,840.5 ,835.2 ,845.1 
M2_HAB,HR,: ,: ,670.7 ,722.5 
M2_HAB,HU,703.1 ,680.8 ,704.3 ,811.5 
M2_HAB,IE,922.2 ,1015.6 ,961.3 ,972.7 
M2_HAB,IT,439.5 ,458.7 ,471.5 ,484.3 
M2_HAB,LT,898.9 ,803.9 ,1053.1 ,1090.5 
M2_HAB,LU,542.9 ,628.4 ,511.7 ,565.2 
M2_HAB,LV,970.1 ,1126.9 ,1297.2 ,1276.1 
M2_HAB,MT,: ,222.1 ,190.6 ,201.4 
M2_HAB,NL,431.4 ,456.9 ,471.6 ,456.9 
M2_HAB,PL,531.9 ,593.9 ,623.9 ,633.7 
M2_HAB,PT,588 ,601.8 ,621.2 ,689.1 
M2_HAB,RO,: ,355.2 ,364.8 ,528.4 
M2_HAB,SE,1718 ,2084.2 ,2343.8 ,2223.0 
M2_HAB,SI,579.4 ,570.6 ,609.2 ,625.1 
M2_HAB,SK,538.3 ,515.4 ,536.2 ,631.8 
M2_HAB,UK,441.8 ,430.2 ,430.5 ,426.9 
