hhtyp,incgrp,unit,geo\time,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
TOTAL,A_MD60,PC,AL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.5 ,1.0 ,0.7 ,0.7 
TOTAL,A_MD60,PC,AT,: ,9.5 ,12.7 ,12.2 ,11.4 ,10.8 b,15.5 ,13.6 ,12.1 ,12.0 ,11.4 ,13.9 ,13.3 ,12.7 ,11.2 ,10.1 ,8.4 ,5.5 
TOTAL,A_MD60,PC,BE,19.7 ,19.3 ,16.5 ,17.3 ,16.7 ,15.1 ,15.5 ,16.6 ,14.4 ,13.1 ,18.3 ,15.3 ,15.1 ,12.2 ,11.2 ,10.7 ,12.5 b,10.1 
TOTAL,A_MD60,PC,BG,: ,: ,24.1 ,24.1 ,26.2 ,23.9 ,28.5 b,26.8 ,26.7 ,27.1 ,25.0 ,25.4 ,25.9 ,25.0 b,22.4 ,21.4 ,20.2 ,18.1 
TOTAL,A_MD60,PC,CH,: ,: ,: ,: ,12.8 ,12.2 ,11.9 ,13.5 ,12.1 ,16.3 ,14.3 ,14.7 b,11.6 ,10.3 ,8.6 ,7.6 ,6.8 ,7.4 
TOTAL,A_MD60,PC,CY,: ,: ,9.2 ,13.3 ,13.6 ,10.4 b,8.6 ,13.3 ,15.3 ,15.9 ,15.9 ,12.6 ,12.2 ,10.1 ,12.7 ,15.0 ,13.3 ,10.9 
TOTAL,A_MD60,PC,CZ,: ,: ,15.9 ,13.2 ,12.6 ,13.2 ,17.6 b,15.2 ,14.8 ,13.0 ,13.6 ,13.2 ,11.2 ,11.0 ,8.9 ,7.6 ,7.3 ,5.9 
TOTAL,A_MD60,PC,DE,: ,: ,9.2 ,12.0 ,11.4 ,11.6 ,11.1 ,10.7 ,11.6 ,11.4 ,12.3 ,12.0 ,12.6 ,13.0 ,13.3 ,12.1 ,12.2 ,7.7 bu
TOTAL,A_MD60,PC,DK,10.1 ,13.8 ,13.5 ,13.4 ,13.5 ,16.3 ,16.2 ,13.9 ,15.3 ,9.8 ,9.1 ,8.4 ,6.9 ,7.7 ,7.3 ,6.7 ,7.1 ,7.0 
TOTAL,A_MD60,PC,EA19,: ,: ,14.0 ,14.4 ,14.3 ,13.1 ,14.5 ,12.8 ,12.9 ,12.8 ,14.4 ,13.9 ,13.6 ,12.5 ,11.8 ,11.8 ,11.5 ,11.2 
TOTAL,A_MD60,PC,EE,: ,27.7 ,24.0 ,19.9 ,21.1 ,16.9 ,19.9 ,17.9 ,13.9 ,15.3 ,11.7 ,12.1 b,11.7 ,9.0 ,7.2 ,7.4 ,7.4 ,5.5 
TOTAL,A_MD60,PC,EL,10.4 ,8.3 ,9.1 ,9.0 ,10.8 ,12.6 ,17.0 b,20.0 ,20.2 ,20.6 ,19.2 ,16.8 ,13.2 ,12.3 ,13.8 ,13.3 ,17.1 ,18.2 
TOTAL,A_MD60,PC,ES,: ,18.7 ,19.0 ,19.5 ,17.5 ,14.9 ,16.6 b,13.0 ,11.0 ,9.7 ,14.3 ,11.6 ,9.6 ,9.2 ,8.1 ,10.3 ,11.3 ,13.3 
TOTAL,A_MD60,PC,EU,: ,: ,: ,: ,: ,: ,: ,: ,13.5 ,13.0 ,14.0 ,13.4 ,13.0 ,12.5 ,11.4 e,12.1 e,11.8 e,: 
TOTAL,A_MD60,PC,EU27_2007,: ,: ,: ,: ,15.3 ,14.1 ,15.4 ,13.7 ,13.6 ,13.1 ,14.1 ,13.5 ,13.1 ,12.5 ,11.5 e,12.2 e,11.9 e,: 
TOTAL,A_MD60,PC,EU27_2020,: ,: ,: ,: ,: ,: ,: ,12.5 e,12.6 e,12.2 e,13.6 e,13.1 e,12.7 e,11.9 e,11.0 e,10.9 e,10.6 e,10.2 e
TOTAL,A_MD60,PC,EU28,: ,: ,: ,: ,: ,: ,: ,13.7 ,13.5 ,13.0 ,14.0 ,13.4 ,13.0 ,12.5 ,11.4 e,12.1 e,11.8 e,: 
TOTAL,A_MD60,PC,FI,: ,16.4 ,17.4 ,15.0 ,12.3 ,12.5 ,12.7 ,8.0 ,7.8 ,8.0 ,8.6 ,6.7 ,6.9 ,6.2 ,5.9 ,6.8 ,6.1 ,6.2 
TOTAL,A_MD60,PC,FR,: ,21.8 ,16.9 ,15.3 ,15.5 ,14.0 ,14.6 ,14.2 ,13.3 ,14.1 ,15.8 ,14.7 ,13.4 ,13.9 ,13.2 ,14.3 ,13.6 ,16.2 b
TOTAL,A_MD60,PC,HR,: ,: ,: ,: ,: ,: ,: ,4.8 ,3.7 ,2.9 ,2.9 ,2.8 ,3.0 ,3.1 ,3.2 ,2.7 ,2.8 ,2.4 
TOTAL,A_MD60,PC,HU,: ,: ,12.3 ,9.5 ,12.1 ,12.6 ,10.6 ,10.9 ,9.9 ,9.3 ,11.3 ,12.2 ,9.0 ,8.7 ,6.3 ,3.9 ,4.6 ,4.8 
TOTAL,A_MD60,PC,IE,15.6 ,13.5 ,13.6 ,16.1 ,14.2 ,12.1 ,14.1 ,9.5 ,10.0 ,10.3 ,11.5 ,10.7 ,10.1 ,9.2 ,9.3 ,9.4 ,8.1 ,10.9 b
TOTAL,A_MD60,PC,IS,: ,3.8 ,3.8 ,2.4 ,3.4 ,3.1 ,4.0 ,3.7 ,2.3 ,3.1 ,2.2 ,1.9 ,1.9 ,2.1 ,1.9 ,2.4 ,: ,: 
TOTAL,A_MD60,PC,IT,: ,14.6 ,13.8 ,14.2 ,15.6 ,13.4 ,15.1 ,11.9 ,14.7 ,14.5 ,15.9 ,17.8 ,19.5 ,14.9 ,12.3 ,11.3 ,9.6 ,8.2 
TOTAL,A_MD60,PC,LT,: ,: ,9.6 ,8.0 ,7.8 ,5.3 ,6.6 ,5.4 ,4.6 ,5.1 ,6.3 ,5.0 ,4.8 ,3.3 ,7.9 ,3.5 ,3.3 ,3.1 
TOTAL,A_MD60,PC,LU,18.4 ,15.1 ,15.2 ,10.3 ,9.7 ,10.6 ,10.5 ,9.7 ,9.9 ,14.1 ,12.9 ,16.2 ,15.0 ,11.3 b,11.8 ,10.8 ,11.1 ,10.7 b
