indicator,indic_env,material,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
ind12,RMC,TOTAL,THS_T,AT,: ,: ,: ,: ,: ,: ,: ,: ,212561.048 ,207272.763 ,209970.516 ,223289.317 ,217334.994 ,212647.035 ,214344.415 ,210554.15 ,221673.445 ,220702.029 ,219825.885 s,216756.295 s,189633.252 s
ind12,RMC,TOTAL,THS_T,BE,: ,: ,: ,: ,: ,: ,: ,: ,182215.085 ,136932.701 ,153847.263 ,172834.69 ,162493.616 ,143292.765 ,154832.608 ,157846.604 ,148010.44 ,142781.523 ,167720.71 s,165978.404 s,150569.326 s
ind12,RMC,TOTAL,THS_T,BG,: ,: ,: ,: ,: ,: ,: ,: ,148900.35 s,123137.165 s,110199.53 s,116508.269 s,112322.143 s,117642.035 s,129438.513 s,135668.488 s,124577.647 s,129330.645 s,148922.408 s,151346.993 s,143335.292 s
ind12,RMC,TOTAL,THS_T,CH,134202.352 ,140128.222 ,137535.585 ,133555.58 ,135149.845 ,136753.246 ,138010.279 ,140786.866 ,143308.96 ,145425.802 ,138707.686 ,146133.742 ,140340.455 ,142676.47 ,144147.339 ,143902.824 ,147745.885 ,148324.332 ,143312.728 ,147069.436 ,: 
ind12,RMC,TOTAL,THS_T,CY,: ,: ,: ,: ,: ,: ,: ,: ,32473.735 s,26686.905 s,26358.519 s,25008.95 s,19501.364 s,14186.528 s,14630.048 s,14816.755 s,15524.156 s,18371.865 s,17558.446 s,19439.897 s,19605.129 s
ind12,RMC,TOTAL,THS_T,CZ,: ,: ,: ,: ,: ,: ,: ,: ,141072.237 s,165808.661 s,135019.46 s,173590.47 s,145639.581 s,129396.887 s,161010.469 s,176104 s,165737.738 s,178952.187 s,178652.72 s,182361.587 s,166859.748 s
ind12,RMC,TOTAL,THS_T,DE,: ,: ,: ,: ,: ,: ,: ,: ,1278633.744 s,1186618.688 s,1247266.274 ,1363581.339 ,1285491.372 ,1278004.261 ,1292453.627 ,1243767.763 ,1296516.376 ,1332439.523 ,1323233.968 ,1304440.691 s,1244000.006 s
ind12,RMC,TOTAL,THS_T,DK,: ,: ,: ,: ,: ,: ,: ,: ,149921.152 ,114490.267 ,104739.383 ,121817.992 ,125221.426 ,117183.05 ,120421.595 ,126107.664 ,129805.288 ,135064.377 ,133421.677 ,140876.941 s,149299.312 s
ind12,RMC,TOTAL,THS_T,EE,: ,: ,: ,: ,: ,: ,: ,: ,35703.739 ,32636.427 ,30744.904 ,33550.779 ,34436.605 ,34204.113 ,31622.033 ,32359.442 ,31644.64 ,37430.736 ,40083.978 ,36857.495 ,37053.959 s
ind12,RMC,TOTAL,THS_T,EL,: ,: ,: ,: ,: ,: ,: ,: ,292170.373 s,251329.211 s,206525.166 s,183604.482 s,173076.426 s,158324.932 s,160387.188 s,152340.095 s,139770.005 s,140990.531 s,130068.232 s,131868.505 s,118703.148 s
ind12,RMC,TOTAL,THS_T,ES,: ,: ,: ,: ,: ,: ,: ,: ,910108.268 s,732984.375 s,652005.954 s,584789.639 s,464289.358 s,421392.665 s,409738.413 s,445943.348 s,447166.172 s,461148.381 s,515535.572 s,484565.728 s,469977.183 s
ind12,RMC,TOTAL,THS_T,EU27_2020,7185431.385 s,7357041.151 s,7340602.719 s,7394509.15 s,7685623.285 s,7793035.024 s,8105821.994 s,8306538.434 s,8141305.082 s,7131797.444 s,6511693.599 s,6813450.789 s,6289683.454 s,6158612.429 s,6203694.413 s,6224028.955 s,6238260.23 s,6343007.426 s,6464015.97 s,6469454.3 s,6108243.183 s
ind12,RMC,TOTAL,THS_T,FI,: ,: ,: ,: ,: ,: ,: ,: ,249191.304 s,189745.208 s,196392.393 s,204014.049 s,197459.752 s,225206.581 s,189344.218 s,174788.01 s,172654.537 s,179395.465 s,194464.905 s,179751.858 s,185888.592 s
ind12,RMC,TOTAL,THS_T,FR,: ,: ,: ,: ,: ,: ,: ,: ,1036728.731 ,927595.359 ,905253.901 ,923551.316 ,892621.056 ,897711.486 ,903673.022 ,851547.462 ,843324.247 ,934811.414 ,929747.267 ,919160.679 ,736614.346 s
ind12,RMC,TOTAL,THS_T,HR,: ,: ,: ,: ,: ,: ,: ,: ,87779.558 s,66391.496 s,55073.926 s,56557.363 s,53465.599 s,54244.673 s,49006.466 s,52595.618 s,52010.544 s,55096.615 s,55966.942 s,58379.355 s,52956.972 s
ind12,RMC,TOTAL,THS_T,HU,: ,: ,: ,: ,: ,: ,: ,: ,122969.688 s,105215.924 s,93526.124 s,89854.771 s,79416.899 s,91482.263 s,120586.991 s,120152.977 s,115014.134 s,131863.467 s,144856.236 s,154617.902 s,143729.078 s
ind12,RMC,TOTAL,THS_T,IE,: ,: ,: ,: ,: ,: ,: ,: ,107218.834 s,60293.026 s,55440.474 s,47980.477 s,53815.567 s,68763.013 s,59271.895 s,52874.141 s,58789.102 s,61050.433 s,63002.151 s,71070.458 s,53634.318 s
ind12,RMC,TOTAL,THS_T,IT,: ,: ,: ,: ,: ,: ,: ,: ,1015021.125 ,859124.034 ,901012.551 ,887022.858 ,736182.957 ,670771.334 ,666825.444 ,667937.096 ,662225.34 ,677702.769 ,700728.017 ,652742.283 ,585211.216 
ind12,RMC,TOTAL,THS_T,LT,: ,: ,: ,: ,: ,: ,: ,: ,58869.684 ,40237.539 ,42421.628 ,47535.297 ,43220.063 ,51520.159 ,51043.965 ,48775.495 ,51584.812 ,57252.84 ,56673.124 ,58262.399 ,63389.52 s
ind12,RMC,TOTAL,THS_T,LU,: ,: ,: ,: ,: ,: ,: ,: ,18793.355 ,17172.968 ,17994.351 ,17951.141 ,15313.515 ,16169.602 ,16286.41 ,18543.873 ,16914.364 ,18780.22 ,17451.068 ,17044.866 ,18021.561 
ind12,RMC,TOTAL,THS_T,LV,18418.902 ,20243.471 ,22929.491 ,25865.345 ,28297.891 ,32388.658 ,36768.634 ,40088.86 ,35387.058 ,21753.995 ,24444.718 ,29755.4 ,27681.412 ,29794.562 s,29492.701 s,31500.953 s,28128.571 s,31370.988 s,33760.211 s,34010.657 s,34284.223 s
ind12,RMC,TOTAL,THS_T,MT,: ,: ,: ,: ,: ,: ,: ,: ,6488.975 ,5725.717 ,5834.85 ,5264.759 ,5126.856 ,5001.925 ,4772.016 ,5782.193 ,5348.065 ,5321.587 ,5130.797 ,6051.817 ,9325.177 s
ind12,RMC,TOTAL,THS_T,NL,: ,: ,: ,: ,: ,: ,: ,: ,167391.729 s,138768.121 s,171047.609 ,158220.697 s,137801.137 ,133073.203 s,126168.263 ,140665.79 s,134545.065 ,125626.664 ,127351.678 ,133002.022 s,135087.835 s
ind12,RMC,TOTAL,THS_T,PL,: ,: ,: ,: ,: ,: ,: ,: ,569798.592 s,563903.089 s,585730.095 s,743379.657 s,633035.669 s,581493.469 s,585772.662 s,612606.246 s,632214.732 s,688574.342 s,722988.036 s,706515.568 s,667610.52 s
ind12,RMC,TOTAL,THS_T,PT,: ,: ,: ,: ,: ,: ,: ,: ,261188.015 ,229400.107 ,214652.191 ,192406.088 ,170907.448 ,149818.503 ,162631.6 ,165148.354 ,154457.523 ,175279.776 ,172849.214 ,176280.655 ,176047.153 s
ind12,RMC,TOTAL,THS_T,RO,: ,: ,: ,: ,: ,: ,: ,: ,470069.277 ,366668.18 ,280162.694 ,388226.923 ,359251.617 ,356124.809 ,376427.252 ,448372.942 ,456184.228 ,426587.541 ,461435.575 ,545604.941 ,570559.098 s
ind12,RMC,TOTAL,THS_T,SE,: ,: ,: ,: ,: ,: ,: ,: ,236440.333 s,206068.406 s,237961.327 s,234074.868 s,229671.61 s,248961.998 s,224364.854 s,227969.306 s,251218.675 s,241761.076 s,262415.54 s,271474.498 s,258129.44 s
ind12,RMC,TOTAL,THS_T,SI,: ,: ,: ,: ,: ,: ,: ,: ,56629.786 s,41255.766 s,39940.652 s,35735.916 s,32421.386 s,34199.663 s,32867.633 s,32700.394 s,30926.179 s,31244.576 s,34242.223 s,33754.134 s,35547.307 s
ind12,RMC,TOTAL,THS_T,SK,: ,: ,: ,: ,: ,: ,: ,: ,137303.051 s,88162.954 s,101633.665 s,81717.872 s,74357.275 s,80850.027 s,80619.252 s,70052.486 s,72858.026 s,76484.407 s,79656.385 s,75442.619 s,72479.823 s
ind12,RMC,TOTAL,T_HAB,AT,: ,: ,: ,: ,: ,: ,: ,: ,25.544 ,24.843 ,25.106 ,26.609 ,25.781 ,25.077 ,25.08 ,24.362 ,25.373 ,25.087 ,24.866 s,24.41 s,21.267 s
ind12,RMC,TOTAL,T_HAB,BE,: ,: ,: ,: ,: ,: ,: ,: ,17.014 ,12.683 ,14.12 ,15.658 ,14.63 ,12.841 ,13.813 ,14.001 ,13.062 ,12.552 ,14.678 s,14.447 s,13.049 s
ind12,RMC,TOTAL,T_HAB,BG,: ,: ,: ,: ,: ,: ,: ,: ,19.873 s,16.541 s,14.901 s,15.855 s,15.374 s,16.193 s,17.918 s,18.901 s,17.478 s,18.278 s,21.199 s,21.696 s,20.671 s
ind12,RMC,TOTAL,T_HAB,CH,18.68 ,19.382 ,18.88 ,18.198 ,18.289 ,18.388 ,18.441 ,18.645 ,18.739 ,18.78 ,17.726 ,18.469 ,17.549 ,17.638 ,17.603 ,17.375 ,17.645 ,17.549 ,16.832 ,17.15 ,: 
ind12,RMC,TOTAL,T_HAB,CY,: ,: ,: ,: ,: ,: ,: ,: ,41.282 s,33.027 s,31.778 s,29.392 s,22.572 s,16.459 s,17.161 s,17.48 s,18.23 s,21.375 s,20.181 s,22.042 s,21.979 s
ind12,RMC,TOTAL,T_HAB,CZ,: ,: ,: ,: ,: ,: ,: ,: ,13.585 s,15.876 s,12.89 s,16.539 s,13.856 s,12.307 s,15.297 s,16.699 s,15.685 s,16.891 s,16.807 s,17.088 s,15.597 s
ind12,RMC,TOTAL,T_HAB,DE,: ,: ,: ,: ,: ,: ,: ,: ,15.572 s,14.488 s,15.252 ,16.986 ,15.984 ,15.847 ,15.96 ,15.226 ,15.744 ,16.12 ,15.961 ,15.699 s,14.959 s
