indicator,waste,hazard,nace_r2,unit,geo\time,2004 ,2006 ,2008 ,2010 ,2012 ,2014 ,2016 ,2018 ,2020 
ind12,TOT_X_MIN,HAZ,TOTAL_HH,KG_HAB,AT,89 ,92 ,111 ,136 ,101 ,112 ,115 ,113 ,109 
ind12,TOT_X_MIN,HAZ,TOTAL_HH,KG_HAB,BA,: ,: ,: ,: ,245 ,1 ,2 ,3 ,: 
ind12,TOT_X_MIN,HAZ,TOTAL_HH,KG_HAB,BE,276 ,222 ,178 ,357 ,184 ,178 ,245 ,206 ,213 
ind12,TOT_X_MIN,HAZ,TOTAL_HH,KG_HAB,BG,61 ,102 ,107 ,83 ,19 ,38 ,41 ,30 ,83 
ind12,TOT_X_MIN,HAZ,TOTAL_HH,KG_HAB,CY,142 ,22 ,14 ,28 ,30 ,38 ,33 ,35 ,28 
ind12,TOT_X_MIN,HAZ,TOTAL_HH,KG_HAB,CZ,96 ,90 ,105 ,97 ,87 ,80 ,81 ,117 b,106 
ind12,TOT_X_MIN,HAZ,TOTAL_HH,KG_HAB,DE,125 ,150 ,164 ,158 ,178 ,173 ,176 ,174 ,170 
ind12,TOT_X_MIN,HAZ,TOTAL_HH,KG_HAB,DK,56 ,65 ,69 ,81 ,87 ,112 ,96 ,95 ,97 
ind12,TOT_X_MIN,HAZ,TOTAL_HH,KG_HAB,EE,5373 ,4909 ,5623 ,6704 ,6908 ,7899 ,7345 ,8186 ,1103 b
ind12,TOT_X_MIN,HAZ,TOTAL_HH,KG_HAB,EL,29 ,24 ,21 ,25 ,25 ,18 ,45 ,56 ,50 
ind12,TOT_X_MIN,HAZ,TOTAL_HH,KG_HAB,ES,67 ,81 ,71 ,59 ,63 ,61 ,64 ,65 ,67 
ind12,TOT_X_MIN,HAZ,TOTAL_HH,KG_HAB,EU27_2020,110 ,127 ,114 ,130 ,126 ,127 ,132 ,143 ,118 
ind12,TOT_X_MIN,HAZ,TOTAL_HH,KG_HAB,EU28,111 ,127 ,111 ,122 ,119 ,120 ,125 ,134 ,: 
ind12,TOT_X_MIN,HAZ,TOTAL_HH,KG_HAB,FI,165 ,211 ,145 ,171 ,125 ,140 ,149 ,161 ,141 
ind12,TOT_X_MIN,HAZ,TOTAL_HH,KG_HAB,FR,104 ,101 ,100 ,115 ,114 ,107 ,111 ,123 ,117 
ind12,TOT_X_MIN,HAZ,TOTAL_HH,KG_HAB,HR,25 ,160 ,8 ,17 ,23 ,26 ,32 ,37 ,41 
ind12,TOT_X_MIN,HAZ,TOTAL_HH,KG_HAB,HU,103 ,50 ,45 ,43 ,55 ,50 ,42 ,49 ,52 
ind12,TOT_X_MIN,HAZ,TOTAL_HH,KG_HAB,IE,57 ,45 ,40 ,367 ,99 ,88 ,100 ,121 ,161 
ind12,TOT_X_MIN,HAZ,TOTAL_HH,KG_HAB,IS,29 ,: ,167 ,25 ,40 ,82 ,78 ,69 ,84 
