unit,geo\time,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
PC,AT,: ,: ,: ,: ,: ,: ,6.6 ,6.8 s,7.5 ,8.7 s,9.6 ,10.7 s,11.2 ,11.4 s,11.1 p,11.5 s,10.8 p,12.3 ps
PC,BE,: ,: ,: ,: ,: ,: ,13 ,14 s,16.9 ,16.8 s,17.6 ,17.7 s,17.6 ,18.5 s,19.9 ,23.5 s,21.5 ps,20.5 ps
PC,BG,: ,: ,: ,: ,: ,: ,2.1 ,1.8 s,1.9 ,2.5 s,2.7 ,3.1 s,4.4 ,3.5 s,2.5 ,2.3 s,5.9 p,4.9 ps
PC,CY,: ,: ,: ,: ,: ,: ,2 ,1.9 s,2 ,2.4 s,2.2 ,2.4 s,2.4 ,2.4 s,2.8 ,2.9 s,3.7 ps,2.8 ps
PC,CZ,: ,: ,: ,: ,: ,: ,5.3 ,5.4 s,6.3 ,6.7 s,6.8 ,6.9 s,7.5 ,9.1 s,10.5 b,11.3 s,11.6 ,11.4 ps
PC,DE,: ,: ,: ,: ,: ,: ,11.4 ,10.8 s,11.2 ,11.3 s,11.3 ,12 s,12.2 ,11.8 s,12.4 ,12.9 s,12.9 p,12.7 ps
PC,DK,: ,: ,: ,: ,: ,: ,8 ,7 s,6.4 ,7.7 s,9 ,8.3 s,8 ,7.9 s,8.1 ,7.6 s,7.5 ,7.8 ps
PC,EE,: ,: ,: ,: ,: ,: ,8.8 ,14.2 s,19.1 ,14.6 s,10.9 ,11.3 s,11.6 ,12.4 s,13.5 ,15.6 s,15.6 ,15.1 ps
PC,EL,: ,: ,: ,: ,: ,: ,2.7 ,2.2 s,1.9 ,1.8 s,1.4 ,1.9 s,2.3 ,2.8 s,3.3 p,4.1 s,4.4 ps,3.4 ps
PC,ES,: ,: ,: ,: ,: ,: ,10.4 ,9.8 s,9.8 ,8.9 s,7.7 ,7.5 s,8.2 ,8.8 s,9 ,9.6 s,9.3 ep,8 ps
PC,EU27_2020,8.3 ,8.8 s,9.1 ,8.9 s,9.2 ,10.5 s,10.8 ,10.3 s,11.1 ,11.3 s,11.2 ,11.3 s,11.5 ,11.5 s,11.7 ,12 s,11.7 ps,11.7 ps
PC,EU28,8.4 ,8.9 s,9.4 ,9.3 s,9.8 ,11 s,11.2 ,10.8 s,11.5 ,11.7 s,11.6 ,11.8 s,12 ,12.1 s,12.2 ,12.5 s,: ,: 
PC,FI,: ,: ,: ,: ,: ,: ,13.5 ,14 s,15.3 ,10.1 s,7.3 ,6.4 s,5.3 ,5.6 s,5.9 ,6.3 s,5.9 ,2 ps
PC,FR,: ,: ,: ,: ,: ,: ,17.5 ,16.8 s,16.9 ,17.3 s,17.8 ,18.7 s,19.4 p,18.8 s,19.7 ,20 s,19.2 ps,19.8 ps
PC,HR,: ,: ,: ,: ,: ,: ,1.6 ,2.4 s,3.6 ,3.9 s,4.8 ,4.6 s,4.6 ,5.2 s,5 ,5.2 s,5.7 ,5.7 ps
PC,HU,: ,: ,: ,: ,: ,: ,5.3 ,5.4 s,6.1 ,6.2 s,5.4 ,5.8 s,6.5 ,6.9 s,7 ,7.3 s,5.2 ps,6.8 ps
PC,IE,: ,: ,: ,: ,: ,: ,1.7 ,2.1 s,1.8 ,1.7 s,2 ,1.9 s,1.7 ,1.7 s,1.6 ,1.6 s,1.7 ,2 ps
PC,IT,: ,: ,: ,: ,: ,: ,11.5 ,11.6 s,13.9 ,16 s,16.1 ,17.2 s,17.8 ,18.4 s,18.8 ,19.5 s,20.6 p,18.4 ps
PC,LT,: ,: ,: ,: ,: ,: ,3.9 ,3.6 s,3.8 ,3.1 s,3.7 ,4.1 s,4.6 ,4.5 s,4.3 ,3.9 s,4 ,4 ps
PC,LU,: ,: ,: ,: ,: ,: ,24.1 ,20.7 s,18.5 ,15.4 s,11.3 ,9.7 s,7.1 ,10.6 s,10.8 ,10.5 s,9.9 ,3.8 ps
PC,LV,: ,: ,: ,: ,: ,: ,1.2 ,2.9 s,1.3 ,3.8 s,5.3 ,5.3 s,6.5 ,5.4 s,4.7 ,4.3 s,5.1 ,6.2 ps
PC,MT,: ,: ,: ,: ,: ,: ,5.3 ,4.5 s,3.9 ,6.3 s,6.4 ,4.6 s,4.2 ,6.5 s,8.3 ,7.7 s,13.3 ,11.4 ps
PC,NL,: ,: ,: ,: ,: ,: ,25.3 ,25 s,26.5 ,27.1 s,26.6 ,25.8 s,28.5 ,29.7 s,28.9 ,30 s,30 ps,33.8 ps
PC,PL,: ,: ,: ,: ,: ,: ,10.8 ,9.2 s,10.6 ,11.8 s,12.6 ,11.6 s,10.2 ,9.9 s,9.8 ,10.3 s,7.5 ,9.1 ps
PC,PT,: ,: ,: ,: ,: ,: ,1.8 ,1.7 s,2 ,2.5 s,2.4 ,2.1 s,2.1 ,2 s,2.2 ,2.3 s,2.3 ,2.5 ps
PC,RO,: ,: ,: ,: ,: ,: ,3.5 ,2.5 s,2.6 ,2.5 s,2.1 ,1.7 s,1.7 ,1.7 s,1.5 ,1.3 s,1.5 ps,1.4 ps
PC,SE,: ,: ,: ,: ,: ,: ,7.2 ,7.6 s,8.2 ,7.2 s,6.4 ,6.7 s,6.8 ,6.7 s,6.6 ,6.5 s,6.8 ,6.6 ps
PC,SI,: ,: ,: ,: ,: ,: ,5.9 ,7.6 s,9.3 ,9.3 s,8.5 ,8.6 s,8.7 ,9.8 s,10 ,11.4 s,9.9 ,11 ps
PC,SK,: ,: ,: ,: ,: ,: ,5.1 ,4.8 s,4.1 ,4.6 s,4.8 ,5.1 s,5.3 ,5 s,4.9 ,6.4 s,10.5 ,8.3 ps
PC,UK,: ,: ,: ,: ,: ,: ,14 ,13.8 s,14 ,14 s,14 ,15 s,15.7 ,15.7 s,16 ,16.4 s,: ,: 
