indicator,statinfo,unit,stk_flow,geo\time,1980 ,1981 ,1982 ,1983 ,1984 ,1985 ,1986 ,1987 ,1988 ,1989 ,1990 ,1991 ,1992 ,1993 ,1994 ,1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
ind13,AVG_30Y,EUR_HAB,LOSS,AT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,33.30 ,33.22 ,33.11 ,33.00 ,36.23 ,35.94 ,36.06 ,35.68 ,38.00 ,39.09 ,40.92 ,39.43 
ind13,AVG_30Y,EUR_HAB,LOSS,BE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,6.08 ,7.24 ,7.40 ,7.35 ,7.32 ,7.62 ,7.57 ,7.54 ,7.51 ,7.58 ,7.53 ,4.91 
ind13,AVG_30Y,EUR_HAB,LOSS,BG,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,8.96 ,9.02 ,9.08 ,9.15 ,9.20 ,13.32 ,17.61 ,17.74 ,17.87 ,18.00 ,18.12 ,18.26 
ind13,AVG_30Y,EUR_HAB,LOSS,CH,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,65.78 ,65.15 ,64.43 ,63.62 ,63.73 ,63.05 ,62.16 ,59.76 ,49.02 ,48.43 ,48.72 ,45.87 
ind13,AVG_30Y,EUR_HAB,LOSS,CY,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,8.11 ,7.90 ,7.70 ,7.58 ,7.60 ,7.69 ,7.73 ,14.89 ,14.76 ,13.76 ,13.58 ,13.42 
ind13,AVG_30Y,EUR_HAB,LOSS,CZ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,31.34 ,33.29 ,33.23 ,35.37 ,41.42 ,41.42 ,41.31 ,41.49 ,42.71 ,42.94 ,42.77 ,43.02 
ind13,AVG_30Y,EUR_HAB,LOSS,DE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,24.67 ,25.70 ,26.33 ,26.40 ,32.11 ,32.17 ,32.51 ,33.60 ,35.43 ,39.29 ,40.27 ,38.48 
ind13,AVG_30Y,EUR_HAB,LOSS,DK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,35.94 ,36.41 ,36.63 ,36.50 ,42.56 ,42.82 ,42.52 ,42.18 ,41.91 ,42.17 ,42.02 ,40.62 
ind13,AVG_30Y,EUR_HAB,LOSS,EE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,5.10 ,6.16 ,6.18 ,6.21 ,6.23 ,6.24 ,6.24 ,6.24 ,6.23 ,6.21 ,6.19 ,6.17 
ind13,AVG_30Y,EUR_HAB,LOSS,EL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,26.83 ,26.80 ,26.84 ,26.98 ,27.21 ,27.40 ,27.58 ,27.85 ,26.07 ,26.32 ,27.13 ,19.35 
