indicator,unit,geo\time,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind13,MIO_PER,AL,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.000 ,: ,: ,: ,: 
ind13,MIO_PER,AT,: ,: ,0.014 ,0.167 ,1.900 ,1.919 ,1.962 ,2.015 ,2.066 ,2.095 ,2.117 ,2.126 ,2.140 ,2.151 
ind13,MIO_PER,BE,: ,: ,2.103 ,2.961 ,3.295 ,4.009 ,7.174 ,8.804 ,10.458 ,10.416 ,10.461 ,10.464 ,10.700 ,11.020 
ind13,MIO_PER,BG,: ,: ,0.745 ,2.299 ,2.403 ,2.531 ,2.540 ,2.540 ,2.601 ,2.532 ,2.526 ,2.519 ,2.519 ,2.523 
ind13,MIO_PER,CH,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.001 ,: ,: ,: ,: 
ind13,MIO_PER,CY,: ,: ,0.193 ,0.309 ,0.433 ,0.474 ,0.498 ,0.498 ,0.498 ,0.498 ,0.498 ,0.519 ,0.519 ,0.526 
ind13,MIO_PER,CZ,: ,: ,0.012 ,0.326 ,0.322 ,0.321 ,0.319 ,1.600 ,1.734 ,2.154 ,2.169 ,2.269 ,2.388 ,2.707 
ind13,MIO_PER,DE,: ,: ,16.685 ,17.436 ,17.190 ,17.407 ,18.032 ,18.183 ,19.247 ,19.424 ,19.753 ,19.962 ,20.040 ,20.289 
ind13,MIO_PER,DK,: ,: ,1.776 ,2.086 ,2.689 ,2.862 ,3.146 ,3.237 ,3.237 ,3.180 ,3.229 ,3.257 ,3.305 ,3.413 
ind13,MIO_PER,EE,: ,: ,0.430 ,0.430 ,0.430 ,0.432 ,0.535 ,0.535 ,0.535 ,0.535 ,0.562 ,0.566 ,0.568 ,0.577 
ind13,MIO_PER,EL,: ,: ,0.879 ,3.221 ,3.572 ,4.206 ,5.289 ,6.051 ,6.852 ,7.093 ,7.253 ,6.925 ,7.011 ,7.276 
ind13,MIO_PER,ES,: ,: ,20.578 ,23.416 ,25.133 ,26.792 ,27.332 ,27.815 ,29.816 ,31.104 ,31.465 ,34.231 ,35.305 ,35.935 
ind13,MIO_PER,EU27_2020,: ,: ,89.868 ,112.853 ,125.947 ,139.881 ,154.166 ,161.751 ,172.095 ,178.880 ,184.006 ,187.942 ,191.702 ,196.679 
ind13,MIO_PER,EU28,38.133 ,86.851 ,107.044 ,130.612 ,145.672 ,160.000 ,168.466 ,178.999 ,186.850 ,187.321 ,198.036 ,: ,: ,: 
ind13,MIO_PER,FI,: ,: ,1.413 ,1.552 ,1.691 ,1.758 ,1.999 ,2.022 ,2.270 ,2.295 ,2.324 ,2.455 ,2.565 ,2.565 
ind13,MIO_PER,FR,: ,: ,11.707 ,14.083 ,14.385 ,15.380 ,15.541 ,15.752 ,15.752 ,15.913 ,17.564 ,16.152 ,16.398 ,17.867 
ind13,MIO_PER,HR,: ,: ,1.277 ,1.646 ,1.853 ,1.727 ,1.753 ,1.789 ,1.796 ,1.999 ,1.999 ,2.034 ,2.097 ,2.191 
ind13,MIO_PER,HU,: ,: ,2.015 ,2.220 ,2.282 ,2.485 ,2.523 ,2.792 ,2.838 ,3.527 ,4.281 ,5.213 ,5.352 ,5.412 
ind13,MIO_PER,IE,: ,: ,0.506 ,0.973 ,1.238 ,1.238 ,1.238 ,1.548 ,2.381 ,2.381 ,2.381 ,2.551 ,2.551 ,2.975 
ind13,MIO_PER,IS,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.000 ,: ,: ,: ,: 
ind13,MIO_PER,IT,: ,: ,13.375 ,20.472 ,25.144 ,32.432 ,36.521 ,37.811 ,38.894 ,42.169 ,42.691 ,44.156 ,44.547 ,44.472 
ind13,MIO_PER,LT,: ,: ,0.652 ,0.678 ,1.375 ,1.486 ,1.486 ,1.486 ,1.514 ,1.393 ,1.381 ,1.514 ,1.514 ,1.552 
ind13,MIO_PER,LU,: ,: ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.023 ,0.023 ,0.023 ,0.045 ,0.046 ,0.046 
ind13,MIO_PER,LV,: ,: ,0.791 ,0.905 ,1.010 ,1.065 ,1.058 ,1.052 ,1.144 ,1.139 ,1.132 ,1.146 ,1.139 ,1.123 
ind13,MIO_PER,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.000 ,: ,: ,: ,: 
ind13,MIO_PER,MK,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.001 ,: ,: ,: ,: 
ind13,MIO_PER,MT,: ,: ,0.107 ,0.114 ,0.117 ,0.119 ,0.120 ,0.122 ,0.123 ,0.125 ,0.135 ,0.149 ,0.155 ,0.156 
ind13,MIO_PER,NL,: ,: ,3.650 ,3.650 ,3.713 ,3.907 ,4.210 ,4.163 ,4.404 ,4.725 ,4.835 ,5.034 ,5.085 ,5.114 
ind13,MIO_PER,NO,: ,: ,: ,: ,: ,: ,: ,1.357 ,: ,1.357 ,1.357 ,: ,: ,: 
ind13,MIO_PER,PL,: ,: ,2.019 ,2.858 ,3.247 ,3.474 ,3.474 ,3.727 ,4.362 ,4.334 ,4.695 ,4.978 ,5.737 ,5.806 
ind13,MIO_PER,PT,: ,: ,2.825 ,1.761 ,1.918 ,2.419 ,5.444 ,5.978 ,6.025 ,6.160 ,6.184 ,6.641 ,6.869 ,7.253 
ind13,MIO_PER,RO,: ,: ,3.801 ,4.851 ,5.458 ,5.978 ,6.352 ,6.525 ,7.434 ,7.499 ,7.763 ,6.073 ,6.063 ,6.553 
ind13,MIO_PER,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.000 ,: ,: ,: ,: 
ind13,MIO_PER,SE,: ,: ,1.906 ,3.896 ,4.092 ,4.193 ,4.319 ,4.403 ,4.575 ,4.641 ,4.971 ,4.979 ,5.039 ,5.070 
ind13,MIO_PER,SI,: ,: ,0.313 ,0.446 ,0.484 ,0.694 ,0.724 ,0.725 ,0.726 ,0.725 ,0.761 ,0.948 ,1.006 ,1.067 
ind13,MIO_PER,SK,: ,: ,0.094 ,0.096 ,0.570 ,0.572 ,0.574 ,0.574 ,0.789 ,0.798 ,0.853 ,1.036 ,1.040 ,1.041 
ind13,MIO_PER,TR,: ,: ,: ,: ,: ,: ,: ,: ,: ,12.190 ,: ,: ,: ,: 
ind13,MIO_PER,UK,: ,: ,: ,: ,: ,: ,: ,20.857 ,: ,20.811 ,20.857 ,: ,: ,: 
ind13,PC_POP,AL,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.0 ,: ,: ,: ,: 
ind13,PC_POP,AT,: ,: ,0.2 ,2.0 ,22.5 ,22.6 ,23.0 ,23.3 ,23.6 ,23.8 ,23.9 ,23.9 ,24.0 ,24.0 
ind13,PC_POP,BE,: ,: ,19.3 ,26.8 b,29.7 b,35.9 ,64.0 ,78.1 ,92.3 ,91.6 ,91.5 ,91.1 ,92.7 ,95.1 p
ind13,PC_POP,BG,: ,: ,10.1 ,31.3 ,32.9 ,34.8 ,35.2 ,35.4 ,36.5 ,35.8 ,36.0 ,36.1 ,36.3 ,36.7 
ind13,PC_POP,CH,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.0 ,: ,: ,: ,: 
ind13,PC_POP,CY,: ,: ,23.3 ,36.3 ,50.1 ,55.0 ,58.4 ,58.7 ,58.5 ,57.9 ,57.2 ,58.8 ,58.2 ,58.4 p
ind13,PC_POP,CZ,: ,: ,0.1 ,3.1 ,3.1 ,3.1 ,3.0 ,15.2 ,16.4 ,20.3 ,20.4 ,21.3 ,22.3 ,25.8 b
ind13,PC_POP,DE,: ,: ,20.4 ,21.7 b,21.4 ,21.6 ,22.3 ,22.3 ,23.4 ,23.5 ,23.8 ,24.0 ,24.1 ,24.4 
ind13,PC_POP,DK,: ,: ,32.0 ,37.4 ,48.1 ,51.0 ,55.7 ,57.0 ,56.5 ,55.2 ,55.7 ,56.0 ,56.7 ,58.3 
ind13,PC_POP,EE,: ,: ,32.3 ,32.4 ,32.5 ,32.8 ,40.7 ,40.7 b,40.7 ,40.6 ,42.5 ,42.7 ,42.7 ,43.4 
ind13,PC_POP,EL,: ,: ,7.9 ,29.0 ,32.3 ,38.4 ,48.6 ,55.9 ,63.6 ,66.0 ,67.6 ,64.6 ,65.5 ,68.4 e
ind13,PC_POP,ES,: ,: ,44.2 ,50.1 ,53.7 ,57.5 ,58.8 ,59.9 ,64.1 ,66.8 ,67.2 ,72.6 ,74.5 ,75.8 p
ind13,PC_POP,EU27_2020,: ,: ,20.4 b,25.6 b,28.6 b,31.7 ,34.8 b,36.4 b,38.7 ,40.1 b,41.2 e,42.0 bep,42.9 ep,44.0 bep
ind13,PC_POP,EU28,7.6 b,17.3 ,21.2 b,25.9 b,28.9 b,31.6 ,33.2 b,35.1 b,36.6 ,36.6 b,38.6 e,: ,: ,: 
ind13,PC_POP,FI,: ,: ,26.3 ,28.8 ,31.2 ,32.3 ,36.6 ,36.9 ,41.3 ,41.7 ,42.1 ,44.5 ,46.4 ,46.3 
ind13,PC_POP,FR,: ,: ,18.1 ,21.6 ,22.0 ,23.4 ,23.4 b,23.7 ,23.6 ,23.8 ,26.2 ,24.0 p,24.3 p,26.4 p
ind13,PC_POP,HR,: ,: ,29.7 ,38.4 ,43.4 ,40.6 ,41.4 ,42.5 ,43.0 ,48.4 ,48.9 ,50.0 ,51.8 ,55.4 bp
ind13,PC_POP,HU,: ,: ,20.1 ,22.3 ,23.0 b,25.1 ,25.6 ,28.4 ,28.9 ,36.0 ,43.8 ,53.4 ,54.9 ,55.7 
ind13,PC_POP,IE,: ,: ,11.1 ,21.2 ,26.9 ,26.8 ,26.6 ,32.9 ,50.1 ,49.5 ,48.9 e,51.7 e,51.2 ,59.1 
ind13,PC_POP,IS,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.0 ,: ,: ,: ,: 
ind13,PC_POP,IT,: ,: ,22.6 ,34.5 ,42.2 ,53.8 ,60.1 ,62.3 ,64.2 ,69.7 ,70.7 ,73.9 b,74.9 ,75.2 p
ind13,PC_POP,LT,: ,: ,21.1 ,22.4 ,46.0 ,50.2 ,50.7 ,51.2 ,52.8 ,49.3 ,49.3 ,54.2 ,54.2 ,55.4 
ind13,PC_POP,LU,: ,: ,0.4 ,0.4 ,0.4 b,0.4 ,0.4 ,0.4 ,4.0 ,3.9 b,3.8 ,7.3 ,7.3 ,7.2 
ind13,PC_POP,LV,: ,: ,37.7 ,43.9 ,49.6 ,52.9 ,53.1 ,53.2 ,58.4 ,58.6 ,58.7 ,59.9 ,59.9 ,59.6 
ind13,PC_POP,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.0 ,: ,: ,: ,: 
ind13,PC_POP,MK,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.0 ,: ,: ,: ,: 
ind13,PC_POP,MT,: ,: ,25.8 ,27.4 ,27.9 ,27.9 ,27.6 ,27.4 ,27.0 ,26.7 ,27.9 ,29.6 ,30.1 ,30.1 
ind13,PC_POP,NL,: ,: ,22.0 ,21.9 ,22.2 ,23.2 ,25.0 ,24.6 ,25.9 ,27.6 ,28.1 ,29.0 ,29.2 ,29.2 
ind13,PC_POP,NO,: ,: ,: ,: ,: ,: ,: ,26.2 ,: ,25.7 ,25.5 ,: ,: ,: 
ind13,PC_POP,PL,: ,: ,5.3 b,7.5 ,8.5 ,9.1 ,9.1 ,9.8 ,11.5 ,11.4 ,12.4 e,13.1 e,15.1 ep,15.4 ep
ind13,PC_POP,PT,: ,: ,26.7 ,16.7 ,18.2 ,23.1 ,52.3 ,57.7 ,58.4 ,59.8 ,60.1 ,64.6 ,66.7 ,70.2 bp
ind13,PC_POP,RO,: ,: ,18.8 ,24.1 ,27.2 ,29.9 ,31.9 ,32.9 ,37.7 ,38.3 ,39.9 ,31.3 e,31.5 e,34.3 e
ind13,PC_POP,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.0 ,: ,: ,: ,: 
ind13,PC_POP,SE,: ,: ,20.3 ,41.2 ,43.0 ,43.7 ,44.5 ,44.9 ,46.1 ,46.1 ,48.9 ,48.4 ,48.7 ,48.7 
ind13,PC_POP,SI,: ,: ,15.3 ,21.7 ,23.5 ,33.7 ,35.1 ,35.1 ,35.2 ,35.1 ,36.7 ,45.4 ,47.8 ,50.6 
ind13,PC_POP,SK,: ,: ,1.7 ,1.8 ,10.5 ,10.6 ,10.6 ,10.6 ,14.5 ,14.7 ,15.7 ,19.0 ,19.1 ,19.1 
ind13,PC_POP,TR,: ,: ,: ,: ,: ,: ,: ,: ,: ,15.2 ,: ,: ,: ,: 
ind13,PC_POP,UK,: ,: ,: ,: ,: ,: ,: ,32.0 ,: ,31.5 ,31.4 ,: ,: ,: 
