airpol,src_crf,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
GHG,CRF4,THS_T,AT,-16561.5 ,-19407.9 ,-14372.9 ,-4981.6 ,-9300.4 ,-10770.2 ,-5046.8 ,-5273.6 ,-3991.8 ,-2458.7 ,-3777.7 ,-4159.0 ,-3506.3 ,-2537.5 ,-2385.7 ,-2201.1 ,-2044.4 ,-2789.4 ,-3138.5 ,-2629.3 ,-1252.9 
GHG,CRF4,THS_T,BE,-1681.4 ,-1509.3 ,-2101.4 ,-1994.9 ,-1696.5 ,-1755.6 ,-1731.6 ,-1428.7 ,-1354.3 ,-1180.4 ,-358.0 ,-286.3 ,-270.8 ,-915.6 ,-898.9 ,-848.1 ,-755.6 ,-632.1 ,-594.7 ,-472.2 ,-335.9 
GHG,CRF4,THS_T,BG,-17757.1 ,-15039.8 ,-15331.4 ,-14882.5 ,-15615.5 ,-16914.2 ,-13572.5 ,-14509.7 ,-12828.9 ,-12911.0 ,-12298.7 ,-8929.8 ,-8424.7 ,-7312.6 ,-8567.5 ,-8080.7 ,-9873.5 ,-9811.1 ,-10047.1 ,-9988.3 ,-9605.2 
GHG,CRF4,THS_T,CH,5187.3 ,-990.0 ,-2683.6 ,-2657.0 ,-2623.1 ,-2875.3 ,-1937.8 ,-855.7 ,-2200.1 ,-3232.4 ,-2932.2 ,-1243.7 ,-2487.8 ,-2021.1 ,-303.0 ,-2167.2 ,-2131.8 ,-1895.2 ,-904.7 ,-2115.6 ,-1705.3 
GHG,CRF4,THS_T,CY,-67.2 ,-208.4 ,-290.2 ,-290.3 ,-280.7 ,-292.0 ,-284.0 ,-140.8 ,-317.8 ,-327.6 ,-295.3 ,-336.6 ,-328.3 ,-353.1 ,-354.9 ,-357.4 ,16.8 ,-360.5 ,-348.7 ,-348.8 ,-348.8 
GHG,CRF4,THS_T,CZ,-9388.1 ,-9303.4 ,-9039.0 ,-8443.9 ,-8234.4 ,-8339.7 ,-7118.7 ,-6515.1 ,-7831.4 ,-7714.9 ,-7039.5 ,-7357.5 ,-7476.8 ,-6832.3 ,-6749.6 ,-6678.4 ,-5793.3 ,-4115.6 ,1407.5 ,8235.3 ,12771.8 
GHG,CRF4,THS_T,DE,-9589.3 ,-17780.0 ,15656.1 ,11485.2 ,7999.5 ,4348.1 ,-3174.0 ,191.7 ,-11657.8 ,-19811.4 ,-14694.3 ,-15976.4 ,-26047.9 ,-23334.5 ,-22630.7 ,-20434.7 ,-22466.6 ,-22111.3 ,-20049.6 ,-14891.9 ,-11265.0 
GHG,CRF4,THS_T,DK,5135.0 ,4644.3 ,5659.8 ,5397.7 ,5141.1 ,5102.0 ,5264.3 ,5543.1 ,4105.7 ,3386.2 ,2457.5 ,2002.2 ,1467.8 ,1104.6 ,1816.4 ,792.2 ,1886.1 ,1820.4 ,3737.7 ,2893.0 ,3107.1 
GHG,CRF4,THS_T,EE,-4205.0 ,-4331.3 ,-4042.8 ,-6055.3 ,-4319.1 ,-1275.7 ,-2684.4 ,-2957.7 ,-2726.5 ,-3804.0 ,-4835.4 ,-4822.3 ,-3547.0 ,-2161.9 ,-1683.6 ,-2128.0 ,-2094.5 ,-1267.1 ,-1438.3 ,-334.6 ,1297.3 
GHG,CRF4,THS_T,EL,-1941.4 ,-2412.1 ,-2771.9 ,-2504.4 ,-2461.1 ,-3282.9 ,-3301.0 ,-1463.4 ,-2955.4 ,-3036.8 ,-3043.1 ,-3131.3 ,-3086.1 ,-1582.2 ,-125.8 ,-3719.2 ,-3473.3 ,-3248.4 ,-4030.9 ,-3065.9 ,-3953.0 
GHG,CRF4,THS_T,ES,-39553.7 ,-40608.4 ,-39097.3 ,-38254.4 ,-38184.6 ,-37640.7 ,-39654.5 ,-37398.3 ,-37053.3 ,-34507.5 ,-36724.7 ,-36664.1 ,-34682.2 ,-33579.1 ,-35539.8 ,-37968.3 ,-37848.7 ,-38091.8 ,-38148.4 ,-37105.3 ,-35548.8 
GHG,CRF4,THS_T,EU27_2020,-299278.2 ,-330057.7 ,-308460.2 ,-285815.7 ,-314937.7 ,-309752.2 ,-332925.8 ,-286273.8 ,-329975.6 ,-336030.4 ,-322325.2 ,-320696.7 ,-327453.7 ,-327842.1 ,-310130.7 ,-302747.6 ,-296930.5 ,-243999.1 ,-250680.0 ,-237211.0 ,-229527.9 
GHG,CRF4,THS_T,EU28,-291060.4 ,-322485.0 ,-301709.7 ,-279211.3 ,-309195.1 ,-304384.0 ,-327968.4 ,-281926.9 ,-326330.4 ,-332465.1 ,-318816.1 ,-317782.9 ,-324354.8 ,-324798.0 ,-307363.2 ,-299674.7 ,-293754.5 ,-241024.4 ,-247038.0 ,-233190.7 ,: 
