indicator,areaprot,unit,geo\time,2012 ,2016 ,2019 
ind14,MPA,KM2,AT,: z,: z,: z
ind14,MPA,KM2,BE,1273 ,1274 ,1274 
ind14,MPA,KM2,BG,995 ,2834 ,2834 
ind14,MPA,KM2,CY,131 ,131 ,8463 
ind14,MPA,KM2,CZ,: z,: z,: z
ind14,MPA,KM2,DE,25641 ,25684 ,25688 
ind14,MPA,KM2,DK,19087 ,19122 ,19675 
ind14,MPA,KM2,EE,6759 ,6757 ,6813 
ind14,MPA,KM2,EL,7414 ,7430 ,22550 
ind14,MPA,KM2,ES,11489 ,84387 ,128476 
ind14,MPA,KM2,EU27_2020,216742 ,385661 ,552008 
ind14,MPA,KM2,FI,8153 ,8240 ,9052 
ind14,MPA,KM2,FR,47110 ,55621 ,139724 
ind14,MPA,KM2,HR,666 ,5025 ,5279 
ind14,MPA,KM2,HU,: z,: z,: z
ind14,MPA,KM2,IE,6816 ,10264 ,10257 
ind14,MPA,KM2,IT,30367 ,30487 ,31987 
ind14,MPA,KM2,LT,674 ,1555 ,1554 
ind14,MPA,KM2,LU,: z,: z,: z
ind14,MPA,KM2,LV,4383 ,4470 ,4469 
ind14,MPA,KM2,MT,193 ,3489 ,4142 
ind14,MPA,KM2,NL,11829 ,15085 ,15082 
ind14,MPA,KM2,PL,7235 ,7238 ,7238 
ind14,MPA,KM2,PT,14196 ,66445 ,77006 
ind14,MPA,KM2,RO,1888 ,6322 ,6358 
ind14,MPA,KM2,SE,10442 ,23802 ,24076 
ind14,MPA,KM2,SI,: ,: ,11 
ind14,MPA,KM2,SK,: z,: z,: z
ind14,MPA,PC,AT,: z,: z,: z
ind14,MPA,PC,BE,36.8 ,36.8 ,36.8 
ind14,MPA,PC,BG,2.8 ,8.1 ,8.1 
ind14,MPA,PC,CY,0.1 ,0.1 ,8.6 
ind14,MPA,PC,CZ,: z,: z,: z
ind14,MPA,PC,DE,45.8 ,45.9 ,45.9 
ind14,MPA,PC,DK,18.1 ,18.2 ,18.7 
ind14,MPA,PC,EE,18.5 ,18.5 ,18.6 
ind14,MPA,PC,EL,6.5 ,6.5 ,19.7 
ind14,MPA,PC,ES,1.1 ,7.9 ,12.0 
ind14,MPA,PC,EU27_2020,4.2 ,7.4 ,10.7 
ind14,MPA,PC,FI,9.9 ,10.0 ,11.0 
ind14,MPA,PC,FR,12.7 ,15.0 ,37.7 
ind14,MPA,PC,HR,1.2 ,9.1 ,9.5 
ind14,MPA,PC,HU,: z,: z,: z
ind14,MPA,PC,IE,1.5 ,2.3 ,2.3 
ind14,MPA,PC,IT,5.2 ,5.2 ,5.4 
ind14,MPA,PC,LT,10.5 ,24.1 ,24.1 
ind14,MPA,PC,LU,: z,: z,: z
ind14,MPA,PC,LV,15.5 ,15.8 ,15.8 
ind14,MPA,PC,MT,0.3 ,4.6 ,5.5 
ind14,MPA,PC,NL,20.1 ,25.6 ,25.6 
ind14,MPA,PC,PL,21.8 ,21.8 ,21.8 
ind14,MPA,PC,PT,0.8 ,3.8 ,4.5 
ind14,MPA,PC,RO,6.4 ,21.4 ,21.5 
ind14,MPA,PC,SE,6.7 ,15.3 ,15.5 
ind14,MPA,PC,SI,: ,: ,5.2 
ind14,MPA,PC,SK,: z,: z,: z
