areaprot,unit,geo\time,2012 ,2016 ,2019 
MPA,KM2,AT,: z,: z,: z
MPA,KM2,BE,1273 ,1274 ,1274 
MPA,KM2,BG,995 ,2834 ,2834 
MPA,KM2,CY,131 ,131 ,8463 
MPA,KM2,CZ,: z,: z,: z
MPA,KM2,DE,25641 ,25684 ,25688 
MPA,KM2,DK,19087 ,19122 ,19675 
MPA,KM2,EE,6759 ,6757 ,6813 
MPA,KM2,EL,7414 ,7430 ,22550 
MPA,KM2,ES,11489 ,84387 ,128476 
MPA,KM2,EU27_2020,216742 ,385661 ,552008 
MPA,KM2,FI,8153 ,8240 ,9052 
MPA,KM2,FR,47110 ,55621 ,139724 
MPA,KM2,HR,666 ,5025 ,5279 
MPA,KM2,HU,: z,: z,: z
MPA,KM2,IE,6816 ,10264 ,10257 
MPA,KM2,IT,30367 ,30487 ,31987 
MPA,KM2,LT,674 ,1555 ,1554 
MPA,KM2,LU,: z,: z,: z
MPA,KM2,LV,4383 ,4470 ,4469 
MPA,KM2,MT,193 ,3489 ,4142 
MPA,KM2,NL,11829 ,15085 ,15082 
MPA,KM2,PL,7235 ,7238 ,7238 
MPA,KM2,PT,14196 ,66445 ,77006 
MPA,KM2,RO,1888 ,6322 ,6358 
MPA,KM2,SE,10442 ,23802 ,24076 
MPA,KM2,SI,: ,: ,11 
MPA,KM2,SK,: z,: z,: z
MPA,PC,AT,: z,: z,: z
MPA,PC,BE,36.8 ,36.8 ,36.8 
MPA,PC,BG,2.8 ,8.1 ,8.1 
MPA,PC,CY,0.1 ,0.1 ,8.6 
MPA,PC,CZ,: z,: z,: z
MPA,PC,DE,45.8 ,45.9 ,45.9 
MPA,PC,DK,18.1 ,18.2 ,18.7 
MPA,PC,EE,18.5 ,18.5 ,18.6 
MPA,PC,EL,6.5 ,6.5 ,19.7 
MPA,PC,ES,1.1 ,7.9 ,12.0 
MPA,PC,EU27_2020,4.2 ,7.4 ,10.7 
MPA,PC,FI,9.9 ,10.0 ,11.0 
MPA,PC,FR,12.7 ,15.0 ,37.7 
MPA,PC,HR,1.2 ,9.1 ,9.5 
MPA,PC,HU,: z,: z,: z
MPA,PC,IE,1.5 ,2.3 ,2.3 
MPA,PC,IT,5.2 ,5.2 ,5.4 
MPA,PC,LT,10.5 ,24.1 ,24.1 
MPA,PC,LU,: z,: z,: z
MPA,PC,LV,15.5 ,15.8 ,15.8 
MPA,PC,MT,0.3 ,4.6 ,5.5 
MPA,PC,NL,20.1 ,25.6 ,25.6 
MPA,PC,PL,21.8 ,21.8 ,21.8 
MPA,PC,PT,0.8 ,3.8 ,4.5 
MPA,PC,RO,6.4 ,21.4 ,21.5 
MPA,PC,SE,6.7 ,15.3 ,15.5 
MPA,PC,SI,: ,: ,5.2 
MPA,PC,SK,: z,: z,: z
