indicator,watpol,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
ind15,PO4_RIV,MG_L,AL,0.025 ,0.024 ,0.026 ,0.027 ,0.018 ,0.061 ,0.096 ,0.087 ,0.253 ,0.124 ,0.259 ,0.118 ,0.051 ,0.048 ,0.045 ,0.042 ,0.285 ,0.135 ,0.091 ,0.058 ,0.082 
ind15,PO4_RIV,MG_L,AT,0.049 ,0.037 ,0.042 ,0.049 ,0.041 ,0.037 ,0.034 ,0.033 ,0.030 ,0.026 ,0.030 ,0.034 ,0.039 ,0.037 ,0.034 ,0.032 ,0.030 ,0.033 ,0.034 ,0.035 ,0.029 
ind15,PO4_RIV,MG_L,BE,0.269 ,0.243 ,0.247 ,0.317 ,0.300 ,0.282 ,0.228 ,0.192 ,0.160 ,0.227 ,0.215 ,0.217 ,0.160 ,0.166 ,0.173 ,0.188 ,0.169 ,0.215 ,0.192 ,0.220 ,0.197 
ind15,PO4_RIV,MG_L,BG,0.224 ,0.306 ,0.262 ,0.243 ,0.241 ,0.135 ,0.321 ,0.421 ,0.317 ,0.286 ,0.322 ,0.133 ,0.151 ,0.143 ,0.111 ,0.094 ,0.098 ,0.131 ,0.104 ,0.145 ,0.188 
ind15,PO4_RIV,MG_L,CH,0.025 ,0.025 ,0.022 ,0.020 ,0.021 ,0.020 ,0.024 ,0.020 ,0.019 ,0.019 ,0.019 ,0.021 ,0.019 ,0.015 ,0.016 ,0.022 ,0.019 ,0.016 ,0.013 ,0.015 ,0.016 
ind15,PO4_RIV,MG_L,CZ,0.257 ,0.218 ,0.206 ,0.278 ,0.220 ,0.152 ,0.122 ,0.117 ,0.121 ,0.080 ,0.068 ,0.109 ,0.125 ,0.104 ,0.127 ,0.126 ,0.125 ,0.123 ,0.133 ,0.108 ,0.078 
ind15,PO4_RIV,MG_L,DK,0.057 ,0.055 ,0.056 ,0.053 ,0.054 ,0.048 ,0.053 ,0.086 ,0.081 ,0.046 ,0.050 ,0.051 ,0.051 ,0.046 ,0.047 ,0.051 ,0.047 ,0.050 ,0.049 ,0.050 ,0.055 
ind15,PO4_RIV,MG_L,EE,0.036 ,0.039 ,0.037 ,0.045 ,0.033 ,0.031 ,0.031 ,0.027 ,0.031 ,0.033 ,0.027 ,0.029 ,0.025 ,0.024 ,0.022 ,0.034 ,0.027 ,0.026 ,0.027 ,0.021 ,0.025 
ind15,PO4_RIV,MG_L,EU_V,0.087 ,0.085 ,0.089 ,0.092 ,0.083 ,0.078 ,0.087 ,0.092 ,0.081 ,0.079 ,0.070 ,0.059 ,0.066 ,0.055 ,0.056 ,0.058 ,0.058 ,0.063 ,0.063 ,0.065 ,0.072 
ind15,PO4_RIV,MG_L,FI,0.019 ,0.021 ,0.015 ,0.017 ,0.017 ,0.019 ,0.017 ,0.016 ,0.018 ,0.018 ,0.016 ,0.016 ,0.018 ,0.013 ,0.012 ,0.018 ,0.018 ,0.017 ,0.013 ,0.015 ,0.018 
ind15,PO4_RIV,MG_L,FR,0.083 ,0.073 ,0.092 ,0.091 ,0.087 ,0.089 ,0.085 ,0.084 ,0.074 ,0.079 ,0.066 ,0.065 ,0.054 ,0.039 ,0.045 ,0.042 ,0.049 ,0.055 ,0.055 ,0.055 ,0.055 
ind15,PO4_RIV,MG_L,HR,0.066 ,0.066 ,0.066 ,0.066 ,0.055 ,0.043 ,0.058 ,0.037 ,0.033 ,0.026 ,0.039 ,0.033 ,0.033 ,0.029 ,0.026 ,0.022 ,0.024 ,0.025 ,0.022 ,0.026 ,0.026 
ind15,PO4_RIV,MG_L,IE,0.067 ,0.049 ,0.042 ,0.042 ,0.042 ,0.039 ,0.038 ,0.037 ,0.036 ,0.045 ,0.044 ,0.049 ,0.035 ,0.032 ,0.035 ,0.036 ,0.041 ,0.040 ,0.039 ,0.038 ,0.043 
ind15,PO4_RIV,MG_L,LT,0.118 ,0.094 ,0.141 ,0.093 ,0.070 ,0.129 ,0.155 ,0.051 ,0.082 ,0.087 ,0.055 ,0.053 ,0.044 ,0.067 ,0.051 ,0.080 ,0.064 ,0.086 ,0.121 ,0.113 ,0.250 
ind15,PO4_RIV,MG_L,LV,0.029 ,0.033 ,0.028 ,0.034 ,0.026 ,0.023 ,0.042 ,0.022 ,0.021 ,0.015 ,0.045 ,0.021 ,0.020 ,0.017 ,0.017 ,0.013 ,0.019 ,0.019 ,0.018 ,0.019 ,0.020 
ind15,PO4_RIV,MG_L,RO,0.150 ,0.150 ,0.145 ,0.160 ,0.114 ,0.119 ,0.107 ,0.145 ,0.127 ,0.127 ,0.089 ,0.090 ,0.102 ,0.090 ,0.101 ,0.105 ,0.085 ,0.080 ,0.095 ,0.097 ,0.107 
ind15,PO4_RIV,MG_L,RS,0.075 ,0.079 ,0.076 ,0.087 ,0.069 ,0.083 ,0.076 ,0.081 ,0.081 ,0.075 ,0.079 ,0.075 ,0.089 ,0.071 ,0.071 ,0.076 ,0.070 ,0.069 ,0.064 ,0.068 ,0.067 
ind15,PO4_RIV,MG_L,SE,0.009 ,0.010 ,0.012 ,0.011 ,0.012 ,0.012 ,0.012 ,0.011 ,0.011 ,0.010 ,0.012 ,0.012 ,0.010 ,0.010 ,0.009 ,0.008 ,0.008 ,0.007 ,0.007 ,0.007 ,0.007 
ind15,PO4_RIV,MG_L,SI,0.041 ,0.039 ,0.038 ,0.036 ,0.027 ,0.033 ,0.050 ,0.041 ,0.028 ,0.047 ,0.024 ,0.030 ,0.031 ,0.021 ,0.023 ,0.037 ,0.032 ,0.027 ,0.023 ,0.023 ,0.023 
ind15,PO4_RIV,MG_L,SK,0.184 ,0.163 ,0.143 ,0.186 ,0.153 ,0.120 ,0.117 ,0.119 ,0.108 ,0.104 ,0.072 ,0.080 ,0.298 ,0.160 ,0.142 ,0.092 ,0.258 ,0.182 ,0.126 ,0.071 ,0.057 
