indicator,unit,landcover,geo\time,2009 ,2012 ,2015 ,2018 
ind15,PC,LCC1,AT,41.1 ,41.3 ,42.9 ,42.1 
ind15,PC,LCC1,BE,20.8 ,21.6 ,22.3 ,23.4 
ind15,PC,LCC1,BG,: ,38.2 ,40.8 ,42.7 
ind15,PC,LCC1,CY,: ,20.3 ,23.2 ,22.4 
ind15,PC,LCC1,CZ,36.3 ,36.7 ,36.9 ,36.8 
ind15,PC,LCC1,DE,30.3 ,30.5 ,31.6 ,31.7 
ind15,PC,LCC1,DK,12.3 ,12.0 ,14.0 ,15.0 
ind15,PC,LCC1,EE,51.9 ,54.5 ,56.3 ,55.9 
ind15,PC,LCC1,EL,28.1 ,28.4 ,31.1 ,36.2 
ind15,PC,LCC1,ES,24.6 ,25.0 ,27.0 ,28.0 
ind15,PC,LCC1,EU27_2007,: ,35.1 ,36.1 ,36.9 
ind15,PC,LCC1,EU27_2020,: ,: ,37.8 ,38.6 
ind15,PC,LCC1,EU28,: ,: ,36.2 ,37.1 
ind15,PC,LCC1,EU_V,34.6 ,35.2 ,36.2 ,37.0 
ind15,PC,LCC1,FI,65.1 ,66.4 ,66.8 ,65.2 
ind15,PC,LCC1,FR,27.6 ,27.6 ,28.3 ,30.7 
ind15,PC,LCC1,HR,: ,: ,44.8 ,47.2 
ind15,PC,LCC1,HU,20.2 ,21.6 ,23.6 ,24.5 
ind15,PC,LCC1,IE,9.1 ,10.2 ,10.5 ,11.7 
ind15,PC,LCC1,IT,30.1 ,30.9 ,31.3 ,32.4 
ind15,PC,LCC1,LT,34.7 ,36.2 ,37.4 ,38.6 
ind15,PC,LCC1,LU,33.2 ,32.8 ,33.9 ,34.4 
ind15,PC,LCC1,LV,49.2 ,51.6 ,51.7 ,53.0 
ind15,PC,LCC1,MT,: ,2.9 u,1.3 u,0.9 u
ind15,PC,LCC1,NL,6.5 ,6.3 ,6.5 ,9.6 
ind15,PC,LCC1,PL,31.8 ,33.2 ,34.7 ,35.4 
ind15,PC,LCC1,PT,27.2 ,28.2 ,31.8 ,35.5 
ind15,PC,LCC1,RO,: ,31.1 ,32.7 ,33.3 
ind15,PC,LCC1,SE,60.5 ,61.4 ,61.7 ,61.1 
ind15,PC,LCC1,SI,60.4 ,60.2 ,61.7 ,61.4 
ind15,PC,LCC1,SK,43.5 ,44.6 ,45.8 ,45.7 
ind15,PC,LCC1,UK,9.9 ,10.2 ,9.7 ,11.4 
ind15,PC,LCC1_2,AT,45.2 ,45.0 ,46.7 ,46.4 
ind15,PC,LCC1_2,BE,21.7 ,22.4 ,23.1 ,24.3 
ind15,PC,LCC1_2,BG,: ,42.2 ,44.7 ,48.0 
ind15,PC,LCC1_2,CY,: ,33.3 ,39.7 ,43.2 
ind15,PC,LCC1_2,CZ,37.0 ,37.5 ,37.7 ,37.9 
ind15,PC,LCC1_2,DE,30.9 ,31.1 ,32.2 ,32.4 
ind15,PC,LCC1_2,DK,13.7 ,13.4 ,15.6 ,16.4 
ind15,PC,LCC1_2,EE,55.6 ,57.6 ,58.2 ,58.3 
ind15,PC,LCC1_2,EL,38.4 ,40.4 ,44.5 ,47.5 
ind15,PC,LCC1_2,ES,33.5 ,36.6 ,39.2 ,41.2 
ind15,PC,LCC1_2,EU27_2007,: ,40.3 ,41.6 ,42.0 
ind15,PC,LCC1_2,EU27_2020,: ,: ,42.6 ,43.5 
ind15,PC,LCC1_2,EU28,: ,: ,41.7 ,42.3 
ind15,PC,LCC1_2,EU_V,39.3 ,40.7 ,41.9 ,42.3 
ind15,PC,LCC1_2,FI,68.7 ,70.5 ,71.3 ,69.9 
ind15,PC,LCC1_2,FR,30.1 ,30.6 ,31.0 ,32.8 
ind15,PC,LCC1_2,HR,: ,: ,50.6 ,58.0 
ind15,PC,LCC1_2,HU,22.0 ,23.4 ,25.2 ,26.1 
ind15,PC,LCC1_2,IE,15.8 ,22.0 ,22.4 ,19.0 
ind15,PC,LCC1_2,IT,33.6 ,35.0 ,35.6 ,37.0 
ind15,PC,LCC1_2,LT,36.3 ,37.8 ,38.3 ,39.6 
ind15,PC,LCC1_2,LU,34.4 ,34.0 u,36.3 ,35.5 u
ind15,PC,LCC1_2,LV,53.2 ,55.0 ,56.4 ,56.2 
ind15,PC,LCC1_2,MT,: ,13.1 u,11.5 u,10.4 u
ind15,PC,LCC1_2,NL,7.4 ,7.4 ,8.0 ,10.9 
ind15,PC,LCC1_2,PL,33.2 ,34.6 ,36.1 ,36.4 
ind15,PC,LCC1_2,PT,36.9 ,41.9 ,46.6 ,49.9 
ind15,PC,LCC1_2,RO,: ,32.5 ,34.1 ,35.5 
ind15,PC,LCC1_2,SE,64.6 ,66.5 ,66.5 ,67.0 
ind15,PC,LCC1_2,SI,62.1 ,62.0 ,63.4 ,62.5 
ind15,PC,LCC1_2,SK,45.8 ,47.0 ,48.7 ,48.6 
