indicator,areaprot,unit,geo\time,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind15,TPA,KM2,AT,: ,: ,: ,: ,: ,: ,: ,24344 ,24344 
ind15,TPA,KM2,BE,: ,: ,: ,: ,: ,: ,: ,4477 ,4477 
ind15,TPA,KM2,BG,: ,: ,: ,: ,: ,: ,: ,45508 ,45508 
ind15,TPA,KM2,CY,: ,: ,: ,: ,: ,: ,: ,2162 ,2162 
ind15,TPA,KM2,CZ,: ,: ,: ,: ,: ,: ,: ,17273 ,17273 
ind15,TPA,KM2,DE,: ,: ,: ,: ,: ,: ,: ,133021 ,133021 
ind15,TPA,KM2,DK,: ,: ,: ,: ,: ,: ,: ,6518 ,6518 
ind15,TPA,KM2,EE,: ,: ,: ,: ,: ,: ,: ,9428 ,9428 
ind15,TPA,KM2,EL,: ,: ,: ,: ,: ,: ,: ,46209 ,46209 
ind15,TPA,KM2,ES,: ,: ,: ,: ,: ,: ,: ,141675 ,141675 
ind15,TPA,KM2,EU27_2020,798550 ,807001 ,832351 ,997132 ,1026708 ,1094310 ,1106985 ,1115435 ,1115435 
ind15,TPA,KM2,EU_V,798550 ,807001 ,832351 ,997132 ,1026708 ,1094310 ,1106985 ,1115435 ,1115435 
ind15,TPA,KM2,FI,: ,: ,: ,: ,: ,: ,: ,44556 ,44556 
ind15,TPA,KM2,FR,: ,: ,: ,: ,: ,: ,: ,151506 ,151506 
ind15,TPA,KM2,HR,: ,: ,: ,: ,: ,: ,: ,21332 ,21332 
ind15,TPA,KM2,HU,: ,: ,: ,: ,: ,: ,: ,20649 ,20649 
ind15,TPA,KM2,IE,: ,: ,: ,: ,: ,: ,: ,9722 ,9722 
ind15,TPA,KM2,IT,: ,: ,: ,: ,: ,: ,: ,64324 ,64324 
ind15,TPA,KM2,LT,: ,: ,: ,: ,: ,: ,: ,11033 ,11033 
ind15,TPA,KM2,LU,: ,: ,: ,: ,: ,: ,: ,1336 ,1336 
ind15,TPA,KM2,LV,: ,: ,: ,: ,: ,: ,: ,11755 ,11755 
ind15,TPA,KM2,MT,: ,: ,: ,: ,: ,: ,: ,91 ,91 
ind15,TPA,KM2,NL,: ,: ,: ,: ,: ,: ,: ,9949 ,9949 
ind15,TPA,KM2,PL,: ,: ,: ,: ,: ,: ,: ,123523 ,123523 
ind15,TPA,KM2,PT,: ,: ,: ,: ,: ,: ,: ,20583 ,20583 
ind15,TPA,KM2,RO,: ,: ,: ,: ,: ,: ,: ,56017 ,56017 
ind15,TPA,KM2,SE,: ,: ,: ,: ,: ,: ,: ,63410 ,63410 
ind15,TPA,KM2,SI,: ,: ,: ,: ,: ,: ,: ,8208 ,8208 
ind15,TPA,KM2,SK,: ,: ,: ,: ,: ,: ,: ,18336 ,18336 
ind15,TPA,PC,AT,: ,: ,: ,: ,: ,: ,: ,29.0 ,29.0 
ind15,TPA,PC,BE,: ,: ,: ,: ,: ,: ,: ,14.6 ,14.6 
ind15,TPA,PC,BG,: ,: ,: ,: ,: ,: ,: ,41.0 ,41.0 
ind15,TPA,PC,CY,: ,: ,: ,: ,: ,: ,: ,37.7 ,37.7 
ind15,TPA,PC,CZ,: ,: ,: ,: ,: ,: ,: ,21.9 ,21.9 
ind15,TPA,PC,DE,: ,: ,: ,: ,: ,: ,: ,37.2 ,37.2 
ind15,TPA,PC,DK,: ,: ,: ,: ,: ,: ,: ,15.1 ,15.1 
ind15,TPA,PC,EE,: ,: ,: ,: ,: ,: ,: ,20.8 ,20.8 
ind15,TPA,PC,EL,: ,: ,: ,: ,: ,: ,: ,35.0 ,35.0 
ind15,TPA,PC,ES,: ,: ,: ,: ,: ,: ,: ,28.0 ,28.0 
ind15,TPA,PC,EU27_2020,18.9 ,19.1 ,19.7 ,23.6 ,24.3 ,25.9 ,26.2 ,26.4 ,26.4 
ind15,TPA,PC,EU_V,18.9 ,19.1 ,19.7 ,23.6 ,24.3 ,25.9 ,26.2 ,26.4 ,26.4 
ind15,TPA,PC,FI,: ,: ,: ,: ,: ,: ,: ,13.2 ,13.2 
ind15,TPA,PC,FR,: ,: ,: ,: ,: ,: ,: ,27.6 ,27.6 
ind15,TPA,PC,HR,: ,: ,: ,: ,: ,: ,: ,37.8 ,37.8 
ind15,TPA,PC,HU,: ,: ,: ,: ,: ,: ,: ,22.2 ,22.2 
ind15,TPA,PC,IE,: ,: ,: ,: ,: ,: ,: ,13.9 ,13.9 
ind15,TPA,PC,IT,: ,: ,: ,: ,: ,: ,: ,21.4 ,21.4 
ind15,TPA,PC,LT,: ,: ,: ,: ,: ,: ,: ,17.0 ,17.0 
ind15,TPA,PC,LU,: ,: ,: ,: ,: ,: ,: ,51.5 ,51.5 
ind15,TPA,PC,LV,: ,: ,: ,: ,: ,: ,: ,18.2 ,18.2 
ind15,TPA,PC,MT,: ,: ,: ,: ,: ,: ,: ,29.0 ,29.0 
ind15,TPA,PC,NL,: ,: ,: ,: ,: ,: ,: ,26.6 ,26.6 
ind15,TPA,PC,PL,: ,: ,: ,: ,: ,: ,: ,39.6 ,39.6 
ind15,TPA,PC,PT,: ,: ,: ,: ,: ,: ,: ,22.4 ,22.4 
ind15,TPA,PC,RO,: ,: ,: ,: ,: ,: ,: ,23.5 ,23.5 
ind15,TPA,PC,SE,: ,: ,: ,: ,: ,: ,: ,14.1 ,14.1 
ind15,TPA,PC,SI,: ,: ,: ,: ,: ,: ,: ,40.5 ,40.5 
ind15,TPA,PC,SK,: ,: ,: ,: ,: ,: ,: ,37.4 ,37.4 
