indicator,unit,geo\time,2006 ,2009 ,2012 ,2015 ,2018 
ind15,I06,AT,100.0 ,101.4 ,103.0 ,103.3 ,106.7 b
ind15,I06,BE,100.0 ,100.9 ,102.2 ,102.7 ,106.5 b
ind15,I06,BG,100.0 ,100.9 ,103.0 ,104.5 ,106.9 b
ind15,I06,CH,100.0 ,101.0 ,103.5 ,104.0 ,105.9 b
ind15,I06,CY,100.0 ,103.7 ,107.7 ,113.7 ,122.9 b
ind15,I06,CZ,100.0 ,101.6 ,103.0 ,103.4 ,106.5 b
ind15,I06,DE,100.0 ,101.2 ,102.5 ,103.2 ,106.0 b
ind15,I06,DK,100.0 ,101.2 ,102.9 ,103.3 ,107.7 b
ind15,I06,EE,100.0 ,102.3 ,103.8 ,105.3 ,109.6 b
ind15,I06,EL,100.0 ,101.3 ,102.6 ,103.7 ,109.5 b
ind15,I06,ES,100.0 ,103.9 ,106.2 ,107.2 ,110.7 b
ind15,I06,EU27_2020,100.0 ,101.8 ,103.5 ,104.5 ,108.3 b
ind15,I06,FI,100.0 ,100.9 ,102.8 ,103.7 ,107.7 b
ind15,I06,FR,100.0 ,102.5 ,104.1 ,105.0 ,109.2 b
ind15,I06,HR,100.0 ,101.7 ,102.9 ,103.7 ,107.3 b
ind15,I06,HU,100.0 ,101.4 ,103.4 ,105.2 ,108.3 b
ind15,I06,IE,100.0 ,101.7 ,103.1 ,103.4 ,107.9 b
ind15,I06,IS,100.0 ,112.4 ,115.5 ,118.6 ,123.3 b
ind15,I06,IT,100.0 ,101.4 ,102.7 ,103.1 ,106.4 b
ind15,I06,LI,100.0 ,100.1 ,101.6 ,101.7 ,102.7 b
ind15,I06,LT,100.0 ,100.9 ,101.6 ,102.9 ,107.8 b
ind15,I06,LU,100.0 ,103.1 ,105.0 ,105.6 ,111.3 b
ind15,I06,LV,100.0 ,101.3 ,101.8 ,103.3 ,109.5 b
ind15,I06,MT,100.0 ,100.1 ,100.7 ,100.8 ,106.1 b
ind15,I06,NL,100.0 ,101.4 ,103.4 ,103.7 ,107.8 b
ind15,I06,NO,100.0 ,101.8 ,103.8 ,105.2 ,118.7 b
ind15,I06,PL,100.0 ,101.8 ,105.5 ,108.7 ,114.2 b
ind15,I06,PT,100.0 ,101.8 ,103.1 ,104.3 ,108.4 b
ind15,I06,RO,100.0 ,101.5 ,103.9 ,106.0 ,109.3 b
ind15,I06,SE,100.0 ,101.2 ,102.6 ,103.4 ,112.3 b
ind15,I06,SI,100.0 ,102.2 ,103.6 ,103.8 ,105.9 b
ind15,I06,SK,100.0 ,101.9 ,104.7 ,106.3 ,109.8 b
ind15,KM2,AT,1427 ,1448 ,1470 ,1475 ,1523 b
ind15,KM2,BE,1799 ,1816 ,1838 ,1848 ,1917 b
ind15,KM2,BG,947 ,956 ,975 ,989 ,1012 b
ind15,KM2,CH,1072 ,1082 ,1109 ,1115 ,1135 b
ind15,KM2,CY,167 ,173 ,180 ,190 ,205 b
ind15,KM2,CZ,1823 ,1851 ,1877 ,1885 ,1941 b
ind15,KM2,DE,14943 ,15123 ,15323 ,15417 ,15847 b
ind15,KM2,DK,1193 ,1207 ,1227 ,1232 ,1285 b
ind15,KM2,EE,185 ,190 ,192 ,195 ,203 b
ind15,KM2,EL,1221 ,1237 ,1253 ,1266 ,1337 b
ind15,KM2,ES,5786 ,6014 ,6143 ,6202 ,6402 b
ind15,KM2,EU27_2020,66855 ,68043 ,69201 ,69838 ,72393 b
ind15,KM2,FI,1333 ,1345 ,1370 ,1382 ,1436 b
ind15,KM2,FR,11426 ,11707 ,11894 ,11999 ,12474 b
ind15,KM2,HR,670 ,682 ,690 ,695 ,719 b
ind15,KM2,HU,1330 ,1348 ,1375 ,1399 ,1440 b
ind15,KM2,IE,647 ,658 ,667 ,669 ,698 b
ind15,KM2,IS,53 ,60 ,62 ,63 ,66 b
ind15,KM2,IT,7817 ,7923 ,8029 ,8059 ,8315 b
ind15,KM2,LI,7 ,7 ,7 ,7 ,7 b
ind15,KM2,LT,471 ,475 ,478 ,484 ,507 b
ind15,KM2,LU,104 ,107 ,109 ,110 ,116 b
ind15,KM2,LV,239 ,242 ,243 ,246 ,261 b
ind15,KM2,MT,50 ,50 ,51 ,51 ,53 b
ind15,KM2,NL,2652 ,2690 ,2742 ,2751 ,2859 b
ind15,KM2,NO,709 ,722 ,736 ,746 ,842 b
ind15,KM2,PL,4138 ,4212 ,4366 ,4496 ,4725 b
ind15,KM2,PT,1852 ,1886 ,1909 ,1932 ,2008 b
ind15,KM2,RO,1949 ,1978 ,2024 ,2065 ,2131 b
ind15,KM2,SE,1660 ,1680 ,1703 ,1716 ,1864 b
ind15,KM2,SI,328 ,335 ,340 ,341 ,348 b
ind15,KM2,SK,698 ,712 ,732 ,743 ,767 b
ind15,PC,AT,1.73 ,1.75 ,1.78 ,1.79 ,1.85 b
ind15,PC,BE,5.91 ,5.96 ,6.04 ,6.07 ,6.30 b
ind15,PC,BG,0.86 ,0.87 ,0.89 ,0.90 ,0.92 b
ind15,PC,CH,2.69 ,2.72 ,2.78 ,2.80 ,2.85 b
ind15,PC,CY,1.81 ,1.88 ,1.95 ,2.06 ,2.23 b
ind15,PC,CZ,2.36 ,2.40 ,2.43 ,2.44 ,2.51 b
ind15,PC,DE,4.23 ,4.28 ,4.34 ,4.36 ,4.49 b
ind15,PC,DK,2.84 ,2.87 ,2.92 ,2.93 ,3.06 b
ind15,PC,EE,0.43 ,0.44 ,0.44 ,0.45 ,0.47 b
ind15,PC,EL,0.94 ,0.95 ,0.96 ,0.97 ,1.03 b
ind15,PC,ES,1.15 ,1.20 ,1.22 ,1.23 ,1.27 b
ind15,PC,EU27_2020,1.63 ,1.66 ,1.69 ,1.70 ,1.76 b
ind15,PC,FI,0.44 ,0.44 ,0.45 ,0.45 ,0.47 b
ind15,PC,FR,1.80 ,1.85 ,1.88 ,1.89 ,1.97 b
ind15,PC,HR,1.20 ,1.22 ,1.23 ,1.24 ,1.29 b
ind15,PC,HU,1.46 ,1.48 ,1.51 ,1.53 ,1.58 b
ind15,PC,IE,0.94 ,0.96 ,0.97 ,0.97 ,1.02 b
ind15,PC,IS,0.05 ,0.06 ,0.06 ,0.06 ,0.07 b
ind15,PC,IT,2.63 ,2.66 ,2.70 ,2.71 ,2.79 b
ind15,PC,LI,4.49 ,4.49 ,4.56 ,4.56 ,4.60 b
ind15,PC,LT,0.75 ,0.76 ,0.76 ,0.77 ,0.81 b
ind15,PC,LU,4.03 ,4.16 ,4.23 ,4.25 ,4.49 b
ind15,PC,LV,0.38 ,0.38 ,0.38 ,0.39 ,0.41 b
ind15,PC,MT,16.10 ,16.12 ,16.21 ,16.23 ,17.08 b
ind15,PC,NL,7.76 ,7.87 ,8.02 ,8.05 ,8.36 b
ind15,PC,NO,0.23 ,0.23 ,0.24 ,0.24 ,0.27 b
ind15,PC,PL,1.35 ,1.37 ,1.42 ,1.46 ,1.54 b
ind15,PC,PT,2.04 ,2.07 ,2.10 ,2.12 ,2.21 b
ind15,PC,RO,0.83 ,0.84 ,0.86 ,0.88 ,0.91 b
ind15,PC,SE,0.41 ,0.41 ,0.42 ,0.42 ,0.46 b
ind15,PC,SI,1.63 ,1.67 ,1.69 ,1.69 ,1.73 b
ind15,PC,SK,1.43 ,1.46 ,1.50 ,1.52 ,1.57 b
