indicator,levels,clc18,unit,geo\time,2000 ,2010 ,2016 
ind15,SEV,CLC2_3X331_332_335,KM2,AT,11635.2 ,11835 ,11773 
ind15,SEV,CLC2_3X331_332_335,KM2,BE,168.2 ,98.6 ,100.7 
ind15,SEV,CLC2_3X331_332_335,KM2,BG,5009.4 ,3131 ,3497.7 
ind15,SEV,CLC2_3X331_332_335,KM2,CY,707.2 ,507.8 ,514.6 
ind15,SEV,CLC2_3X331_332_335,KM2,CZ,2018.6 ,976.1 ,955.5 
ind15,SEV,CLC2_3X331_332_335,KM2,DE,7895 ,4391.7 ,4150.5 
ind15,SEV,CLC2_3X331_332_335,KM2,DK,2.8 ,2 ,1 
ind15,SEV,CLC2_3X331_332_335,KM2,EE,3.1 ,1.3 ,0.6 
ind15,SEV,CLC2_3X331_332_335,KM2,EL,13449.8 ,11721.2 ,11639.3 
ind15,SEV,CLC2_3X331_332_335,KM2,ES,52651.8 ,42703.7 ,43305.4 
ind15,SEV,CLC2_3X331_332_335,KM2,EU27_2020,227273.7 ,198607.3 ,196853.4 
ind15,SEV,CLC2_3X331_332_335,KM2,EU28,235236 ,207232.2 ,205294.5 
ind15,SEV,CLC2_3X331_332_335,KM2,FI,37.9 ,34.3 ,34.2 
ind15,SEV,CLC2_3X331_332_335,KM2,FR,21074.6 ,17303.2 ,16602.1 
ind15,SEV,CLC2_3X331_332_335,KM2,HR,4219.8 ,3780.9 ,2562.1 
ind15,SEV,CLC2_3X331_332_335,KM2,HU,2484.5 ,2174.5 ,2125.2 
ind15,SEV,CLC2_3X331_332_335,KM2,IE,392.7 ,378.4 ,367.9 
ind15,SEV,CLC2_3X331_332_335,KM2,IT,71061.5 ,67990.9 ,68398.2 
ind15,SEV,CLC2_3X331_332_335,KM2,LT,15.7 ,11.8 ,11.5 
ind15,SEV,CLC2_3X331_332_335,KM2,LU,83.3 ,62.1 ,61.4 
ind15,SEV,CLC2_3X331_332_335,KM2,LV,5.2 ,3.9 ,4.3 
ind15,SEV,CLC2_3X331_332_335,KM2,MT,65 ,27.1 ,18.7 
ind15,SEV,CLC2_3X331_332_335,KM2,NL,4.1 ,1.8 ,1.6 
ind15,SEV,CLC2_3X331_332_335,KM2,PL,3740.7 ,3203.6 ,3342.4 
ind15,SEV,CLC2_3X331_332_335,KM2,PT,4400.1 ,3736.5 ,3417.6 
ind15,SEV,CLC2_3X331_332_335,KM2,RO,17289.1 ,16159.3 ,15695.7 
ind15,SEV,CLC2_3X331_332_335,KM2,SE,2487.5 ,2527.4 ,2501.5 
ind15,SEV,CLC2_3X331_332_335,KM2,SI,3762.1 ,3684.3 ,3686.6 
ind15,SEV,CLC2_3X331_332_335,KM2,SK,2608.6 ,2159.3 ,2084.3 
ind15,SEV,CLC2_3X331_332_335,KM2,UK,7962.3 ,8624.9 ,8441.2 
ind15,SEV,CLC2_3X331_332_335,PC,AT,15.45 ,15.56 ,15.5 
ind15,SEV,CLC2_3X331_332_335,PC,BE,0.7 ,0.41 ,0.42 
ind15,SEV,CLC2_3X331_332_335,PC,BG,4.82 ,3.01 ,3.37 
ind15,SEV,CLC2_3X331_332_335,PC,CY,8.55 ,6.1 ,6.5 
ind15,SEV,CLC2_3X331_332_335,PC,CZ,2.77 ,1.33 ,1.31 
ind15,SEV,CLC2_3X331_332_335,PC,DE,2.46 ,1.37 ,1.3 
ind15,SEV,CLC2_3X331_332_335,PC,DK,0.01 ,0.01 ,0 
ind15,SEV,CLC2_3X331_332_335,PC,EE,0.01 ,0 ,0 
ind15,SEV,CLC2_3X331_332_335,PC,EL,10.8 ,9.41 ,9.6 
ind15,SEV,CLC2_3X331_332_335,PC,ES,10.92 ,8.85 ,9.02 
ind15,SEV,CLC2_3X331_332_335,PC,EU27_2020,6.11 ,5.32 ,5.31 
ind15,SEV,CLC2_3X331_332_335,PC,EU28,5.99 ,5.26 ,5.25 
ind15,SEV,CLC2_3X331_332_335,PC,FI,0.01 ,0.01 ,0.01 
ind15,SEV,CLC2_3X331_332_335,PC,FR,4.14 ,3.39 ,3.27 
ind15,SEV,CLC2_3X331_332_335,PC,HR,7.89 ,7.07 ,5.12 
ind15,SEV,CLC2_3X331_332_335,PC,HU,2.94 ,2.57 ,2.51 
ind15,SEV,CLC2_3X331_332_335,PC,IE,0.72 ,0.68 ,0.67 
ind15,SEV,CLC2_3X331_332_335,PC,IT,25.83 ,24.61 ,24.93 
ind15,SEV,CLC2_3X331_332_335,PC,LT,0.03 ,0.02 ,0.02 
ind15,SEV,CLC2_3X331_332_335,PC,LU,3.56 ,2.65 ,2.63 
ind15,SEV,CLC2_3X331_332_335,PC,LV,0.01 ,0.01 ,0.01 
ind15,SEV,CLC2_3X331_332_335,PC,MT,30.13 ,12.57 ,10.6 
ind15,SEV,CLC2_3X331_332_335,PC,NL,0.01 ,0.01 ,0.01 
ind15,SEV,CLC2_3X331_332_335,PC,PL,1.28 ,1.09 ,1.14 
ind15,SEV,CLC2_3X331_332_335,PC,PT,5.24 ,4.44 ,4.08 
ind15,SEV,CLC2_3X331_332_335,PC,RO,8.09 ,7.51 ,7.31 
ind15,SEV,CLC2_3X331_332_335,PC,SE,0.67 ,0.68 ,0.68 
ind15,SEV,CLC2_3X331_332_335,PC,SI,19.37 ,18.96 ,18.99 
ind15,SEV,CLC2_3X331_332_335,PC,SK,5.72 ,4.7 ,4.55 
ind15,SEV,CLC2_3X331_332_335,PC,UK,3.87 ,4.12 ,4.1 
